open,close,high,low,value,volume,begin,end
51.23,51.23,51.23,51.23,6359692.19999999,124140,2024-04-11 09:00:00,2024-04-11 09:59:59
51.23,51.47,52.29,50.71,1078358543.0,20866440,2024-04-11 10:00:00,2024-04-11 10:59:59
51.45,51.72,51.74,51.29,160604687.2,3115260,2024-04-11 11:00:00,2024-04-11 11:59:59
51.72,51.77,51.9,51.51,186425115.5999999,3603330,2024-04-11 12:00:00,2024-04-11 12:59:59
51.77,52.07,52.28,51.75,481120767.59999985,9234010,2024-04-11 13:00:00,2024-04-11 13:59:59
52.07,51.87,52.09,51.8,152982543.10000008,2947710,2024-04-11 14:00:00,2024-04-11 14:59:59
51.83,51.97,51.99,51.7,171889889.19999993,3317050,2024-04-11 15:00:00,2024-04-11 15:59:59
51.97,50.89,52.11,50.71,862396697.7999997,16800000,2024-04-11 16:00:00,2024-04-11 16:59:59
50.89,50.66,51.3,50.21,890413350.3999997,17566790,2024-04-11 17:00:00,2024-04-11 17:59:59
50.66,50.7,50.94,50.51,226307934.10000008,4461360,2024-04-11 18:00:00,2024-04-11 18:59:59
50.81,50.9,51.23,50.67,196923635.60000005,3863450,2024-04-11 19:00:00,2024-04-11 19:59:59
50.91,50.87,50.91,50.64,61694105.60000001,1214860,2024-04-11 20:00:00,2024-04-11 20:59:59
50.88,50.63,50.97,50.57,77084026.5,1517110,2024-04-11 21:00:00,2024-04-11 21:59:59
50.63,50.8,50.83,50.5,63370759.09999998,1250280,2024-04-11 22:00:00,2024-04-11 22:59:59
50.8,50.92,50.95,50.74,40162377.6,789770,2024-04-11 23:00:00,2024-04-11 23:59:59
51.0,51.0,51.0,51.0,2079270.0,40770,2024-04-12 09:00:00,2024-04-12 09:59:59
51.0,49.99,51.17,49.85,490858173.20000005,9748530,2024-04-12 10:00:00,2024-04-12 10:59:59
49.99,50.39,50.48,49.96,214426311.8000001,4270440,2024-04-12 11:00:00,2024-04-12 11:59:59
50.4,50.31,50.4,49.99,166973131.5,3325040,2024-04-12 12:00:00,2024-04-12 12:59:59
50.33,50.52,50.66,50.2,154425928.09999996,3061070,2024-04-12 13:00:00,2024-04-12 13:59:59
50.52,50.4,50.52,50.17,84675761.3,1681950,2024-04-12 14:00:00,2024-04-12 14:59:59
50.4,50.17,50.5,50.04,143662995.20000005,2861420,2024-04-12 15:00:00,2024-04-12 15:59:59
50.17,50.21,50.31,50.0,89794824.80000001,1790360,2024-04-12 16:00:00,2024-04-12 16:59:59
50.21,50.47,50.49,50.14,66341562.3,1318050,2024-04-12 17:00:00,2024-04-12 17:59:59
50.47,50.42,50.51,50.42,72697684.80000003,1440830,2024-04-12 18:00:00,2024-04-12 18:59:59
50.27,50.43,50.5,50.27,32657873.2,648220,2024-04-12 19:00:00,2024-04-12 19:59:59
50.43,50.32,50.43,50.21,31786593.300000004,632110,2024-04-12 20:00:00,2024-04-12 20:59:59
50.31,50.25,50.42,50.24,28905249.1,574240,2024-04-12 21:00:00,2024-04-12 21:59:59
50.24,50.31,50.36,50.2,36215460.89999999,720730,2024-04-12 22:00:00,2024-04-12 22:59:09
50.32,50.47,50.51,50.32,42162886.4,836410,2024-04-12 23:00:00,2024-04-12 23:59:59
50.29,50.29,50.29,50.29,3691285.9999999884,73400,2024-04-15 09:00:00,2024-04-15 09:59:59
50.3,49.76,50.78,49.46,360536658.9000001,7195940,2024-04-15 10:00:00,2024-04-15 10:59:59
49.76,50.04,50.1,49.72,109183622.6,2188350,2024-04-15 11:00:00,2024-04-15 11:59:59
50.04,49.88,50.2,49.86,87618522.4,1750690,2024-04-15 12:00:00,2024-04-15 12:59:59
49.93,50.06,50.14,49.89,48010401.30000002,959730,2024-04-15 13:00:00,2024-04-15 13:59:59
50.06,50.04,50.18,49.97,44559611.19999997,889400,2024-04-15 14:00:00,2024-04-15 14:59:59
50.04,50.38,50.68,50.01,207612769.20000008,4115940,2024-04-15 15:00:00,2024-04-15 15:59:59
50.38,50.49,50.74,50.36,126161198.40000004,2494580,2024-04-15 16:00:00,2024-04-15 16:59:59
50.49,50.77,50.82,50.34,107319362.7,2119000,2024-04-15 17:00:00,2024-04-15 17:59:59
50.78,50.55,50.81,50.55,52834331.8,1042630,2024-04-15 18:00:00,2024-04-15 18:59:59
50.53,50.47,50.73,50.44,40514685.099999994,800880,2024-04-15 19:00:00,2024-04-15 19:59:59
50.45,50.1,50.54,49.57,243949053.49999997,4872000,2024-04-15 20:00:00,2024-04-15 20:59:59
50.09,49.69,50.16,49.02,293058383.9999999,5905780,2024-04-15 21:00:00,2024-04-15 21:59:59
49.69,49.84,49.88,49.67,55751565.3,1119580,2024-04-15 22:00:00,2024-04-15 22:59:59
49.84,49.89,49.9,49.76,28643024.7,574660,2024-04-15 23:00:00,2024-04-15 23:59:55
49.86,49.86,49.86,49.86,2213285.4000000013,44390,2024-04-16 09:00:00,2024-04-16 09:59:59
49.87,49.84,50.2,49.5,162643375.30000004,3265890,2024-04-16 10:00:00,2024-04-16 10:59:59
49.84,50.06,50.24,49.71,137306465.6,2743170,2024-04-16 11:00:00,2024-04-16 11:59:59
50.06,49.99,50.15,49.92,50309510.39999999,1005970,2024-04-16 12:00:00,2024-04-16 12:59:59
50.0,50.2,50.31,49.94,77491953.20000008,1546330,2024-04-16 13:00:00,2024-04-16 13:59:59
50.2,50.2,50.3,50.04,59083848.89999995,1177440,2024-04-16 14:00:00,2024-04-16 14:59:59
50.19,50.23,50.26,50.12,32205488.40000001,641450,2024-04-16 15:00:00,2024-04-16 15:59:59
50.23,50.17,50.23,50.04,45110487.80000001,900280,2024-04-16 16:00:00,2024-04-16 16:59:59
50.15,50.14,50.22,50.1,29951776.600000005,597150,2024-04-16 17:00:00,2024-04-16 17:59:59
50.11,50.13,50.18,50.06,14296694.2,285230,2024-04-16 18:00:00,2024-04-16 18:59:59
50.13,49.97,50.28,49.9,36338281.400000006,725960,2024-04-16 19:00:00,2024-04-16 19:59:59
49.98,49.51,50.03,49.13,385247747.29999995,7785310,2024-04-16 20:00:00,2024-04-16 20:59:59
49.51,49.61,49.66,49.5,46296397.10000001,934080,2024-04-16 21:00:00,2024-04-16 21:59:59
49.6,49.59,49.62,49.51,18357134.8,370410,2024-04-16 22:00:00,2024-04-16 22:59:59
