open,close,high,low,value,volume,begin,end
75.6,78.22,78.44,75.02,1895423163.8,24471480,2020-10-12,2020-10-12 23:59:59
78.14,76.4,78.39,75.9,1232339155.5,16065920,2020-10-13,2020-10-13 23:59:59
76.01,76.85,77.46,76.01,827043695.6,10731980,2020-10-14,2020-10-14 23:59:59
76.52,75.71,76.88,75.0,931376456.3,12283640,2020-10-15,2020-10-15 23:59:59
75.48,76.0,76.97,75.29,852866212.6,11166720,2020-10-16,2020-10-16 23:59:59
76.0,75.64,76.43,75.0,664379449.8,8777700,2020-10-19,2020-10-19 23:59:59
75.32,75.48,75.66,74.51,519335089.8,6909100,2020-10-20,2020-10-20 23:59:59
75.1,74.83,75.62,73.87,655973428.8,8776810,2020-10-21,2020-10-21 23:59:59
74.3,75.18,75.58,74.3,569284625.4,7582440,2020-10-22,2020-10-22 23:59:59
75.2,74.94,75.5,74.63,368967038.0,4920850,2020-10-23,2020-10-23 23:59:59
74.72,74.15,75.89,74.02,682443830.8,9101930,2020-10-26,2020-10-26 23:59:59
74.35,74.46,74.92,73.52,819077058.0,11048690,2020-10-27,2020-10-27 23:59:59
74.56,70.24,74.65,69.91,1602724538.9,22427670,2020-10-28,2020-10-28 23:59:59
70.88,71.81,72.2,69.23,1669221038.9,23570130,2020-10-29,2020-10-29 23:59:59
71.6,70.75,71.69,69.94,997807266.4,14067940,2020-10-30,2020-10-30 23:59:59
70.95,70.96,71.38,70.08,742712926.0,10502560,2020-11-02,2020-11-02 23:59:59
71.2,71.89,72.13,70.65,923469792.1,12893160,2020-11-03,2020-11-03 23:59:59
72.41,74.9,75.76,71.9,1729211181.2,23248170,2020-11-05,2020-11-05 23:59:59
74.66,76.78,77.6,74.16,1619199105.8,21300360,2020-11-06,2020-11-06 23:59:59
77.36,79.91,81.94,76.76,2902552718.1,36419970,2020-11-09,2020-11-09 23:59:59
79.79,79.24,80.87,78.34,1808284315.0,22707560,2020-11-10,2020-11-10 23:59:59
79.0,79.67,80.5,78.47,1465895853.6,18447700,2020-11-11,2020-11-11 23:59:59
79.94,79.52,80.59,78.55,1464806546.7,18417470,2020-11-12,2020-11-12 23:59:59
79.98,81.2,81.65,78.76,1457406128.3,18128410,2020-11-13,2020-11-13 23:59:59
81.85,86.4,86.51,81.75,3127415349.5,37234980,2020-11-16,2020-11-16 23:59:59
86.5,86.3,87.4,85.04,2726555048.2,31613180,2020-11-17,2020-11-17 23:59:59
86.2,88.9,90.15,85.74,3258810826.8,36739690,2020-11-18,2020-11-18 23:59:59
89.38,89.54,91.2,88.12,3281001579.5,36536160,2020-11-19,2020-11-19 23:59:59
89.01,88.38,89.4,87.66,1221809732.5,13808970,2020-11-20,2020-11-20 23:59:59
88.72,86.93,89.38,86.5,1977930930.4,22592160,2020-11-23,2020-11-23 23:59:59
86.93,85.74,87.51,83.6,2762950365.1,32528460,2020-11-24,2020-11-24 23:59:59
85.7,87.69,87.98,84.1,2260429603.7,25993040,2020-11-25,2020-11-25 23:59:59
87.69,87.37,89.08,86.89,1513972097.7,17198070,2020-11-26,2020-11-26 23:59:59
87.18,90.53,91.0,87.18,3416274496.4,38004460,2020-11-27,2020-11-27 23:59:59
89.65,88.52,91.14,87.9,2839632669.5,31948540,2020-11-30,2020-11-30 23:59:59
88.46,89.9,90.99,87.9,1750368593.2,19603230,2020-12-01,2020-12-01 23:59:59
89.52,89.76,91.98,89.08,1735437756.3,19260510,2020-12-02,2020-12-02 23:59:59
90.2,89.44,90.79,86.94,2286658412.1,25666970,2020-12-03,2020-12-03 23:59:59
90.49,91.54,92.16,89.4,1915414909.9,21040000,2020-12-04,2020-12-04 23:59:59
91.4,91.93,93.5,90.91,2348655501.3,25426310,2020-12-07,2020-12-07 23:59:59
92.02,92.95,94.49,91.44,2169317385.6,23344600,2020-12-08,2020-12-08 23:59:59
93.15,91.65,93.9,91.41,1270908505.2,13768170,2020-12-09,2020-12-09 23:59:59
91.89,92.21,93.33,90.69,2193801074.8,23790210,2020-12-10,2020-12-10 23:59:59
92.26,92.1,93.29,91.91,923928246.6,9992760,2020-12-11,2020-12-11 23:59:59
92.75,90.4,92.75,90.07,1687310560.6,18519100,2020-12-14,2020-12-14 23:59:59
90.07,91.95,93.55,89.68,2018474320.7,21864690,2020-12-15,2020-12-15 23:59:59
92.18,96.27,96.49,92.18,4280216170.6,45049530,2020-12-16,2020-12-16 23:59:59
96.09,96.49,98.79,95.58,3106306244.9,32087040,2020-12-17,2020-12-17 23:59:59
96.0,94.58,97.2,93.76,2356957160.6,24822190,2020-12-18,2020-12-18 23:59:59
94.6,94.85,95.28,92.64,1801636858.6,19193120,2020-12-21,2020-12-21 23:59:59
94.16,96.14,97.01,94.16,1715935959.4,17846940,2020-12-22,2020-12-22 23:59:59
96.2,97.23,97.76,96.14,1665564094.9,17168230,2020-12-23,2020-12-23 23:59:59
