open,close,high,low,value,volume,begin,end
77.11,77.11,77.11,77.11,310753.30000000005,4030,2024-04-11 09:00:00,2024-04-11 09:59:59
77.11,76.82,77.11,76.76,54421586.59999998,707800,2024-04-11 10:00:00,2024-04-11 10:59:59
76.82,76.61,76.89,76.51,51582162.199999996,672920,2024-04-11 11:00:00,2024-04-11 11:59:59
76.61,76.49,76.67,76.27,54531882.79999998,713620,2024-04-11 12:00:00,2024-04-11 12:59:59
76.49,76.61,76.61,76.34,40825033.000000015,533870,2024-04-11 13:00:00,2024-04-11 13:59:59
76.61,76.51,76.73,76.35,46756935.20000002,610600,2024-04-11 14:00:00,2024-04-11 14:59:59
76.51,76.59,76.65,76.32,43417473.20000002,567580,2024-04-11 15:00:00,2024-04-11 15:59:59
76.59,76.72,76.78,76.55,23569593.9,307260,2024-04-11 16:00:00,2024-04-11 16:59:59
76.75,76.92,77.07,76.69,97055892.30000001,1262040,2024-04-11 17:00:00,2024-04-11 17:59:59
76.93,76.8,76.99,76.77,43913951.000000015,571700,2024-04-11 18:00:00,2024-04-11 18:59:59
76.8,76.78,76.87,76.61,36024309.499999985,469500,2024-04-11 19:00:00,2024-04-11 19:59:59
76.78,76.77,76.79,76.71,2567534.0999999996,33450,2024-04-11 20:00:00,2024-04-11 20:59:59
76.77,76.67,76.78,76.66,6641433.899999999,86590,2024-04-11 21:00:00,2024-04-11 21:59:59
76.66,76.79,76.81,76.65,4813707.100000001,62720,2024-04-11 22:00:00,2024-04-11 22:59:59
76.79,76.75,76.8,76.74,5396580.499999998,70300,2024-04-11 23:00:00,2024-04-11 23:59:59
76.9,76.9,76.9,76.9,1138120.0,14800,2024-04-12 09:00:00,2024-04-12 09:59:59
76.85,77.0,77.44,76.65,256051132.89999992,3318420,2024-04-12 10:00:00,2024-04-12 10:59:59
77.0,76.97,77.0,76.78,118796640.8,1543840,2024-04-12 11:00:00,2024-04-12 11:59:59
76.99,77.12,77.23,76.97,73569459.8,954000,2024-04-12 12:00:00,2024-04-12 12:59:59
77.11,77.19,77.28,76.88,58400565.09999999,757500,2024-04-12 13:00:00,2024-04-12 13:59:59
77.18,77.14,77.2,77.06,26704731.299999997,346160,2024-04-12 14:00:00,2024-04-12 14:59:59
77.15,77.12,77.2,77.01,33714547.400000006,437240,2024-04-12 15:00:00,2024-04-12 15:59:59
77.12,77.34,77.44,77.09,65383782.0,845890,2024-04-12 16:00:00,2024-04-12 16:59:59
77.36,77.22,77.4,77.07,99337141.9,1287260,2024-04-12 17:00:00,2024-04-12 17:59:59
77.23,77.08,77.28,76.81,110234108.39999999,1431270,2024-04-12 18:00:00,2024-04-12 18:59:59
77.0,76.89,77.06,76.71,42996612.4,559290,2024-04-12 19:00:00,2024-04-12 19:59:59
76.89,76.63,76.96,76.52,48713337.40000002,634730,2024-04-12 20:00:00,2024-04-12 20:59:59
76.63,76.76,76.94,76.55,31892376.799999993,415510,2024-04-12 21:00:00,2024-04-12 21:59:59
76.79,76.72,76.79,76.58,25784757.0,336420,2024-04-12 22:00:00,2024-04-12 22:59:59
76.73,76.9,76.98,76.62,41682459.1,542240,2024-04-12 23:00:00,2024-04-12 23:59:59
76.88,76.88,76.88,76.88,953312.0000000007,12400,2024-04-15 09:00:00,2024-04-15 09:59:59
76.87,76.79,76.98,76.57,88787155.89999998,1155300,2024-04-15 10:00:00,2024-04-15 10:59:59
76.78,76.88,76.9,76.6,59978833.9,781490,2024-04-15 11:00:00,2024-04-15 11:59:59
76.87,77.12,77.15,76.87,83831539.4,1087740,2024-04-15 12:00:00,2024-04-15 12:59:59
77.13,76.93,77.13,76.8,41480597.89999998,539090,2024-04-15 13:00:00,2024-04-15 13:59:59
76.92,76.87,76.93,76.86,33944489.9,441300,2024-04-15 14:00:00,2024-04-15 14:59:59
76.88,77.04,77.14,76.85,53166513.899999976,690610,2024-04-15 15:00:00,2024-04-15 15:59:59
77.05,76.98,77.05,76.89,38697236.7,502780,2024-04-15 16:00:00,2024-04-15 16:59:59
76.98,76.89,77.05,76.82,42244433.10000001,549170,2024-04-15 17:00:00,2024-04-15 17:59:59
76.89,76.84,76.99,76.84,13931730.199999997,181130,2024-04-15 18:00:00,2024-04-15 18:59:59
76.65,77.01,77.02,76.65,26898478.200000003,349680,2024-04-15 19:00:00,2024-04-15 19:59:59
77.0,77.1,77.1,76.93,26367249.500000004,342280,2024-04-15 20:00:00,2024-04-15 20:59:59
77.1,77.11,77.19,77.06,26421118.099999994,342640,2024-04-15 21:00:00,2024-04-15 21:59:59
77.13,77.01,77.2,77.01,31228801.0,404840,2024-04-15 22:00:00,2024-04-15 22:59:15
77.05,76.75,77.15,76.75,24113614.7,313480,2024-04-15 23:00:00,2024-04-15 23:59:55
76.68,76.68,76.68,76.68,1282856.4000000008,16730,2024-04-16 09:00:00,2024-04-16 09:59:59
76.7,76.35,76.88,76.0,188585335.60000002,2470590,2024-04-16 10:00:00,2024-04-16 10:59:59
76.35,76.44,76.48,76.32,58564353.099999994,766520,2024-04-16 11:00:00,2024-04-16 11:59:59
76.44,76.79,77.1,75.68,991319924.2000003,12994650,2024-04-16 12:00:00,2024-04-16 12:59:59
76.78,76.34,76.82,76.33,106969669.80000003,1397450,2024-04-16 13:00:00,2024-04-16 13:59:59
76.34,76.19,76.47,76.1,113204320.1,1485140,2024-04-16 14:00:00,2024-04-16 14:59:59
76.18,76.12,76.19,75.97,107559623.2,1413910,2024-04-16 15:00:00,2024-04-16 15:59:59
76.12,76.57,76.62,76.09,93791531.90000002,1228410,2024-04-16 16:00:00,2024-04-16 16:59:59
76.57,76.4,76.6,76.34,48127613.80000002,629270,2024-04-16 17:00:00,2024-04-16 17:59:59
76.42,76.8,76.8,76.35,63281761.3,825230,2024-04-16 18:00:00,2024-04-16 18:59:59
76.71,76.72,76.78,76.51,49705884.49999999,648570,2024-04-16 19:00:00,2024-04-16 19:59:59
76.72,76.49,76.75,76.48,13507876.899999999,176290,2024-04-16 20:00:00,2024-04-16 20:59:59
76.48,76.4,76.55,76.37,21860269.2,286010,2024-04-16 21:00:00,2024-04-16 21:59:59
76.45,76.51,76.57,76.36,8670677.8,113410,2024-04-16 22:00:00,2024-04-16 22:59:59
76.56,76.39,76.58,75.75,48249159.19999998,633230,2024-04-16 23:00:00,2024-04-16 23:59:54
76.4,76.4,76.4,76.4,311712.0,4080,2024-04-17 09:00:00,2024-04-17 09:59:59
76.4,76.24,76.74,76.08,130132680.60000001,1703210,2024-04-17 10:00:00,2024-04-17 10:59:59
76.28,76.01,76.28,75.93,89145077.79999998,1172100,2024-04-17 11:00:00,2024-04-17 11:59:59
76.02,76.0,76.07,75.9,66842602.20000002,879730,2024-04-17 12:00:00,2024-04-17 12:59:59
75.99,76.15,76.19,75.93,38080803.1,500960,2024-04-17 13:00:00,2024-04-17 13:59:59
76.15,75.96,76.16,75.96,52536370.09999999,691170,2024-04-17 14:00:00,2024-04-17 14:59:59
75.97,76.11,76.11,75.92,62539513.999999985,823000,2024-04-17 15:00:00,2024-04-17 15:59:59
76.1,76.19,76.19,76.1,30522006.7,401000,2024-04-17 16:00:00,2024-04-17 16:59:59
76.17,76.17,76.3,76.1,22433730.89999999,294360,2024-04-17 17:00:00,2024-04-17 17:59:59
76.17,76.09,76.19,76.09,23989693.599999998,315150,2024-04-17 18:00:00,2024-04-17 18:59:59
76.24,76.01,76.24,75.83,15701353.800000003,206590,2024-04-17 19:00:00,2024-04-17 19:59:59
76.01,75.94,76.01,75.92,12970202.600000003,170770,2024-04-17 20:00:00,2024-04-17 20:59:59
75.94,75.95,75.99,75.92,7790530.200000002,102560,2024-04-17 21:00:00,2024-04-17 21:59:59
75.96,75.92,75.97,75.87,22786876.800000004,300160,2024-04-17 22:00:00,2024-04-17 22:59:59
75.92,75.87,76.08,75.87,9179894.399999999,120870,2024-04-17 23:00:00,2024-04-17 23:59:59
75.99,75.99,75.99,75.99,2497031.4,32860,2024-04-18 09:00:00,2024-04-18 09:59:59
75.93,75.86,76.21,75.5,170487290.29999992,2250020,2024-04-18 10:00:00,2024-04-18 10:59:59
75.86,75.63,75.88,75.53,55282349.80000001,730610,2024-04-18 11:00:00,2024-04-18 11:59:59
75.62,75.35,75.66,75.25,94187581.30000004,1247830,2024-04-18 12:00:00,2024-04-18 12:59:59
75.35,75.32,75.38,75.2,82201805.79999995,1091850,2024-04-18 13:00:00,2024-04-18 13:59:59
75.33,75.3,75.35,75.24,29545657.1,392450,2024-04-18 14:00:00,2024-04-18 14:59:59
75.28,75.45,75.57,75.26,46641355.000000015,618490,2024-04-18 15:00:00,2024-04-18 15:59:59
75.45,75.38,75.53,75.34,16674778.399999995,221100,2024-04-18 16:00:00,2024-04-18 16:59:59
75.39,75.51,75.56,75.34,42333033.8,561360,2024-04-18 17:00:00,2024-04-18 17:59:59
75.5,75.55,75.64,75.5,31953844.9,422830,2024-04-18 18:00:00,2024-04-18 18:59:59
75.55,75.58,75.58,75.44,8548604.900000002,113220,2024-04-18 19:00:00,2024-04-18 19:59:59
75.57,75.6,75.6,75.51,10917772.399999999,144460,2024-04-18 20:00:00,2024-04-18 20:59:59
75.6,75.59,75.6,75.55,6555241.999999999,86730,2024-04-18 21:00:00,2024-04-18 21:59:59
75.58,75.56,75.6,75.55,4750362.500000001,62860,2024-04-18 22:00:00,2024-04-18 22:59:59
75.58,75.5,75.6,75.24,28626306.5,379680,2024-04-18 23:00:00,2024-04-18 23:59:54
75.63,75.63,75.63,75.63,363023.99999999994,4800,2024-04-19 09:00:00,2024-04-19 09:59:59
75.63,75.72,75.84,75.41,95257163.3,1258880,2024-04-19 10:00:00,2024-04-19 10:59:59
75.72,75.74,75.81,75.65,53037524.800000004,700660,2024-04-19 11:00:00,2024-04-19 11:59:59
75.74,75.66,75.81,75.65,26582326.700000003,351040,2024-04-19 12:00:00,2024-04-19 12:59:59
75.65,75.84,75.84,75.62,18562381.500000004,245100,2024-04-19 13:00:00,2024-04-19 13:59:59
75.83,75.85,75.85,75.81,41864348.70000001,551990,2024-04-19 14:00:00,2024-04-19 14:59:59
75.85,75.88,75.92,75.82,30020861.900000002,395620,2024-04-19 15:00:00,2024-04-19 15:59:59
75.88,76.0,76.03,75.85,43069508.19999998,566940,2024-04-19 16:00:00,2024-04-19 16:59:59
76.0,76.16,76.18,75.98,31522965.500000007,414210,2024-04-19 17:00:00,2024-04-19 17:59:59
76.17,76.44,76.64,76.15,77160592.6,1010370,2024-04-19 18:00:00,2024-04-19 18:59:59
76.52,76.46,76.54,76.26,31012429.700000007,405770,2024-04-19 19:00:00,2024-04-19 19:59:59
76.47,76.29,76.48,76.17,34557999.900000006,452980,2024-04-19 20:00:00,2024-04-19 20:59:59
76.29,76.27,76.31,76.12,15389810.000000002,201960,2024-04-19 21:00:00,2024-04-19 21:59:59
76.25,76.33,76.33,76.24,11157473.700000001,146260,2024-04-19 22:00:00,2024-04-19 22:59:59
76.33,76.2,76.43,76.16,23992466.599999998,314550,2024-04-19 23:00:00,2024-04-19 23:59:53
76.28,76.28,76.28,76.28,926801.9999999998,12150,2024-04-22 09:00:00,2024-04-22 09:59:59
76.29,76.98,76.99,76.15,165889691.29999995,2165480,2024-04-22 10:00:00,2024-04-22 10:59:59
76.98,77.18,77.28,76.8,251602155.49999994,3264490,2024-04-22 11:00:00,2024-04-22 11:59:59
77.18,77.3,77.3,76.97,99747847.7,1292390,2024-04-22 12:00:00,2024-04-22 12:59:59
77.3,77.2,77.33,77.15,62665347.6,811050,2024-04-22 13:00:00,2024-04-22 13:59:59
77.21,77.12,77.35,77.09,63247101.59999999,819130,2024-04-22 14:00:00,2024-04-22 14:59:59
77.14,77.12,77.21,77.03,47729527.19999999,619110,2024-04-22 15:00:00,2024-04-22 15:59:59
77.12,77.22,77.29,76.97,47215386.6,612300,2024-04-22 16:00:00,2024-04-22 16:59:59
77.22,77.1,77.3,77.05,37879099.2,490790,2024-04-22 17:00:00,2024-04-22 17:59:59
77.1,77.21,77.24,77.01,31056338.49999999,402670,2024-04-22 18:00:00,2024-04-22 18:59:59
77.2,77.18,77.21,77.03,13874224.500000004,179870,2024-04-22 19:00:00,2024-04-22 19:59:59
77.18,77.12,77.2,77.1,12502140.3,162050,2024-04-22 20:00:00,2024-04-22 20:59:59
77.12,77.16,77.19,77.05,6042834.2,78330,2024-04-22 21:00:00,2024-04-22 21:59:59
77.17,77.29,77.3,77.13,27412988.90000002,354900,2024-04-22 22:00:00,2024-04-22 22:59:59
77.29,77.32,77.38,77.25,15911964.200000001,205800,2024-04-22 23:00:00,2024-04-22 23:59:54
77.42,77.42,77.42,77.42,1302204.4,16820,2024-04-23 09:00:00,2024-04-23 09:59:59
77.43,77.5,77.96,77.42,142294459.60000002,1832030,2024-04-23 10:00:00,2024-04-23 10:59:59
77.5,77.8,77.9,77.5,76773065.0,987460,2024-04-23 11:00:00,2024-04-23 11:59:59
77.8,77.79,77.89,77.57,78470452.80000003,1009240,2024-04-23 12:00:00,2024-04-23 12:59:59
77.8,77.56,77.81,77.38,55279661.499999985,712920,2024-04-23 13:00:00,2024-04-23 13:59:59
