open,close,high,low,value,volume,begin,end
41.77,41.76,41.89,41.48,7738104.0,185580,2020-10-12,2020-10-12 23:59:59
41.6,41.9,43.3,41.51,38624506.3,912340,2020-10-13,2020-10-13 23:59:59
42.0,42.16,42.48,41.77,10452620.6,247670,2020-10-14,2020-10-14 23:59:59
42.4,41.98,42.4,41.82,7699778.8,183180,2020-10-15,2020-10-15 23:59:59
42.2,42.0,42.2,41.75,8221837.1,196220,2020-10-16,2020-10-16 23:59:59
42.14,42.03,42.8,41.67,7482770.0,177990,2020-10-19,2020-10-19 23:59:59
41.78,41.9,42.61,41.52,12682820.6,302970,2020-10-20,2020-10-20 23:59:59
42.0,43.87,44.4,41.81,56051575.4,1293410,2020-10-21,2020-10-21 23:59:59
43.9,44.29,45.2,43.9,106327882.4,2390520,2020-10-22,2020-10-22 23:59:59
44.47,45.06,45.65,44.37,77179149.3,1709700,2020-10-23,2020-10-23 23:59:59
45.0,45.02,45.85,44.59,40517515.4,894890,2020-10-26,2020-10-26 23:59:59
45.02,44.11,45.3,43.93,37066588.8,836730,2020-10-27,2020-10-27 23:59:59
44.0,43.02,44.41,42.93,48879682.3,1126070,2020-10-28,2020-10-28 23:59:59
43.1,43.36,43.85,42.82,19488490.3,452090,2020-10-29,2020-10-29 23:59:59
43.26,43.46,44.17,42.93,20928078.0,479920,2020-10-30,2020-10-30 23:59:59
43.0,43.6,44.14,43.0,18373315.1,419920,2020-11-02,2020-11-02 23:59:59
43.79,44.19,44.42,43.7,16254785.0,368230,2020-11-03,2020-11-03 23:59:59
44.3,44.52,44.75,44.1,32881301.8,739020,2020-11-05,2020-11-05 23:59:59
44.46,44.57,45.25,44.0,28944246.9,650450,2020-11-06,2020-11-06 23:59:59
44.65,46.38,47.8,44.65,67207165.7,1472310,2020-11-09,2020-11-09 23:59:59
46.36,46.8,47.06,45.55,56021055.3,1200680,2020-11-10,2020-11-10 23:59:59
46.92,47.93,48.07,46.82,79450941.0,1665730,2020-11-11,2020-11-11 23:59:59
48.0,49.79,49.9,47.7,93033772.8,1890310,2020-11-12,2020-11-12 23:59:59
49.4,48.9,49.84,48.5,76038698.9,1554080,2020-11-13,2020-11-13 23:59:59
49.2,49.55,50.73,49.01,75844053.9,1531960,2020-11-16,2020-11-16 23:59:59
49.55,49.34,49.85,49.19,39464054.0,798030,2020-11-17,2020-11-17 23:59:59
49.6,50.3,50.5,49.01,66784419.1,1333680,2020-11-18,2020-11-18 23:59:59
50.68,50.58,51.0,50.29,59564220.3,1175680,2020-11-19,2020-11-19 23:59:59
50.97,51.16,51.3,50.43,43189602.8,847420,2020-11-20,2020-11-20 23:59:59
51.06,52.72,53.11,51.06,100746664.6,1918330,2020-11-23,2020-11-23 23:59:59
52.99,53.0,53.2,52.22,57641869.3,1091260,2020-11-24,2020-11-24 23:59:59
53.0,52.92,53.1,52.7,44053687.8,831940,2020-11-25,2020-11-25 23:59:59
