open,close,high,low,value,volume,begin,end
313.2,313.2,313.2,313.2,241164.0,770,2024-04-11 09:00:00,2024-04-11 09:59:59
313.2,314.55,314.56,312.67,42406009.5,135110,2024-04-11 10:00:00,2024-04-11 10:59:59
314.55,314.86,314.99,314.04,25301661.999999996,80420,2024-04-11 11:00:00,2024-04-11 11:59:59
314.84,314.42,314.98,313.75,27894950.19999999,88720,2024-04-11 12:00:00,2024-04-11 12:59:59
314.42,314.13,314.99,313.83,19762454.300000012,62790,2024-04-11 13:00:00,2024-04-11 13:59:59
314.17,314.88,315.0,313.98,25791080.0,81900,2024-04-11 14:00:00,2024-04-11 14:59:59
314.88,314.88,315.0,314.43,16199150.700000001,51450,2024-04-11 15:00:00,2024-04-11 15:59:59
314.96,317.41,317.81,314.81,77323443.0,244420,2024-04-11 16:00:00,2024-04-11 16:59:59
317.61,319.93,320.8,317.3,247138415.00000003,773820,2024-04-11 17:00:00,2024-04-11 17:59:59
320.03,320.9,321.0,319.99,77552890.39999999,241870,2024-04-11 18:00:00,2024-04-11 18:59:59
320.92,320.68,321.75,320.33,51402861.79999998,160140,2024-04-11 19:00:00,2024-04-11 19:59:59
320.68,322.16,322.39,320.33,78069167.8,242800,2024-04-11 20:00:00,2024-04-11 20:59:59
321.81,321.39,322.16,321.0,15806268.300000003,49170,2024-04-11 21:00:00,2024-04-11 21:59:59
321.39,321.17,321.64,321.02,24140423.099999998,75120,2024-04-11 22:00:00,2024-04-11 22:59:59
321.17,321.12,321.5,320.33,18378958.099999994,57260,2024-04-11 23:00:00,2024-04-11 23:59:59
321.12,321.12,321.12,321.12,1014739.2,3160,2024-04-12 09:00:00,2024-04-12 09:59:59
321.1,321.04,325.0,318.15,265334537.79999995,823040,2024-04-12 10:00:00,2024-04-12 10:59:59
321.04,319.84,321.49,319.43,32516721.99999999,101500,2024-04-12 11:00:00,2024-04-12 11:59:59
319.78,321.02,321.2,319.75,13088803.599999996,40810,2024-04-12 12:00:00,2024-04-12 12:59:59
321.02,322.97,323.48,320.3,35342412.80000001,109640,2024-04-12 13:00:00,2024-04-12 13:59:59
322.83,323.12,323.77,321.66,30242873.100000005,93590,2024-04-12 14:00:00,2024-04-12 14:59:59
322.98,322.41,323.14,321.2,35396868.400000006,109790,2024-04-12 15:00:00,2024-04-12 15:59:59
322.47,323.0,323.0,322.14,13734185.600000001,42560,2024-04-12 16:00:00,2024-04-12 16:59:59
323.0,323.99,324.4,321.7,59671271.099999994,184700,2024-04-12 17:00:00,2024-04-12 17:59:59
323.85,322.36,324.0,322.36,17741056.8,54880,2024-04-12 18:00:00,2024-04-12 18:59:59
322.64,325.77,325.93,322.64,107266249.00000001,329920,2024-04-12 19:00:00,2024-04-12 19:59:59
325.76,324.74,325.76,324.53,28125404.7,86510,2024-04-12 20:00:00,2024-04-12 20:59:59
324.85,324.85,325.5,324.61,30289190.69999999,93180,2024-04-12 21:00:00,2024-04-12 21:59:59
324.88,325.17,325.33,324.75,20924209.699999996,64370,2024-04-12 22:00:00,2024-04-12 22:59:59
325.14,325.28,325.3,324.81,20293417.3,62410,2024-04-12 23:00:00,2024-04-12 23:59:59
325.3,325.3,325.3,325.3,1938788.0,5960,2024-04-15 09:00:00,2024-04-15 09:59:59
325.49,329.21,330.25,325.31,250354317.60000002,762350,2024-04-15 10:00:00,2024-04-15 10:59:59
329.11,335.68,335.8,328.89,404056423.40000004,1211730,2024-04-15 11:00:00,2024-04-15 11:59:59
335.56,335.0,335.56,333.1,94277648.09999998,282120,2024-04-15 12:00:00,2024-04-15 12:59:59
335.0,335.35,338.2,334.14,268637094.9000001,798180,2024-04-15 13:00:00,2024-04-15 13:59:59
335.3,335.81,336.95,334.78,96980633.2,288730,2024-04-15 14:00:00,2024-04-15 14:59:59
335.9,336.35,337.79,335.86,61101773.89999999,181260,2024-04-15 15:00:00,2024-04-15 15:59:59
336.5,336.1,336.65,335.92,41457865.900000006,123270,2024-04-15 16:00:00,2024-04-15 16:59:59
336.27,337.39,337.74,336.01,54853766.40000003,162850,2024-04-15 17:00:00,2024-04-15 17:59:59
