open,close,high,low,value,volume,begin,end
2690.0,2803.0,3000.0,2670.0,18605876495.5,6661057,2025-01-09,2025-01-09 23:59:59
2800.0,2945.0,2975.0,2783.0,9928853671.0,3454995,2025-01-10,2025-01-10 23:59:59
2962.0,2905.0,2999.5,2882.0,6277932539.5,2120539,2025-01-13,2025-01-13 23:59:59
2920.0,2929.0,2933.0,2884.0,2655837357.5,911219,2025-01-14,2025-01-14 23:59:59
2936.5,2904.5,2949.5,2891.0,2024350049.5,694614,2025-01-15,2025-01-15 23:59:59
2905.0,2910.0,2948.0,2883.0,3745089026.5,1282730,2025-01-16,2025-01-16 23:59:59
2905.0,2898.0,2911.5,2858.5,3359704639.0,1161953,2025-01-17,2025-01-17 23:59:59
2900.5,2866.0,2914.5,2866.0,2564986489.0,885908,2025-01-20,2025-01-20 23:59:59
2885.0,2930.0,2935.0,2837.0,4062827824.5,1407145,2025-01-21,2025-01-21 23:59:59
2933.0,2914.0,2947.0,2908.0,2517489394.0,860496,2025-01-22,2025-01-22 23:59:59
2913.5,2900.0,2914.0,2886.0,1820780497.0,626933,2025-01-23,2025-01-23 23:59:59
2912.0,2909.5,2919.0,2897.0,2286813252.0,786697,2025-01-24,2025-01-24 23:59:59
2911.0,2919.5,2950.0,2892.5,2980611594.5,1017938,2025-01-27,2025-01-27 23:59:59
2921.0,3130.5,3145.0,2911.0,10945882636.5,3609641,2025-01-28,2025-01-28 23:59:59
3132.0,3169.0,3190.0,3085.0,6502730682.0,2062314,2025-01-29,2025-01-29 23:59:59
3169.0,3259.0,3298.0,3166.0,9361568823.0,2894288,2025-01-30,2025-01-30 23:59:59
3261.0,3232.0,3294.0,3192.5,5050480704.0,1560315,2025-01-31,2025-01-31 23:59:59
3232.5,3240.0,3274.0,3172.5,3294016575.5,1014890,2025-02-03,2025-02-03 23:59:59
3241.0,3268.5,3291.5,3226.5,4163927380.0,1275542,2025-02-04,2025-02-04 23:59:59
3267.0,3276.5,3305.0,3241.5,4168599512.0,1275707,2025-02-05,2025-02-05 23:59:59
3283.0,3264.5,3295.0,3234.5,3657438042.5,1121689,2025-02-06,2025-02-06 23:59:59
3268.0,3266.0,3276.5,3245.0,2000935109.0,613710,2025-02-07,2025-02-07 23:59:59
3266.5,3267.5,3357.0,3266.5,5729109629.5,1723277,2025-02-10,2025-02-10 23:59:59
3285.0,3318.5,3353.0,3275.0,3566014260.0,1076594,2025-02-11,2025-02-11 23:59:59
3323.0,3440.0,3450.0,3318.5,6784916837.5,2008114,2025-02-12,2025-02-12 23:59:59
3440.0,3419.0,3675.5,3364.0,9079829316.0,2621433,2025-02-13,2025-02-13 23:59:59
3419.5,3406.5,3493.5,3350.0,6425824603.5,1877552,2025-02-14,2025-02-14 23:59:59
3425.0,3470.0,3480.0,3415.0,4150524838.0,1201150,2025-02-17,2025-02-17 23:59:59
3470.0,3430.0,3470.0,3406.5,2791480012.0,811061,2025-02-18,2025-02-18 23:59:59
3438.0,3445.0,3466.0,3380.5,2227927815.5,648394,2025-02-19,2025-02-19 23:59:59
3450.0,3449.5,3489.5,3350.5,2235803126.0,647881,2025-02-20,2025-02-20 23:59:59
3448.0,3448.5,3470.0,3432.0,1153575286.5,334231,2025-02-21,2025-02-21 23:59:59
3448.5,3438.5,3468.5,3414.5,2657794550.5,772397,2025-02-24,2025-02-24 23:59:59
3440.0,3414.5,3460.0,3385.0,3221311088.0,939476,2025-02-25,2025-02-25 23:59:59
3414.5,3299.0,3437.5,3276.0,4757297288.0,1419337,2025-02-26,2025-02-26 23:59:59
3295.5,3222.5,3362.5,3202.0,4869844700.5,1495848,2025-02-27,2025-02-27 23:59:59
3220.0,3334.0,3349.5,3175.0,4476318403.0,1370411,2025-02-28,2025-02-28 23:59:59
3340.0,3333.5,3352.0,3325.5,84662397.0,25308,2025-03-01,2025-03-01 23:59:56
3336.0,3320.0,3349.0,3303.5,113030942.5,33952,2025-03-02,2025-03-02 23:59:59
3318.0,3257.0,3340.0,3191.0,3353363373.5,1034661,2025-03-03,2025-03-03 23:59:52
3260.0,3348.5,3389.0,3260.0,3722952402.0,1112001,2025-03-04,2025-03-04 23:59:56
3351.0,3322.5,3380.0,3300.0,3043633322.0,912139,2025-03-05,2025-03-05 23:59:55
3304.5,3337.5,3343.5,3277.5,1700725016.0,513723,2025-03-06,2025-03-06 23:59:51
3337.0,3393.0,3433.5,3322.5,4555280703.5,1348015,2025-03-07,2025-03-07 23:59:55
3393.5,3464.5,3495.0,3393.0,4304407104.0,1244368,2025-03-10,2025-03-10 23:59:56
3465.0,3547.5,3565.0,3457.0,5821265319.5,1651586,2025-03-11,2025-03-11 23:59:55
3550.0,3518.0,3565.0,3440.0,3833764860.0,1093014,2025-03-12,2025-03-12 23:59:55
3518.5,3513.0,3547.5,3425.0,5097213900.0,1465422,2025-03-13,2025-03-13 23:59:56
3511.0,3610.0,3615.5,3487.5,4214543179.5,1182982,2025-03-14,2025-03-14 23:59:55
3616.0,3630.5,3640.0,3610.0,197841234.0,54462,2025-03-15,2025-03-15 23:59:56
3605.0,3644.5,3645.0,3605.0,174365862.0,47953,2025-03-16,2025-03-16 23:59:56
3640.0,3648.0,3666.0,3592.0,6410208576.5,1766147,2025-03-17,2025-03-17 23:59:57
3648.5,3608.0,3663.0,3580.0,3546818445.5,977770,2025-03-18,2025-03-18 23:59:56
3618.0,3736.0,3744.0,3601.0,4675029564.5,1268630,2025-03-19,2025-03-19 23:59:55
3745.0,3694.0,3764.0,3654.0,4280610369.0,1154985,2025-03-20,2025-03-20 23:59:59
3695.0,3648.0,3719.0,3610.0,11676284008.5,3192225,2025-03-21,2025-03-21 23:59:55
3653.0,3589.5,3663.0,3570.0,5184458516.0,1438070,2025-03-24,2025-03-24 23:59:56
3590.0,3587.5,3609.0,3541.0,3639955888.0,1019240,2025-03-25,2025-03-25 23:59:55
3598.0,3487.5,3615.0,3472.0,4878834228.5,1383765,2025-03-26,2025-03-26 23:59:59
3488.0,3503.0,3546.0,3454.0,5939856687.5,1695045,2025-03-27,2025-03-27 23:59:56
3501.0,3508.0,3549.5,3475.5,4703036465.0,1340007,2025-03-28,2025-03-28 23:59:56
3520.0,3487.0,3524.5,3475.5,278387016.0,79743,2025-03-29,2025-03-29 23:59:56
3487.0,3426.0,3505.0,3422.5,517625496.5,149830,2025-03-30,2025-03-30 23:59:56
3443.5,3507.5,3524.0,3415.0,3719266184.5,1067893,2025-03-31,2025-03-31 23:59:56
3507.5,3443.0,3535.0,3424.0,4528214543.0,1302258,2025-04-01,2025-04-01 23:59:55
3440.0,3418.0,3462.0,3390.5,3093368440.0,903705,2025-04-02,2025-04-02 23:59:55
3415.0,3350.0,3447.0,3300.0,4652114117.0,1386844,2025-04-03,2025-04-03 23:59:56
3364.0,3246.5,3375.0,3218.0,5044677006.5,1540020,2025-04-04,2025-04-04 23:59:57
3246.5,3284.5,3313.5,3181.0,798920662.0,246557,2025-04-05,2025-04-05 23:59:56
3287.0,3349.5,3356.5,3277.5,746340727.0,224148,2025-04-06,2025-04-06 23:59:57
3300.0,3227.0,3350.0,3190.0,6247421282.5,1931310,2025-04-07,2025-04-07 23:59:49
3231.5,3209.5,3285.5,3200.0,3450583372.0,1061580,2025-04-08,2025-04-08 23:59:51
3212.0,3294.5,3298.0,3090.0,5771277180.5,1807907,2025-04-09,2025-04-09 23:59:53
3299.5,3235.0,3303.0,3224.0,2245742554.5,689845,2025-04-10,2025-04-10 19:04:15
3242.0,3325.5,3331.5,3235.0,2485070575.5,755328,2025-04-11,2025-04-11 23:59:55
3335.0,3351.0,3355.0,3331.0,358462772.0,107102,2025-04-12,2025-04-12 23:59:56
3351.0,3375.5,3388.5,3344.0,428308073.5,127100,2025-04-13,2025-04-13 23:59:56
3380.0,3351.0,3389.0,3310.0,2519739138.5,751987,2025-04-14,2025-04-14 23:59:55
3351.0,3347.0,3377.0,3323.5,1081886815.5,323642,2025-04-15,2025-04-15 23:59:55
3351.0,3388.0,3414.5,3301.5,2471572759.5,733990,2025-04-16,2025-04-16 23:59:55
3390.5,3404.0,3414.5,3372.0,1951859020.5,575909,2025-04-17,2025-04-17 23:59:55
3397.0,3350.0,3400.0,3310.5,1946935612.0,581168,2025-04-18,2025-04-18 23:59:55
3373.0,3398.0,3408.0,3360.0,1579493074.5,466104,2025-04-21,2025-04-21 23:59:55
3398.0,3400.0,3420.0,3376.0,2300933339.5,676572,2025-04-22,2025-04-22 23:59:55
3400.5,3383.0,3418.0,3354.5,1660565007.5,490973,2025-04-23,2025-04-23 23:59:55
3384.5,3390.0,3439.5,3378.0,2580521187.5,756717,2025-04-24,2025-04-24 23:59:59
3399.0,3416.5,3424.5,3389.0,2056003814.0,603494,2025-04-25,2025-04-25 23:59:55
3424.0,3439.0,3452.0,3418.5,663299207.5,192827,2025-04-26,2025-04-26 23:59:56
3440.0,3445.0,3455.0,3440.0,180285557.0,52318,2025-04-27,2025-04-27 23:59:57
3445.0,3407.0,3462.0,3392.5,2447363745.5,714572,2025-04-28,2025-04-28 23:59:57
3407.0,3357.0,3419.0,3317.0,1944423640.0,576775,2025-04-29,2025-04-29 23:59:56
3357.0,3341.0,3358.0,3309.0,2272766913.5,682500,2025-04-30,2025-04-30 23:59:56
3341.0,3283.5,3348.5,3265.5,1018925900.0,309149,2025-05-02,2025-05-02 23:59:55
3283.5,3300.0,3306.5,3281.0,143847002.0,43620,2025-05-03,2025-05-03 23:59:57
3300.0,3315.0,3368.0,3299.0,263139932.5,79137,2025-05-04,2025-05-04 23:59:57
3321.5,3237.0,3334.5,3200.0,2764933356.0,848443,2025-05-05,2025-05-05 23:59:56
3239.5,3238.5,3266.5,3201.5,1863359818.5,575476,2025-05-06,2025-05-06 23:59:59
3239.0,3219.5,3260.0,3205.0,1651661131.0,511993,2025-05-07,2025-05-07 23:59:54
3219.0,3223.5,3232.5,3213.5,810192868.5,251330,2025-05-08,2025-05-08 23:59:54
3231.0,3224.5,3235.5,3216.0,137462042.0,42630,2025-05-10,2025-05-10 23:59:57
3236.0,3253.5,3262.0,3236.0,261202198.5,80348,2025-05-11,2025-05-11 23:59:56
3270.0,3290.5,3304.5,3257.0,1578463594.0,481177,2025-05-12,2025-05-12 23:59:51
3290.5,3282.0,3300.0,3262.0,997191856.5,304151,2025-05-13,2025-05-13 23:59:55
3283.0,3286.0,3324.0,3266.0,1475912265.0,447407,2025-05-14,2025-05-14 23:59:55
3280.0,3286.5,3308.5,3245.0,1244666858.5,379784,2025-05-15,2025-05-15 23:59:55
3287.0,3278.0,3303.0,3230.0,1492457705.0,456043,2025-05-16,2025-05-16 23:59:55
3280.0,3301.0,3308.5,3278.5,204048238.0,61935,2025-05-17,2025-05-17 23:59:57
3310.5,3324.0,3338.0,3310.5,193257715.0,58172,2025-05-18,2025-05-18 23:59:57
3320.0,3307.0,3330.0,3292.0,976941477.5,294984,2025-05-19,2025-05-19 23:59:55
3323.5,3285.5,3325.0,3272.0,1304764237.5,397130,2025-05-20,2025-05-20 23:59:59
3289.0,3249.5,3292.5,3243.5,1173698971.0,359889,2025-05-21,2025-05-21 23:59:55
3250.0,3210.0,3258.5,3200.0,1596465284.0,496338,2025-05-22,2025-05-22 23:59:57
3210.0,3233.5,3270.0,3196.5,1018032978.5,314986,2025-05-23,2025-05-23 23:59:55
3233.5,3168.0,3234.0,3160.0,1737922611.5,545384,2025-05-26,2025-05-26 23:59:56
3168.0,3236.5,3239.5,3102.5,1876447860.0,590556,2025-05-27,2025-05-27 23:59:54
3228.5,3274.0,3277.5,3228.5,1353112598.5,414561,2025-05-28,2025-05-28 23:59:55
3275.0,3213.5,3280.0,3212.5,1169568424.5,360189,2025-05-29,2025-05-29 23:59:55
3219.5,3251.5,3265.0,3206.5,969170320.0,298853,2025-05-30,2025-05-30 23:59:56
3257.0,3261.0,3266.5,3254.0,81343688.0,24926,2025-05-31,2025-05-31 23:59:56
3261.0,3225.0,3268.0,3200.0,317025269.5,98272,2025-06-01,2025-06-01 23:59:57
3225.0,3266.5,3279.0,3200.5,1336271276.0,412611,2025-06-02,2025-06-02 23:59:56
3266.0,3325.0,3340.0,3266.0,1790931738.0,540210,2025-06-03,2025-06-03 23:59:55
3336.0,3369.0,3408.0,3311.0,3030166964.0,901006,2025-06-04,2025-06-04 23:59:56
3369.0,3384.5,3412.0,3369.0,1427221294.0,421032,2025-06-05,2025-06-05 23:59:54
3390.0,3362.0,3410.0,3327.5,2430104705.0,719535,2025-06-06,2025-06-06 23:59:58
3370.0,3379.0,3389.0,3364.0,101483668.5,30040,2025-06-07,2025-06-07 23:59:57
3379.0,3373.5,3385.0,3366.0,90801478.5,26920,2025-06-08,2025-06-08 23:59:57
3375.0,3317.5,3389.5,3272.5,2288466085.0,690036,2025-06-09,2025-06-09 23:59:56
3331.5,3299.5,3331.5,3286.0,1077788625.0,326438,2025-06-10,2025-06-10 23:59:55
3312.5,3278.0,3316.0,3245.5,1494380104.0,455800,2025-06-11,2025-06-11 23:59:59
3278.5,3287.0,3298.5,3275.0,458996716.0,139678,2025-06-13,2025-06-13 23:59:56
3288.0,3293.0,3298.5,3282.0,92029058.0,27944,2025-06-14,2025-06-14 23:59:56
3300.0,3299.0,3308.5,3286.0,133843640.5,40585,2025-06-15,2025-06-15 23:59:57
3291.5,3287.5,3300.0,3271.5,958722577.0,291906,2025-06-16,2025-06-16 23:59:51
3287.0,3292.0,3303.0,3272.0,1060657981.0,321863,2025-06-17,2025-06-17 23:59:55
3294.0,3335.0,3369.0,3292.0,1756688174.0,526035,2025-06-18,2025-06-18 23:59:55
3335.5,3373.5,3386.0,3335.5,1523686194.5,452607,2025-06-19,2025-06-19 23:59:59
3376.0,3381.0,3399.0,3355.0,1632881305.0,483473,2025-06-20,2025-06-20 23:59:54
3385.0,3463.5,3469.5,3385.0,3482436633.0,1014902,2025-06-23,2025-06-23 23:59:55
3464.0,3494.5,3517.0,3439.0,2778469530.0,800772,2025-06-24,2025-06-24 23:59:59
3495.0,3484.5,3510.0,3462.0,2297410239.5,659070,2025-06-25,2025-06-25 23:59:56
3490.0,3476.0,3495.0,3454.0,1481913218.5,426521,2025-06-26,2025-06-26 23:59:54
3481.0,3494.0,3497.5,3468.5,1764595903.5,506244,2025-06-27,2025-06-27 23:59:59
3497.0,3499.5,3504.0,3495.0,172032816.0,49158,2025-06-28,2025-06-28 23:59:57
3499.5,3502.5,3505.0,3494.0,198804572.5,56773,2025-06-29,2025-06-29 23:59:59
3498.0,3520.0,3524.5,3472.5,3133660476.0,895244,2025-06-30,2025-06-30 23:59:56
3528.0,3502.0,3530.0,3490.0,3239721402.5,924811,2025-07-01,2025-07-01 23:59:54
3502.0,3460.0,3514.5,3414.0,2518628190.0,726782,2025-07-02,2025-07-02 23:59:55
3460.0,3431.0,3478.0,3417.0,2748582262.5,795965,2025-07-03,2025-07-03 23:59:55
3430.0,3369.0,3430.0,3357.5,2347420527.5,693331,2025-07-04,2025-07-04 23:59:55
3375.0,3375.5,3378.0,3370.0,166092774.5,49217,2025-07-05,2025-07-05 23:59:56
3381.0,3397.5,3408.0,3372.5,272803208.5,80529,2025-07-06,2025-07-06 23:59:56
3400.0,3377.5,3419.0,3366.5,3227041595.5,952940,2025-07-07,2025-07-07 23:59:55
3364.0,3446.5,3450.0,3325.0,7011465144.5,2057517,2025-07-08,2025-07-08 23:59:55
3084.5,2870.5,3084.5,2804.0,10346989141.5,3561015,2025-07-09,2025-07-09 23:59:56
2871.0,2885.5,2967.0,2850.0,3867328855.5,1331231,2025-07-10,2025-07-10 23:59:56
2896.5,2816.0,2906.5,2805.5,1996023775.5,700503,2025-07-11,2025-07-11 23:59:56
2819.0,2820.0,2846.5,2815.0,142985329.0,50572,2025-07-12,2025-07-12 23:59:56
2825.5,2811.0,2830.0,2789.5,272421532.5,97133,2025-07-13,2025-07-13 23:59:57
2800.0,2860.0,2867.0,2755.0,2561659462.5,912764,2025-07-14,2025-07-14 23:59:57
2865.0,2909.5,2922.0,2847.5,2463363614.0,848244,2025-07-15,2025-07-15 23:59:56
2910.5,2922.0,2940.0,2905.5,2078078445.0,709803,2025-07-16,2025-07-16 23:59:55
2931.0,2932.0,2984.5,2925.5,2266119988.5,767271,2025-07-17,2025-07-17 23:59:56
2934.0,2994.0,3000.0,2934.0,2349159999.5,787950,2025-07-18,2025-07-18 23:59:56
3029.0,3069.0,3075.0,3025.5,557746882.5,182340,2025-07-19,2025-07-19 23:59:57
3077.5,3079.5,3083.0,3069.0,315931045.0,102661,2025-07-20,2025-07-20 23:59:57
3070.0,3075.0,3130.0,3031.5,3012757430.5,982303,2025-07-21,2025-07-21 23:59:57
3074.5,3053.5,3077.5,3032.0,1489139661.5,487512,2025-07-22,2025-07-22 23:59:59
3053.5,3049.5,3074.0,3021.0,1873322368.0,613700,2025-07-23,2025-07-23 23:59:59
3049.0,3029.0,3060.0,3020.0,1023223377.0,337280,2025-07-24,2025-07-24 23:59:55
3025.0,3008.0,3065.0,2965.5,2506410168.5,827555,2025-07-25,2025-07-25 23:59:57
3021.0,3020.0,3050.0,3010.5,168413441.5,55688,2025-07-26,2025-07-26 23:59:57
3020.0,3014.5,3021.0,3011.0,59055960.5,19585,2025-07-27,2025-07-27 23:59:57
3012.0,2925.0,3022.0,2905.5,2149231476.5,726452,2025-07-28,2025-07-28 23:59:58
2925.0,2935.0,2980.0,2920.0,1466501383.5,497613,2025-07-29,2025-07-29 23:59:55
2935.5,2909.0,2965.0,2900.5,1202657101.5,411560,2025-07-30,2025-07-30 23:59:59
2914.5,2883.5,2932.0,2873.0,1661883264.0,574467,2025-07-31,2025-07-31 23:59:55
2885.0,2876.0,2909.0,2856.0,1348747101.0,467385,2025-08-01,2025-08-01 23:59:56
2880.0,2961.0,2965.0,2875.0,2293662451.5,781293,2025-08-04,2025-08-04 23:59:56
2964.5,2969.0,2978.5,2938.5,1693081608.5,573320,2025-08-05,2025-08-05 23:59:54
2970.0,3016.0,3041.5,2940.0,2476732684.0,830395,2025-08-06,2025-08-06 23:59:51
3016.0,3008.5,3056.0,2982.5,3875539237.5,1282458,2025-08-07,2025-08-07 23:59:56
3015.5,3013.0,3040.0,2990.0,2065139357.0,685345,2025-08-08,2025-08-08 23:59:59
3027.5,3066.5,3077.0,3022.5,3052743490.5,997894,2025-08-11,2025-08-11 23:59:57
3070.0,3052.5,3076.5,3037.0,1903498037.5,624228,2025-08-12,2025-08-12 23:59:54
3055.0,3015.0,3075.0,3002.0,4256160765.5,1396445,2025-08-13,2025-08-13 23:59:59
3023.0,3022.5,3047.0,2967.0,3202835280.0,1064542,2025-08-14,2025-08-14 23:59:59
3026.0,3019.0,3035.0,3001.0,1630112849.0,539446,2025-08-15,2025-08-15 23:59:51
3006.0,2998.5,3008.0,2925.5,363931570.5,121811,2025-08-16,2025-08-16 23:59:56
2999.5,2996.0,3010.0,2995.5,99527678.5,33143,2025-08-17,2025-08-17 23:59:57
2996.0,3022.5,3033.0,2980.5,1709564065.5,567846,2025-08-18,2025-08-18 23:59:56
3022.0,3014.5,3037.0,3003.0,1308206215.0,433077,2025-08-19,2025-08-19 23:59:55
3014.5,2996.5,3021.5,2976.5,977231945.0,326072,2025-08-20,2025-08-20 23:59:59
2996.5,2950.0,3003.0,2941.0,1343803768.5,453109,2025-08-21,2025-08-21 23:59:56
2955.0,2940.5,2965.0,2912.5,1357771596.5,462386,2025-08-22,2025-08-22 23:59:55
2940.5,2945.5,2948.0,2937.5,88677531.5,30130,2025-08-23,2025-08-23 23:59:57
2945.5,2941.0,2947.5,2934.5,66391894.5,22574,2025-08-24,2025-08-24 23:59:56
2941.5,2946.5,2955.5,2918.5,1402097781.5,477091,2025-08-25,2025-08-25 23:59:51
2940.0,2956.0,2973.0,2936.0,1206650779.0,407842,2025-08-26,2025-08-26 23:59:55
2956.0,2942.0,2963.0,2932.0,1069624279.0,363574,2025-08-27,2025-08-27 23:59:59
2945.0,2924.5,2951.5,2916.0,1028277800.5,350248,2025-08-28,2025-08-28 23:59:55
2934.5,2909.0,2966.0,2889.0,2623080116.5,897715,2025-08-29,2025-08-29 23:59:55
2910.0,2914.5,2919.5,2907.0,79479143.5,27267,2025-08-30,2025-08-30 23:59:57
2914.5,2924.5,2924.5,2901.0,83801481.5,28729,2025-08-31,2025-08-31 23:59:56
2925.0,2926.5,2947.0,2917.0,959425418.5,327138,2025-09-01,2025-09-01 23:59:55
2927.0,2911.5,2937.0,2870.0,1438129475.0,496356,2025-09-02,2025-09-02 23:59:56
