open,close,high,low,value,volume,begin,end
2690.0,2690.0,2690.0,2690.0,116140750.0,43175,2025-01-09 09:00:00,2025-01-09 09:59:59
2689.5,2789.0,3000.0,2670.0,7544711741.5,2638868,2025-01-09 10:00:00,2025-01-09 10:59:59
2790.0,2725.0,2803.0,2695.0,2569022498.0,936141,2025-01-09 11:00:00,2025-01-09 11:59:59
2725.0,2723.0,2732.0,2703.0,2024963790.5,744946,2025-01-09 12:00:00,2025-01-09 12:59:59
2723.0,2770.0,2800.0,2719.0,2516511126.5,911678,2025-01-09 13:00:00,2025-01-09 13:59:59
2769.5,2754.0,2778.0,2751.0,977876595.5,353285,2025-01-09 14:00:00,2025-01-09 14:59:59
2755.5,2750.0,2777.0,2731.5,882530485.0,320312,2025-01-09 15:00:00,2025-01-09 15:59:59
2750.0,2765.0,2767.0,2738.5,663367242.0,240946,2025-01-09 16:00:00,2025-01-09 16:59:59
2763.5,2785.0,2785.0,2751.5,842447679.5,304158,2025-01-09 17:00:00,2025-01-09 17:59:59
2785.5,2803.0,2810.0,2779.0,468304587.0,167548,2025-01-09 18:00:00,2025-01-09 18:59:59
2800.0,2800.0,2800.0,2800.0,11037600.0,3942,2025-01-10 09:00:00,2025-01-10 09:59:59
2800.0,2857.5,2880.0,2783.0,2489260324.0,873938,2025-01-10 10:00:00,2025-01-10 10:59:59
2857.5,2849.0,2891.0,2843.0,1116935606.5,390326,2025-01-10 11:00:00,2025-01-10 11:59:59
2849.0,2846.5,2850.0,2808.5,1019147043.5,359111,2025-01-10 12:00:00,2025-01-10 12:59:59
2846.5,2873.0,2875.0,2826.0,1228562202.5,431202,2025-01-10 13:00:00,2025-01-10 13:59:59
2873.0,2900.0,2908.0,2870.0,1223867728.0,422703,2025-01-10 14:00:00,2025-01-10 14:59:59
2899.0,2883.0,2904.5,2850.0,589449457.5,204228,2025-01-10 15:00:00,2025-01-10 15:59:59
2884.0,2899.0,2903.0,2878.0,656215238.0,226667,2025-01-10 16:00:00,2025-01-10 16:59:59
2899.5,2946.0,2975.0,2896.5,1198318566.5,408169,2025-01-10 17:00:00,2025-01-10 17:59:59
2946.5,2945.0,2958.0,2911.0,396059904.5,134709,2025-01-10 18:00:00,2025-01-10 18:59:59
2962.0,2962.0,2962.0,2962.0,10713554.0,3617,2025-01-13 09:00:00,2025-01-13 09:59:59
2965.0,2984.5,2999.5,2945.0,2417664688.5,811142,2025-01-13 10:00:00,2025-01-13 10:59:59
2986.0,2976.0,2986.0,2963.0,693070822.5,232906,2025-01-13 11:00:00,2025-01-13 11:59:59
2978.0,2994.5,2995.0,2957.0,532562839.5,178680,2025-01-13 12:00:00,2025-01-13 12:59:59
2994.0,2976.0,2995.0,2975.0,436983562.5,146179,2025-01-13 13:00:00,2025-01-13 13:59:59
2978.5,2930.0,2979.0,2908.0,855216215.0,290626,2025-01-13 14:00:00,2025-01-13 14:59:59
2930.0,2909.0,2946.0,2882.0,644504599.5,221685,2025-01-13 15:00:00,2025-01-13 15:59:59
2909.5,2926.0,2929.5,2904.0,341116128.0,116835,2025-01-13 16:00:00,2025-01-13 16:59:59
2926.0,2906.0,2930.0,2900.0,233422998.5,80072,2025-01-13 17:00:00,2025-01-13 17:59:59
2906.0,2905.0,2910.0,2900.0,112677131.5,38797,2025-01-13 18:00:00,2025-01-13 18:59:59
2920.0,2920.0,2920.0,2920.0,3071840.0,1052,2025-01-14 09:00:00,2025-01-14 09:59:59
2920.0,2900.5,2929.0,2900.0,316511743.0,108724,2025-01-14 10:00:00,2025-01-14 10:59:59
2900.0,2912.0,2915.0,2884.0,540449564.5,186111,2025-01-14 11:00:00,2025-01-14 11:59:59
2911.5,2912.0,2915.0,2898.5,342607186.0,117790,2025-01-14 12:00:00,2025-01-14 12:59:59
2912.0,2923.5,2933.0,2904.0,433802414.5,148754,2025-01-14 13:00:00,2025-01-14 13:59:59
2923.5,2922.5,2925.0,2914.5,186900255.0,63985,2025-01-14 14:00:00,2025-01-14 14:59:59
2922.5,2917.0,2930.0,2910.0,323261479.0,110701,2025-01-14 15:00:00,2025-01-14 15:59:59
2918.0,2920.0,2920.0,2912.0,126588533.5,43365,2025-01-14 16:00:00,2025-01-14 16:59:59
2920.0,2924.5,2929.0,2919.0,154240571.0,52759,2025-01-14 17:00:00,2025-01-14 17:59:59
2924.5,2929.0,2930.0,2923.0,228403771.0,77978,2025-01-14 18:00:00,2025-01-14 18:59:59
2936.5,2936.5,2936.5,2936.5,1344917.0,458,2025-01-15 09:00:00,2025-01-15 09:59:59
2938.0,2921.5,2949.5,2915.0,305988606.5,104453,2025-01-15 10:00:00,2025-01-15 10:59:59
2921.5,2916.0,2927.5,2915.0,189333024.0,64784,2025-01-15 11:00:00,2025-01-15 11:59:59
2916.0,2909.0,2925.0,2907.5,136491395.0,46786,2025-01-15 12:00:00,2025-01-15 12:59:59
2909.5,2910.0,2910.5,2900.0,211532070.5,72746,2025-01-15 13:00:00,2025-01-15 13:59:59
2910.0,2900.0,2910.0,2895.0,149692725.0,51582,2025-01-15 14:00:00,2025-01-15 14:59:59
2899.5,2903.5,2912.0,2891.0,209871645.0,72352,2025-01-15 15:00:00,2025-01-15 15:59:59
