open,close,high,low,value,volume,begin,end
167.5,169.05,169.8,166.87,6576754568.0,38968420,2020-10-12,2020-10-12 23:59:59
169.13,166.37,169.47,165.82,5812910138.7,34698350,2020-10-13,2020-10-13 23:59:59
166.68,167.24,167.63,165.71,4453332999.5,26685620,2020-10-14,2020-10-14 23:59:59
166.87,167.16,168.85,166.0,6667446647.1,39904910,2020-10-15,2020-10-15 23:59:59
167.24,163.98,167.25,163.56,8295920976.1,50415600,2020-10-16,2020-10-16 23:59:59
165.0,163.6,165.6,163.0,5591759010.0,34057190,2020-10-19,2020-10-19 23:59:59
163.74,166.53,167.12,162.8,8356261696.5,50479100,2020-10-20,2020-10-20 23:59:59
166.8,164.37,167.3,163.87,6058290170.4,36692530,2020-10-21,2020-10-21 23:59:59
163.87,165.27,166.53,163.66,6599254290.7,39965630,2020-10-22,2020-10-22 23:59:59
165.15,164.96,165.88,164.39,5434604761.0,32927650,2020-10-23,2020-10-23 23:59:59
164.44,162.17,164.96,161.1,8719183618.3,53503300,2020-10-26,2020-10-26 23:59:59
162.11,159.21,162.62,158.21,9337608103.3,58290360,2020-10-27,2020-10-27 23:59:59
158.98,154.3,158.99,153.7,13525669930.9,86900330,2020-10-28,2020-10-28 23:59:59
155.01,156.74,157.3,154.2,8216605247.6,52782610,2020-10-29,2020-10-29 23:59:59
155.0,154.28,156.2,154.08,6629759483.3,42721140,2020-10-30,2020-10-30 23:59:59
153.98,157.74,157.98,151.9,10820337276.1,69727760,2020-11-02,2020-11-02 23:59:59
158.21,161.09,161.92,157.44,11408823908.0,71122150,2020-11-03,2020-11-03 23:59:59
163.8,163.7,165.25,161.99,12001337796.4,73279220,2020-11-05,2020-11-05 23:59:59
163.0,164.92,165.84,161.52,8455051737.0,51681030,2020-11-06,2020-11-06 23:59:59
166.72,170.13,171.5,164.9,17458048644.9,103450630,2020-11-09,2020-11-09 23:59:59
169.03,172.92,173.64,167.63,13121529512.0,76691660,2020-11-10,2020-11-10 23:59:59
173.5,170.53,175.15,170.26,12465285223.1,72044740,2020-11-11,2020-11-11 23:59:59
170.0,172.91,175.3,169.75,12477764536.1,71999190,2020-11-12,2020-11-12 23:59:59
172.9,180.3,181.27,172.42,18641095961.8,104617540,2020-11-13,2020-11-13 23:59:59
181.01,185.32,185.62,180.3,16417581945.2,89649230,2020-11-16,2020-11-16 23:59:59
185.05,182.9,185.31,178.83,18060101480.7,99345370,2020-11-17,2020-11-17 23:59:59
182.2,185.0,187.69,180.8,12805245485.0,69125570,2020-11-18,2020-11-18 23:59:59
185.2,184.16,185.88,181.92,9779536769.8,53232210,2020-11-19,2020-11-19 23:59:59
184.1,183.21,184.36,182.1,5841294004.6,31876920,2020-11-20,2020-11-20 23:59:59
183.62,184.15,185.63,182.77,7563842852.3,41077210,2020-11-23,2020-11-23 23:59:59
185.09,186.76,187.3,183.97,11282605467.5,60743160,2020-11-24,2020-11-24 23:59:59
187.0,188.03,188.76,185.85,9583787993.9,51148420,2020-11-25,2020-11-25 23:59:59
188.24,185.52,189.1,184.6,8520683623.4,45757740,2020-11-26,2020-11-26 23:59:59
185.04,185.9,186.75,182.56,9221555973.0,50011450,2020-11-27,2020-11-27 23:59:59
185.13,181.89,185.14,180.04,13386470747.5,73295130,2020-11-30,2020-11-30 23:59:59
182.6,185.34,188.09,181.78,12450978404.8,67290280,2020-12-01,2020-12-01 23:59:59
185.0,187.22,187.24,183.12,7460760990.5,40251760,2020-12-02,2020-12-02 23:59:59
186.99,185.12,187.58,184.37,6672270778.0,35903910,2020-12-03,2020-12-03 23:59:59
186.21,188.79,189.42,185.85,9543011155.8,50721800,2020-12-04,2020-12-04 23:59:59
188.22,190.76,192.85,187.8,10224519561.3,53541370,2020-12-07,2020-12-07 23:59:59
190.35,190.0,191.45,187.8,9181287630.8,48446440,2020-12-08,2020-12-08 23:59:59
190.3,189.35,193.09,189.05,10088403267.9,52697850,2020-12-09,2020-12-09 23:59:59
189.55,192.95,193.51,188.67,10415903596.6,54365050,2020-12-10,2020-12-10 23:59:59
193.01,201.5,201.63,192.31,20292880848.1,103071320,2020-12-11,2020-12-11 23:59:59
203.5,199.91,207.85,198.78,25131112722.8,123347920,2020-12-14,2020-12-14 23:59:59
199.01,201.0,202.29,197.05,13120388317.0,65566700,2020-12-15,2020-12-15 23:59:59
201.0,206.2,206.2,199.54,15308070159.0,75249280,2020-12-16,2020-12-16 23:59:59
206.69,214.52,215.38,206.51,33841988512.1,159625790,2020-12-17,2020-12-17 23:59:59
214.0,212.69,214.5,207.22,28249327995.6,133803690,2020-12-18,2020-12-18 23:59:59
209.97,203.46,209.99,200.8,25285157551.6,123672020,2020-12-21,2020-12-21 23:59:59
200.7,208.4,210.68,199.19,22730741302.3,109993910,2020-12-22,2020-12-22 23:59:59
209.0,207.63,212.78,206.2,16625112070.0,78924440,2020-12-23,2020-12-23 23:59:59
208.52,206.24,209.96,203.15,12184830067.6,59174500,2020-12-24,2020-12-24 23:59:59
206.2,205.03,206.73,204.01,3391439479.9,16533260,2020-12-25,2020-12-25 23:59:59
205.53,206.11,207.86,205.15,7241582510.2,35056750,2020-12-28,2020-12-28 23:59:59
206.98,208.75,210.0,206.61,8840727823.9,42372300,2020-12-29,2020-12-29 23:59:59
209.88,212.98,213.38,209.5,15863729041.3,74736890,2020-12-30,2020-12-30 23:59:59
212.71,212.71,216.63,211.64,11911400029.6,55458730,2021-01-04,2021-01-04 23:59:59
213.2,215.32,215.38,210.22,10444594368.1,48937810,2021-01-05,2021-01-05 23:59:59
215.5,214.38,216.8,213.07,10303900926.8,47945190,2021-01-06,2021-01-06 23:59:59
217.12,225.49,226.24,217.0,22518806797.5,101044690,2021-01-08,2021-01-08 23:59:59
225.17,227.6,231.0,221.81,25599191060.6,112708870,2021-01-11,2021-01-11 23:59:59
229.0,228.69,231.44,225.66,14722862365.4,64400230,2021-01-12,2021-01-12 23:59:59
229.29,226.8,230.35,225.2,13962971680.6,61137970,2021-01-13,2021-01-13 23:59:59
226.15,228.86,229.57,223.2,13684127731.1,60219960,2021-01-14,2021-01-14 23:59:59
227.5,226.5,230.7,226.0,12503256968.3,54810260,2021-01-15,2021-01-15 23:59:59
225.55,226.88,228.5,221.34,15588792290.0,69177560,2021-01-18,2021-01-18 23:59:59
227.65,223.15,228.85,223.0,15034911980.8,66678920,2021-01-19,2021-01-19 23:59:59
223.0,224.3,225.78,221.55,11536100202.9,51387730,2021-01-20,2021-01-20 23:59:59
224.38,217.28,224.96,217.22,16869428819.3,76728280,2021-01-21,2021-01-21 23:59:59
216.5,215.49,216.5,210.5,20187171705.9,94814510,2021-01-22,2021-01-22 23:59:59
216.9,218.68,219.66,214.53,16190253968.8,74569300,2021-01-25,2021-01-25 23:59:59
216.52,218.8,220.29,215.71,9881820467.7,45214780,2021-01-26,2021-01-26 23:59:59
219.49,217.4,222.0,216.44,13001699078.5,59298790,2021-01-27,2021-01-27 23:59:59
215.99,217.7,219.49,214.26,11379411221.2,52428850,2021-01-28,2021-01-28 23:59:59
216.7,212.83,216.75,212.47,14311768881.5,66780470,2021-01-29,2021-01-29 23:59:59
214.7,214.66,214.87,212.24,8409217608.8,39370050,2021-02-01,2021-02-01 23:59:59
