open,close,high,low,value,volume,begin,end
0.7173,0.7216,0.7248,0.7134,513403106.6,713386000,2020-10-12,2020-10-12 23:59:59
0.723,0.718,0.7273,0.7144,305025737.3,422781000,2020-10-13,2020-10-13 23:59:59
0.72,0.7311,0.7346,0.7173,457908727.8,629823000,2020-10-14,2020-10-14 23:59:59
0.7295,0.721,0.73,0.716,373870943.2,517604000,2020-10-15,2020-10-15 23:59:59
0.7192,0.7145,0.7259,0.7131,218645740.8,303844000,2020-10-16,2020-10-16 23:59:59
0.7171,0.694,0.7198,0.6912,563600253.9,803026000,2020-10-19,2020-10-19 23:59:59
0.6923,0.7206,0.7244,0.6918,639001711.3,898778000,2020-10-20,2020-10-20 23:59:59
0.7245,0.723,0.7245,0.7157,265123267.1,368225000,2020-10-21,2020-10-21 23:59:59
0.723,0.7359,0.7383,0.721,415293377.8,568148000,2020-10-22,2020-10-22 23:59:59
0.735,0.7319,0.7375,0.7277,338218969.3,462289000,2020-10-23,2020-10-23 23:59:59
0.7251,0.7234,0.7356,0.7218,370948288.5,507965000,2020-10-26,2020-10-26 23:59:59
0.73,0.7247,0.7329,0.717,412613961.1,568527000,2020-10-27,2020-10-27 23:59:59
0.7248,0.7101,0.7248,0.7055,756718019.0,1054158000,2020-10-28,2020-10-28 23:59:59
0.7194,0.726,0.7298,0.7138,422850296.1,585763000,2020-10-29,2020-10-29 23:59:59
0.7228,0.7183,0.7242,0.7131,390918617.1,543544000,2020-10-30,2020-10-30 23:59:59
0.7184,0.7326,0.7328,0.7141,406041249.3,558828000,2020-11-02,2020-11-02 23:59:59
0.7328,0.7362,0.7377,0.726,428726291.6,584199000,2020-11-03,2020-11-03 23:59:59
0.7397,0.7413,0.7463,0.7355,500598483.6,674270000,2020-11-05,2020-11-05 23:59:59
0.7368,0.7413,0.7445,0.7343,276809176.3,374242000,2020-11-06,2020-11-06 23:59:59
0.755,0.7654,0.7721,0.7515,1379715335.6,1806627000,2020-11-09,2020-11-09 23:59:59
0.7639,0.7635,0.7738,0.757,424436491.8,554753000,2020-11-10,2020-11-10 23:59:59
0.761,0.7532,0.7718,0.7522,543767153.5,714670000,2020-11-11,2020-11-11 23:59:59
0.7524,0.7629,0.7709,0.7454,607638457.7,799426000,2020-11-12,2020-11-12 23:59:59
0.764,0.7661,0.7746,0.7622,461988682.9,601491000,2020-11-13,2020-11-13 23:59:59
0.77,0.7646,0.7759,0.7591,454720783.1,593251000,2020-11-16,2020-11-16 23:59:59
0.765,0.754,0.7651,0.7502,344657260.4,456435000,2020-11-17,2020-11-17 23:59:59
0.7508,0.7557,0.7617,0.7508,246991263.6,326022000,2020-11-18,2020-11-18 23:59:59
0.7549,0.7541,0.7578,0.7476,224306579.2,298363000,2020-11-19,2020-11-19 23:59:59
0.7545,0.7617,0.7637,0.7483,350273461.1,463359000,2020-11-20,2020-11-20 23:59:59
0.764,0.7613,0.768,0.7533,300167841.2,394014000,2020-11-23,2020-11-23 23:59:59
0.7616,0.7609,0.7665,0.7535,364401623.8,480496000,2020-11-24,2020-11-24 23:59:59
0.7613,0.7545,0.763,0.7471,543445522.6,722496000,2020-11-25,2020-11-25 23:59:59
0.7555,0.776,0.7793,0.754,1283787724.1,1673361000,2020-11-26,2020-11-26 23:59:59
0.7764,0.782,0.7987,0.7764,2368179744.0,3010783000,2020-11-27,2020-11-27 23:59:59
0.7735,0.7805,0.7853,0.7718,723092731.8,926395000,2020-11-30,2020-11-30 23:59:59
0.7832,0.7788,0.7847,0.7754,580476321.1,744326000,2020-12-01,2020-12-01 23:59:59
0.7755,0.777,0.7823,0.7683,549295279.1,708419000,2020-12-02,2020-12-02 23:59:59
0.7781,0.781,0.7985,0.7768,1203789811.5,1529677000,2020-12-03,2020-12-03 23:59:59
0.787,0.7825,0.7877,0.7788,302511833.9,386363000,2020-12-04,2020-12-04 23:59:59
0.78,0.7857,0.7914,0.7757,356178061.8,455208000,2020-12-07,2020-12-07 23:59:59
0.7879,0.7783,0.7925,0.7754,721299972.1,921290000,2020-12-08,2020-12-08 23:59:59
0.7821,0.7815,0.7929,0.779,817509171.5,1039379000,2020-12-09,2020-12-09 23:59:59
0.7815,0.7855,0.7954,0.7811,973607338.2,1236281000,2020-12-10,2020-12-10 23:59:59
0.7845,0.7827,0.7887,0.7802,280030332.4,357542000,2020-12-11,2020-12-11 23:59:59
0.7847,0.7785,0.789,0.775,577810420.1,739834000,2020-12-14,2020-12-14 23:59:59
0.7797,0.767,0.7797,0.7581,666660407.8,867632000,2020-12-15,2020-12-15 23:59:59
0.767,0.781,0.7858,0.7641,934572244.5,1200666000,2020-12-16,2020-12-16 23:59:59
0.7814,0.7735,0.7848,0.769,574595669.7,739809000,2020-12-17,2020-12-17 23:59:59
0.7711,0.7672,0.7756,0.7651,311483035.0,405213000,2020-12-18,2020-12-18 23:59:59
0.7651,0.764,0.7719,0.7501,723982807.2,952966000,2020-12-21,2020-12-21 23:59:59
0.757,0.7726,0.777,0.757,349696416.8,454213000,2020-12-22,2020-12-22 23:59:59
0.774,0.7794,0.7829,0.7716,262885648.7,337575000,2020-12-23,2020-12-23 23:59:59
0.78,0.7786,0.7842,0.7738,299209434.7,383723000,2020-12-24,2020-12-24 23:59:59
0.7797,0.7825,0.7842,0.777,154183099.3,197279000,2020-12-25,2020-12-25 23:59:59
0.7825,0.7875,0.7904,0.7825,469111331.0,596122000,2020-12-28,2020-12-28 23:59:59
0.789,0.7848,0.7943,0.781,858612315.1,1089166000,2020-12-29,2020-12-29 23:59:59
0.7896,0.7821,0.7918,0.782,467020524.5,593508000,2020-12-30,2020-12-30 23:59:59
0.7914,0.7834,0.7953,0.7788,329452973.5,417848000,2021-01-04,2021-01-04 23:59:59
0.7834,0.7918,0.793,0.7813,264886964.9,335705000,2021-01-05,2021-01-05 23:59:59
0.7909,0.7896,0.7927,0.7878,211472874.3,267530000,2021-01-06,2021-01-06 23:59:59
0.7939,0.7941,0.8012,0.791,477668844.5,600717000,2021-01-08,2021-01-08 23:59:59
0.7967,0.8255,0.8297,0.7951,1872597449.4,2284089000,2021-01-11,2021-01-11 23:59:59
0.8286,0.8188,0.8355,0.8081,1101312985.9,1338582000,2021-01-12,2021-01-12 23:59:59
0.8191,0.8032,0.8239,0.7968,977907492.8,1214410000,2021-01-13,2021-01-13 23:59:59
0.8049,0.8054,0.8129,0.7956,1130509607.9,1404076000,2021-01-14,2021-01-14 23:59:59
0.8031,0.7969,0.8115,0.796,561721742.3,700089000,2021-01-15,2021-01-15 23:59:59
0.795,0.8076,0.8082,0.7873,436042206.9,544983000,2021-01-18,2021-01-18 23:59:59
0.8115,0.8054,0.8148,0.8021,555693077.2,688447000,2021-01-19,2021-01-19 23:59:59
0.8048,0.807,0.812,0.8022,470783455.7,583170000,2021-01-20,2021-01-20 23:59:59
0.81,0.7935,0.8125,0.7909,737921279.3,921511000,2021-01-21,2021-01-21 23:59:59
0.7901,0.7867,0.7909,0.7792,541103510.5,689888000,2021-01-22,2021-01-22 23:59:59
0.79,0.7919,0.7954,0.783,506746981.3,641358000,2021-01-25,2021-01-25 23:59:59
0.788,0.7912,0.794,0.7767,486493015.0,618530000,2021-01-26,2021-01-26 23:59:59
0.7912,0.787,0.8025,0.787,581730655.2,730693000,2021-01-27,2021-01-27 23:59:59
0.785,0.7924,0.794,0.7806,635027796.2,805521000,2021-01-28,2021-01-28 23:59:59
0.7908,0.777,0.791,0.7748,551239569.1,703147000,2021-01-29,2021-01-29 23:59:59
0.7803,0.7838,0.7847,0.7775,227337767.1,290931000,2021-02-01,2021-02-01 23:59:59
0.7852,0.7825,0.7886,0.7825,241382786.7,307057000,2021-02-02,2021-02-02 23:59:59
0.7842,0.7856,0.791,0.7834,309715885.4,393254000,2021-02-03,2021-02-03 23:59:59
0.787,0.7963,0.7985,0.7853,305419773.9,384969000,2021-02-04,2021-02-04 23:59:59
0.7998,0.7921,0.7998,0.7883,282002028.2,355801000,2021-02-05,2021-02-05 23:59:59
0.7942,0.8022,0.804,0.7924,300710639.7,376317000,2021-02-08,2021-02-08 23:59:59
0.8027,0.8001,0.8052,0.7973,327308286.3,409341000,2021-02-09,2021-02-09 23:59:59
0.8016,0.7925,0.8038,0.7905,344906952.1,432448000,2021-02-10,2021-02-10 23:59:59
0.7915,0.7972,0.8025,0.7912,235417326.0,294871000,2021-02-11,2021-02-11 23:59:59
0.798,0.809,0.8091,0.7887,328425421.4,411830000,2021-02-12,2021-02-12 23:59:59
0.81,0.8131,0.8133,0.8045,650874569.7,805751000,2021-02-15,2021-02-15 23:59:59
0.8135,0.81,0.816,0.8045,952388343.4,1177378000,2021-02-16,2021-02-16 23:59:59
0.81,0.811,0.8179,0.8057,804509536.3,989955000,2021-02-17,2021-02-17 23:59:59
0.8116,0.8087,0.817,0.8063,569563756.9,701090000,2021-02-18,2021-02-18 23:59:59
0.8073,0.8036,0.8135,0.8009,663267231.1,822763000,2021-02-19,2021-02-19 23:59:59
0.8038,0.8054,0.8071,0.8007,85161634.4,105825000,2021-02-20,2021-02-20 23:59:59
0.8043,0.7976,0.8072,0.796,299564439.7,375127000,2021-02-22,2021-02-22 23:59:59
0.796,0.7789,0.796,0.7717,1090420152.9,1393651000,2021-02-24,2021-02-24 23:59:59
0.7801,0.778,0.7847,0.774,640186565.5,821249000,2021-02-25,2021-02-25 23:59:59
0.7723,0.7818,0.7836,0.7698,416847251.6,536956000,2021-02-26,2021-02-26 23:59:59
0.7854,0.7894,0.7897,0.7805,419709929.3,534886000,2021-03-01,2021-03-01 23:59:59
0.7876,0.8059,0.8074,0.7848,684399664.2,856989000,2021-03-02,2021-03-02 23:59:59
