open,close,high,low,value,volume,begin,end
0.7368,0.7368,0.7368,0.7368,157675.20000000004,214000,2024-04-11 09:00:00,2024-04-11 09:59:59
0.736,0.7351,0.7385,0.7347,19665904.799999997,26699000,2024-04-11 10:00:00,2024-04-11 10:59:59
0.7351,0.7358,0.7365,0.735,6550810.8,8901000,2024-04-11 11:00:00,2024-04-11 11:59:59
0.7353,0.7336,0.7359,0.7325,15067649.5,20540000,2024-04-11 12:00:00,2024-04-11 12:59:59
0.7336,0.7327,0.7346,0.7327,5270121.5,7186000,2024-04-11 13:00:00,2024-04-11 13:59:59
0.7333,0.7335,0.7348,0.7322,9793301.600000005,13359000,2024-04-11 14:00:00,2024-04-11 14:59:59
0.7335,0.7339,0.7347,0.733,3174474.400000001,4327000,2024-04-11 15:00:00,2024-04-11 15:59:59
0.7339,0.7336,0.7342,0.733,14824388.5,20198000,2024-04-11 16:00:00,2024-04-11 16:59:59
0.7335,0.7342,0.7342,0.733,4622425.499999999,6302000,2024-04-11 17:00:00,2024-04-11 17:59:59
0.7342,0.7335,0.7342,0.7331,1330020.2999999998,1813000,2024-04-11 18:00:00,2024-04-11 18:46:08
0.7333,0.734,0.7342,0.7333,981229.4,1337000,2024-04-11 19:00:00,2024-04-11 19:59:59
0.734,0.7328,0.7342,0.7323,4792808.999999999,6535000,2024-04-11 20:00:00,2024-04-11 20:59:59
0.7333,0.7336,0.7339,0.7324,2263458.4,3088000,2024-04-11 21:00:00,2024-04-11 21:59:09
0.7336,0.7339,0.7341,0.7325,1367848.3,1866000,2024-04-11 22:00:00,2024-04-11 22:59:59
0.7339,0.7326,0.7339,0.7325,5235054.899999999,7139000,2024-04-11 23:00:00,2024-04-11 23:59:59
0.7345,0.7345,0.7345,0.7345,24238.5,33000,2024-04-12 09:00:00,2024-04-12 09:59:59
0.7336,0.7356,0.7399,0.7332,25596431.799999997,34795000,2024-04-12 10:00:00,2024-04-12 10:59:59
0.7357,0.734,0.7357,0.7333,9457607.399999999,12881000,2024-04-12 11:00:00,2024-04-12 11:59:59
0.734,0.7338,0.7343,0.733,18506738.199999996,25221000,2024-04-12 12:00:00,2024-04-12 12:59:59
0.7338,0.7347,0.7349,0.7335,6156695.8,8386000,2024-04-12 13:00:00,2024-04-12 13:59:59
0.7349,0.7344,0.7351,0.7339,7339842.5,9994000,2024-04-12 14:00:00,2024-04-12 14:59:59
0.7344,0.7336,0.7344,0.7333,5032755.0,6860000,2024-04-12 15:00:00,2024-04-12 15:59:59
0.7335,0.7343,0.7344,0.7334,6131965.9,8355000,2024-04-12 16:00:00,2024-04-12 16:59:59
0.7342,0.7343,0.7343,0.7333,5471998.300000001,7454000,2024-04-12 17:00:00,2024-04-12 17:59:59
0.7343,0.732,0.7343,0.732,7864601.599999999,10731000,2024-04-12 18:00:00,2024-04-12 18:59:59
0.7326,0.7327,0.7348,0.7305,13266986.3,18129000,2024-04-12 19:00:00,2024-04-12 19:59:59
0.7329,0.7319,0.7334,0.7311,5212146.1,7118000,2024-04-12 20:00:00,2024-04-12 20:59:59
0.7321,0.7316,0.7323,0.7315,2675617.7000000007,3656000,2024-04-12 21:00:00,2024-04-12 21:59:59
0.7316,0.733,0.7333,0.7316,3136212.4,4280000,2024-04-12 22:00:00,2024-04-12 22:59:59
0.733,0.7321,0.733,0.7312,9192101.099999998,12560000,2024-04-12 23:00:00,2024-04-12 23:59:59
0.7321,0.7321,0.7321,0.7321,204988.00000000012,280000,2024-04-15 09:00:00,2024-04-15 09:59:59
0.7341,0.7341,0.7379,0.7323,27833810.699999996,37847000,2024-04-15 10:00:00,2024-04-15 10:59:59
0.7341,0.7356,0.7374,0.7339,17749063.499999996,24120000,2024-04-15 11:00:00,2024-04-15 11:59:59
0.7356,0.7342,0.7362,0.734,9040738.7,12298000,2024-04-15 12:00:00,2024-04-15 12:59:59
0.7343,0.7339,0.7343,0.7331,7376361.299999998,10055000,2024-04-15 13:00:00,2024-04-15 13:59:59
0.7337,0.7332,0.734,0.7324,10551942.900000004,14388000,2024-04-15 14:00:00,2024-04-15 14:59:59
0.7333,0.7323,0.7336,0.732,6618286.0,9032000,2024-04-15 15:00:00,2024-04-15 15:59:59
0.7323,0.7329,0.733,0.732,7484699.3999999985,10218000,2024-04-15 16:00:00,2024-04-15 16:59:59
0.7328,0.7321,0.733,0.7316,9815492.7,13408000,2024-04-15 17:00:00,2024-04-15 17:59:59
0.7321,0.732,0.7326,0.7318,11335580.800000003,15485000,2024-04-15 18:00:00,2024-04-15 18:59:59
0.7339,0.734,0.734,0.732,6546359.500000002,8927000,2024-04-15 19:00:00,2024-04-15 19:59:59
0.734,0.7343,0.7346,0.7325,6351703.399999999,8657000,2024-04-15 20:00:00,2024-04-15 20:59:59
0.7341,0.7344,0.7345,0.7331,1419775.6,1935000,2024-04-15 21:00:00,2024-04-15 21:59:59
0.7343,0.734,0.7346,0.7334,1692755.7000000002,2306000,2024-04-15 22:00:00,2024-04-15 22:59:15
0.734,0.7333,0.734,0.7331,1638984.5999999999,2235000,2024-04-15 23:00:00,2024-04-15 23:59:55
0.7359,0.7359,0.7359,0.7359,306870.29999999993,417000,2024-04-16 09:00:00,2024-04-16 09:59:59
0.735,0.738,0.7427,0.7333,82751297.09999996,112065000,2024-04-16 10:00:00,2024-04-16 10:59:59
0.738,0.7392,0.7393,0.7346,15329954.3,20800000,2024-04-16 11:00:00,2024-04-16 11:59:59
0.7393,0.7387,0.74,0.7365,21543848.599999998,29166000,2024-04-16 12:00:00,2024-04-16 12:59:59
0.7393,0.7395,0.7395,0.7382,6951235.299999999,9408000,2024-04-16 13:00:00,2024-04-16 13:59:59
0.7395,0.7375,0.7399,0.7366,12951938.199999997,17539000,2024-04-16 14:00:00,2024-04-16 14:59:59
0.738,0.7366,0.7387,0.7365,6330865.2,8587000,2024-04-16 15:00:00,2024-04-16 15:59:59
0.7366,0.7395,0.7407,0.7364,14667455.100000003,19835000,2024-04-16 16:00:00,2024-04-16 16:59:59
0.7396,0.7384,0.7403,0.737,6563349.899999999,8886000,2024-04-16 17:00:00,2024-04-16 17:59:10
0.7379,0.7384,0.7384,0.7375,3702892.6,5018000,2024-04-16 18:00:00,2024-04-16 18:59:59
0.7384,0.7374,0.7387,0.7362,4586077.3,6218000,2024-04-16 19:00:00,2024-04-16 19:59:59
0.7375,0.737,0.7375,0.7368,3178868.2000000007,4312000,2024-04-16 20:00:00,2024-04-16 20:59:59
0.7371,0.738,0.738,0.7368,5749425.000000001,7798000,2024-04-16 21:00:00,2024-04-16 21:59:14
0.7383,0.7377,0.7387,0.7365,9668057.600000001,13108000,2024-04-16 22:00:00,2024-04-16 22:59:59
0.7373,0.7382,0.7385,0.7365,4036731.0000000005,5475000,2024-04-16 23:00:00,2024-04-16 23:59:54
0.7384,0.7384,0.7384,0.7384,98945.6,134000,2024-04-17 09:00:00,2024-04-17 09:59:59
0.7384,0.737,0.7416,0.735,25364641.0,34366000,2024-04-17 10:00:00,2024-04-17 10:59:59
0.737,0.7384,0.7403,0.7342,22845165.5,30976000,2024-04-17 11:00:00,2024-04-17 11:59:59
0.7384,0.7372,0.74,0.7365,7935833.400000003,10749000,2024-04-17 12:00:00,2024-04-17 12:59:59
0.7375,0.7378,0.7383,0.7362,7304437.299999999,9909000,2024-04-17 13:00:00,2024-04-17 13:59:59
0.7381,0.7364,0.7385,0.7363,5862760.599999998,7949000,2024-04-17 14:00:00,2024-04-17 14:59:59
0.7363,0.7365,0.7369,0.7345,7701682.4,10466000,2024-04-17 15:00:00,2024-04-17 15:59:59
0.7365,0.7364,0.737,0.7346,5767533.4,7840000,2024-04-17 16:00:00,2024-04-17 16:59:59
0.7363,0.737,0.7373,0.7358,5675913.500000001,7706000,2024-04-17 17:00:00,2024-04-17 17:59:59
0.7371,0.738,0.7395,0.7371,10453168.3,14163000,2024-04-17 18:00:00,2024-04-17 18:49:09
0.7382,0.7369,0.7382,0.7367,2309702.2999999993,3131000,2024-04-17 19:00:00,2024-04-17 19:59:59
0.7369,0.738,0.7385,0.7361,4387770.9,5951000,2024-04-17 20:00:00,2024-04-17 20:59:59
0.7383,0.7383,0.7387,0.7379,1035919.4000000004,1403000,2024-04-17 21:00:00,2024-04-17 21:59:59
0.7383,0.7379,0.7385,0.7377,1641712.8000000003,2224000,2024-04-17 22:00:00,2024-04-17 22:58:10
0.7384,0.7381,0.7386,0.7381,3555003.6,4814000,2024-04-17 23:00:00,2024-04-17 23:59:59
0.7381,0.7381,0.7381,0.7381,24357.3,33000,2024-04-18 09:00:00,2024-04-18 09:59:59
0.7382,0.738,0.742,0.7376,21970232.599999998,29689000,2024-04-18 10:00:00,2024-04-18 10:59:59
0.738,0.7364,0.7397,0.7362,12592587.999999994,17069000,2024-04-18 11:00:00,2024-04-18 11:59:59
0.7367,0.7372,0.7376,0.7366,6694266.300000001,9081000,2024-04-18 12:00:00,2024-04-18 12:59:59
0.7373,0.7351,0.7374,0.7346,14060957.900000002,19105000,2024-04-18 13:00:00,2024-04-18 13:59:59
0.7353,0.7353,0.7361,0.7344,12164272.200000001,16540000,2024-04-18 14:00:00,2024-04-18 14:59:08
0.7351,0.7363,0.7363,0.7345,8424610.0,11448000,2024-04-18 15:00:00,2024-04-18 15:59:59
0.7363,0.7371,0.7372,0.7361,3567821.2,4845000,2024-04-18 16:00:00,2024-04-18 16:59:08
0.7372,0.7378,0.7378,0.7355,13413305.400000002,18210000,2024-04-18 17:00:00,2024-04-18 17:59:09
0.7378,0.7388,0.7398,0.7376,15352891.099999994,20778000,2024-04-18 18:00:00,2024-04-18 18:48:09
0.7389,0.7382,0.7389,0.7374,1224825.2,1660000,2024-04-18 19:00:00,2024-04-18 19:59:59
0.7382,0.7381,0.7382,0.737,1848231.9000000001,2506000,2024-04-18 20:00:00,2024-04-18 20:59:14
0.7378,0.7372,0.7378,0.737,825720.7000000002,1120000,2024-04-18 21:00:00,2024-04-18 21:59:59
0.7374,0.7382,0.7384,0.7373,1534212.0,2079000,2024-04-18 22:00:00,2024-04-18 22:59:13
0.7382,0.7375,0.7385,0.7375,3057206.0000000005,4142000,2024-04-18 23:00:00,2024-04-18 23:59:54
0.739,0.739,0.739,0.739,124152.0,168000,2024-04-19 09:00:00,2024-04-19 09:59:59
0.7379,0.7369,0.7389,0.7361,12728350.600000001,17274000,2024-04-19 10:00:00,2024-04-19 10:59:59
0.7369,0.7363,0.7371,0.7353,7381529.4,10026000,2024-04-19 11:00:00,2024-04-19 11:59:59
0.7363,0.736,0.7371,0.7355,3830498.5000000005,5203000,2024-04-19 12:00:00,2024-04-19 12:59:59
0.7364,0.7363,0.7366,0.735,6081524.2,8268000,2024-04-19 13:00:00,2024-04-19 13:59:08
0.7363,0.7362,0.7364,0.7358,1863148.1000000006,2531000,2024-04-19 14:00:00,2024-04-19 14:59:59
0.7359,0.7372,0.7373,0.7358,4027289.0,5466000,2024-04-19 15:00:00,2024-04-19 15:59:59
0.7372,0.738,0.7382,0.7368,3613004.6999999997,4899000,2024-04-19 16:00:00,2024-04-19 16:59:59
0.7381,0.7374,0.7382,0.7355,9866385.599999996,13397000,2024-04-19 17:00:00,2024-04-19 17:58:09
0.7371,0.738,0.738,0.7367,3493654.8000000007,4739000,2024-04-19 18:00:00,2024-04-19 18:59:59
0.7367,0.7356,0.7373,0.7355,8577484.699999997,11654000,2024-04-19 19:00:00,2024-04-19 19:59:59
0.7358,0.7359,0.7367,0.7354,4118956.3000000007,5597000,2024-04-19 20:00:00,2024-04-19 20:59:59
0.7359,0.7352,0.736,0.7343,5155225.899999998,7013000,2024-04-19 21:00:00,2024-04-19 21:59:59
0.7358,0.7349,0.7361,0.7342,4250203.1,5784000,2024-04-19 22:00:00,2024-04-19 22:59:59
0.7348,0.7343,0.7349,0.7342,5020073.000000001,6836000,2024-04-19 23:00:00,2024-04-19 23:59:54
0.7345,0.7345,0.7345,0.7345,888010.5,1209000,2024-04-22 09:00:00,2024-04-22 09:59:59
0.7346,0.7351,0.739,0.7309,50484190.500000015,68666000,2024-04-22 10:00:00,2024-04-22 10:59:59
0.7351,0.7349,0.7362,0.7337,18520930.499999996,25204000,2024-04-22 11:00:00,2024-04-22 11:59:59
0.735,0.737,0.737,0.7349,7397122.3,10050000,2024-04-22 12:00:00,2024-04-22 12:59:59
0.7369,0.7368,0.7375,0.7365,5402651.3,7330000,2024-04-22 13:00:00,2024-04-22 13:59:59
0.737,0.7373,0.7384,0.7365,11599989.400000002,15724000,2024-04-22 14:00:00,2024-04-22 14:59:59
0.7372,0.7384,0.7384,0.7365,8216324.400000001,11137000,2024-04-22 15:00:00,2024-04-22 15:59:59
0.738,0.737,0.738,0.7369,3264928.5000000005,4427000,2024-04-22 16:00:00,2024-04-22 16:59:59
0.7369,0.7368,0.7376,0.7362,5979321.700000002,8114000,2024-04-22 17:00:00,2024-04-22 17:59:59
0.7368,0.7357,0.7371,0.7357,6854512.0,9311000,2024-04-22 18:00:00,2024-04-22 18:46:15
0.7357,0.7363,0.7369,0.7354,3180638.0999999996,4321000,2024-04-22 19:00:00,2024-04-22 19:59:59
0.7363,0.7367,0.7369,0.7359,2388270.2000000007,3243000,2024-04-22 20:00:00,2024-04-22 20:59:05
0.7367,0.7365,0.7377,0.7359,3477407.8999999994,4721000,2024-04-22 21:00:00,2024-04-22 21:59:59
0.7366,0.736,0.7367,0.7351,2846299.7,3868000,2024-04-22 22:00:00,2024-04-22 22:59:59
