datetime,open,close,high,low,value,volume,begin,end
2020-10-12 10:00:00,2834.33,2846.22,2847.89,2827.52,9091595130.55,0,2020-10-12 10:00:00,2020-10-12 10:59:59
2020-10-12 11:00:00,2846.26,2852.7,2857.46,2845.28,8549875800.350002,0,2020-10-12 11:00:00,2020-10-12 11:59:59
2020-10-12 12:00:00,2852.73,2853.41,2858.85,2849.91,5741336063.699997,0,2020-10-12 12:00:00,2020-10-12 12:59:59
2020-10-12 13:00:00,2853.41,2861.13,2861.26,2852.69,5224336239.350002,0,2020-10-12 13:00:00,2020-10-12 13:59:59
2020-10-12 14:00:00,2860.96,2856.56,2862.36,2855.59,4434582688.299999,0,2020-10-12 14:00:00,2020-10-12 14:59:59
2020-10-12 15:00:00,2856.54,2855.58,2857.69,2853.97,4205771013.5,0,2020-10-12 15:00:00,2020-10-12 15:59:59
2020-10-12 16:00:00,2855.64,2849.23,2855.74,2846.0,7284278189.300003,0,2020-10-12 16:00:00,2020-10-12 16:59:59
2020-10-12 17:00:00,2849.2,2848.3,2851.52,2847.57,6015342868.599998,0,2020-10-12 17:00:00,2020-10-12 17:59:59
2020-10-12 18:00:00,2848.36,2846.14,2850.46,2843.47,8171579817.799995,0,2020-10-12 18:00:00,2020-10-12 18:54:06
2020-10-13 10:00:00,2846.04,2842.58,2850.78,2841.55,7813841675.85,0,2020-10-13 10:00:00,2020-10-13 10:59:59
2020-10-13 11:00:00,2842.73,2857.75,2858.35,2842.19,6526670750.5,0,2020-10-13 11:00:00,2020-10-13 11:59:59
2020-10-13 12:00:00,2857.72,2858.35,2859.52,2854.25,4886668551.999998,0,2020-10-13 12:00:00,2020-10-13 12:59:59
2020-10-13 13:00:00,2858.36,2853.57,2858.65,2852.25,3188754090.700001,0,2020-10-13 13:00:00,2020-10-13 13:59:59
2020-10-13 14:00:00,2853.6,2852.16,2856.55,2851.3,3566687709.6500015,0,2020-10-13 14:00:00,2020-10-13 14:59:59
2020-10-13 15:00:00,2852.06,2845.73,2854.73,2844.77,5099897218.0,0,2020-10-13 15:00:00,2020-10-13 15:59:59
2020-10-13 16:00:00,2845.66,2831.41,2846.62,2827.65,10047643723.850002,0,2020-10-13 16:00:00,2020-10-13 16:59:59
2020-10-13 17:00:00,2831.47,2830.42,2834.39,2822.97,8275992671.799995,0,2020-10-13 17:00:00,2020-10-13 17:59:59
2020-10-13 18:00:00,2830.49,2829.23,2830.76,2826.05,7421868326.75,0,2020-10-13 18:00:00,2020-10-13 18:54:06
2020-10-14 10:00:00,2829.88,2842.62,2842.81,2824.12,9433603190.9,0,2020-10-14 10:00:00,2020-10-14 10:59:59
2020-10-14 11:00:00,2842.63,2849.09,2851.64,2840.34,5669281299.200001,0,2020-10-14 11:00:00,2020-10-14 11:59:59
2020-10-14 12:00:00,2849.11,2844.86,2851.48,2843.49,5955343644.85,0,2020-10-14 12:00:00,2020-10-14 12:59:59
