open,close,high,low,value,volume,begin,end
4.2245,4.2245,4.2245,4.2245,474411.3500000001,112300,2024-04-11 09:00:00,2024-04-11 09:59:59
4.228,4.2505,4.2655,4.22,115200237.05000004,27133800,2024-04-11 10:00:00,2024-04-11 10:59:59
4.2505,4.2425,4.2535,4.232,49864013.85,11749000,2024-04-11 11:00:00,2024-04-11 11:59:59
4.2425,4.2385,4.243,4.233,29990908.500000104,7076100,2024-04-11 12:00:00,2024-04-11 12:59:59
4.2385,4.2795,4.283,4.2385,118716632.40000004,27838300,2024-04-11 13:00:00,2024-04-11 13:59:59
4.279,4.279,4.3125,4.279,164745759.95,38377500,2024-04-11 14:00:00,2024-04-11 14:59:59
4.279,4.269,4.2865,4.25,73856115.85,17314000,2024-04-11 15:00:00,2024-04-11 15:59:59
4.269,4.269,4.285,4.266,34335630.6,8029500,2024-04-11 16:00:00,2024-04-11 16:59:59
4.2695,4.2805,4.285,4.2625,28434271.449999996,6652400,2024-04-11 17:00:00,2024-04-11 17:59:59
4.281,4.2735,4.287,4.2735,46532508.15,10874100,2024-04-11 18:00:00,2024-04-11 18:59:59
4.2735,4.2815,4.2885,4.2735,32020521.650000002,7476900,2024-04-11 19:00:00,2024-04-11 19:59:59
4.281,4.285,4.288,4.28,12421978.35,2899200,2024-04-11 20:00:00,2024-04-11 20:59:59
4.2845,4.293,4.299,4.278,34584013.45,8063100,2024-04-11 21:00:00,2024-04-11 21:59:59
4.293,4.2855,4.293,4.2835,12370501.749999998,2884100,2024-04-11 22:00:00,2024-04-11 22:59:59
4.2855,4.287,4.2885,4.28,6182957.0,1442900,2024-04-11 23:00:00,2024-04-11 23:59:59
4.2935,4.2935,4.2935,4.2935,1302218.5499999998,303300,2024-04-12 09:00:00,2024-04-12 09:59:59
4.2935,4.292,4.306,4.287,71273202.65000002,16597500,2024-04-12 10:00:00,2024-04-12 10:59:59
4.292,4.2875,4.3,4.27,88811420.89999999,20724500,2024-04-12 11:00:00,2024-04-12 11:59:59
4.287,4.283,4.2875,4.275,26218079.65,6123800,2024-04-12 12:00:00,2024-04-12 12:59:59
4.283,4.2835,4.285,4.2755,21358642.999999974,4989500,2024-04-12 13:00:00,2024-04-12 13:59:59
4.2835,4.274,4.285,4.26,71499486.80000001,16741000,2024-04-12 14:00:00,2024-04-12 14:59:59
4.274,4.2725,4.275,4.263,23499821.749999993,5502600,2024-04-12 15:00:00,2024-04-12 15:59:59
4.2725,4.281,4.283,4.2705,19387378.749999996,4532000,2024-04-12 16:00:00,2024-04-12 16:59:59
4.28,4.2815,4.282,4.267,23983855.85,5611100,2024-04-12 17:00:00,2024-04-12 17:59:59
4.282,4.262,4.2835,4.262,35486323.10000001,8311100,2024-04-12 18:00:00,2024-04-12 18:59:59
4.2625,4.269,4.2725,4.2625,14500366.1,3397300,2024-04-12 19:00:00,2024-04-12 19:59:59
4.2685,4.261,4.269,4.26,20786242.200000003,4876400,2024-04-12 20:00:00,2024-04-12 20:59:59
4.2615,4.2545,4.265,4.25,25739319.8,6046800,2024-04-12 21:00:00,2024-04-12 21:59:59
4.2555,4.2615,4.2615,4.251,13002247.349999998,3054000,2024-04-12 22:00:00,2024-04-12 22:59:59
4.2615,4.261,4.2615,4.26,11425001.0,2681400,2024-04-12 23:00:00,2024-04-12 23:59:59
4.265,4.265,4.265,4.265,3134348.5,734900,2024-04-15 09:00:00,2024-04-15 09:59:59
4.269,4.273,4.284,4.265,71520352.99999997,16717600,2024-04-15 10:00:00,2024-04-15 10:59:59
4.273,4.273,4.278,4.266,40267993.25000009,9428900,2024-04-15 11:00:00,2024-04-15 11:59:59
4.272,4.265,4.274,4.263,41928632.99999991,9823300,2024-04-15 12:00:00,2024-04-15 12:59:59
4.265,4.259,4.273,4.2545,72847355.10000008,17099500,2024-04-15 13:00:00,2024-04-15 13:59:59
4.258,4.2655,4.268,4.2555,20558247.750000004,4821400,2024-04-15 14:00:00,2024-04-15 14:59:59
4.2665,4.257,4.267,4.257,24331446.900000054,5711700,2024-04-15 15:00:00,2024-04-15 15:59:59
4.257,4.262,4.269,4.256,51472211.2500001,12083300,2024-04-15 16:00:00,2024-04-15 16:59:59
4.262,4.26,4.266,4.2575,23179239.200000003,5440100,2024-04-15 17:00:00,2024-04-15 17:59:59
4.26,4.259,4.2615,4.2575,20218028.20000009,4746900,2024-04-15 18:00:00,2024-04-15 18:48:10
4.2615,4.263,4.265,4.2515,11475291.649999999,2694900,2024-04-15 19:00:00,2024-04-15 19:59:59
4.2625,4.2615,4.265,4.26,9322208.949999996,2187300,2024-04-15 20:00:00,2024-04-15 20:59:59
4.262,4.26,4.263,4.2585,7058185.150000002,1656500,2024-04-15 21:00:00,2024-04-15 21:59:59
4.2605,4.26,4.263,4.26,4188840.9,982900,2024-04-15 22:00:00,2024-04-15 22:59:59
4.26,4.264,4.264,4.26,7770510.900000001,1823000,2024-04-15 23:00:00,2024-04-15 23:59:55
4.266,4.266,4.266,4.266,1512723.5999999999,354600,2024-04-16 09:00:00,2024-04-16 09:59:59
4.2665,4.251,4.2715,4.244,92648752.19999988,21778200,2024-04-16 10:00:00,2024-04-16 10:59:59
4.251,4.252,4.257,4.2455,44096497.55000034,10376800,2024-04-16 11:00:00,2024-04-16 11:59:59
4.252,4.2585,4.26,4.249,28075826.200000014,6599800,2024-04-16 12:00:00,2024-04-16 12:59:59
4.2585,4.259,4.2645,4.2525,34009400.34999982,7984300,2024-04-16 13:00:00,2024-04-16 13:59:59
4.26,4.2515,4.261,4.248,33282520.900000017,7824500,2024-04-16 14:00:00,2024-04-16 14:59:59
4.2525,4.252,4.2575,4.247,23431183.75000004,5512900,2024-04-16 15:00:00,2024-04-16 15:59:59
4.251,4.2525,4.2605,4.247,20483328.949999977,4815200,2024-04-16 16:00:00,2024-04-16 16:59:59
4.2515,4.257,4.262,4.2485,35602523.04999999,8368500,2024-04-16 17:00:00,2024-04-16 17:59:59
4.257,4.2515,4.26,4.2475,18390045.749999996,4325100,2024-04-16 18:00:00,2024-04-16 18:59:59
4.26,4.256,4.26,4.248,6253241.150000002,1470500,2024-04-16 19:00:00,2024-04-16 19:59:59
4.256,4.2565,4.2595,4.25,6168788.9,1449700,2024-04-16 20:00:00,2024-04-16 20:59:59
4.255,4.252,4.2585,4.2505,3301907.5499999993,776200,2024-04-16 21:00:00,2024-04-16 21:59:59
4.2525,4.2525,4.257,4.251,3344874.0500000003,786400,2024-04-16 22:00:00,2024-04-16 22:59:59
