open,close,high,low,value,volume,begin,end
1095.0,1095.0,1095.0,1095.0,45990.0,42,2021-12-14,2021-12-14 23:59:59
1204.0,1150.0,1204.0,1050.0,1872199.6,1630,2021-12-15,2021-12-15 23:59:59
1200.0,1264.4,1264.4,1177.0,6031176.6,4839,2021-12-16,2021-12-16 23:59:59
1299.0,1301.0,1389.6,1281.8,8908328.0,6592,2021-12-17,2021-12-17 23:59:59
1287.8,1150.0,1320.0,1110.0,8845631.6,7426,2021-12-20,2021-12-20 23:59:59
1182.6,1111.8,1182.6,1069.0,5592392.6,4973,2021-12-21,2021-12-21 23:59:59
1111.6,1057.0,1112.0,1032.0,8069503.2,7541,2021-12-22,2021-12-22 23:59:59
1050.2,1014.0,1075.6,1006.0,9670438.8,9392,2021-12-23,2021-12-23 23:59:59
1015.8,997.6,1035.4,992.0,8150506.8,8144,2021-12-24,2021-12-24 23:59:59
1012.0,1049.2,1057.0,996.2,12537660.8,12164,2021-12-27,2021-12-27 23:59:59
1040.0,1033.6,1042.0,1010.2,4887539.0,4720,2021-12-28,2021-12-28 23:59:59
1003.0,999.0,1032.0,996.2,14261457.0,14225,2021-12-29,2021-12-29 23:59:59
1029.8,998.0,1029.8,995.0,7617281.2,7618,2021-12-30,2021-12-30 23:59:59
998.4,1001.4,1021.4,970.0,5220595.4,5219,2022-01-03,2022-01-03 23:59:59
1013.0,1019.8,1022.8,1000.0,8149704.8,8034,2022-01-04,2022-01-04 23:59:59
1018.0,1025.0,1026.0,1002.8,2146796.0,2104,2022-01-05,2022-01-05 23:59:59
1024.4,1019.6,1030.0,1010.0,2179341.8,2142,2022-01-06,2022-01-06 23:59:59
1016.6,999.0,1036.2,995.0,11557420.2,11516,2022-01-10,2022-01-10 23:59:59
1005.8,1008.8,1008.8,990.4,2658922.8,2663,2022-01-11,2022-01-11 23:59:59
1009.2,1009.2,1014.4,1004.4,2228623.8,2210,2022-01-12,2022-01-12 23:59:59
1000.4,982.6,1014.0,982.0,10052815.2,10076,2022-01-13,2022-01-13 23:59:59
984.0,977.2,999.8,961.0,8195697.8,8370,2022-01-14,2022-01-14 23:59:59
977.4,974.2,999.0,968.2,5320532.0,5476,2022-01-17,2022-01-17 23:59:59
970.0,933.8,980.8,929.6,11211839.2,11763,2022-01-18,2022-01-18 23:59:59
933.8,940.8,966.2,918.2,7786482.6,8376,2022-01-19,2022-01-19 23:59:59
990.0,958.6,990.0,925.4,3616623.0,3798,2022-01-20,2022-01-20 23:59:59
971.4,919.0,971.4,894.2,13814624.2,15082,2022-01-21,2022-01-21 23:59:59
932.8,826.8,995.0,785.2,20052866.4,23880,2022-01-24,2022-01-24 23:59:59
852.0,830.0,852.0,799.6,7197073.0,8717,2022-01-25,2022-01-25 23:59:59
850.0,858.0,869.0,833.2,3217521.0,3767,2022-01-26,2022-01-26 23:59:59
