open,close,high,low,value,volume,begin,end
35.945,36.085,36.25,35.66,784419652.5,21847200,2020-10-12,2020-10-12 23:59:59
36.07,35.25,36.35,35.05,898743524.5,25247600,2020-10-13,2020-10-13 23:59:59
35.12,35.505,35.565,35.12,559664550.0,15807500,2020-10-14,2020-10-14 23:59:59
35.5,34.845,35.65,34.575,888139954.5,25418700,2020-10-15,2020-10-15 23:59:59
34.875,34.925,35.44,34.525,652486310.5,18660100,2020-10-16,2020-10-16 23:59:59
35.135,34.87,35.25,34.605,441438069.0,12649500,2020-10-19,2020-10-19 23:59:59
34.935,35.6,35.63,34.835,530623588.5,15025200,2020-10-20,2020-10-20 23:59:59
35.65,36.295,36.415,35.65,788652989.5,21855100,2020-10-21,2020-10-21 23:59:59
36.375,37.56,37.6,36.27,1720901749.0,46364700,2020-10-22,2020-10-22 23:59:59
37.22,37.27,37.53,37.18,832686844.5,22314500,2020-10-23,2020-10-23 23:59:59
37.07,36.735,37.315,36.51,694868673.5,18794900,2020-10-26,2020-10-26 23:59:59
36.83,35.95,36.92,35.73,941809818.5,26061600,2020-10-27,2020-10-27 23:59:59
35.88,35.52,36.08,35.3,964346651.0,27077700,2020-10-28,2020-10-28 23:59:59
35.92,36.425,36.625,35.565,959303499.0,26597300,2020-10-29,2020-10-29 23:59:59
36.14,37.19,37.66,35.695,1293162955.5,35078800,2020-10-30,2020-10-30 23:59:59
37.19,37.8,38.27,36.9,1111652604.5,29437900,2020-11-02,2020-11-02 23:59:59
37.8,38.7,39.0,37.8,1611927752.5,41695600,2020-11-03,2020-11-03 23:59:59
39.06,38.8,39.71,38.2,1733701691.5,44259800,2020-11-05,2020-11-05 23:59:59
38.78,39.04,39.125,38.315,1346627396.0,34655000,2020-11-06,2020-11-06 23:59:59
39.245,39.19,39.525,38.255,2248709126.5,57687900,2020-11-09,2020-11-09 23:59:59
39.2,39.15,39.795,38.9,1501934451.5,38300400,2020-11-10,2020-11-10 23:59:59
38.58,41.07,41.7,38.13,4441470882.5,110072800,2020-11-11,2020-11-11 23:59:59
41.07,40.85,42.1,40.1,2262179666.5,54864000,2020-11-12,2020-11-12 23:59:59
40.845,41.66,41.91,40.68,926086997.5,22416000,2020-11-13,2020-11-13 23:59:59
41.98,43.0,43.075,41.7,1610175001.0,37833500,2020-11-16,2020-11-16 23:59:59
43.0,42.56,43.455,42.1,1455352295.5,34116500,2020-11-17,2020-11-17 23:59:59
42.5,41.855,42.99,41.67,1239804070.5,29438400,2020-11-18,2020-11-18 23:59:59
41.795,42.075,42.76,41.58,1105908132.0,26262000,2020-11-19,2020-11-19 23:59:59
41.825,41.78,42.075,41.485,616069722.5,14764600,2020-11-20,2020-11-20 23:59:59
41.82,41.92,42.415,41.465,728013077.0,17413000,2020-11-23,2020-11-23 23:59:59
41.92,42.12,42.28,41.8,711813516.0,16933800,2020-11-24,2020-11-24 23:59:59
42.1,42.52,42.62,41.825,911769583.0,21568700,2020-11-25,2020-11-25 23:59:59
42.685,42.675,43.045,42.25,855509107.5,20040900,2020-11-26,2020-11-26 23:59:59
42.81,42.85,43.145,42.13,1516362859.5,35494700,2020-11-27,2020-11-27 23:59:59
42.69,43.48,44.07,41.07,12157591496.55,287895610,2020-11-30,2020-11-30 23:59:59
43.5,43.6,43.99,42.515,3279376085.6,75494970,2020-12-01,2020-12-01 23:59:59
43.58,45.29,45.425,43.5,2879111410.95,64129720,2020-12-02,2020-12-02 23:59:59
45.4,44.395,45.49,43.9,2139928460.55,48242930,2020-12-03,2020-12-03 23:59:59
44.6,44.84,45.235,44.205,1671252889.45,37407600,2020-12-04,2020-12-04 23:59:59
44.815,47.495,47.8,44.685,3464860804.35,74209930,2020-12-07,2020-12-07 23:59:59
47.52,47.415,49.615,46.1,4733958724.0,98758550,2020-12-08,2020-12-08 23:59:59
47.305,47.0,47.92,46.88,1722659801.0,36430960,2020-12-09,2020-12-09 23:59:59
47.065,48.18,48.93,47.015,2374917033.65,49446630,2020-12-10,2020-12-10 23:59:59
48.42,48.83,49.285,48.255,1042888663.15,21410750,2020-12-11,2020-12-11 23:59:59
48.86,50.95,51.885,48.72,2727925650.45,54151990,2020-12-14,2020-12-14 23:59:59
50.7,51.94,52.36,50.625,2484523930.2,48115250,2020-12-15,2020-12-15 23:59:59
51.9,52.8,53.395,50.865,3176386834.9,60538730,2020-12-16,2020-12-16 23:59:59
53.2,53.01,53.77,52.62,2548310938.0,47809430,2020-12-17,2020-12-17 23:59:59
52.8,52.5,53.195,51.43,1535362397.45,29401550,2020-12-18,2020-12-18 23:59:59
52.2,51.98,52.39,50.215,2105195660.35,41042420,2020-12-21,2020-12-21 23:59:59
51.49,53.475,53.75,51.255,2240148816.15,42471350,2020-12-22,2020-12-22 23:59:59
53.5,54.725,54.75,53.17,1817891429.75,33499800,2020-12-23,2020-12-23 23:59:59
54.8,56.31,56.9,54.765,2599137858.15,46446660,2020-12-24,2020-12-24 23:59:59
56.315,57.945,57.995,56.315,1876991191.35,32696070,2020-12-25,2020-12-25 23:59:59
58.005,58.43,59.09,56.58,2842855653.95,49009180,2020-12-28,2020-12-28 23:59:59
58.29,56.92,58.755,55.02,4185219761.4,73762270,2020-12-29,2020-12-29 23:59:59
57.12,55.835,57.66,55.23,2651732781.2,47327850,2020-12-30,2020-12-30 23:59:59
56.0,56.93,57.2,56.0,1654741918.1,29118460,2021-01-04,2021-01-04 23:59:59
57.155,57.0,57.285,56.355,1450879480.2,25539010,2021-01-05,2021-01-05 23:59:59
57.0,56.76,57.2,56.4,1095236895.2,19283820,2021-01-06,2021-01-06 23:59:59
56.85,57.69,57.7,56.805,1976273208.55,34472730,2021-01-08,2021-01-08 23:59:59
57.7,57.915,58.35,57.11,2258570490.4,39089450,2021-01-11,2021-01-11 23:59:59
57.775,57.81,58.21,57.42,2800728585.0,48467630,2021-01-12,2021-01-12 23:59:59
55.5,54.7,55.8,53.82,4230749517.8,77334660,2021-01-13,2021-01-13 23:59:59
54.59,56.945,57.215,53.9,5016805939.95,89442600,2021-01-14,2021-01-14 23:59:59
57.115,56.25,57.75,56.06,2441072088.95,42939410,2021-01-15,2021-01-15 23:59:59
56.125,56.86,57.5,55.57,1873893763.85,32978390,2021-01-18,2021-01-18 23:59:59
57.01,57.325,57.5,56.855,1540020847.95,26915530,2021-01-19,2021-01-19 23:59:59
57.5,57.065,57.69,56.775,1167573577.3,20404040,2021-01-20,2021-01-20 23:59:59
57.195,55.855,57.235,55.15,2791096559.0,49841200,2021-01-21,2021-01-21 23:59:59
55.79,55.27,56.0,53.825,2634448632.9,48165120,2021-01-22,2021-01-22 23:59:59
55.275,54.835,55.91,53.805,1654304544.3,30161650,2021-01-25,2021-01-25 23:59:59
54.26,54.41,54.7,53.675,1370155797.15,25225070,2021-01-26,2021-01-26 23:59:59
54.585,53.035,54.71,52.835,2194863923.5,41000730,2021-01-27,2021-01-27 23:59:59
52.865,52.155,52.98,51.575,2607595278.6,49969580,2021-01-28,2021-01-28 23:59:59
51.77,51.895,52.19,50.88,2586133435.15,50343890,2021-01-29,2021-01-29 23:59:59
52.155,53.59,53.73,52.0,2621889998.0,49653490,2021-02-01,2021-02-01 23:59:59
53.7,53.005,54.115,52.89,1978328021.7,36991320,2021-02-02,2021-02-02 23:59:59
53.0,53.475,53.55,52.9,902981977.2,16961650,2021-02-03,2021-02-03 23:59:59
53.49,53.075,53.65,52.705,1206303986.35,22669530,2021-02-04,2021-02-04 23:59:59
53.18,52.14,53.18,51.45,1676552645.25,32141740,2021-02-05,2021-02-05 23:59:59
52.28,52.255,52.535,51.36,1471867121.05,28332810,2021-02-08,2021-02-08 23:59:59
52.35,51.835,52.385,51.33,1303759225.05,25152280,2021-02-09,2021-02-09 23:59:59
51.86,51.805,51.99,51.46,776884091.85,15022060,2021-02-10,2021-02-10 23:59:59
51.83,51.45,51.865,51.255,879354139.1,17049050,2021-02-11,2021-02-11 23:59:59
51.495,52.09,52.1,49.14,1927572900.15,37997430,2021-02-12,2021-02-12 23:59:59
52.215,51.82,53.13,51.295,1091947299.0,21112270,2021-02-15,2021-02-15 23:59:59
52.0,52.415,52.95,51.5,1086471912.75,20769700,2021-02-16,2021-02-16 23:59:59
52.5,52.145,53.29,51.5,1624864104.95,30915270,2021-02-17,2021-02-17 23:59:59
52.175,51.09,52.175,50.71,722587141.45,14065100,2021-02-18,2021-02-18 23:59:59
50.905,51.73,52.1,49.905,1409753775.4,27749590,2021-02-19,2021-02-19 23:59:59
52.0,52.3,52.7,51.69,472505214.95,9039160,2021-02-20,2021-02-20 23:59:59
52.435,53.09,53.66,51.68,1420102791.2,26898970,2021-02-22,2021-02-22 23:59:59
52.92,52.54,52.92,51.8,1659864563.6,31746780,2021-02-24,2021-02-24 23:59:59
52.505,53.09,54.225,51.545,3034839906.35,57311890,2021-02-25,2021-02-25 23:59:59
52.55,54.205,54.8,52.04,3120603994.6,57749870,2021-02-26,2021-02-26 23:59:59
54.5,55.1,55.185,53.7,1613433503.05,29604960,2021-03-01,2021-03-01 23:59:59
55.0,54.965,55.4,54.37,1405607953.25,25619140,2021-03-02,2021-03-02 23:59:59
55.11,56.14,56.66,55.025,2354643024.0,41933190,2021-03-03,2021-03-03 23:59:59
56.2,54.4,56.425,54.1,1763951409.35,32052440,2021-03-04,2021-03-04 23:59:59
54.51,54.66,54.695,53.45,1462784747.15,27155070,2021-03-05,2021-03-05 23:59:59
54.735,53.4,55.3,52.6,1726687456.9,32248710,2021-03-09,2021-03-09 23:59:59
53.265,53.61,53.945,52.77,920255810.5,17200470,2021-03-10,2021-03-10 23:59:59
53.925,54.995,55.2,53.6,1771413180.3,32439460,2021-03-11,2021-03-11 23:59:59
55.295,55.695,56.09,54.525,1516012680.0,27402730,2021-03-12,2021-03-12 23:59:59
55.95,55.8,56.395,55.16,1461744941.05,26168080,2021-03-15,2021-03-15 23:59:59
55.795,55.3,55.795,54.72,1100620415.4,19940040,2021-03-16,2021-03-16 23:59:59
55.225,54.38,55.43,53.6,1521147096.2,28036300,2021-03-17,2021-03-17 23:59:59
54.25,53.61,55.1,53.175,1841722305.15,33978600,2021-03-18,2021-03-18 23:59:59
53.945,54.4,54.7,53.5,1290230122.1,23774630,2021-03-19,2021-03-19 23:59:59
54.54,53.78,54.605,53.325,1259849470.75,23342830,2021-03-22,2021-03-22 23:59:59
53.65,52.98,53.735,52.9,601432591.05,11284000,2021-03-23,2021-03-23 23:59:59
53.08,53.475,53.95,52.8,878362447.45,16468660,2021-03-24,2021-03-24 23:59:59
53.595,53.805,54.43,53.375,1176519436.4,21803780,2021-03-25,2021-03-25 23:59:59
54.0,56.04,56.21,54.0,2363005761.6,42649170,2021-03-26,2021-03-26 23:59:59
55.995,57.615,58.13,55.67,3116830451.1,54459150,2021-03-29,2021-03-29 23:59:59
57.515,58.46,58.775,57.5,2328827598.9,39958180,2021-03-30,2021-03-30 23:59:59
58.7,60.885,61.99,58.485,3981009737.15,65850200,2021-03-31,2021-03-31 23:59:59
61.3,59.705,61.55,59.12,2366143178.35,39570140,2021-04-01,2021-04-01 23:59:59
59.605,59.645,60.36,59.38,754982969.45,12608010,2021-04-02,2021-04-02 23:59:59
59.5,60.09,60.415,58.375,1514693059.0,25359020,2021-04-05,2021-04-05 23:59:59
60.175,60.365,60.95,59.44,1805978880.2,29919510,2021-04-06,2021-04-06 23:59:59
60.0,61.795,61.85,58.935,3573813395.05,58898180,2021-04-07,2021-04-07 23:59:59
61.9,62.17,62.955,61.27,2254672221.3,36316390,2021-04-08,2021-04-08 23:59:59
62.005,61.985,62.4,61.18,1826428409.05,29543950,2021-04-09,2021-04-09 23:59:59
61.95,64.795,65.0,61.6,2376627596.95,37266580,2021-04-12,2021-04-12 23:59:59
65.04,65.28,66.5,64.5,2929117139.8,44874170,2021-04-13,2021-04-13 23:59:59
65.5,64.695,65.795,63.66,2146760076.3,33198980,2021-04-14,2021-04-14 23:59:59
64.4,65.5,65.79,64.045,1019456834.45,15698860,2021-04-15,2021-04-15 23:59:59
65.79,68.825,68.91,65.42,2818522715.1,41642450,2021-04-16,2021-04-16 23:59:59
69.15,68.68,71.38,67.27,6867902082.7,98767480,2021-04-19,2021-04-19 23:59:59
68.78,67.415,69.785,66.825,2780478688.3,40936940,2021-04-20,2021-04-20 23:59:59
67.17,68.385,68.74,66.725,4357686931.7,64171260,2021-04-21,2021-04-21 23:59:59
68.47,68.99,70.145,67.56,2839612695.55,41093980,2021-04-22,2021-04-22 23:59:59
69.665,70.32,70.47,68.5,1741684541.65,25002250,2021-04-23,2021-04-23 23:59:59
70.51,69.24,71.875,68.325,2883966716.4,40914610,2021-04-26,2021-04-26 23:59:59
69.345,65.65,69.355,64.645,10540517951.9,159749710,2021-04-27,2021-04-27 23:59:59
65.3,66.67,67.0,65.26,6041619775.55,91104150,2021-04-28,2021-04-28 23:59:59
66.945,66.81,67.75,65.925,2566841278.1,38401900,2021-04-29,2021-04-29 23:59:59
66.475,65.265,66.935,64.84,1845529120.05,28133510,2021-04-30,2021-04-30 23:59:59
65.195,65.28,66.09,64.5,2387029168.25,36521300,2021-05-04,2021-05-04 23:59:59
65.13,65.585,65.795,64.085,2252836323.7,34661250,2021-05-05,2021-05-05 23:59:59
65.585,65.05,65.945,64.13,2326805781.15,35867100,2021-05-06,2021-05-06 23:59:59
65.18,65.455,65.75,64.805,1897109371.95,29073610,2021-05-07,2021-05-07 23:59:59
65.5,64.475,65.87,64.05,2512259067.65,38780920,2021-05-10,2021-05-10 23:59:59
64.0,63.83,64.595,63.0,1756964023.1,27555550,2021-05-11,2021-05-11 23:59:59
63.8,63.325,64.22,63.325,1035571645.15,16213530,2021-05-12,2021-05-12 23:59:59
63.275,63.33,63.515,61.6,2093839742.5,33544640,2021-05-13,2021-05-13 23:59:59
63.5,63.7,63.9,62.3,1182518232.95,18702510,2021-05-14,2021-05-14 23:59:59
63.965,63.28,63.965,62.55,842731543.2,13363530,2021-05-17,2021-05-17 23:59:59
63.275,64.1,65.13,62.71,2246715172.9,35056540,2021-05-18,2021-05-18 23:59:59
63.815,62.915,64.09,62.1,2311475012.4,36784140,2021-05-19,2021-05-19 23:59:59
62.47,65.4,65.65,62.455,2962835162.85,46071760,2021-05-20,2021-05-20 23:59:59
65.45,65.6,66.29,64.935,2908774274.2,44353340,2021-05-21,2021-05-21 23:59:59
65.5,65.22,65.715,64.61,1383319277.05,21213990,2021-05-24,2021-05-24 23:59:59
65.24,65.315,65.58,64.905,756462315.85,11588000,2021-05-25,2021-05-25 23:59:59
65.385,64.55,66.05,63.46,2790802996.4,42957040,2021-05-26,2021-05-26 23:59:59
64.15,63.48,64.35,63.0,1557817085.8,24515490,2021-05-27,2021-05-27 23:59:59
63.58,63.035,63.6,62.46,1476834423.1,23500900,2021-05-28,2021-05-28 23:59:59
62.545,63.17,63.2,61.82,1366989010.3,21848710,2021-05-31,2021-05-31 23:59:59
63.29,64.01,64.1,62.765,1740800012.6,27461580,2021-06-01,2021-06-01 23:59:59
64.14,65.72,65.73,64.01,2354844728.7,36326100,2021-06-02,2021-06-02 23:59:59
65.85,64.98,65.97,64.41,1318308302.4,20241030,2021-06-03,2021-06-03 23:59:59
