open,close,high,low,value,volume,begin,end
58.4,58.4,58.4,58.4,6704904.0,114810,2024-04-11 09:00:00,2024-04-11 09:59:59
58.395,58.2,58.5,57.815,702057095.5,12051390,2024-04-11 10:00:00,2024-04-11 10:59:59
58.19,58.085,58.39,57.925,227940356.75000003,3919020,2024-04-11 11:00:00,2024-04-11 11:59:59
58.085,58.0,58.2,57.6,195852585.59999996,3382510,2024-04-11 12:00:00,2024-04-11 12:59:59
57.995,57.92,58.035,57.73,71585811.35,1237250,2024-04-11 13:00:00,2024-04-11 13:59:59
57.92,57.805,57.94,57.795,57500967.30000001,994070,2024-04-11 14:00:00,2024-04-11 14:59:59
57.805,57.895,57.94,57.6,109774036.35,1900480,2024-04-11 15:00:00,2024-04-11 15:59:59
57.91,57.995,58.0,57.81,156539672.95000002,2702040,2024-04-11 16:00:00,2024-04-11 16:59:59
57.99,58.17,58.235,57.845,198898072.44999996,3427120,2024-04-11 17:00:00,2024-04-11 17:59:59
58.175,58.05,58.2,58.0,80428467.40000002,1383700,2024-04-11 18:00:00,2024-04-11 18:49:09
58.105,58.05,58.19,57.935,34478340.5,594000,2024-04-11 19:00:00,2024-04-11 19:59:59
58.05,58.115,58.2,58.025,24556953.85,422580,2024-04-11 20:00:00,2024-04-11 20:59:59
58.09,58.145,58.19,58.05,29066811.2,500210,2024-04-11 21:00:00,2024-04-11 21:59:59
58.145,58.115,58.18,58.1,13813964.05,237650,2024-04-11 22:00:00,2024-04-11 22:59:59
58.12,58.08,58.125,58.08,15841046.950000003,272650,2024-04-11 23:00:00,2024-04-11 23:59:59
58.1,58.1,58.1,58.1,3566178.0,61380,2024-04-12 09:00:00,2024-04-12 09:59:59
58.095,58.335,58.45,57.955,336983119.35,5785910,2024-04-12 10:00:00,2024-04-12 10:59:59
58.335,58.075,58.45,58.045,138643166.74999997,2380100,2024-04-12 11:00:00,2024-04-12 11:59:59
58.075,58.135,58.24,58.02,66289742.70000001,1140530,2024-04-12 12:00:00,2024-04-12 12:59:59
58.12,57.965,58.16,57.835,110230630.24999994,1900420,2024-04-12 13:00:00,2024-04-12 13:59:59
57.95,57.87,58.075,57.79,146321158.55,2526460,2024-04-12 14:00:00,2024-04-12 14:59:59
57.87,57.895,57.94,57.655,160581719.85000002,2778420,2024-04-12 15:00:00,2024-04-12 15:59:59
57.895,57.915,57.96,57.785,140920207.8,2434450,2024-04-12 16:00:00,2024-04-12 16:59:59
57.905,57.9,57.94,57.81,83821783.95000005,1447840,2024-04-12 17:00:00,2024-04-12 17:59:59
57.91,57.78,57.915,57.78,48482956.5,838040,2024-04-12 18:00:00,2024-04-12 18:59:59
57.85,57.85,57.925,57.84,19033136.5,328880,2024-04-12 19:00:00,2024-04-12 19:59:59
57.86,57.805,57.885,57.805,16191599.149999999,279920,2024-04-12 20:00:00,2024-04-12 20:59:59
57.81,57.84,57.87,57.8,22015612.95,380760,2024-04-12 21:00:00,2024-04-12 21:59:59
57.84,57.88,57.895,57.675,43322413.250000015,749830,2024-04-12 22:00:00,2024-04-12 22:59:59
57.885,58.04,58.095,57.88,42685121.699999996,736090,2024-04-12 23:00:00,2024-04-12 23:59:59
58.0,58.0,58.0,58.0,1333420.0,22990,2024-04-15 09:00:00,2024-04-15 09:59:59
58.0,57.915,58.21,57.765,170929672.54999998,2945070,2024-04-15 10:00:00,2024-04-15 10:59:59
57.92,57.96,57.96,57.815,131528752.74999997,2272580,2024-04-15 11:00:00,2024-04-15 11:59:59
57.945,57.88,57.965,57.76,135949049.14999998,2349810,2024-04-15 12:00:00,2024-04-15 12:59:59
57.88,58.09,58.19,57.79,168936725.69999996,2913920,2024-04-15 13:00:00,2024-04-15 13:59:59
58.09,57.895,58.1,57.88,69460590.15,1197710,2024-04-15 14:00:00,2024-04-15 14:59:59
57.895,57.96,58.035,57.88,70283789.05000001,1212840,2024-04-15 15:00:00,2024-04-15 15:59:59
57.96,58.025,58.08,57.955,53649732.3,924540,2024-04-15 16:00:00,2024-04-15 16:59:59
58.025,57.96,58.025,57.95,57276436.65,987900,2024-04-15 17:00:00,2024-04-15 17:59:59
57.96,57.99,58.02,57.96,27232469.749999993,469630,2024-04-15 18:00:00,2024-04-15 18:49:09
58.02,58.09,58.105,57.97,21970128.850000005,378370,2024-04-15 19:00:00,2024-04-15 19:59:59
58.085,58.06,58.09,58.03,15263445.450000001,262920,2024-04-15 20:00:00,2024-04-15 20:59:59
58.055,58.205,58.33,58.05,43514847.80000001,747820,2024-04-15 21:00:00,2024-04-15 21:59:59
58.2,58.17,58.26,58.115,25716496.99999999,442110,2024-04-15 22:00:00,2024-04-15 22:59:59
58.17,58.165,58.2,58.115,17118409.45,294330,2024-04-15 23:00:00,2024-04-15 23:59:55
58.28,58.28,58.28,58.28,1572977.2000000004,26990,2024-04-16 09:00:00,2024-04-16 09:59:59
58.28,57.855,58.5,57.71,419525943.59999996,7226910,2024-04-16 10:00:00,2024-04-16 10:59:59
57.85,57.9,58.0,57.725,112142510.25,1937730,2024-04-16 11:00:00,2024-04-16 11:59:59
57.905,57.965,57.98,57.83,56752072.40000002,980130,2024-04-16 12:00:00,2024-04-16 12:59:59
57.96,57.98,57.98,57.87,55675928.299999975,960780,2024-04-16 13:00:00,2024-04-16 13:59:59
57.98,57.94,57.98,57.85,46099328.90000004,795750,2024-04-16 14:00:00,2024-04-16 14:59:59
57.94,57.86,58.015,57.8,83397037.24999997,1439190,2024-04-16 15:00:00,2024-04-16 15:59:59
57.855,57.905,57.985,57.84,29110503.2,502570,2024-04-16 16:00:00,2024-04-16 16:59:59
57.9,57.86,57.95,57.785,56725076.449999996,980500,2024-04-16 17:00:00,2024-04-16 17:59:59
57.86,57.885,57.915,57.8,32761792.100000005,566120,2024-04-16 18:00:00,2024-04-16 18:59:59
57.885,57.835,57.915,57.8,15338247.950000001,265160,2024-04-16 19:00:00,2024-04-16 19:59:59
57.835,57.8,57.88,57.76,18367284.750000004,317720,2024-04-16 20:00:00,2024-04-16 20:59:59
57.805,57.82,57.85,57.8,12401021.199999994,214480,2024-04-16 21:00:00,2024-04-16 21:59:59
57.82,57.83,57.87,57.8,7878051.799999998,136210,2024-04-16 22:00:00,2024-04-16 22:59:59
57.83,57.8,57.87,57.8,16484975.5,285090,2024-04-16 23:00:00,2024-04-16 23:59:54
57.8,57.8,57.8,57.8,654296.0,11320,2024-04-17 09:00:00,2024-04-17 09:59:59
57.805,57.165,57.85,57.065,468224247.2,8161930,2024-04-17 10:00:00,2024-04-17 10:59:59
57.17,57.095,57.23,56.955,247638568.75000015,4338040,2024-04-17 11:00:00,2024-04-17 11:59:59
57.095,57.12,57.285,57.01,137254009.35,2403900,2024-04-17 12:00:00,2024-04-17 12:59:59
57.12,57.265,57.41,57.02,137278115.85000008,2398870,2024-04-17 13:00:00,2024-04-17 13:59:59
57.27,57.105,57.27,57.105,29850269.349999994,521990,2024-04-17 14:00:00,2024-04-17 14:59:59
57.105,57.115,57.135,57.03,95244301.09999998,1669030,2024-04-17 15:00:00,2024-04-17 15:59:59
57.115,57.155,57.19,57.0,101907328.50000003,1786220,2024-04-17 16:00:00,2024-04-17 16:59:59
57.155,57.16,57.185,57.03,36425698.900000006,637510,2024-04-17 17:00:00,2024-04-17 17:59:59
57.155,57.255,57.385,57.12,75040771.3,1311560,2024-04-17 18:00:00,2024-04-17 18:49:09
57.23,57.2,57.29,57.105,26034614.34999999,455310,2024-04-17 19:00:00,2024-04-17 19:59:59
57.2,57.405,57.47,57.19,76156865.15000002,1328290,2024-04-17 20:00:00,2024-04-17 20:59:59
57.41,57.405,57.465,57.245,24581574.55000001,428400,2024-04-17 21:00:00,2024-04-17 21:59:59
57.405,57.31,57.405,57.205,26932244.0,469960,2024-04-17 22:00:00,2024-04-17 22:59:10
57.29,57.28,57.37,57.235,12642781.450000001,220760,2024-04-17 23:00:00,2024-04-17 23:59:59
57.39,57.39,57.39,57.39,977351.7,17030,2024-04-18 09:00:00,2024-04-18 09:59:59
57.39,56.715,57.495,56.68,413191758.4000001,7252280,2024-04-18 10:00:00,2024-04-18 10:59:59
56.71,56.85,56.955,56.71,122186918.74999999,2149920,2024-04-18 11:00:00,2024-04-18 11:59:59
56.86,56.865,57.0,56.85,72966412.99999999,1281280,2024-04-18 12:00:00,2024-04-18 12:59:59
56.87,56.9,56.965,56.825,52770922.19999999,927110,2024-04-18 13:00:00,2024-04-18 13:59:59
56.89,56.945,56.95,56.71,62095910.699999996,1092240,2024-04-18 14:00:00,2024-04-18 14:59:59
56.945,57.055,57.07,56.875,66405681.1,1165970,2024-04-18 15:00:00,2024-04-18 15:59:59
57.055,57.03,57.13,57.0,49079659.15,860050,2024-04-18 16:00:00,2024-04-18 16:59:59
57.03,56.985,57.03,56.915,38031129.449999996,667410,2024-04-18 17:00:00,2024-04-18 17:59:59
56.985,56.9,57.065,56.85,50353453.30000001,883910,2024-04-18 18:00:00,2024-04-18 18:49:09
56.995,56.86,56.995,56.83,21614432.199999988,379980,2024-04-18 19:00:00,2024-04-18 19:59:59
56.86,56.95,56.975,56.85,11452969.950000001,201240,2024-04-18 20:00:00,2024-04-18 20:59:59
56.94,56.935,56.975,56.885,10197482.049999999,179130,2024-04-18 21:00:00,2024-04-18 21:59:59
56.915,56.81,56.915,56.81,24174509.35,425150,2024-04-18 22:00:00,2024-04-18 22:59:59
56.805,56.73,56.81,56.715,74528133.45,1313550,2024-04-18 23:00:00,2024-04-18 23:59:54
56.725,56.725,56.725,56.725,871863.25,15370,2024-04-19 09:00:00,2024-04-19 09:59:59
56.725,56.785,56.85,56.5,195897419.3,3460090,2024-04-19 10:00:00,2024-04-19 10:59:59
56.78,56.9,57.0,56.72,82583691.95000003,1452260,2024-04-19 11:00:00,2024-04-19 11:59:59
56.905,56.65,56.905,56.61,70366445.44999999,1239530,2024-04-19 12:00:00,2024-04-19 12:59:59
56.645,56.66,56.79,56.615,35952432.20000001,634210,2024-04-19 13:00:00,2024-04-19 13:59:59
56.66,56.815,56.83,56.66,40079650.9,706430,2024-04-19 14:00:00,2024-04-19 14:59:59
56.815,56.945,57.0,56.745,75267598.14999996,1322750,2024-04-19 15:00:00,2024-04-19 15:59:59
56.94,57.0,57.125,56.94,66910329.699999996,1173330,2024-04-19 16:00:00,2024-04-19 16:59:59
57.0,56.985,57.035,56.835,77004202.99999999,1351990,2024-04-19 17:00:00,2024-04-19 17:59:59
56.985,56.7,56.995,56.65,88781810.30000001,1564070,2024-04-19 18:00:00,2024-04-19 18:59:59
56.74,56.695,56.86,56.685,45244291.2,797340,2024-04-19 19:00:00,2024-04-19 19:59:59
56.695,56.595,56.78,56.57,52997201.45,935200,2024-04-19 20:00:00,2024-04-19 20:59:59
56.595,56.705,56.715,56.57,38318572.8,676570,2024-04-19 21:00:00,2024-04-19 21:59:59
56.705,56.615,56.71,56.445,79720158.29999998,1410290,2024-04-19 22:00:00,2024-04-19 22:59:59
56.63,56.495,56.655,56.46,38507239.699999996,681400,2024-04-19 23:00:00,2024-04-19 23:59:54
56.58,56.58,56.58,56.58,665380.7999999996,11760,2024-04-22 09:00:00,2024-04-22 09:59:59
56.575,56.47,56.78,56.415,175153833.05,3099290,2024-04-22 10:00:00,2024-04-22 10:59:59
56.485,56.41,56.485,56.3,181900003.54999998,3225340,2024-04-22 11:00:00,2024-04-22 11:59:59
