open,close,high,low,value,volume,begin,end
4695.0,4859.0,4863.0,4676.0,2051109420.0,428212,2020-10-12,2020-10-12 23:59:59
4851.0,4837.0,4934.5,4785.0,2180831281.0,449102,2020-10-13,2020-10-13 23:59:59
4839.0,4912.0,4931.5,4818.5,1809768547.5,369435,2020-10-14,2020-10-14 23:59:59
4900.0,4741.0,4912.0,4702.0,1709792068.0,357775,2020-10-15,2020-10-15 23:59:59
4743.0,4782.0,4804.5,4687.0,1702119155.0,358825,2020-10-16,2020-10-16 23:59:59
4787.0,4914.5,4950.0,4777.5,2158481755.0,441229,2020-10-19,2020-10-19 23:59:59
4929.5,4910.5,5023.0,4867.5,2513992394.0,506888,2020-10-20,2020-10-20 23:59:59
4911.5,4863.0,4934.0,4829.0,1301598065.0,267110,2020-10-21,2020-10-21 23:59:59
4849.0,4900.5,4925.0,4831.0,1041878711.5,212909,2020-10-22,2020-10-22 23:59:59
4897.5,4855.5,4908.0,4825.5,856914045.0,176398,2020-10-23,2020-10-23 23:59:59
4820.0,4799.5,4894.0,4760.0,1234627876.5,254997,2020-10-26,2020-10-26 23:59:59
4815.0,4784.0,4862.0,4763.0,1268356269.0,263933,2020-10-27,2020-10-27 23:59:59
4776.0,4702.0,4783.5,4636.0,1894709436.0,403936,2020-10-28,2020-10-28 23:59:59
4710.0,4659.0,4742.0,4581.0,2811622064.0,603821,2020-10-29,2020-10-29 23:59:59
4639.0,4706.0,4728.0,4542.0,1660836939.0,357274,2020-10-30,2020-10-30 23:59:59
4706.0,4829.0,4844.0,4635.0,1390512489.0,291312,2020-11-02,2020-11-02 23:59:59
4832.5,4770.0,4900.0,4728.0,1989222262.5,415641,2020-11-03,2020-11-03 23:59:59
4820.0,4741.5,4860.5,4708.0,1648648556.5,345118,2020-11-05,2020-11-05 23:59:59
4750.0,4796.0,4827.5,4694.5,1909760010.0,400779,2020-11-06,2020-11-06 23:59:59
4820.0,4893.5,4930.0,4797.5,2376414971.0,487316,2020-11-09,2020-11-09 23:59:59
4885.0,4945.0,4985.5,4880.0,1650175059.0,333615,2020-11-10,2020-11-10 23:59:59
4961.0,4780.0,5003.5,4754.0,2530592370.5,523043,2020-11-11,2020-11-11 23:59:59
4766.0,4910.0,4974.5,4766.0,2337214817.0,478153,2020-11-12,2020-11-12 23:59:59
4930.0,4932.0,4946.5,4831.0,1226937220.5,250741,2020-11-13,2020-11-13 23:59:59
4945.0,4982.0,5025.0,4906.5,1965834637.0,396110,2020-11-16,2020-11-16 23:59:59
4994.0,4891.5,5000.0,4848.0,1577433276.5,320047,2020-11-17,2020-11-17 23:59:59
4891.5,4980.0,5001.0,4850.0,2182114227.5,442531,2020-11-18,2020-11-18 23:59:59
