open,close,high,low,value,volume,begin,end
330.15,330.8,333.3,329.55,807946269.0,2436040,2020-10-12,2020-10-12 23:59:59
331.45,330.6,332.9,329.4,940045259.5,2838380,2020-10-13,2020-10-13 23:59:59
330.6,332.6,332.75,329.2,1077899497.0,3262630,2020-10-14,2020-10-14 23:59:59
331.6,321.75,333.55,320.1,1516554482.0,4638810,2020-10-15,2020-10-15 23:59:59
322.15,321.75,324.2,313.7,2719929101.0,8515880,2020-10-16,2020-10-16 23:59:59
322.5,316.2,323.75,315.2,1011167888.5,3173290,2020-10-19,2020-10-19 23:59:59
316.0,320.8,322.4,316.0,1244312034.0,3885020,2020-10-20,2020-10-20 23:59:59
321.95,321.15,321.95,316.65,774171459.0,2422170,2020-10-21,2020-10-21 23:59:59
320.9,320.45,322.8,318.0,802678706.5,2502910,2020-10-22,2020-10-22 23:59:59
320.85,318.4,321.35,317.2,862658811.0,2701640,2020-10-23,2020-10-23 23:59:59
318.35,317.25,319.95,316.3,748469384.5,2348870,2020-10-26,2020-10-26 23:59:59
317.75,316.2,319.35,315.9,1082582449.0,3403610,2020-10-27,2020-10-27 23:59:59
316.6,313.15,316.75,310.1,1753901087.0,5609150,2020-10-28,2020-10-28 23:59:59
313.65,313.1,315.95,308.2,1253980415.5,4025920,2020-10-29,2020-10-29 23:59:59
311.1,311.6,312.35,308.6,904587073.0,2907880,2020-10-30,2020-10-30 23:59:59
311.75,315.95,317.0,308.2,1281481218.5,4079660,2020-11-02,2020-11-02 23:59:59
316.5,319.25,320.2,316.5,614313231.5,1929110,2020-11-03,2020-11-03 23:59:59
321.95,323.4,324.0,317.0,1242149842.5,3864360,2020-11-05,2020-11-05 23:59:59
322.85,323.65,324.2,320.65,1111049757.5,3443560,2020-11-06,2020-11-06 23:59:59
324.1,324.7,328.3,323.6,2297928334.0,7045040,2020-11-09,2020-11-09 23:59:59
325.9,322.6,326.0,320.55,1486691524.0,4609340,2020-11-10,2020-11-10 23:59:59
322.7,322.15,324.3,320.65,1134398375.0,3516680,2020-11-11,2020-11-11 23:59:59
321.1,318.95,322.5,318.3,1005816665.5,3142380,2020-11-12,2020-11-12 23:59:59
319.8,321.7,321.95,316.65,1220812913.5,3826710,2020-11-13,2020-11-13 23:59:59
322.15,323.15,323.6,320.35,1360324894.5,4226870,2020-11-16,2020-11-16 23:59:59
322.9,324.7,325.9,319.25,2151680434.5,6664770,2020-11-17,2020-11-17 23:59:59
324.7,321.6,324.7,319.2,1699544851.0,5264790,2020-11-18,2020-11-18 23:59:59
322.0,319.45,323.1,318.5,1579595918.0,4930780,2020-11-19,2020-11-19 23:59:59
319.9,317.7,319.9,316.25,1703382699.5,5369320,2020-11-20,2020-11-20 23:59:59
318.2,319.55,320.1,317.6,1009075655.5,3161760,2020-11-23,2020-11-23 23:59:59
319.6,314.85,321.1,314.1,1822982238.5,5744850,2020-11-24,2020-11-24 23:59:59
316.3,319.05,319.4,313.5,1987672771.5,6293890,2020-11-25,2020-11-25 23:59:59
318.65,318.8,319.7,317.4,863987851.0,2713520,2020-11-26,2020-11-26 23:59:59
318.15,321.0,321.95,316.8,1953481466.0,6117700,2020-11-27,2020-11-27 23:59:59
320.05,321.65,322.85,318.3,1176841374.0,3671260,2020-11-30,2020-11-30 23:59:59
321.95,322.85,325.4,321.25,1674192650.5,5170390,2020-12-01,2020-12-01 23:59:59
323.0,321.0,323.85,320.1,1261107234.0,3923730,2020-12-02,2020-12-02 23:59:59
321.4,317.55,322.4,317.1,1479943312.0,4632750,2020-12-03,2020-12-03 23:59:59
318.95,316.85,320.0,316.2,1109786271.0,3488450,2020-12-04,2020-12-04 23:59:59
317.65,317.55,320.1,317.1,903962746.5,2838830,2020-12-07,2020-12-07 23:59:59
318.0,318.05,319.3,316.5,1129875172.0,3557650,2020-12-08,2020-12-08 23:59:59
318.25,320.8,324.2,317.65,2411822129.5,7505750,2020-12-09,2020-12-09 23:59:59
321.5,324.0,324.75,320.55,1350613475.0,4184120,2020-12-10,2020-12-10 23:59:59
324.75,318.65,327.2,318.25,2010943307.0,6225400,2020-12-11,2020-12-11 23:59:59
320.2,318.95,322.3,318.0,1532759848.0,4787280,2020-12-14,2020-12-14 23:59:59
319.95,320.7,320.95,318.2,1065452449.0,3329860,2020-12-15,2020-12-15 23:59:59
320.5,321.4,323.0,319.5,929445370.5,2891640,2020-12-16,2020-12-16 23:59:59
322.05,325.9,326.8,321.3,1338401672.0,4142120,2020-12-17,2020-12-17 23:59:59
325.0,328.05,329.0,322.25,2175757328.5,6669160,2020-12-18,2020-12-18 23:59:59
327.75,325.3,329.45,321.5,1831097547.0,5633510,2020-12-21,2020-12-21 23:59:59
324.75,326.85,327.8,323.55,951793867.0,2916740,2020-12-22,2020-12-22 23:59:59
326.7,326.75,328.2,325.5,744731119.5,2274090,2020-12-23,2020-12-23 23:59:59
327.1,326.45,327.8,326.1,413509966.0,1264600,2020-12-24,2020-12-24 23:59:59
327.0,327.9,329.7,325.1,532717039.0,1623000,2020-12-25,2020-12-25 23:59:59
329.1,327.65,329.75,327.15,782605974.0,2383450,2020-12-28,2020-12-28 23:59:59
328.0,330.25,331.7,327.9,893465941.5,2708970,2020-12-29,2020-12-29 23:59:59
331.5,331.2,332.05,326.1,858038761.5,2602260,2020-12-30,2020-12-30 23:59:59
332.0,334.9,336.2,331.9,744024808.5,2225240,2021-01-04,2021-01-04 23:59:59
333.6,337.8,338.85,332.6,881850171.5,2621040,2021-01-05,2021-01-05 23:59:59
338.0,334.05,338.0,330.7,895974894.5,2675420,2021-01-06,2021-01-06 23:59:59
334.85,339.4,339.8,334.8,1414890691.5,4194290,2021-01-08,2021-01-08 23:59:59
337.6,337.55,340.1,335.5,1392623342.5,4125860,2021-01-11,2021-01-11 23:59:59
337.9,334.2,339.4,332.7,1166688670.0,3475940,2021-01-12,2021-01-12 23:59:59
334.5,331.9,335.4,330.0,964592842.0,2902940,2021-01-13,2021-01-13 23:59:59
332.5,337.35,338.4,330.4,1093134508.5,3275170,2021-01-14,2021-01-14 23:59:59
335.2,332.85,337.45,332.75,860874417.0,2565280,2021-01-15,2021-01-15 23:59:59
333.05,333.0,334.2,331.05,464360452.0,1394890,2021-01-18,2021-01-18 23:59:59
333.5,331.1,334.25,330.0,912779139.5,2746310,2021-01-19,2021-01-19 23:59:59
331.0,332.2,333.2,330.65,459939847.0,1383990,2021-01-20,2021-01-20 23:59:59
332.2,329.3,333.75,327.7,1092897751.0,3314340,2021-01-21,2021-01-21 23:59:59
328.05,329.9,330.85,325.0,1277455252.5,3895990,2021-01-22,2021-01-22 23:59:59
330.5,333.8,335.15,329.45,898398906.5,2699600,2021-01-25,2021-01-25 23:59:59
334.9,336.3,336.95,332.45,849040212.5,2532830,2021-01-26,2021-01-26 23:59:59
336.95,334.5,337.35,333.0,963366441.0,2874730,2021-01-27,2021-01-27 23:59:59
334.95,333.6,337.2,332.75,1711237587.0,5107880,2021-01-28,2021-01-28 23:59:59
333.6,328.85,333.85,328.8,1057109734.0,3194260,2021-01-29,2021-01-29 23:59:59
330.0,330.75,331.85,326.85,479302581.0,1452140,2021-02-01,2021-02-01 23:59:59
331.2,331.95,333.35,330.2,672786072.0,2028910,2021-02-02,2021-02-02 23:59:59
333.0,335.05,335.3,330.9,770056918.0,2305020,2021-02-03,2021-02-03 23:59:59
335.1,333.55,335.85,331.2,967321419.0,2894320,2021-02-04,2021-02-04 23:59:59
