open,close,high,low,value,volume,begin,end
169.26,173.28,173.52,169.0,694655112.4,4040560,2020-10-12,2020-10-12 23:59:59
172.72,168.28,173.3,167.8,622013512.2,3660750,2020-10-13,2020-10-13 23:59:59
168.66,169.68,170.5,167.12,874845598.4,5180910,2020-10-14,2020-10-14 23:59:59
169.7,170.74,171.38,168.68,684323077.0,4023080,2020-10-15,2020-10-15 23:59:59
170.76,170.56,171.9,169.64,696421318.0,4073450,2020-10-16,2020-10-16 23:59:59
170.88,170.14,171.7,168.02,360714361.6,2126140,2020-10-19,2020-10-19 23:59:59
169.74,172.34,172.62,169.74,487298470.6,2845980,2020-10-20,2020-10-20 23:59:59
172.86,171.22,173.34,170.4,761985965.6,4428900,2020-10-21,2020-10-21 23:59:59
170.7,180.24,182.22,170.7,2367959929.8,13292440,2020-10-22,2020-10-22 23:59:59
180.4,179.5,181.92,178.7,1269097958.8,7044000,2020-10-23,2020-10-23 23:59:59
179.88,179.64,181.0,178.02,857871413.6,4775190,2020-10-26,2020-10-26 23:59:59
179.8,180.62,184.18,179.24,1250209787.2,6889100,2020-10-27,2020-10-27 23:59:59
181.16,178.84,181.84,175.62,1419751387.4,7954270,2020-10-28,2020-10-28 23:59:59
179.44,181.08,182.5,177.36,1077022174.4,5984840,2020-10-29,2020-10-29 23:59:59
180.0,185.1,186.4,177.8,1679103420.6,9144530,2020-10-30,2020-10-30 23:59:59
185.1,188.2,189.24,183.24,1316320442.2,7036350,2020-11-02,2020-11-02 23:59:59
190.08,190.6,191.32,188.2,1223927703.0,6439620,2020-11-03,2020-11-03 23:59:59
193.44,186.54,194.24,185.7,2355893514.4,12473150,2020-11-05,2020-11-05 23:59:59
186.0,189.5,189.58,184.0,1453479448.2,7797540,2020-11-06,2020-11-06 23:59:59
190.9,191.88,193.66,188.0,1473582208.8,7738450,2020-11-09,2020-11-09 23:59:59
192.34,192.42,193.1,190.38,1109286823.2,5786610,2020-11-10,2020-11-10 23:59:59
191.62,194.44,195.1,191.62,1062744758.8,5489010,2020-11-11,2020-11-11 23:59:59
193.0,193.48,194.98,191.72,2005631364.2,10339140,2020-11-12,2020-11-12 23:59:59
192.7,197.72,198.52,192.7,1062530127.2,5431950,2020-11-13,2020-11-13 23:59:59
199.0,202.58,202.86,198.0,2018305937.8,10061970,2020-11-16,2020-11-16 23:59:59
202.64,196.06,202.76,193.8,1963286093.0,9984730,2020-11-17,2020-11-17 23:59:59
195.2,192.6,196.18,190.72,1930075553.2,10026470,2020-11-18,2020-11-18 23:59:59
192.0,191.0,193.8,190.2,883128259.4,4611130,2020-11-19,2020-11-19 23:59:59
191.5,191.34,192.2,189.76,545499463.4,2856800,2020-11-20,2020-11-20 23:59:59
191.5,190.34,193.9,188.7,985081366.4,5163090,2020-11-23,2020-11-23 23:59:59
190.22,193.44,193.9,189.76,721941453.0,3761090,2020-11-24,2020-11-24 23:59:59
193.98,194.46,195.6,191.7,876827812.4,4528280,2020-11-25,2020-11-25 23:59:59
194.5,197.14,198.22,193.98,1030639464.8,5237230,2020-11-26,2020-11-26 23:59:59
196.84,198.38,199.48,196.1,645351312.4,3259340,2020-11-27,2020-11-27 23:59:59
197.98,192.62,198.46,191.24,2997354996.0,15518190,2020-11-30,2020-11-30 23:59:59
193.94,196.34,198.2,193.02,1355911529.6,6917780,2020-12-01,2020-12-01 23:59:59
196.3,194.76,203.5,193.2,3392581141.2,17099440,2020-12-02,2020-12-02 23:59:59
192.42,191.0,194.9,189.26,5115875405.0,26780500,2020-12-03,2020-12-03 23:59:59
191.92,192.38,193.56,189.02,2190611347.4,11459050,2020-12-04,2020-12-04 23:59:59
192.28,196.44,198.98,191.1,2886553477.6,14707550,2020-12-07,2020-12-07 23:59:59
196.98,198.3,200.0,196.04,2671468740.6,13495880,2020-12-08,2020-12-08 23:59:59
198.5,197.26,201.22,196.78,2965243418.8,14882550,2020-12-09,2020-12-09 23:59:59
197.8,201.1,201.4,197.5,1464786363.6,7332170,2020-12-10,2020-12-10 23:59:59
200.54,204.5,205.52,200.54,2344028490.6,11524910,2020-12-11,2020-12-11 23:59:59
206.0,211.1,212.8,205.28,2971273747.4,14163260,2020-12-14,2020-12-14 23:59:59
210.12,211.32,214.48,207.32,2164996639.6,10259390,2020-12-15,2020-12-15 23:59:59
212.9,214.44,215.94,211.8,2069706023.2,9676590,2020-12-16,2020-12-16 23:59:59
214.9,213.18,216.4,211.64,1561122272.6,7295030,2020-12-17,2020-12-17 23:59:59
213.14,213.34,214.48,210.24,1925870122.6,9050170,2020-12-18,2020-12-18 23:59:59
213.0,210.4,214.4,206.5,2070248181.2,9871250,2020-12-21,2020-12-21 23:59:59
210.0,217.2,217.9,209.08,2274274040.0,10601000,2020-12-22,2020-12-22 23:59:59
216.98,218.22,219.5,216.22,1276034545.4,5858640,2020-12-23,2020-12-23 23:59:59
218.98,219.8,220.64,217.4,1489583448.4,6800330,2020-12-24,2020-12-24 23:59:59
220.0,224.36,225.44,220.0,2696445844.0,12099830,2020-12-25,2020-12-25 23:59:59
