open,close,high,low,value,volume,begin,end
1280.0,1280.0,1280.0,1280.0,1582080.0,1236,2024-04-11 09:00:00,2024-04-11 09:59:59
1279.6,1285.2,1288.0,1278.0,335353613.40000004,260972,2024-04-11 10:00:00,2024-04-11 10:59:59
1285.2,1285.0,1285.2,1280.2,110354755.80000001,85981,2024-04-11 11:00:00,2024-04-11 11:59:59
1285.0,1282.6,1286.0,1281.2,90755841.60000001,70698,2024-04-11 12:00:00,2024-04-11 12:59:59
1282.6,1284.2,1285.0,1282.4,98893083.00000004,77013,2024-04-11 13:00:00,2024-04-11 13:59:59
1284.2,1286.0,1286.0,1283.0,78584021.79999997,61155,2024-04-11 14:00:00,2024-04-11 14:59:59
1286.0,1283.0,1286.0,1280.0,112706354.19999993,87852,2024-04-11 15:00:00,2024-04-11 15:59:59
1283.2,1285.2,1286.0,1283.0,98554441.4,76666,2024-04-11 16:00:00,2024-04-11 16:59:59
1285.2,1284.4,1286.0,1282.2,96719928.6,75290,2024-04-11 17:00:00,2024-04-11 17:59:59
1284.4,1282.0,1286.6,1282.0,107537667.20000002,83735,2024-04-11 18:00:00,2024-04-11 18:59:59
1283.4,1283.2,1284.6,1282.4,31839889.199999996,24805,2024-04-11 19:00:00,2024-04-11 19:59:59
1283.2,1282.4,1283.8,1280.8,30414793.20000001,23722,2024-04-11 20:00:00,2024-04-11 20:59:59
1283.2,1284.8,1285.0,1282.4,26253368.399999995,20445,2024-04-11 21:00:00,2024-04-11 21:59:59
1284.8,1283.8,1285.0,1283.6,21444414.599999998,16696,2024-04-11 22:00:00,2024-04-11 22:59:59
1283.8,1283.2,1284.0,1282.4,17858665.4,13920,2024-04-11 23:00:00,2024-04-11 23:59:59
1284.0,1284.0,1284.0,1284.0,1503564.0,1171,2024-04-12 09:00:00,2024-04-12 09:59:59
1284.2,1289.2,1292.4,1284.2,264570567.40000004,205209,2024-04-12 10:00:00,2024-04-12 10:59:59
1289.0,1286.8,1291.8,1285.6,125742413.79999997,97558,2024-04-12 11:00:00,2024-04-12 11:59:59
1286.8,1292.2,1295.0,1286.4,179016932.4,138581,2024-04-12 12:00:00,2024-04-12 12:59:59
1292.8,1294.0,1295.2,1291.2,141535418.39999998,109360,2024-04-12 13:00:00,2024-04-12 13:59:59
1294.0,1291.4,1294.2,1290.0,109668116.8,84890,2024-04-12 14:00:00,2024-04-12 14:59:59
