open,close,high,low,value,volume,begin,end
2674.5,3033.0,3192.5,2674.5,5341049182.0,1751752,2020-11-24,2020-11-24 23:59:59
3102.0,2954.0,3282.0,2888.0,3953155589.5,1285058,2020-11-25,2020-11-25 23:59:59
3002.0,2944.0,3002.0,2900.5,572433740.5,194320,2020-11-26,2020-11-26 23:59:59
2967.5,3025.0,3082.0,2913.0,1003868840.0,336314,2020-11-27,2020-11-27 23:59:59
2999.5,3071.0,3140.0,2967.5,638771333.5,210260,2020-11-30,2020-11-30 23:59:59
3048.0,3059.5,3097.0,3000.5,456113989.0,150540,2020-12-01,2020-12-01 23:59:59
3030.0,3184.0,3230.0,3003.0,817860239.0,264443,2020-12-02,2020-12-02 23:59:59
3120.5,3614.5,3649.0,3085.5,3079827060.5,914180,2020-12-03,2020-12-03 23:59:59
3566.5,3556.0,3984.0,3428.5,4073658159.5,1103055,2020-12-04,2020-12-04 23:59:59
3570.0,3422.0,3675.0,3351.5,1424032738.0,404941,2020-12-07,2020-12-07 23:59:59
3425.0,3471.0,3495.0,3260.0,1083920285.5,320213,2020-12-08,2020-12-08 23:59:59
3549.5,3301.0,3600.0,3300.0,1559692954.0,450862,2020-12-09,2020-12-09 23:59:59
3349.5,3294.0,3380.0,3267.5,766095157.5,230675,2020-12-10,2020-12-10 23:59:59
3300.0,3164.5,3340.0,3106.0,803140786.0,249633,2020-12-11,2020-12-11 23:59:59
3195.0,3069.0,3238.0,3012.5,982201022.0,315680,2020-12-14,2020-12-14 23:59:59
3094.0,3201.0,3208.5,3040.5,582754181.0,186180,2020-12-15,2020-12-15 23:59:59
3215.0,3357.0,3369.0,3168.0,882847818.0,270373,2020-12-16,2020-12-16 23:59:59
3339.0,3211.5,3398.5,3181.5,813076723.0,248005,2020-12-17,2020-12-17 23:59:59
3200.5,3264.5,3296.0,3119.5,884205645.5,275422,2020-12-18,2020-12-18 23:59:59
3283.0,3264.0,3346.5,3178.0,1099427932.0,335810,2020-12-21,2020-12-21 23:59:59
3263.0,3231.0,3415.0,3209.0,1400228584.5,424456,2020-12-22,2020-12-22 23:59:59
3265.0,3222.0,3270.0,3131.0,1020979232.5,318660,2020-12-23,2020-12-23 23:59:59
3220.0,3149.0,3243.0,3108.0,612632842.5,193821,2020-12-24,2020-12-24 23:59:59
3152.5,3150.5,3164.0,3130.0,141266914.5,44910,2020-12-25,2020-12-25 23:59:59
3168.0,3290.0,3290.5,3142.5,891595632.0,276042,2020-12-28,2020-12-28 23:59:59
3293.0,3232.0,3327.5,3170.0,678256992.5,208916,2020-12-29,2020-12-29 23:59:59
3241.0,3289.5,3348.0,3202.0,729720530.5,220590,2020-12-30,2020-12-30 23:59:59
3269.5,3229.5,3278.0,2996.0,1166306586.5,363380,2021-01-04,2021-01-04 23:59:59
3239.0,3348.5,3380.5,3209.5,928013909.5,281386,2021-01-05,2021-01-05 23:59:59
3345.0,3257.0,3369.5,3220.0,516032591.5,156698,2021-01-06,2021-01-06 23:59:59
3325.0,3376.5,3500.0,3270.0,1409718019.0,414915,2021-01-08,2021-01-08 23:59:59
3365.0,3382.0,3426.0,3330.0,485323377.5,143916,2021-01-11,2021-01-11 23:59:59
3375.0,3530.5,3572.0,3345.0,1100397324.5,316288,2021-01-12,2021-01-12 23:59:59
3501.5,3491.0,3600.0,3460.0,676384499.0,192042,2021-01-13,2021-01-13 23:59:59
3527.5,3636.5,3696.0,3460.5,1024743643.0,286347,2021-01-14,2021-01-14 23:59:59
3620.0,3805.5,4002.5,3485.0,1560848796.5,423632,2021-01-15,2021-01-15 23:59:59
3815.0,3795.0,3839.5,3722.5,478183396.0,126271,2021-01-18,2021-01-18 23:59:59
3874.5,3972.0,4150.0,3814.5,2080726861.0,526867,2021-01-19,2021-01-19 23:59:59
3943.5,4001.0,4190.0,3943.5,1882502174.5,461149,2021-01-20,2021-01-20 23:59:59
