open,close,high,low,value,volume,begin,end
3811.0,3811.0,3811.0,3811.0,4054904.0,1064,2024-04-11 09:00:00,2024-04-11 09:59:59
3807.0,3769.0,3814.5,3752.0,248316500.0,65600,2024-04-11 10:00:00,2024-04-11 10:59:59
3769.0,3775.0,3782.5,3756.0,97730511.0,25921,2024-04-11 11:00:00,2024-04-11 11:59:59
3775.0,3783.5,3787.5,3772.0,45469437.5,12025,2024-04-11 12:00:00,2024-04-11 12:59:59
3782.5,3775.5,3785.0,3770.0,53087433.5,14063,2024-04-11 13:00:00,2024-04-11 13:59:59
3775.5,3766.0,3777.0,3765.5,33684592.0,8934,2024-04-11 14:00:00,2024-04-11 14:59:59
3765.5,3766.0,3769.5,3756.5,60129285.0,15983,2024-04-11 15:00:00,2024-04-11 15:59:59
3766.0,3772.5,3775.0,3764.0,45192930.5,11989,2024-04-11 16:00:00,2024-04-11 16:59:59
3772.5,3781.5,3785.0,3769.0,55433175.5,14664,2024-04-11 17:00:00,2024-04-11 17:59:59
3781.0,3770.0,3781.0,3770.0,14812971.0,3924,2024-04-11 18:00:00,2024-04-11 18:59:59
3760.5,3770.0,3777.5,3760.5,16780178.0,4451,2024-04-11 19:00:00,2024-04-11 19:59:59
3770.0,3754.5,3770.5,3740.0,97384763.5,25945,2024-04-11 20:00:00,2024-04-11 20:59:59
3754.5,3754.0,3757.0,3752.0,19904330.5,5302,2024-04-11 21:00:00,2024-04-11 21:59:59
3754.0,3764.0,3764.0,3753.0,20189040.5,5375,2024-04-11 22:00:00,2024-04-11 22:59:59
3762.0,3753.0,3763.5,3752.5,21568164.0,5741,2024-04-11 23:00:00,2024-04-11 23:59:59
3754.0,3754.0,3754.0,3754.0,2781714.0,741,2024-04-12 09:00:00,2024-04-12 09:59:59
3756.0,3734.0,3763.0,3730.0,160126840.0,42791,2024-04-12 10:00:00,2024-04-12 10:59:59
3734.0,3736.5,3745.5,3730.0,109632090.0,29333,2024-04-12 11:00:00,2024-04-12 11:59:59
3736.5,3722.0,3738.0,3718.0,141009256.5,37836,2024-04-12 12:00:00,2024-04-12 12:59:59
3722.0,3709.0,3722.0,3705.0,213652070.0,57545,2024-04-12 13:00:00,2024-04-12 13:59:59
3710.0,3708.5,3714.0,3682.5,424626524.5,114768,2024-04-12 14:00:00,2024-04-12 14:59:59
3707.0,3723.0,3727.0,3695.0,179753594.5,48480,2024-04-12 15:00:00,2024-04-12 15:59:59
3723.5,3706.0,3738.5,3706.0,265272820.0,71220,2024-04-12 16:00:00,2024-04-12 16:59:59
3706.0,3697.5,3712.5,3695.0,168359498.0,45482,2024-04-12 17:00:00,2024-04-12 17:59:59
3697.5,3704.5,3704.5,3690.0,124638591.0,33717,2024-04-12 18:00:00,2024-04-12 18:59:59
3704.0,3712.0,3727.5,3700.5,154931680.0,41714,2024-04-12 19:00:00,2024-04-12 19:59:59
3712.5,3710.0,3716.0,3705.5,28133681.5,7579,2024-04-12 20:00:00,2024-04-12 20:59:59
3710.0,3707.0,3710.5,3702.0,18980498.0,5123,2024-04-12 21:00:00,2024-04-12 21:59:59
3707.0,3706.5,3708.5,3689.0,141783573.0,38372,2024-04-12 22:00:00,2024-04-12 22:59:59
3706.5,3713.0,3713.5,3700.0,43839266.5,11828,2024-04-12 23:00:00,2024-04-12 23:59:59
3713.5,3713.5,3713.5,3713.5,2458337.0,662,2024-04-15 09:00:00,2024-04-15 09:59:59
3714.0,3761.5,3770.0,3714.0,411748450.5,109786,2024-04-15 10:00:00,2024-04-15 10:59:59
3761.0,3793.5,3805.0,3757.0,323034215.0,85393,2024-04-15 11:00:00,2024-04-15 11:59:59
3793.5,3810.0,3814.5,3791.0,213424603.5,56176,2024-04-15 12:00:00,2024-04-15 12:59:59
3811.5,3818.0,3837.5,3805.5,304153459.0,79547,2024-04-15 13:00:00,2024-04-15 13:59:59
3818.0,3811.0,3826.0,3800.5,154582113.0,40541,2024-04-15 14:00:00,2024-04-15 14:59:59
3812.0,3826.5,3830.0,3807.5,95865313.5,25088,2024-04-15 15:00:00,2024-04-15 15:59:59
3825.0,3832.5,3838.0,3825.0,124920070.5,32593,2024-04-15 16:00:00,2024-04-15 16:59:59
3833.0,3825.5,3833.0,3812.0,121585251.5,31796,2024-04-15 17:00:00,2024-04-15 17:59:59
3825.5,3826.0,3830.0,3818.0,54612327.5,14283,2024-04-15 18:00:00,2024-04-15 18:49:10
3828.5,3827.0,3833.0,3819.0,48411254.0,12658,2024-04-15 19:00:00,2024-04-15 19:59:59
3827.0,3823.5,3828.5,3820.5,24569348.5,6424,2024-04-15 20:00:00,2024-04-15 20:59:59
3824.0,3820.5,3824.0,3811.0,59578187.0,15603,2024-04-15 21:00:00,2024-04-15 21:59:59
3823.0,3824.0,3824.0,3816.5,29780567.0,7793,2024-04-15 22:00:00,2024-04-15 22:59:59
3823.0,3831.5,3832.0,3818.0,53697817.5,14033,2024-04-15 23:00:00,2024-04-15 23:59:56
3850.0,3850.0,3850.0,3850.0,8196650.0,2129,2024-04-16 09:00:00,2024-04-16 09:59:59
3849.5,3814.5,3869.5,3803.5,546860151.5,142305,2024-04-16 10:00:00,2024-04-16 10:59:59
3814.5,3831.0,3839.5,3807.0,174277365.0,45583,2024-04-16 11:00:00,2024-04-16 11:59:59
3831.0,3823.0,3832.0,3814.5,62389784.0,16320,2024-04-16 12:00:00,2024-04-16 12:59:59
3822.5,3824.5,3831.5,3816.0,51415270.5,13440,2024-04-16 13:00:00,2024-04-16 13:59:59
3824.5,3816.5,3825.5,3806.0,80591895.0,21135,2024-04-16 14:00:00,2024-04-16 14:59:59
3816.5,3813.5,3820.5,3811.0,32428139.0,8503,2024-04-16 15:00:00,2024-04-16 15:59:59
3813.5,3818.0,3825.0,3812.0,44411009.5,11628,2024-04-16 16:00:00,2024-04-16 16:59:59
3819.5,3815.0,3823.0,3814.0,20022643.0,5245,2024-04-16 17:00:00,2024-04-16 17:59:59
3815.0,3822.0,3823.0,3809.0,43409532.0,11376,2024-04-16 18:00:00,2024-04-16 18:47:09
3816.0,3817.0,3832.0,3812.5,40564597.5,10616,2024-04-16 19:00:00,2024-04-16 19:59:05
3817.0,3823.0,3824.5,3813.0,17322931.0,4536,2024-04-16 20:00:00,2024-04-16 20:59:59
3823.0,3834.0,3847.0,3822.0,68503687.0,17862,2024-04-16 21:00:00,2024-04-16 21:59:59
3834.5,3838.0,3842.0,3833.5,18877416.0,4919,2024-04-16 22:00:00,2024-04-16 22:59:59
3838.0,3848.0,3848.0,3832.5,33759084.5,8789,2024-04-16 23:00:00,2024-04-16 23:59:54
3848.0,3848.0,3848.0,3848.0,1181336.0,307,2024-04-17 09:00:00,2024-04-17 09:59:59
3848.0,3832.0,3855.5,3825.5,121068456.5,31540,2024-04-17 10:00:00,2024-04-17 10:59:59
3832.0,3829.0,3840.0,3826.0,60542423.5,15799,2024-04-17 11:00:00,2024-04-17 11:59:59
3827.5,3830.0,3835.0,3818.5,75480527.0,19735,2024-04-17 12:00:00,2024-04-17 12:59:59
3830.0,3840.5,3843.5,3830.0,101249806.5,26404,2024-04-17 13:00:00,2024-04-17 13:59:59
