open,close,high,low,value,volume,begin,end
567.7,567.2,571.5,562.2,103936161.0,182720,2020-10-12,2020-10-12 23:59:59
568.9,578.0,582.8,564.5,94472861.0,165130,2020-10-13,2020-10-13 23:59:59
573.5,586.2,586.2,573.5,125013973.0,214600,2020-10-14,2020-10-14 23:59:59
586.7,583.6,592.7,580.1,203558556.0,346540,2020-10-15,2020-10-15 23:59:59
584.7,598.3,598.3,582.2,103425010.0,175580,2020-10-16,2020-10-16 23:59:59
599.7,600.0,609.4,595.0,203369188.0,337180,2020-10-19,2020-10-19 23:59:59
603.3,604.7,611.0,600.0,218788752.0,361680,2020-10-20,2020-10-20 23:59:59
609.0,600.0,609.0,596.0,101637685.0,168640,2020-10-21,2020-10-21 23:59:59
600.1,600.8,609.0,596.6,132871551.0,220650,2020-10-22,2020-10-22 23:59:59
598.0,596.0,602.3,592.0,112530364.0,189020,2020-10-23,2020-10-23 23:59:59
598.1,584.5,598.1,578.0,95519520.0,162690,2020-10-26,2020-10-26 23:59:59
583.5,576.2,584.5,575.0,59677072.0,103330,2020-10-27,2020-10-27 23:59:59
579.5,567.2,579.5,561.0,90367138.0,159770,2020-10-28,2020-10-28 23:59:59
567.1,573.4,574.9,562.5,54791394.0,96580,2020-10-29,2020-10-29 23:59:59
572.0,569.0,572.0,563.9,64043407.0,112780,2020-10-30,2020-10-30 23:59:59
571.5,564.5,571.5,557.9,48360308.0,86070,2020-11-02,2020-11-02 23:59:59
563.0,567.0,568.0,559.1,50112166.0,88740,2020-11-03,2020-11-03 23:59:59
568.5,583.1,583.2,565.0,97816552.0,169730,2020-11-05,2020-11-05 23:59:59
582.2,582.1,583.1,574.1,48751905.0,84260,2020-11-06,2020-11-06 23:59:59
582.1,591.2,593.7,580.2,117050635.0,198930,2020-11-09,2020-11-09 23:59:59
586.5,587.4,592.7,583.0,56355592.0,95920,2020-11-10,2020-11-10 23:59:59
589.6,591.9,594.1,585.4,37383883.0,63340,2020-11-11,2020-11-11 23:59:59
592.1,587.5,596.0,585.9,41781138.0,70740,2020-11-12,2020-11-12 23:59:59
587.0,587.4,589.2,584.5,19539304.0,33320,2020-11-13,2020-11-13 23:59:59
586.0,593.2,594.3,586.0,77339584.0,131100,2020-11-16,2020-11-16 23:59:59
589.5,597.2,598.3,588.6,31948004.0,53850,2020-11-17,2020-11-17 23:59:59
593.4,596.0,603.0,592.6,96504430.0,161780,2020-11-18,2020-11-18 23:59:59
596.7,597.2,601.7,594.6,59384072.0,99350,2020-11-19,2020-11-19 23:59:59
600.0,595.1,604.0,595.0,54642450.0,91170,2020-11-20,2020-11-20 23:59:59
599.3,595.8,604.6,586.8,99170817.0,167060,2020-11-23,2020-11-23 23:59:59
597.3,598.8,602.3,593.0,63230741.0,105730,2020-11-24,2020-11-24 23:59:59
601.2,595.0,601.2,593.3,52820381.0,88640,2020-11-25,2020-11-25 23:59:59
595.5,593.6,598.0,590.0,37390854.0,62960,2020-11-26,2020-11-26 23:59:59
596.7,594.6,599.0,590.0,42130586.0,71030,2020-11-27,2020-11-27 23:59:59
596.4,596.5,601.1,591.0,49159859.0,82380,2020-11-30,2020-11-30 23:59:59
594.2,594.6,597.7,591.7,35539032.0,59820,2020-12-01,2020-12-01 23:59:59
592.6,593.4,596.4,591.2,20746057.0,34960,2020-12-02,2020-12-02 23:59:59
592.1,594.4,599.0,592.1,28446650.0,47780,2020-12-03,2020-12-03 23:59:59
599.0,593.4,599.8,590.4,34668753.0,58400,2020-12-04,2020-12-04 23:59:59
589.3,594.3,597.6,588.2,58075749.0,97790,2020-12-07,2020-12-07 23:59:59
594.4,594.1,598.4,588.0,56520986.0,95540,2020-12-08,2020-12-08 23:59:59
593.2,583.7,596.2,583.1,68449106.0,116400,2020-12-09,2020-12-09 23:59:59
584.9,587.7,588.7,584.3,32035467.0,54570,2020-12-10,2020-12-10 23:59:59
586.0,582.5,588.5,580.4,42302125.0,72510,2020-12-11,2020-12-11 23:59:59
584.3,578.0,584.3,577.5,34027764.0,58680,2020-12-14,2020-12-14 23:59:59
581.0,585.6,586.0,576.2,33910092.0,58330,2020-12-15,2020-12-15 23:59:59
585.0,587.6,591.7,581.5,43538955.0,74150,2020-12-16,2020-12-16 23:59:59
586.0,586.4,590.7,581.8,68800489.0,117330,2020-12-17,2020-12-17 23:59:59
583.9,580.6,584.0,577.8,35650302.0,61410,2020-12-18,2020-12-18 23:59:59
578.9,578.7,583.8,570.6,52845979.0,91650,2020-12-21,2020-12-21 23:59:59
572.0,582.1,585.8,571.9,47848824.0,82540,2020-12-22,2020-12-22 23:59:59
580.3,582.2,584.9,577.7,19529961.0,33680,2020-12-23,2020-12-23 23:59:59
581.3,579.6,583.7,578.4,18528920.0,31950,2020-12-24,2020-12-24 23:59:59
582.0,586.1,589.3,581.2,12106361.0,20720,2020-12-25,2020-12-25 23:59:59
587.7,592.8,594.8,585.4,45767916.0,77400,2020-12-28,2020-12-28 23:59:59
593.0,593.6,599.0,591.6,45992418.0,77210,2020-12-29,2020-12-29 23:59:59
599.0,595.9,600.0,593.1,36807994.0,61650,2020-12-30,2020-12-30 23:59:59
598.0,597.9,602.6,595.3,31777950.0,52980,2021-01-04,2021-01-04 23:59:59
595.5,598.8,601.4,594.7,40020173.0,66750,2021-01-05,2021-01-05 23:59:59
600.0,596.6,600.4,592.9,44515636.0,74770,2021-01-06,2021-01-06 23:59:59
595.0,596.0,601.0,593.0,47895256.0,80340,2021-01-08,2021-01-08 23:59:59
593.4,595.2,596.4,592.0,48816151.0,82190,2021-01-11,2021-01-11 23:59:59
595.7,594.2,598.2,592.2,64467676.0,108420,2021-01-12,2021-01-12 23:59:59
594.7,589.3,594.9,584.0,50046036.0,85020,2021-01-13,2021-01-13 23:59:59
586.7,591.2,594.8,582.0,88905389.0,150770,2021-01-14,2021-01-14 23:59:59
597.5,597.9,600.0,591.6,83388600.0,139650,2021-01-15,2021-01-15 23:59:59
600.0,611.2,612.9,597.0,392906256.0,647020,2021-01-18,2021-01-18 23:59:59
612.1,641.4,648.0,611.2,679934109.0,1074090,2021-01-19,2021-01-19 23:59:59
646.9,643.3,648.8,621.5,324252036.0,509810,2021-01-20,2021-01-20 23:59:59
646.8,645.7,652.6,637.8,234052489.0,361420,2021-01-21,2021-01-21 23:59:59
649.5,654.0,658.0,640.7,224175411.0,344710,2021-01-22,2021-01-22 23:59:59
652.3,680.3,683.4,652.3,262964924.0,393500,2021-01-25,2021-01-25 23:59:59
682.6,695.5,696.0,678.9,201901311.0,292570,2021-01-26,2021-01-26 23:59:59
698.0,685.3,698.7,673.6,252273607.0,367380,2021-01-27,2021-01-27 23:59:59
682.4,677.0,685.5,671.5,150398619.0,221250,2021-01-28,2021-01-28 23:59:59
677.0,706.9,708.7,672.2,257553740.0,371030,2021-01-29,2021-01-29 23:59:59
706.5,698.7,706.5,692.9,163075605.0,233530,2021-02-01,2021-02-01 23:59:59
695.3,733.0,740.1,695.3,212359673.0,294870,2021-02-02,2021-02-02 23:59:59
736.0,736.7,738.5,723.1,172726015.0,236210,2021-02-03,2021-02-03 23:59:59
736.0,747.0,747.0,729.0,154569416.0,209440,2021-02-04,2021-02-04 23:59:59
741.9,759.8,774.9,741.9,343684651.0,452720,2021-02-05,2021-02-05 23:59:59
763.7,780.1,789.1,756.2,445007913.0,574590,2021-02-08,2021-02-08 23:59:59
777.0,767.0,788.0,757.5,362345821.0,471380,2021-02-09,2021-02-09 23:59:59
767.9,748.0,768.6,737.0,288078052.0,385620,2021-02-10,2021-02-10 23:59:59
747.8,735.0,763.3,733.7,246209854.0,331460,2021-02-11,2021-02-11 23:59:59
734.0,755.9,760.0,721.4,257252533.0,346330,2021-02-12,2021-02-12 23:59:59
762.0,764.5,768.4,756.3,128196184.0,167940,2021-02-15,2021-02-15 23:59:59
769.1,766.0,771.0,758.7,144745283.0,188980,2021-02-16,2021-02-16 23:59:59
770.5,761.9,770.9,750.0,241090520.0,318440,2021-02-17,2021-02-17 23:59:59
754.5,763.8,769.5,752.9,172487142.0,226600,2021-02-18,2021-02-18 23:59:59
766.9,784.9,788.5,758.7,232416523.0,300930,2021-02-19,2021-02-19 23:59:59
777.4,781.9,788.5,775.0,46902270.0,60010,2021-02-20,2021-02-20 23:59:59
785.2,785.0,789.0,772.7,138620723.0,177680,2021-02-22,2021-02-22 23:59:59
789.2,775.0,789.2,767.7,221052635.0,285180,2021-02-24,2021-02-24 23:59:59
774.0,780.0,785.2,771.8,79298119.0,102030,2021-02-25,2021-02-25 23:59:59
780.9,770.8,781.3,765.4,97833963.0,126480,2021-02-26,2021-02-26 23:59:59
777.3,757.3,777.3,745.5,119967421.5,158451,2021-03-01,2021-03-01 23:59:59
759.8,778.1,783.0,751.0,170487569.1,220028,2021-03-02,2021-03-02 23:59:59
782.0,773.0,788.0,772.3,117916924.4,151272,2021-03-03,2021-03-03 23:59:59
773.4,769.1,787.2,760.0,100724021.4,130278,2021-03-04,2021-03-04 23:59:59
781.5,761.3,786.2,753.1,107842887.6,141062,2021-03-05,2021-03-05 23:59:59
755.8,760.1,765.0,735.7,174398968.6,233278,2021-03-09,2021-03-09 23:59:59
755.0,754.1,768.5,750.0,71137788.9,93807,2021-03-10,2021-03-10 23:59:59
754.0,746.3,757.0,735.1,109616459.2,147637,2021-03-11,2021-03-11 23:59:59
744.0,739.8,750.9,732.0,98858100.7,133830,2021-03-12,2021-03-12 23:59:59
739.9,729.6,745.0,715.4,182011355.0,249829,2021-03-15,2021-03-15 23:59:59
724.1,743.5,747.0,724.1,125306884.7,170269,2021-03-16,2021-03-16 23:59:59
747.0,744.1,752.0,738.2,102262499.6,137070,2021-03-17,2021-03-17 23:59:59
741.0,755.6,764.9,739.4,227791319.4,302986,2021-03-18,2021-03-18 23:59:59
752.0,754.5,760.7,744.0,118419574.6,156887,2021-03-19,2021-03-19 23:59:59
760.7,778.1,784.4,752.1,353873219.3,460584,2021-03-22,2021-03-22 23:59:59
777.5,778.4,789.0,775.0,236330402.8,301771,2021-03-23,2021-03-23 23:59:59
788.0,796.8,808.9,778.5,257639931.6,324805,2021-03-24,2021-03-24 23:59:59
800.0,791.6,803.8,783.1,151120521.7,190537,2021-03-25,2021-03-25 23:59:59
787.7,805.8,806.8,787.7,144295968.0,180739,2021-03-26,2021-03-26 23:59:59
805.8,840.5,849.0,798.0,361415885.9,432667,2021-03-29,2021-03-29 23:59:59
849.0,880.9,890.0,840.3,410341920.3,470191,2021-03-30,2021-03-30 23:59:59
880.8,937.0,937.0,871.4,696483888.6,766662,2021-03-31,2021-03-31 23:59:59
937.0,939.0,964.7,897.9,847413831.6,914959,2021-04-01,2021-04-01 23:59:59
932.0,919.3,938.8,913.0,250089682.6,271280,2021-04-02,2021-04-02 23:59:59
925.0,898.4,925.0,890.2,388969850.0,429994,2021-04-05,2021-04-05 23:59:59
900.0,915.6,926.8,891.1,283307374.4,310406,2021-04-06,2021-04-06 23:59:59
920.0,917.3,928.5,905.0,234274549.1,255170,2021-04-07,2021-04-07 23:59:59
906.1,920.6,930.0,906.1,100904399.0,109335,2021-04-08,2021-04-08 23:59:59
922.5,917.4,924.7,907.6,95940764.3,104808,2021-04-09,2021-04-09 23:59:59
927.1,948.3,953.6,914.8,315625202.6,335434,2021-04-12,2021-04-12 23:59:59
954.8,982.0,988.0,947.2,313714670.2,323640,2021-04-13,2021-04-13 23:59:59
976.8,970.1,994.5,948.2,350756229.6,362211,2021-04-14,2021-04-14 23:59:59
963.9,956.2,975.0,946.0,247792894.8,258814,2021-04-15,2021-04-15 23:59:59
969.8,958.7,969.8,948.2,292856351.3,307715,2021-04-16,2021-04-16 23:59:59
958.8,970.3,980.2,949.3,284089342.7,291789,2021-04-19,2021-04-19 23:59:59
977.0,954.0,977.0,942.0,272571460.3,285839,2021-04-20,2021-04-20 23:59:59
959.0,961.9,964.9,946.4,115718677.0,120569,2021-04-21,2021-04-21 23:59:59
968.2,962.5,973.6,955.8,97763315.6,101486,2021-04-22,2021-04-22 23:59:59
971.6,975.0,981.0,962.2,146249883.7,149851,2021-04-23,2021-04-23 23:59:59
987.9,986.7,994.0,972.0,167207253.6,170146,2021-04-26,2021-04-26 23:59:59
