open,close,high,low,value,volume,begin,end
386.1,384.15,387.15,382.7,1701588940.0,4427040,2020-10-12,2020-10-12 23:59:59
384.3,378.85,384.5,378.15,966894493.0,2537000,2020-10-13,2020-10-13 23:59:59
379.0,385.4,385.95,376.4,1153377616.5,3024710,2020-10-14,2020-10-14 23:59:59
384.2,380.2,384.95,379.2,1375792444.5,3617750,2020-10-15,2020-10-15 23:59:59
378.75,382.95,384.35,377.95,1280807713.0,3356910,2020-10-16,2020-10-16 23:59:59
385.25,381.55,385.6,379.5,1189498438.0,3105900,2020-10-19,2020-10-19 23:59:59
380.1,384.6,385.5,380.0,862024443.0,2249100,2020-10-20,2020-10-20 23:59:59
384.6,383.55,385.3,381.35,909764405.0,2373960,2020-10-21,2020-10-21 23:59:59
382.9,381.8,384.85,380.0,1110030182.0,2908960,2020-10-22,2020-10-22 23:59:59
381.8,379.85,381.8,378.5,914465781.5,2407290,2020-10-23,2020-10-23 23:59:59
376.8,374.55,378.0,373.6,1065246274.0,2834990,2020-10-26,2020-10-26 23:59:59
375.0,372.5,376.9,372.05,1143015165.0,3056710,2020-10-27,2020-10-27 23:59:59
371.85,350.9,371.85,350.5,3519650016.0,9829480,2020-10-28,2020-10-28 23:59:59
353.1,353.0,354.2,345.0,2811888456.0,8015380,2020-10-29,2020-10-29 23:59:59
349.0,349.8,352.35,343.6,2001396193.0,5728580,2020-10-30,2020-10-30 23:59:59
346.05,359.2,359.55,342.1,2985637273.5,8455340,2020-11-02,2020-11-02 23:59:59
360.0,374.0,376.8,358.35,2985535398.5,8068840,2020-11-03,2020-11-03 23:59:59
378.3,382.4,386.9,372.35,3590290613.5,9371750,2020-11-05,2020-11-05 23:59:59
380.25,382.35,384.7,378.15,2456582876.0,6424710,2020-11-06,2020-11-06 23:59:59
385.65,395.4,405.0,378.15,6270004442.0,15986400,2020-11-09,2020-11-09 23:59:59
395.4,414.55,418.85,392.25,4487309208.5,11053520,2020-11-10,2020-11-10 23:59:59
416.4,419.35,429.0,415.85,6842907231.0,16144380,2020-11-11,2020-11-11 23:59:59
418.0,412.3,419.65,410.55,3207389026.5,7715290,2020-11-12,2020-11-12 23:59:59
412.3,419.35,419.35,408.55,2636032229.0,6389440,2020-11-13,2020-11-13 23:59:59
425.0,430.95,435.45,415.65,5529381630.0,12999200,2020-11-16,2020-11-16 23:59:59
430.9,438.85,441.5,419.8,6521482890.0,15122320,2020-11-17,2020-11-17 23:59:59
438.0,452.9,460.0,436.25,8698211279.0,19290660,2020-11-18,2020-11-18 23:59:59
452.15,451.85,454.1,443.05,4288112044.5,9551230,2020-11-19,2020-11-19 23:59:59
450.5,464.8,465.0,446.15,6112812529.5,13303290,2020-11-20,2020-11-20 23:59:59
467.3,469.6,472.25,463.65,5257926702.5,11212830,2020-11-23,2020-11-23 23:59:59
472.5,472.2,474.9,462.3,4213909388.0,8983210,2020-11-24,2020-11-24 23:59:59
473.1,473.3,474.8,467.6,3230343804.5,6846430,2020-11-25,2020-11-25 23:59:59
473.3,464.75,473.8,463.8,2785259309.5,5962140,2020-11-26,2020-11-26 23:59:59
465.0,461.2,466.4,456.65,2818388399.5,6127800,2020-11-27,2020-11-27 23:59:59
457.0,449.5,458.0,444.6,4167298902.0,9270330,2020-11-30,2020-11-30 23:59:59
448.75,446.4,452.3,441.8,3503562790.5,7844700,2020-12-01,2020-12-01 23:59:59
445.55,448.75,451.8,439.3,3018289850.0,6806570,2020-12-02,2020-12-02 23:59:59
448.5,435.35,450.0,428.2,4708582773.5,10753510,2020-12-03,2020-12-03 23:59:59
439.8,444.8,447.3,437.0,3801603011.5,8602710,2020-12-04,2020-12-04 23:59:59
444.6,439.45,445.45,437.55,2216975103.0,5019210,2020-12-07,2020-12-07 23:59:59
437.7,432.75,438.1,426.7,3100068788.0,7171410,2020-12-08,2020-12-08 23:59:59
432.55,435.6,441.75,429.6,3339815834.0,7638280,2020-12-09,2020-12-09 23:59:59
434.9,450.9,452.15,434.5,3615285209.0,8115030,2020-12-10,2020-12-10 23:59:59
452.0,447.25,454.0,445.0,3050780379.5,6779290,2020-12-11,2020-12-11 23:59:59
