open,close,high,low,value,volume,begin,end
573.2,573.2,573.2,573.2,2603474.40000001,4542,2024-04-11 09:00:00,2024-04-11 09:59:59
573.25,573.85,576.6,573.25,285475445.65000015,496461,2024-04-11 10:00:00,2024-04-11 10:59:59
573.8,575.35,575.6,573.8,140786921.59999996,244897,2024-04-11 11:00:00,2024-04-11 11:59:59
575.35,574.7,575.35,574.35,107248579.04999997,186493,2024-04-11 12:00:00,2024-04-11 12:59:59
574.7,575.3,575.35,573.8,148134370.05000004,257726,2024-04-11 13:00:00,2024-04-11 13:59:59
575.25,575.7,575.85,574.8,107500391.39999998,186797,2024-04-11 14:00:00,2024-04-11 14:59:59
575.7,575.5,575.8,574.65,121213881.75000003,210744,2024-04-11 15:00:00,2024-04-11 15:59:59
575.5,575.7,576.1,575.1,190242883.89999998,330442,2024-04-11 16:00:00,2024-04-11 16:59:59
575.7,578.25,578.25,575.5,443738616.0500001,768843,2024-04-11 17:00:00,2024-04-11 17:59:59
578.2,575.55,579.0,575.55,420069999.7000001,726355,2024-04-11 18:00:00,2024-04-11 18:59:59
575.35,576.7,577.45,575.35,51978623.35,90195,2024-04-11 19:00:00,2024-04-11 19:59:59
576.65,576.9,577.35,576.1,42879392.650000006,74338,2024-04-11 20:00:00,2024-04-11 20:59:59
576.9,576.5,577.05,576.25,19747068.85,34248,2024-04-11 21:00:00,2024-04-11 21:59:59
576.65,575.7,576.75,575.55,39984071.0,69407,2024-04-11 22:00:00,2024-04-11 22:59:59
575.65,575.25,575.65,575.1,52473621.00000001,91214,2024-04-11 23:00:00,2024-04-11 23:59:59
576.0,576.0,576.0,576.0,1884672.0,3272,2024-04-12 09:00:00,2024-04-12 09:59:59
576.0,577.3,578.0,575.9,162761563.04999998,282075,2024-04-12 10:00:00,2024-04-12 10:59:59
577.3,576.9,577.35,576.0,155167320.04999998,269217,2024-04-12 11:00:00,2024-04-12 11:59:59
576.95,577.2,577.55,576.35,81825165.65000004,141784,2024-04-12 12:00:00,2024-04-12 12:59:59
577.05,577.5,577.6,577.0,97648525.89999999,169120,2024-04-12 13:00:00,2024-04-12 13:59:59
577.5,577.5,577.6,576.05,163458487.20000002,283216,2024-04-12 14:00:00,2024-04-12 14:59:59
577.5,578.7,578.7,576.7,258155745.94999996,446918,2024-04-12 15:00:00,2024-04-12 15:59:59
578.7,578.95,579.0,577.0,239645252.95,414257,2024-04-12 16:00:00,2024-04-12 16:59:59
578.95,579.3,579.5,577.5,253129924.75,437364,2024-04-12 17:00:00,2024-04-12 17:59:59
579.35,576.5,579.45,576.5,175304468.6,303231,2024-04-12 18:00:00,2024-04-12 18:59:59
577.0,576.9,577.6,576.55,58629172.10000002,101611,2024-04-12 19:00:00,2024-04-12 19:59:59
576.95,577.1,577.65,576.55,29911015.500000004,51841,2024-04-12 20:00:00,2024-04-12 20:59:59
577.1,576.8,577.5,576.8,57586282.800000004,99791,2024-04-12 21:00:00,2024-04-12 21:59:59
576.85,576.75,577.05,576.6,30305617.4,52542,2024-04-12 22:00:00,2024-04-12 22:59:59
576.8,576.15,576.9,576.1,55250212.1,95829,2024-04-12 23:00:00,2024-04-12 23:59:59
