open,close,high,low,value,volume,begin,end
92.9,93.89,94.29,92.56,368352975.0,3930030,2020-10-12,2020-10-12 23:59:59
94.27,94.41,95.7,93.5,283233859.5,2986630,2020-10-13,2020-10-13 23:59:59
94.74,94.99,95.74,93.95,204774315.3,2163170,2020-10-14,2020-10-14 23:59:59
94.7,93.48,95.12,93.2,133424272.2,1417890,2020-10-15,2020-10-15 23:59:59
93.88,94.18,94.79,92.41,156598347.5,1669730,2020-10-16,2020-10-16 23:59:59
94.0,93.68,94.8,92.92,108866151.7,1161620,2020-10-19,2020-10-19 23:59:59
93.43,95.04,95.38,92.91,257268852.2,2729220,2020-10-20,2020-10-20 23:59:59
95.15,94.05,96.34,93.52,299723233.4,3164860,2020-10-21,2020-10-21 23:59:59
94.39,94.71,95.5,93.88,176365434.4,1862130,2020-10-22,2020-10-22 23:59:59
95.26,95.35,95.71,94.51,179250064.9,1881670,2020-10-23,2020-10-23 23:59:59
95.1,95.14,95.98,94.55,203709983.4,2132390,2020-10-26,2020-10-26 23:59:59
95.4,93.83,95.6,93.64,202843134.4,2147760,2020-10-27,2020-10-27 23:59:59
94.14,92.26,94.3,91.38,222892419.5,2417330,2020-10-28,2020-10-28 23:59:59
92.2,92.45,93.37,91.41,166655387.7,1802810,2020-10-29,2020-10-29 23:59:59
92.51,92.38,92.8,90.62,240646959.9,2616870,2020-10-30,2020-10-30 23:59:59
92.43,93.0,93.0,91.12,184115039.0,1998700,2020-11-02,2020-11-02 23:59:59
93.46,93.27,93.59,92.33,216779395.1,2333940,2020-11-03,2020-11-03 23:59:59
93.61,93.89,94.39,93.19,244136009.4,2605910,2020-11-05,2020-11-05 23:59:59
93.9,93.97,94.03,92.9,161890678.7,1730780,2020-11-06,2020-11-06 23:59:59
94.96,95.6,98.0,94.32,428647391.3,4461850,2020-11-09,2020-11-09 23:59:59
95.91,95.9,96.51,94.04,295066504.5,3089990,2020-11-10,2020-11-10 23:59:59
96.85,95.15,97.5,94.57,443715272.2,4623260,2020-11-11,2020-11-11 23:59:59
95.15,96.29,97.0,94.51,318127398.6,3308230,2020-11-12,2020-11-12 23:59:59
96.4,96.89,97.05,96.0,217135542.1,2244680,2020-11-13,2020-11-13 23:59:59
97.0,96.1,97.49,95.2,305118885.5,3169470,2020-11-16,2020-11-16 23:59:59
96.41,95.74,96.79,94.85,312413580.6,3262030,2020-11-17,2020-11-17 23:59:59
95.04,96.49,97.14,95.04,178059625.5,1849820,2020-11-18,2020-11-18 23:59:59
96.8,95.17,96.8,94.89,225906398.2,2367600,2020-11-19,2020-11-19 23:59:59
95.6,94.84,95.64,94.6,128747835.2,1354380,2020-11-20,2020-11-20 23:59:59
95.28,95.5,96.46,95.07,255168041.0,2666580,2020-11-23,2020-11-23 23:59:59
96.17,95.2,96.58,94.0,317730178.0,3339120,2020-11-24,2020-11-24 23:59:59
95.3,95.03,95.6,94.34,267135043.8,2820540,2020-11-25,2020-11-25 23:59:59
95.15,94.85,95.44,94.31,141808751.9,1494980,2020-11-26,2020-11-26 23:59:59
95.0,96.18,96.79,94.69,205752426.7,2144670,2020-11-27,2020-11-27 23:59:59
96.44,95.67,96.44,94.71,292865299.2,3066740,2020-11-30,2020-11-30 23:59:59
95.84,95.9,96.19,95.1,163349449.5,1705400,2020-12-01,2020-12-01 23:59:59
95.99,96.24,96.4,95.2,184616028.6,1929200,2020-12-02,2020-12-02 23:59:59
96.03,97.25,97.99,95.92,359240422.8,3691630,2020-12-03,2020-12-03 23:59:59
97.53,97.68,98.12,96.84,231704551.2,2377890,2020-12-04,2020-12-04 23:59:59
97.86,96.53,97.98,96.15,220031354.3,2269970,2020-12-07,2020-12-07 23:59:59
96.95,97.5,98.09,96.32,234869221.7,2416580,2020-12-08,2020-12-08 23:59:59
97.5,96.98,97.94,96.15,316280696.6,3263300,2020-12-09,2020-12-09 23:59:59
96.58,97.03,97.48,96.58,162680137.5,1675960,2020-12-10,2020-12-10 23:59:59
97.12,96.27,97.5,96.02,134441930.4,1391150,2020-12-11,2020-12-11 23:59:59
96.9,96.22,97.1,96.12,144915808.9,1500240,2020-12-14,2020-12-14 23:59:59
96.13,95.64,96.44,95.13,195782071.2,2046660,2020-12-15,2020-12-15 23:59:59
95.31,95.71,96.02,95.24,200009590.9,2090910,2020-12-16,2020-12-16 23:59:59
95.82,95.6,96.27,94.66,351780187.0,3679470,2020-12-17,2020-12-17 23:59:59
95.49,95.29,95.71,94.71,250951519.6,2639200,2020-12-18,2020-12-18 23:59:59
95.35,94.35,95.35,92.1,322268966.5,3445330,2020-12-21,2020-12-21 23:59:59
94.0,94.49,95.2,93.66,173255987.9,1834010,2020-12-22,2020-12-22 23:59:59
94.78,93.99,94.79,93.33,260996831.9,2783680,2020-12-23,2020-12-23 23:59:59
94.19,94.74,95.18,93.56,103045000.9,1093770,2020-12-24,2020-12-24 23:59:59
95.0,94.95,95.19,94.36,57398673.8,605330,2020-12-25,2020-12-25 23:59:59
94.77,95.22,95.45,94.77,102351069.7,1074980,2020-12-28,2020-12-28 23:59:59
95.3,95.91,96.6,95.04,187595915.5,1955840,2020-12-29,2020-12-29 23:59:59
96.2,96.52,97.06,95.68,324896592.8,3358700,2020-12-30,2020-12-30 23:59:59
97.47,96.86,98.6,96.51,187645151.3,1927090,2021-01-04,2021-01-04 23:59:59
97.19,100.38,101.5,96.41,572974734.2,5750770,2021-01-05,2021-01-05 23:59:59
100.6,99.16,100.87,98.63,324298027.0,3260270,2021-01-06,2021-01-06 23:59:59
99.96,100.29,101.18,99.32,309286055.2,3092370,2021-01-08,2021-01-08 23:59:59
99.99,99.58,100.62,98.31,317984607.1,3187730,2021-01-11,2021-01-11 23:59:59
99.81,99.17,100.75,98.76,268292657.4,2686560,2021-01-12,2021-01-12 23:59:59
99.42,99.0,99.9,98.26,220995469.6,2230630,2021-01-13,2021-01-13 23:59:59
99.2,98.94,99.91,98.48,241965587.3,2442620,2021-01-14,2021-01-14 23:59:59
98.62,98.93,99.58,98.35,285948629.2,2885150,2021-01-15,2021-01-15 23:59:59
98.88,99.9,100.2,98.44,186711114.1,1877100,2021-01-18,2021-01-18 23:59:59
100.0,98.76,101.13,98.7,394414126.7,3934110,2021-01-19,2021-01-19 23:59:59
99.58,101.49,102.2,98.82,495646550.0,4895690,2021-01-20,2021-01-20 23:59:59
101.87,101.17,104.26,100.6,643440503.1,6298180,2021-01-21,2021-01-21 23:59:59
100.45,103.09,103.11,100.28,297334965.1,2924060,2021-01-22,2021-01-22 23:59:59
102.9,104.64,105.17,102.55,908799437.1,8710970,2021-01-25,2021-01-25 23:59:59
104.5,105.5,106.26,101.28,960117128.8,9208830,2021-01-26,2021-01-26 23:59:59
105.55,103.61,105.98,103.0,419803095.9,4005970,2021-01-27,2021-01-27 23:59:59
104.0,104.54,105.0,102.7,312610211.6,3009760,2021-01-28,2021-01-28 23:59:59
104.19,101.03,105.48,100.61,459276008.6,4476810,2021-01-29,2021-01-29 23:59:59
101.6,103.03,103.34,100.07,235323346.4,2315560,2021-02-01,2021-02-01 23:59:59
102.6,102.36,103.7,102.0,193974829.7,1886330,2021-02-02,2021-02-02 23:59:59
