open,close,high,low,value,volume,begin,end
306.7,306.7,306.7,306.7,4674108.0,15240,2024-04-11 09:00:00,2024-04-11 09:59:59
306.64,306.85,307.81,306.0,1385591145.5999997,4510230,2024-04-11 10:00:00,2024-04-11 10:59:59
306.84,306.2,306.84,306.05,517590634.5000002,1689640,2024-04-11 11:00:00,2024-04-11 11:59:59
306.19,306.03,306.28,305.89,463223299.0999999,1513590,2024-04-11 12:00:00,2024-04-11 12:59:59
306.03,306.17,306.78,305.95,588379695.2,1920440,2024-04-11 13:00:00,2024-04-11 13:59:59
306.22,305.75,306.36,305.7,374758153.7,1224760,2024-04-11 14:00:00,2024-04-11 14:59:59
305.75,306.54,306.54,305.7,426621295.1000001,1394070,2024-04-11 15:00:00,2024-04-11 15:59:59
306.55,307.05,307.34,306.39,583634709.8000001,1901490,2024-04-11 16:00:00,2024-04-11 16:59:59
307.06,307.72,308.0,307.04,953456427.4000002,3099830,2024-04-11 17:00:00,2024-04-11 17:59:59
307.71,307.33,307.95,306.81,556382228.8,1810520,2024-04-11 18:00:00,2024-04-11 18:59:59
307.32,307.05,307.32,306.8,138022772.9,449440,2024-04-11 19:00:00,2024-04-11 19:59:59
307.05,307.13,307.19,306.92,49033173.1,159660,2024-04-11 20:00:00,2024-04-11 20:59:59
307.14,306.9,307.15,306.64,124224168.29999998,404780,2024-04-11 21:00:00,2024-04-11 21:59:59
306.9,306.84,307.13,306.84,60132265.60000002,195880,2024-04-11 22:00:00,2024-04-11 22:59:59
306.84,306.95,306.96,306.75,72851481.00000003,237430,2024-04-11 23:00:00,2024-04-11 23:59:59
307.4,307.4,307.4,307.4,7405266.0,24090,2024-04-12 09:00:00,2024-04-12 09:59:59
307.41,306.94,307.87,306.52,682858439.8999999,2224000,2024-04-12 10:00:00,2024-04-12 10:59:59
306.94,306.53,307.21,306.3,491478576.90000015,1602770,2024-04-12 11:00:00,2024-04-12 11:59:59
306.53,306.74,307.35,306.45,445123633.8000001,1450380,2024-04-12 12:00:00,2024-04-12 12:59:59
306.74,307.05,307.1,306.55,286943196.9999999,935380,2024-04-12 13:00:00,2024-04-12 13:59:59
307.07,307.12,307.32,306.73,269931757.5999999,879050,2024-04-12 14:00:00,2024-04-12 14:59:59
307.12,306.8,307.19,306.66,334433063.3000001,1089560,2024-04-12 15:00:00,2024-04-12 15:59:59
306.8,307.2,307.2,306.78,530909341.69999987,1729350,2024-04-12 16:00:00,2024-04-12 16:59:59
307.2,307.29,307.85,307.16,615209282.1,2000350,2024-04-12 17:00:00,2024-04-12 17:59:59
307.29,306.8,307.35,306.71,430476177.1,1402080,2024-04-12 18:00:00,2024-04-12 18:59:59
306.8,307.02,307.1,306.77,149840231.60000005,488110,2024-04-12 19:00:00,2024-04-12 19:59:59
307.02,307.03,307.06,306.8,160872494.60000002,524110,2024-04-12 20:00:00,2024-04-12 20:59:59
307.04,307.01,307.1,306.89,195237098.8,635910,2024-04-12 21:00:00,2024-04-12 21:59:59
307.06,306.99,307.07,306.95,189367998.0,616810,2024-04-12 22:00:00,2024-04-12 22:59:59
307.0,307.1,307.2,306.99,130013079.5,423350,2024-04-12 23:00:00,2024-04-12 23:59:59
307.47,307.47,307.47,307.47,10730702.999999998,34900,2024-04-15 09:00:00,2024-04-15 09:59:59
307.4,307.71,308.39,307.2,1375073413.3999999,4465570,2024-04-15 10:00:00,2024-04-15 10:59:59
307.72,307.99,308.09,307.62,473834802.90000004,1538770,2024-04-15 11:00:00,2024-04-15 11:59:59
307.98,307.99,308.15,307.9,411834532.59999996,1336860,2024-04-15 12:00:00,2024-04-15 12:59:59
308.0,307.63,308.0,307.6,367515306.3,1194190,2024-04-15 13:00:00,2024-04-15 13:59:59
307.63,307.12,307.7,307.0,651533063.9000001,2119920,2024-04-15 14:00:00,2024-04-15 14:59:59
307.08,307.29,307.34,306.64,994550361.6,3240230,2024-04-15 15:00:00,2024-04-15 15:59:59
307.29,307.12,307.59,307.0,356335804.50000024,1159760,2024-04-15 16:00:00,2024-04-15 16:59:59
307.12,307.5,307.5,306.94,562732393.7999998,1832290,2024-04-15 17:00:00,2024-04-15 17:59:59
307.49,308.0,308.0,307.48,494399833.70000005,1606370,2024-04-15 18:00:00,2024-04-15 18:59:59
307.95,307.84,307.95,307.52,115905484.4,376620,2024-04-15 19:00:00,2024-04-15 19:59:59
307.85,307.73,308.0,307.32,244522280.6,794680,2024-04-15 20:00:00,2024-04-15 20:59:59
307.72,307.98,308.05,307.71,172788853.10000002,561090,2024-04-15 21:00:00,2024-04-15 21:59:59
307.98,307.78,308.0,307.78,83540068.59999998,271320,2024-04-15 22:00:00,2024-04-15 22:59:59
