open,close,high,low,value,volume,begin,end
34.52,34.595,34.8,34.34,626119265.5,18120600,2020-10-12,2020-10-12 23:59:59
34.6,34.21,34.65,34.055,574523116.5,16731200,2020-10-13,2020-10-13 23:59:59
34.165,34.315,34.45,34.075,491742019.0,14356400,2020-10-14,2020-10-14 23:59:59
34.275,33.8,34.35,33.4,1024822769.5,30211300,2020-10-15,2020-10-15 23:59:59
33.655,33.845,34.27,33.655,832785011.5,24493300,2020-10-16,2020-10-16 23:59:59
33.78,34.01,34.24,33.78,487152542.0,14325800,2020-10-19,2020-10-19 23:59:59
33.925,34.115,34.24,33.84,523303618.0,15371600,2020-10-20,2020-10-20 23:59:59
34.15,33.675,34.17,33.57,573719109.5,16960900,2020-10-21,2020-10-21 23:59:59
33.6,33.705,33.91,33.505,684128742.5,20287700,2020-10-22,2020-10-22 23:59:59
33.625,34.0,34.15,33.625,683854869.5,20124300,2020-10-23,2020-10-23 23:59:59
33.955,34.0,34.275,33.8,657068116.5,19305000,2020-10-26,2020-10-26 23:59:59
34.105,34.045,34.52,33.965,851044697.5,24927800,2020-10-27,2020-10-27 23:59:59
33.985,32.4,34.105,32.055,2351620728.5,70942400,2020-10-28,2020-10-28 23:59:59
32.33,33.415,33.67,32.125,1627142999.5,49590600,2020-10-29,2020-10-29 23:59:59
33.075,32.92,33.82,32.49,1519094218.5,45656800,2020-10-30,2020-10-30 23:59:59
32.775,34.01,34.15,32.555,1219840141.0,36551200,2020-11-02,2020-11-02 23:59:59
33.95,34.305,34.74,33.95,1263553468.0,36754900,2020-11-03,2020-11-03 23:59:59
34.9,35.78,35.9,34.555,1718525555.5,48754800,2020-11-05,2020-11-05 23:59:59
35.69,35.54,35.77,35.275,986933023.0,27809300,2020-11-06,2020-11-06 23:59:59
35.9,36.8,37.08,35.44,2080699401.5,57180700,2020-11-09,2020-11-09 23:59:59
36.8,36.72,37.15,36.18,1715097715.0,46649300,2020-11-10,2020-11-10 23:59:59
36.9,36.575,37.42,36.38,1453988125.5,39318700,2020-11-11,2020-11-11 23:59:59
36.4,35.85,36.77,35.79,1826732060.5,50535400,2020-11-12,2020-11-12 23:59:59
35.82,35.785,36.15,35.48,947190241.5,26482700,2020-11-13,2020-11-13 23:59:59
36.175,37.77,37.825,35.8,2928092943.0,79510600,2020-11-16,2020-11-16 23:59:59
37.765,37.015,37.96,36.6,1340159055.5,36086000,2020-11-17,2020-11-17 23:59:59
36.945,36.93,37.415,36.74,1312576817.0,35367100,2020-11-18,2020-11-18 23:59:59
37.1,36.735,37.14,36.58,695397929.5,18892900,2020-11-19,2020-11-19 23:59:59
36.825,36.44,36.9,36.2,598499666.0,16368400,2020-11-20,2020-11-20 23:59:59
36.67,36.99,37.34,36.55,1210011739.0,32731700,2020-11-23,2020-11-23 23:59:59
37.44,37.07,37.47,36.785,1376937140.0,37209700,2020-11-24,2020-11-24 23:59:59
37.165,37.475,37.6,36.91,1297626788.5,34806900,2020-11-25,2020-11-25 23:59:59
37.485,36.955,37.585,36.73,876039103.0,23653200,2020-11-26,2020-11-26 23:59:59
36.99,36.875,37.04,36.48,905550487.5,24636500,2020-11-27,2020-11-27 23:59:59
36.745,35.505,36.75,34.91,2515646628.5,70634400,2020-11-30,2020-11-30 23:59:59
35.55,35.435,35.66,34.9,2250782778.0,63891900,2020-12-01,2020-12-01 23:59:59
35.265,35.6,35.895,35.075,1550211517.5,43729800,2020-12-02,2020-12-02 23:59:59
35.77,35.285,35.905,35.01,1317665704.5,37341600,2020-12-03,2020-12-03 23:59:59
35.555,35.4,35.875,35.285,876267795.0,24651300,2020-12-04,2020-12-04 23:59:59
35.375,35.115,35.685,35.1,841966012.5,23839300,2020-12-07,2020-12-07 23:59:59
35.135,34.67,35.315,34.55,1088830505.0,31237100,2020-12-08,2020-12-08 23:59:59
34.675,34.755,35.2,34.51,1095176725.0,31359200,2020-12-09,2020-12-09 23:59:59
34.8,35.5,35.88,34.715,1315999176.0,37352900,2020-12-10,2020-12-10 23:59:59
35.585,35.5,36.175,35.29,2156098525.0,60423900,2020-12-11,2020-12-11 23:59:59
35.76,35.56,36.245,35.3,1378278010.5,38380600,2020-12-14,2020-12-14 23:59:59
35.5,35.155,35.675,34.82,1250219188.5,35606600,2020-12-15,2020-12-15 23:59:59
35.2,35.2,35.52,34.965,1078440335.5,30570900,2020-12-16,2020-12-16 23:59:59
35.48,35.06,35.605,34.89,1694015061.0,47975200,2020-12-17,2020-12-17 23:59:59
35.035,35.09,35.31,34.685,1248811221.0,35601300,2020-12-18,2020-12-18 23:59:59
34.99,34.46,35.07,34.04,1453029280.0,42176800,2020-12-21,2020-12-21 23:59:59
34.35,34.84,35.055,34.115,983455231.5,28287000,2020-12-22,2020-12-22 23:59:59
34.895,34.97,35.055,34.705,706770406.5,20268300,2020-12-23,2020-12-23 23:59:59
34.91,34.955,35.075,34.785,420957539.5,12052600,2020-12-24,2020-12-24 23:59:59
35.0,35.06,35.1,34.91,228684997.0,6530200,2020-12-25,2020-12-25 23:59:59
35.05,35.26,35.535,35.05,713467390.5,20173300,2020-12-28,2020-12-28 23:59:59
35.45,35.69,36.04,35.21,1154004024.0,32307200,2020-12-29,2020-12-29 23:59:59
35.82,35.985,36.33,35.6,1169990748.5,32506800,2020-12-30,2020-12-30 23:59:59
35.96,36.11,36.445,35.87,1124673255.0,31017700,2021-01-04,2021-01-04 23:59:59
36.21,36.75,36.755,35.875,1126503427.5,31045900,2021-01-05,2021-01-05 23:59:59
36.8,36.745,37.0,36.295,1209610811.5,32976700,2021-01-06,2021-01-06 23:59:59
36.825,37.705,37.92,36.825,1576992617.0,42014600,2021-01-08,2021-01-08 23:59:59
37.49,37.605,38.05,37.05,1526073853.0,40560900,2021-01-11,2021-01-11 23:59:59
37.8,37.635,38.13,37.255,1065745114.5,28281800,2021-01-12,2021-01-12 23:59:59
37.75,37.285,37.91,36.8,1584855834.5,42554200,2021-01-13,2021-01-13 23:59:59
37.09,37.52,37.82,36.99,1099095872.5,29333000,2021-01-14,2021-01-14 23:59:59
37.395,36.495,37.56,36.365,929600767.5,25135700,2021-01-15,2021-01-15 23:59:59
36.58,36.205,36.58,35.865,1519429142.5,42025500,2021-01-18,2021-01-18 23:59:59
36.2,36.045,36.43,35.765,856326998.0,23700700,2021-01-19,2021-01-19 23:59:59
36.055,35.925,36.3,35.81,764175049.5,21222100,2021-01-20,2021-01-20 23:59:59
36.0,34.885,36.125,34.64,3045402116.0,86931600,2021-01-21,2021-01-21 23:59:59
34.66,35.02,35.425,34.55,1569827285.0,44859200,2021-01-22,2021-01-22 23:59:59
35.04,35.055,35.325,34.805,903764194.5,25755800,2021-01-25,2021-01-25 23:59:59
34.97,34.925,35.235,34.73,1113693025.5,31888600,2021-01-26,2021-01-26 23:59:59
35.08,34.27,35.095,34.2,1731438101.0,50152800,2021-01-27,2021-01-27 23:59:59
34.18,34.27,34.475,34.075,1002049980.5,29225700,2021-01-28,2021-01-28 23:59:59
34.16,33.47,34.31,33.365,1816750597.0,53951800,2021-01-29,2021-01-29 23:59:59
33.59,33.99,34.0,33.325,1558043554.5,46221600,2021-02-01,2021-02-01 23:59:59
34.08,34.115,34.535,34.005,1898839854.5,55390800,2021-02-02,2021-02-02 23:59:59
34.305,34.18,34.465,33.86,1035431090.5,30317800,2021-02-03,2021-02-03 23:59:59
34.25,33.905,34.32,33.51,1383403694.0,40740700,2021-02-04,2021-02-04 23:59:59
