open,close,high,low,value,volume,begin,end
1980.2,1898.0,2019.0,1871.8,1341413085.4,698847,2020-10-12,2020-10-12 23:59:59
1881.2,1856.4,1909.4,1840.6,760104090.6,407629,2020-10-13,2020-10-13 23:59:59
1860.2,1905.4,1957.0,1830.2,953368673.2,498797,2020-10-14,2020-10-14 23:59:59
1931.0,1888.6,1931.0,1850.2,372481662.0,198501,2020-10-15,2020-10-15 23:59:59
1874.0,1827.6,1878.2,1754.8,1257811096.4,691202,2020-10-16,2020-10-16 23:59:59
1800.0,1766.6,1839.4,1750.0,467597579.0,261575,2020-10-19,2020-10-19 23:59:59
1750.8,1702.0,1835.2,1653.0,1068417844.4,609793,2020-10-20,2020-10-20 23:59:59
1686.0,1739.8,1757.0,1680.4,646166032.4,373033,2020-10-21,2020-10-21 23:59:59
1739.8,1805.4,1812.0,1710.4,593675041.8,332212,2020-10-22,2020-10-22 23:59:59
1800.0,1821.8,1838.2,1791.2,248604353.6,136990,2020-10-23,2020-10-23 23:59:59
1821.8,1877.8,1898.0,1796.2,920337340.6,491179,2020-10-26,2020-10-26 23:59:59
1858.2,1965.0,2000.0,1839.2,1127472249.0,584308,2020-10-27,2020-10-27 23:59:59
1954.0,1937.0,2050.0,1859.0,2039657042.0,1022618,2020-10-28,2020-10-28 23:59:59
1929.2,1891.0,1984.8,1851.0,445904746.4,234705,2020-10-29,2020-10-29 23:59:59
1874.6,1872.2,1899.8,1807.0,308435814.8,165713,2020-10-30,2020-10-30 23:59:59
1872.2,1946.6,1980.0,1834.2,450630317.4,236386,2020-11-02,2020-11-02 23:59:59
1948.2,1989.2,2021.0,1935.0,414136177.0,209593,2020-11-03,2020-11-03 23:59:59
2020.0,2088.2,2125.6,2010.0,1024593663.2,493261,2020-11-05,2020-11-05 23:59:59
2080.0,2144.8,2174.8,2050.8,564014758.2,268027,2020-11-06,2020-11-06 23:59:59
2165.0,2136.0,2220.2,2111.0,770426130.2,356031,2020-11-09,2020-11-09 23:59:59
2100.4,2158.4,2172.4,2100.4,579972280.8,271356,2020-11-10,2020-11-10 23:59:59
2082.4,2279.0,2297.6,2070.0,950830437.2,430707,2020-11-11,2020-11-11 23:59:59
2290.0,2246.8,2366.0,2210.0,727414132.2,320277,2020-11-12,2020-11-12 23:59:59
2256.0,2337.6,2338.0,2252.6,571600299.0,248073,2020-11-13,2020-11-13 23:59:59
2350.0,2299.8,2462.2,2273.8,715884583.8,308317,2020-11-16,2020-11-16 23:59:59
2300.0,2284.4,2363.0,2252.0,492032780.4,213569,2020-11-17,2020-11-17 23:59:59
2293.8,2300.0,2331.8,2265.0,534151252.6,233019,2020-11-18,2020-11-18 23:59:59
2323.0,2261.0,2330.0,2260.0,312978788.4,136974,2020-11-19,2020-11-19 23:59:59
2260.0,2263.0,2285.0,2226.2,224198713.8,99041,2020-11-20,2020-11-20 23:59:59
2257.0,2219.4,2291.6,2165.0,647728108.4,292737,2020-11-23,2020-11-23 23:59:59
2185.0,2201.2,2215.0,2170.0,342529030.2,156178,2020-11-24,2020-11-24 23:59:59
2212.6,2304.6,2344.6,2174.0,7163063507.6,3141133,2020-11-25,2020-11-25 23:59:59
2300.0,2244.0,2304.4,2202.8,442852684.2,197585,2020-11-26,2020-11-26 23:59:59
2227.4,2289.8,2319.6,2227.4,477163096.0,208555,2020-11-27,2020-11-27 23:59:59
2289.8,2360.0,2361.2,2270.0,764699062.2,326697,2020-11-30,2020-11-30 23:59:59
2376.0,2373.0,2395.2,2321.6,386698563.6,164095,2020-12-01,2020-12-01 23:59:59
2390.0,2445.8,2489.0,2360.2,531160622.0,218231,2020-12-02,2020-12-02 23:59:59
2465.0,2368.2,2473.2,2351.0,782749232.8,329055,2020-12-03,2020-12-03 23:59:59
2360.0,2440.0,2447.6,2325.0,366807825.4,152337,2020-12-04,2020-12-04 23:59:59
2414.0,2387.0,2451.0,2370.8,446504117.2,185701,2020-12-07,2020-12-07 23:59:59
2410.0,2357.0,2410.0,2311.4,395239514.2,167946,2020-12-08,2020-12-08 23:59:59
2360.0,2456.6,2503.6,2339.2,692776021.6,282901,2020-12-09,2020-12-09 23:59:59
2441.0,2271.6,2493.8,2244.0,1073301911.4,457351,2020-12-10,2020-12-10 23:59:59
2297.0,2268.0,2359.2,2235.4,2265336047.6,990735,2020-12-11,2020-12-11 23:59:59
2297.8,2308.4,2330.0,2273.8,696491186.8,303828,2020-12-14,2020-12-14 23:59:59
2300.2,2383.8,2398.6,2270.0,587545893.6,248323,2020-12-15,2020-12-15 23:59:59
2380.0,2423.0,2448.4,2351.4,674839789.0,280476,2020-12-16,2020-12-16 23:59:59
2430.0,2446.0,2479.0,2401.0,845963995.6,346309,2020-12-17,2020-12-17 23:59:59
