open,close,high,low,value,volume,begin,end
604.6,604.6,604.6,604.6,1364582.2000000007,2257,2024-04-11 09:00:00,2024-04-11 09:59:59
604.6,602.8,607.6,600.2,135940814.39999995,225154,2024-04-11 10:00:00,2024-04-11 10:59:59
602.6,603.2,603.6,601.4,51840017.39999998,86083,2024-04-11 11:00:00,2024-04-11 11:59:59
603.0,603.0,603.4,603.0,50313564.000000015,83432,2024-04-11 12:00:00,2024-04-11 12:59:59
603.2,603.2,603.4,603.0,28895563.00000001,47909,2024-04-11 13:00:00,2024-04-11 13:59:59
603.0,603.2,603.4,602.0,44414899.199999996,73686,2024-04-11 14:00:00,2024-04-11 14:59:59
603.2,602.0,603.8,601.0,82459715.39999999,136822,2024-04-11 15:00:00,2024-04-11 15:59:59
601.8,600.2,603.0,598.0,137419267.20000002,228955,2024-04-11 16:00:00,2024-04-11 16:59:59
600.2,600.2,601.0,598.6,70170164.39999998,116969,2024-04-11 17:00:00,2024-04-11 17:59:59
600.2,600.0,600.4,598.4,50248657.4,83804,2024-04-11 18:00:00,2024-04-11 18:59:59
600.0,600.8,601.0,599.6,14250110.8,23730,2024-04-11 19:00:00,2024-04-11 19:59:59
600.8,600.0,601.0,599.0,17807792.599999998,29674,2024-04-11 20:00:00,2024-04-11 20:59:59
600.0,598.6,600.2,598.2,21309440.399999987,35575,2024-04-11 21:00:00,2024-04-11 21:59:59
598.4,598.8,599.4,598.4,13956777.200000001,23305,2024-04-11 22:00:00,2024-04-11 22:59:59
598.8,599.2,599.6,598.6,9219244.8,15389,2024-04-11 23:00:00,2024-04-11 23:59:59
598.0,598.0,598.0,598.0,1975792.0,3304,2024-04-12 09:00:00,2024-04-12 09:59:59
599.2,598.6,601.2,597.0,134584847.4,224610,2024-04-12 10:00:00,2024-04-12 10:59:59
598.6,600.4,601.8,597.2,98781133.99999996,164710,2024-04-12 11:00:00,2024-04-12 11:59:59
600.4,602.4,603.6,600.4,61657083.8,102397,2024-04-12 12:00:00,2024-04-12 12:59:59
602.8,601.4,603.6,600.8,43724903.0,72582,2024-04-12 13:00:00,2024-04-12 13:59:59
601.4,600.8,601.6,599.2,53247711.199999996,88682,2024-04-12 14:00:00,2024-04-12 14:59:59
600.8,601.0,601.6,600.0,21168210.599999998,35237,2024-04-12 15:00:00,2024-04-12 15:59:59
601.0,601.6,602.2,600.8,23448478.4,38974,2024-04-12 16:00:00,2024-04-12 16:59:59
601.6,604.2,604.4,600.8,64181482.00000001,106465,2024-04-12 17:00:00,2024-04-12 17:59:59
604.2,604.2,604.4,602.4,63530531.99999999,105205,2024-04-12 18:00:00,2024-04-12 18:59:59
604.4,615.0,618.2,603.8,487757115.1999999,796137,2024-04-12 19:00:00,2024-04-12 19:59:59
615.2,610.8,615.8,609.0,280112275.2,457362,2024-04-12 20:00:00,2024-04-12 20:59:59
610.4,608.6,610.6,607.6,82755093.80000001,135939,2024-04-12 21:00:00,2024-04-12 21:59:59
608.6,607.6,608.8,605.2,72926530.4,120142,2024-04-12 22:00:00,2024-04-12 22:59:59
607.6,608.0,609.6,606.6,60078898.4,98801,2024-04-12 23:00:00,2024-04-12 23:59:59
607.8,607.8,607.8,607.8,1120175.400000001,1843,2024-04-15 09:00:00,2024-04-15 09:59:59
607.8,609.0,615.0,604.4,375559022.4000001,614722,2024-04-15 10:00:00,2024-04-15 10:59:59
608.8,611.0,611.8,608.2,58089556.40000001,95280,2024-04-15 11:00:00,2024-04-15 11:59:59
611.0,608.6,611.4,608.4,40907875.4,67113,2024-04-15 12:00:00,2024-04-15 12:59:59
608.8,609.4,610.0,606.6,78094618.4,128341,2024-04-15 13:00:00,2024-04-15 13:59:59
609.4,606.2,609.8,605.8,78341093.40000002,129107,2024-04-15 14:00:00,2024-04-15 14:59:59
606.0,606.0,606.8,605.2,47811758.19999999,78902,2024-04-15 15:00:00,2024-04-15 15:59:59
606.0,607.6,608.0,603.0,136314962.8,225145,2024-04-15 16:00:00,2024-04-15 16:59:59
607.4,608.0,608.6,605.6,38882746.80000001,64062,2024-04-15 17:00:00,2024-04-15 17:59:59
608.2,605.4,608.2,605.4,21350148.0,35191,2024-04-15 18:00:00,2024-04-15 18:49:10
605.4,606.0,606.8,604.0,24561369.600000005,40583,2024-04-15 19:00:00,2024-04-15 19:59:59
606.2,610.6,615.0,604.6,174595013.79999998,286300,2024-04-15 20:00:00,2024-04-15 20:59:59
610.6,610.4,610.8,608.6,20884670.600000005,34256,2024-04-15 21:00:00,2024-04-15 21:59:59
