open,close,high,low,value,volume,begin,end
165.97500000000002,166.15,167.7,165.575,444534795.55,13353250000,2020-10-12,2020-10-12 23:59:59
165.9,165.2,166.9,164.575,403061683.7,12164670000,2020-10-13,2020-10-13 23:59:59
164.82500000000002,166.125,166.475,164.025,425559690.55,12838710000,2020-10-14,2020-10-14 23:59:59
165.6,163.275,165.92499999999998,162.025,819064901.65,25034160000,2020-10-15,2020-10-15 23:59:59
162.99999999999997,160.1,163.375,160.025,643403969.2,19953610000,2020-10-16,2020-10-16 23:59:59
160.60000000000002,158.62500000000003,161.475,158.125,679118589.25,21276610000,2020-10-19,2020-10-19 23:59:59
159.0,169.45000000000002,169.9,157.5,3564651813.8,107520980000,2020-10-20,2020-10-20 23:59:59
169.79999999999998,168.0,173.35,166.625,3130467467.45,91922600000,2020-10-21,2020-10-21 23:59:59
167.0,173.2,173.9,166.25,2247237088.4,65648000000,2020-10-22,2020-10-22 23:59:59
173.05,173.925,175.72500000000002,171.35000000000002,1360727445.2,39225860000,2020-10-23,2020-10-23 23:59:59
173.625,170.575,173.64999999999998,169.42499999999998,916579869.15,26684250000,2020-10-26,2020-10-26 23:59:59
170.8,167.175,172.125,167.0,802042622.55,23796420000,2020-10-27,2020-10-27 23:59:59
167.175,161.12499999999997,167.175,161.0,1168649301.35,35777770000,2020-10-28,2020-10-28 23:59:59
161.85000000000002,163.79999999999998,165.5,160.25,1278638819.2,39284930000,2020-10-29,2020-10-29 23:59:59
162.37499999999997,163.325,166.1,161.1,995555086.9,30379460000,2020-10-30,2020-10-30 23:59:59
163.15,164.325,164.575,160.49999999999997,802454874.8,24608640000,2020-11-02,2020-11-02 23:59:59
165.0,164.77499999999998,166.475,163.52499999999998,1133009736.45,34418860000,2020-11-03,2020-11-03 23:59:59
167.1,168.225,168.95000000000002,165.77499999999998,1353704999.15,40427060000,2020-11-05,2020-11-05 23:59:59
167.85000000000002,168.025,168.625,166.0,787069073.25,23497920000,2020-11-06,2020-11-06 23:59:59
169.5,171.95,173.1,168.125,2227259631.9,65190950000,2020-11-09,2020-11-09 23:59:59
171.9,173.2,174.17499999999998,170.82500000000002,1254123821.9,36265150000,2020-11-10,2020-11-10 23:59:59
173.54999999999998,170.7,176.1,170.6,2060325108.05,59201710000,2020-11-11,2020-11-11 23:59:59
170.0,179.675,183.025,169.25,3855408444.6,108567640000,2020-11-12,2020-11-12 23:59:59
179.64999999999998,183.0,185.25,178.725,3921926587.35,107156980000,2020-11-13,2020-11-13 23:59:59
184.74999999999997,185.99999999999997,186.5,183.025,3223368638.7,87168040000,2020-11-16,2020-11-16 23:59:59
185.95000000000002,181.00000000000003,186.225,179.5,2442726499.35,67093790000,2020-11-17,2020-11-17 23:59:59
180.05,180.25,183.39999999999998,177.175,1556731630.65,42886420000,2020-11-18,2020-11-18 23:59:59
180.25,180.5,181.325,178.45,979565962.05,27247570000,2020-11-19,2020-11-19 23:59:59
180.5,182.725,184.22500000000002,180.25,1261359108.75,34485610000,2020-11-20,2020-11-20 23:59:59
183.35,182.65,185.0,181.275,1166008128.0,31805190000,2020-11-23,2020-11-23 23:59:59
183.475,184.675,184.975,182.175,1158534339.9,31575580000,2020-11-24,2020-11-24 23:59:59
184.70000000000002,184.1,185.75,182.225,1897712850.3,51552500000,2020-11-25,2020-11-25 23:59:59
184.32500000000002,185.0,187.20000000000002,183.0,2650035241.4,71428160000,2020-11-26,2020-11-26 23:59:59
185.5,188.825,191.0,183.92499999999998,4167522501.85,110563390000,2020-11-27,2020-11-27 23:59:59
188.525,186.05,189.25,185.025,1668342028.65,44631670000,2020-11-30,2020-11-30 23:59:59
186.925,188.5,189.125,186.35,1122499838.35,29865660000,2020-12-01,2020-12-01 23:59:59
187.75,189.85,190.25,187.35000000000002,1257862463.95,33249460000,2020-12-02,2020-12-02 23:59:59
189.95000000000002,188.77499999999998,192.15000000000003,186.7,1756556529.2,46394130000,2020-12-03,2020-12-03 23:59:59
189.2,189.175,190.5,188.5,1515158375.7,39952560000,2020-12-04,2020-12-04 23:59:59
189.0,187.45000000000002,189.92499999999998,187.225,976865269.35,25906660000,2020-12-07,2020-12-07 23:59:59
187.42499999999998,187.4,189.0,185.25,981436821.65,26201790000,2020-12-08,2020-12-08 23:59:59
187.65,186.6,189.70000000000002,186.25,1176712936.6,31229180000,2020-12-09,2020-12-09 23:59:59
187.125,190.15,190.7,186.15,1810475469.6,47836870000,2020-12-10,2020-12-10 23:59:59
190.375,189.725,191.14999999999998,188.5,1357450556.35,35754990000,2020-12-11,2020-12-11 23:59:59
190.75000000000006,189.15,193.475,187.5,2440398742.0,63805610000,2020-12-14,2020-12-14 23:59:59
188.525,188.825,190.2,188.04999999999998,1485229388.75,39280020000,2020-12-15,2020-12-15 23:59:59
189.125,191.57500000000002,192.49999999999997,188.5,2466347963.6,64512440000,2020-12-16,2020-12-16 23:59:59
191.75,191.75,194.70000000000002,190.02499999999998,1863205630.85,48357600000,2020-12-17,2020-12-17 23:59:59
190.75000000000006,190.75000000000006,191.82500000000002,189.125,1131062740.1,29665660000,2020-12-18,2020-12-18 23:59:59
189.8,185.89999999999998,190.22500000000002,182.575,2176322548.35,58560480000,2020-12-21,2020-12-21 23:59:59
184.5,186.025,187.7,183.775,1036881843.65,27838570000,2020-12-22,2020-12-22 23:59:59
186.47500000000002,189.725,190.725,185.775,1254625383.3,33251380000,2020-12-23,2020-12-23 23:59:59
190.75000000000006,189.15,191.35,188.35000000000002,676633066.3,17867390000,2020-12-24,2020-12-24 23:59:59
189.2,189.75,190.375,189.0,375853818.6,9899430000,2020-12-25,2020-12-25 23:59:59
191.5,190.05,191.57500000000002,189.50000000000003,702235817.5,18439690000,2020-12-28,2020-12-28 23:59:59
190.9,188.77499999999998,191.1,187.325,630545923.85,16673280000,2020-12-29,2020-12-29 23:59:59
189.45,189.475,190.9,187.5,673135445.6,17776870000,2020-12-30,2020-12-30 23:59:59
190.5,189.625,192.6,189.0,914549701.85,23944330000,2021-01-04,2021-01-04 23:59:59
189.625,192.225,193.0,189.275,1102082784.3,28792370000,2021-01-05,2021-01-05 23:59:59
192.9,191.17499999999998,192.975,190.25,976682533.55,25475760000,2021-01-06,2021-01-06 23:59:59
192.57500000000002,194.70000000000002,195.475,192.225,1539974457.0,39651860000,2021-01-08,2021-01-08 23:59:59
193.725,199.45000000000002,200.25000000000006,192.05,2378880447.55,60323050000,2021-01-11,2021-01-11 23:59:59
200.225,200.875,202.75,198.75,2009167582.8,50005080000,2021-01-12,2021-01-12 23:59:59
201.0,198.675,202.29999999999998,197.54999999999998,1482782022.3,37111550000,2021-01-13,2021-01-13 23:59:59
198.94999999999996,199.375,200.49999999999997,196.3,1058014682.9,26622860000,2021-01-14,2021-01-14 23:59:59
198.675,197.79999999999998,207.2,196.0,3412889454.75,84249390000,2021-01-15,2021-01-15 23:59:59
196.875,195.8,197.20000000000005,193.77499999999998,1531602690.3,39201640000,2021-01-18,2021-01-18 23:59:59
197.35,193.225,197.37499999999997,192.75,1318168459.75,33876040000,2021-01-19,2021-01-19 23:59:59
193.4,193.95,194.55,193.0,961073181.2,24794300000,2021-01-20,2021-01-20 23:59:59
194.9,189.35,194.95,188.95,1448843543.05,37890030000,2021-01-21,2021-01-21 23:59:59
188.25000000000003,186.85,188.70000000000002,185.4,1250229937.85,33448360000,2021-01-22,2021-01-22 23:59:59
188.0,188.6,189.50000000000003,187.025,974142948.3,25857840000,2021-01-25,2021-01-25 23:59:59
187.75,188.6,189.125,186.75,698280481.65,18564990000,2021-01-26,2021-01-26 23:59:59
