open,close,high,low,value,volume,begin,end
23.42,24.477,24.628,23.42,1651359453.2,68120500,2020-10-12,2020-10-12 23:59:59
24.45,24.974,25.231,24.45,1824007875.9,73333000,2020-10-13,2020-10-13 23:59:59
24.974,26.35,26.488,24.664,3182832231.8,124214400,2020-10-14,2020-10-14 23:59:59
26.3,25.651,26.9,25.021,3809409278.0,147472000,2020-10-15,2020-10-15 23:59:59
25.71,24.873,25.818,24.771,2199437124.7,87681900,2020-10-16,2020-10-16 23:59:59
25.271,25.03,25.271,24.85,749670600.0,29911800,2020-10-19,2020-10-19 23:59:59
25.1,25.809,25.85,24.949,1186753183.3,46456700,2020-10-20,2020-10-20 23:59:59
25.948,25.535,25.948,25.106,954038774.8,37509500,2020-10-21,2020-10-21 23:59:59
25.45,25.5,25.89,25.28,734204931.8,28647300,2020-10-22,2020-10-22 23:59:59
25.35,25.57,25.712,25.26,544981624.6,21385600,2020-10-23,2020-10-23 23:59:59
25.712,25.19,25.712,25.03,437786930.1,17203000,2020-10-26,2020-10-26 23:59:59
25.35,24.64,25.35,24.535,699317164.7,28218800,2020-10-27,2020-10-27 23:59:59
24.595,24.676,25.274,23.888,1614603197.0,66043700,2020-10-28,2020-10-28 23:59:59
24.845,25.545,25.789,24.718,1575849345.7,62039600,2020-10-29,2020-10-29 23:59:59
25.401,25.23,25.564,24.919,905982397.3,35906000,2020-10-30,2020-10-30 23:59:59
25.001,25.594,26.0,24.734,1180150937.4,46624600,2020-11-02,2020-11-02 23:59:59
26.05,25.699,26.573,25.445,1989847126.4,76683800,2020-11-03,2020-11-03 23:59:59
26.0,26.262,26.614,25.901,1428071120.3,54321300,2020-11-05,2020-11-05 23:59:59
26.35,26.8,26.84,26.23,1552113764.6,58607500,2020-11-06,2020-11-06 23:59:59
26.95,27.33,28.35,26.73,4288198033.1,155478000,2020-11-09,2020-11-09 23:59:59
27.499,28.2,28.22,27.043,1672276066.7,60221700,2020-11-10,2020-11-10 23:59:59
28.34,29.498,29.559,28.208,2386711243.5,81899800,2020-11-11,2020-11-11 23:59:59
29.5,31.479,31.95,28.921,4014265922.1,132356300,2020-11-12,2020-11-12 23:59:59
31.3,32.48,33.7,31.01,7546201271.6,233865900,2020-11-13,2020-11-13 23:59:59
32.747,32.098,33.35,31.105,4670359638.6,145396300,2020-11-16,2020-11-16 23:59:59
32.0,31.737,32.0,31.112,2090487835.9,66148000,2020-11-17,2020-11-17 23:59:59
31.8,32.321,32.6,30.806,4493181950.6,141618800,2020-11-18,2020-11-18 23:59:59
32.3,32.351,32.685,32.02,1655111061.1,51194200,2020-11-19,2020-11-19 23:59:59
32.446,33.43,33.47,32.227,3737620348.3,113344800,2020-11-20,2020-11-20 23:59:59
33.58,33.62,34.479,32.231,6105096496.5,181858900,2020-11-23,2020-11-23 23:59:59
33.081,33.149,33.888,32.56,5294990000.2,159277800,2020-11-24,2020-11-24 23:59:59
33.49,31.215,33.49,30.001,10223476750.1,326336400,2020-11-25,2020-11-25 23:59:59
31.399,30.1,31.399,29.752,3688007721.4,121694900,2020-11-26,2020-11-26 23:59:59
30.15,30.89,31.195,30.15,2309177219.9,75004500,2020-11-27,2020-11-27 23:59:59
30.801,30.722,31.156,30.133,1460225056.2,47495800,2020-11-30,2020-11-30 23:59:59
30.564,30.336,30.887,30.1,1372298943.2,45092900,2020-12-01,2020-12-01 23:59:59
30.314,30.084,30.75,29.53,2209312979.4,73805600,2020-12-02,2020-12-02 23:59:59
29.999,30.096,30.75,29.413,4937877331.2,165031300,2020-12-03,2020-12-03 23:59:59
30.182,29.794,30.64,29.567,2428368557.5,80869300,2020-12-04,2020-12-04 23:59:59
29.95,29.28,30.033,29.06,1199688612.1,40480600,2020-12-07,2020-12-07 23:59:59
29.35,29.2,29.37,28.808,1334928208.4,45817900,2020-12-08,2020-12-08 23:59:59
29.245,28.399,29.418,28.32,3080904207.4,107090200,2020-12-09,2020-12-09 23:59:59
28.58,28.466,29.147,27.841,3631723850.2,127524500,2020-12-10,2020-12-10 23:59:59
28.5,27.772,28.557,27.533,1644208623.7,58545700,2020-12-11,2020-12-11 23:59:59
27.8,27.31,28.12,27.147,2658183289.8,96589800,2020-12-14,2020-12-14 23:59:59
27.32,28.38,28.443,27.042,2840429383.0,102629000,2020-12-15,2020-12-15 23:59:59
28.307,28.938,29.101,28.307,3021355233.0,104935000,2020-12-16,2020-12-16 23:59:59
29.05,28.82,29.49,28.6,2259608378.2,77727500,2020-12-17,2020-12-17 23:59:59
28.84,28.293,28.84,28.155,1167198407.0,41052300,2020-12-18,2020-12-18 23:59:59
