open,close,high,low,value,volume,begin,end
60.92,59.66,60.94,59.4,2303282809.2,38494240,2020-10-12,2020-10-12 23:59:59
59.5,57.68,59.8,57.66,3031965923.8,51910160,2020-10-13,2020-10-13 23:59:59
57.8,59.06,59.34,57.12,2356142678.0,40161570,2020-10-14,2020-10-14 23:59:59
59.2,57.98,59.6,57.16,1852725526.8,31929580,2020-10-15,2020-10-15 23:59:59
58.14,58.2,59.14,57.66,1512190514.8,25915430,2020-10-16,2020-10-16 23:59:59
58.2,58.56,58.88,57.9,912402046.2,15591320,2020-10-19,2020-10-19 23:59:59
58.56,58.4,58.7,57.48,1383486497.2,23811750,2020-10-20,2020-10-20 23:59:59
58.14,58.42,58.86,58.0,683914878.2,11707670,2020-10-21,2020-10-21 23:59:59
58.4,59.6,59.62,58.26,1421725928.0,24077390,2020-10-22,2020-10-22 23:59:59
59.48,59.82,60.58,59.48,1211506450.2,20266090,2020-10-23,2020-10-23 23:59:59
59.72,58.44,60.3,58.04,1326770827.0,22442500,2020-10-26,2020-10-26 23:59:59
58.6,57.58,58.66,57.1,1333725589.0,23108070,2020-10-27,2020-10-27 23:59:59
57.46,55.08,57.7,55.02,2340646821.6,41765560,2020-10-28,2020-10-28 23:59:59
55.16,56.72,57.44,54.5,1474845459.0,26536450,2020-10-29,2020-10-29 23:59:59
55.9,57.3,57.88,55.3,2129113006.8,37367270,2020-10-30,2020-10-30 23:59:59
57.24,56.48,57.26,55.1,1314552675.0,23443560,2020-11-02,2020-11-02 23:59:59
56.92,58.0,58.7,56.54,1547419633.8,26689320,2020-11-03,2020-11-03 23:59:59
58.68,58.94,60.1,58.06,2012007934.0,33945380,2020-11-05,2020-11-05 23:59:59
59.0,59.66,59.86,58.4,1242474294.2,20941110,2020-11-06,2020-11-06 23:59:59
60.0,65.12,68.1,58.8,10001332854.4,157878300,2020-11-09,2020-11-09 23:59:59
64.94,65.34,66.2,63.72,3613071376.2,55222530,2020-11-10,2020-11-10 23:59:59
65.36,66.94,67.78,65.34,3522605542.6,52785630,2020-11-11,2020-11-11 23:59:59
66.48,64.96,66.8,64.8,1945019306.0,29441040,2020-11-12,2020-11-12 23:59:59
65.4,67.3,67.3,64.36,2791178016.0,42241300,2020-11-13,2020-11-13 23:59:59
67.7,69.44,70.2,67.7,4385147741.6,63371930,2020-11-16,2020-11-16 23:59:59
69.68,67.5,70.04,66.34,3021597513.4,44576440,2020-11-17,2020-11-17 23:59:59
67.3,68.08,69.8,66.94,3121417271.4,45368790,2020-11-18,2020-11-18 23:59:59
68.36,68.54,69.22,67.1,1974939487.6,28950640,2020-11-19,2020-11-19 23:59:59
68.2,68.98,69.22,68.02,1012386491.0,14724470,2020-11-20,2020-11-20 23:59:59
69.0,69.48,70.1,68.82,1600335442.4,23031280,2020-11-23,2020-11-23 23:59:59
69.72,72.62,72.62,69.36,3998135703.2,56199360,2020-11-24,2020-11-24 23:59:59
72.74,72.18,74.98,70.76,4899914488.8,67317020,2020-11-25,2020-11-25 23:59:59
72.26,71.24,73.08,70.32,2407620975.8,33621190,2020-11-26,2020-11-26 23:59:59
71.14,72.0,72.28,70.4,1648323645.0,23085080,2020-11-27,2020-11-27 23:59:59
71.6,71.66,72.62,70.7,1777379526.4,24769580,2020-11-30,2020-11-30 23:59:59
72.1,72.18,72.42,71.46,1342401514.0,18647290,2020-12-01,2020-12-01 23:59:59
72.0,72.5,72.5,71.7,1139264728.0,15801710,2020-12-02,2020-12-02 23:59:59
72.28,74.0,74.32,72.24,2520719336.2,34266650,2020-12-03,2020-12-03 23:59:59
74.2,74.14,75.48,73.34,2745978695.2,36948050,2020-12-04,2020-12-04 23:59:59
74.22,74.0,75.12,73.6,1907262946.8,25689540,2020-12-07,2020-12-07 23:59:59
74.0,72.7,74.0,71.36,2079804117.8,28608330,2020-12-08,2020-12-08 23:59:59
72.96,72.0,73.26,71.52,1455588381.2,20086090,2020-12-09,2020-12-09 23:59:59
71.98,72.18,72.4,71.1,1409188685.0,19649570,2020-12-10,2020-12-10 23:59:59
71.96,71.76,73.08,71.1,1647946068.4,22949290,2020-12-11,2020-12-11 23:59:59
71.88,71.08,72.24,69.54,2042571962.0,28661340,2020-12-14,2020-12-14 23:59:59
70.8,70.24,71.1,69.6,1301808608.8,18541630,2020-12-15,2020-12-15 23:59:59
70.1,71.46,71.48,69.76,1297711064.0,18406370,2020-12-16,2020-12-16 23:59:59
71.5,71.1,72.2,70.6,1657410686.6,23210170,2020-12-17,2020-12-17 23:59:59
