open,close,high,low,value,volume,begin,end
1275.0,1260.0,1275.0,1251.0,2836745.0,2257,2020-10-12,2020-10-12 23:59:59
1265.0,1250.0,1265.0,1240.0,1079312.0,865,2020-10-13,2020-10-13 23:59:59
1252.0,1269.0,1270.0,1244.0,4402188.0,3493,2020-10-14,2020-10-14 23:59:59
1269.0,1256.0,1270.0,1241.0,3590163.0,2869,2020-10-15,2020-10-15 23:59:59
1260.0,1242.0,1260.0,1232.0,2749520.0,2215,2020-10-16,2020-10-16 23:59:59
1252.0,1242.0,1252.0,1235.0,2967040.0,2391,2020-10-19,2020-10-19 23:59:59
1250.0,1246.0,1255.0,1234.0,1761592.0,1414,2020-10-20,2020-10-20 23:59:59
1248.0,1245.0,1258.0,1240.0,2090790.0,1679,2020-10-21,2020-10-21 23:59:59
1250.0,1246.0,1256.0,1241.0,5570243.0,4470,2020-10-22,2020-10-22 23:59:59
1180.0,1248.0,1250.0,1180.0,3908154.0,3146,2020-10-23,2020-10-23 23:59:59
1270.0,1235.0,1270.0,1231.0,915607.0,738,2020-10-26,2020-10-26 23:59:59
1250.0,1228.0,1250.0,1220.0,1634062.0,1330,2020-10-27,2020-10-27 23:59:59
1245.0,1195.0,1245.0,1191.0,3151346.0,2622,2020-10-28,2020-10-28 23:59:59
1205.0,1207.0,1210.0,1192.0,620987.0,518,2020-10-29,2020-10-29 23:59:59
1207.0,1196.0,1207.0,1184.0,7167630.0,5993,2020-10-30,2020-10-30 23:59:59
1210.0,1216.0,1219.0,1180.0,1409326.0,1168,2020-11-02,2020-11-02 23:59:59
1217.0,1240.0,1250.0,1217.0,1105273.0,896,2020-11-03,2020-11-03 23:59:59
1250.0,1273.0,1273.0,1240.0,2651007.0,2103,2020-11-05,2020-11-05 23:59:59
1272.0,1282.0,1283.0,1255.0,1030813.0,810,2020-11-06,2020-11-06 23:59:59
1296.0,1314.0,1315.0,1283.0,5899461.0,4531,2020-11-09,2020-11-09 23:59:59
1312.0,1328.0,1330.0,1300.0,7063380.0,5366,2020-11-10,2020-11-10 23:59:59
1334.0,1326.0,1335.0,1320.0,2726542.0,2057,2020-11-11,2020-11-11 23:59:59
1328.0,1327.0,1335.0,1313.0,2492295.0,1887,2020-11-12,2020-11-12 23:59:59
1329.0,1331.0,1345.0,1319.0,3749465.0,2829,2020-11-13,2020-11-13 23:59:59
1338.0,1343.0,1351.0,1331.0,1695810.0,1261,2020-11-16,2020-11-16 23:59:59
1346.0,1325.0,1346.0,1320.0,1102362.0,827,2020-11-17,2020-11-17 23:59:59
1348.0,1338.0,1348.0,1326.0,1072277.0,802,2020-11-18,2020-11-18 23:59:59
1340.0,1327.0,1340.0,1321.0,1123599.0,847,2020-11-19,2020-11-19 23:59:59
1332.0,1328.0,1333.0,1321.0,1678442.0,1268,2020-11-20,2020-11-20 23:59:59
1345.0,1325.0,1345.0,1323.0,1502875.0,1126,2020-11-23,2020-11-23 23:59:59
1369.0,1327.0,1369.0,1323.0,8117924.0,6112,2020-11-24,2020-11-24 23:59:59
1336.0,1333.0,1337.0,1320.0,5609395.0,4220,2020-11-25,2020-11-25 23:59:59
1333.0,1329.0,1334.0,1323.0,629710.0,474,2020-11-26,2020-11-26 23:59:59
1330.0,1324.0,1340.0,1320.0,5994222.0,4534,2020-11-27,2020-11-27 23:59:59
1328.0,1298.0,1328.0,1296.0,6342194.0,4862,2020-11-30,2020-11-30 23:59:59
1320.0,1313.0,1320.0,1300.0,684999.0,523,2020-12-01,2020-12-01 23:59:59
1320.0,1320.0,1337.0,1310.0,826043.0,627,2020-12-02,2020-12-02 23:59:59
1325.0,1311.0,1325.0,1308.0,673702.0,513,2020-12-03,2020-12-03 23:59:59
1324.0,1304.0,1324.0,1297.0,4218617.0,3237,2020-12-04,2020-12-04 23:59:59
1320.0,1300.0,1320.0,1291.0,1602759.0,1234,2020-12-07,2020-12-07 23:59:59
1314.0,1299.0,1314.0,1290.0,1057345.0,815,2020-12-08,2020-12-08 23:59:59
1313.0,1310.0,1313.0,1292.0,772331.0,596,2020-12-09,2020-12-09 23:59:59
1310.0,1302.0,1310.0,1290.0,741034.0,572,2020-12-10,2020-12-10 23:59:59
1304.0,1299.0,1304.0,1290.0,743200.0,574,2020-12-11,2020-12-11 23:59:59
1303.0,1319.0,1329.0,1292.0,1146086.0,880,2020-12-14,2020-12-14 23:59:59
1314.0,1393.0,1449.0,1298.0,169740097.0,123749,2020-12-15,2020-12-15 23:59:59
1440.0,1367.0,1440.0,1351.0,29202750.0,20938,2020-12-16,2020-12-16 23:59:59
1370.0,1369.0,1388.0,1368.0,6575050.0,4782,2020-12-17,2020-12-17 23:59:59
1370.0,1368.0,1398.0,1357.0,6674774.0,4896,2020-12-18,2020-12-18 23:59:59
1392.0,1358.0,1392.0,1356.0,5393459.0,3960,2020-12-21,2020-12-21 23:59:59
1356.0,1350.0,1366.0,1345.0,5467222.0,4040,2020-12-22,2020-12-22 23:59:59
