open,close,high,low,value,volume,begin,end
6136.0,6136.0,6136.0,6136.0,349752.0,57,2024-04-11 09:00:00,2024-04-11 09:59:59
6133.0,6185.0,6200.0,6132.0,89904721.0,14564,2024-04-11 10:00:00,2024-04-11 10:59:59
6185.0,6196.0,6210.0,6182.0,69873626.0,11276,2024-04-11 11:00:00,2024-04-11 11:59:59
6196.0,6189.0,6205.0,6182.0,23197279.0,3746,2024-04-11 12:00:00,2024-04-11 12:59:59
6189.0,6186.0,6196.0,6182.0,15697473.0,2538,2024-04-11 13:00:00,2024-04-11 13:59:59
6187.0,6182.0,6190.0,6182.0,14560546.0,2355,2024-04-11 14:00:00,2024-04-11 14:59:59
6182.0,6193.0,6200.0,6180.0,18865565.0,3050,2024-04-11 15:00:00,2024-04-11 15:59:59
6195.0,6183.0,6196.0,6180.0,8804584.0,1423,2024-04-11 16:00:00,2024-04-11 16:59:59
6183.0,6192.0,6195.0,6180.0,9288297.0,1501,2024-04-11 17:00:00,2024-04-11 17:59:59
6189.0,6195.0,6197.0,6187.0,10704763.0,1728,2024-04-11 18:00:00,2024-04-11 18:59:59
6195.0,6190.0,6197.0,6177.0,7658467.0,1238,2024-04-11 19:00:00,2024-04-11 19:59:59
6190.0,6184.0,6197.0,6181.0,4418168.0,714,2024-04-11 20:00:00,2024-04-11 20:59:59
6187.0,6187.0,6189.0,6180.0,9119226.0,1474,2024-04-11 21:00:00,2024-04-11 21:59:59
6187.0,6183.0,6187.0,6180.0,2758519.0,446,2024-04-11 22:00:00,2024-04-11 22:56:09
6181.0,6187.0,6188.0,6181.0,3309787.0,535,2024-04-11 23:00:00,2024-04-11 23:59:59
6188.0,6188.0,6188.0,6188.0,105196.0,17,2024-04-12 09:00:00,2024-04-12 09:59:59
6190.0,6157.0,6219.0,6143.0,70304654.0,11350,2024-04-12 10:00:00,2024-04-12 10:59:59
6159.0,6173.0,6184.0,6146.0,41345614.0,6710,2024-04-12 11:00:00,2024-04-12 11:59:59
6173.0,6155.0,6174.0,6151.0,27691575.0,4495,2024-04-12 12:00:00,2024-04-12 12:59:59
6154.0,6150.0,6160.0,6147.0,43971646.0,7149,2024-04-12 13:00:00,2024-04-12 13:59:59
6152.0,6133.0,6154.0,6124.0,51618537.0,8406,2024-04-12 14:00:00,2024-04-12 14:59:59
6135.0,6121.0,6155.0,6115.0,48918103.0,7980,2024-04-12 15:00:00,2024-04-12 15:59:59
6120.0,6118.0,6125.0,6115.0,26784622.0,4376,2024-04-12 16:00:00,2024-04-12 16:59:59
6118.0,6130.0,6135.0,6108.0,33502435.0,5475,2024-04-12 17:00:00,2024-04-12 17:59:59
6131.0,6132.0,6135.0,6124.0,8384851.0,1368,2024-04-12 18:00:00,2024-04-12 18:49:09
6107.0,6122.0,6137.0,6107.0,8804304.0,1437,2024-04-12 19:00:00,2024-04-12 19:59:59
6122.0,6116.0,6128.0,6115.0,12328832.0,2014,2024-04-12 20:00:00,2024-04-12 20:59:59
6116.0,6118.0,6120.0,6106.0,5373894.0,879,2024-04-12 21:00:00,2024-04-12 21:58:09
6119.0,6114.0,6121.0,6101.0,11533252.0,1888,2024-04-12 22:00:00,2024-04-12 22:58:10
6115.0,6116.0,6119.0,6105.0,5337258.0,873,2024-04-12 23:00:00,2024-04-12 23:59:59
6118.0,6118.0,6118.0,6118.0,342608.0,56,2024-04-15 09:00:00,2024-04-15 09:59:59
6119.0,6155.0,6164.0,6119.0,69825958.0,11348,2024-04-15 10:00:00,2024-04-15 10:59:59
6155.0,6159.0,6167.0,6152.0,25906201.0,4205,2024-04-15 11:00:00,2024-04-15 11:59:59
