open,close,high,low,value,volume,begin,end
1852.0,1852.0,1852.0,1852.0,488928.0,264,2024-04-11 09:00:00,2024-04-11 09:59:59
1850.0,1846.6,1853.0,1845.0,99258311.6,53665,2024-04-11 10:00:00,2024-04-11 10:59:59
1846.2,1843.8,1846.6,1842.8,129713375.60000004,70330,2024-04-11 11:00:00,2024-04-11 11:59:59
1844.0,1841.8,1844.6,1841.6,87013399.4,47221,2024-04-11 12:00:00,2024-04-11 12:59:59
1841.8,1842.6,1843.8,1841.2,64645277.20000001,35088,2024-04-11 13:00:00,2024-04-11 13:59:59
1842.6,1842.8,1844.4,1842.0,67586058.2,36679,2024-04-11 14:00:00,2024-04-11 14:59:59
1842.4,1839.6,1843.0,1839.6,64477090.20000002,35020,2024-04-11 15:00:00,2024-04-11 15:59:59
1839.6,1834.0,1840.0,1831.0,147276366.8,80216,2024-04-11 16:00:00,2024-04-11 16:59:59
1833.8,1834.6,1836.0,1830.8,151791099.4,82821,2024-04-11 17:00:00,2024-04-11 17:59:59
1834.6,1835.8,1835.8,1831.6,64631635.79999999,35258,2024-04-11 18:00:00,2024-04-11 18:59:59
1835.8,1835.0,1836.8,1833.8,22530479.200000003,12274,2024-04-11 19:00:00,2024-04-11 19:59:59
1835.0,1835.2,1835.2,1833.4,9990001.000000006,5446,2024-04-11 20:00:00,2024-04-11 20:59:59
1835.2,1834.6,1835.8,1833.4,9697606.200000003,5286,2024-04-11 21:00:00,2024-04-11 21:59:59
1834.2,1832.2,1834.4,1832.0,22147041.999999993,12085,2024-04-11 22:00:00,2024-04-11 22:59:59
1832.2,1832.8,1834.0,1832.0,9041488.8,4934,2024-04-11 23:00:00,2024-04-11 23:59:59
1834.6,1834.6,1834.6,1834.6,181625.40000000002,99,2024-04-12 09:00:00,2024-04-12 09:59:59
1833.6,1832.8,1838.4,1830.0,110876636.6,60487,2024-04-12 10:00:00,2024-04-12 10:59:59
1833.0,1829.6,1836.8,1828.2,105312082.80000001,57511,2024-04-12 11:00:00,2024-04-12 11:59:59
1829.6,1831.4,1834.2,1828.6,97766400.2,53401,2024-04-12 12:00:00,2024-04-12 12:59:59
1831.2,1828.6,1831.6,1827.0,119350010.39999999,65268,2024-04-12 13:00:00,2024-04-12 13:59:59
1828.4,1826.4,1832.8,1826.2,102960974.00000003,56325,2024-04-12 14:00:00,2024-04-12 14:59:59
1826.4,1822.2,1829.0,1821.8,115172782.0,63122,2024-04-12 15:00:00,2024-04-12 15:59:59
1822.0,1834.2,1835.2,1822.0,132147754.59999998,72199,2024-04-12 16:00:00,2024-04-12 16:59:59
1834.6,1833.8,1834.6,1830.6,64911219.39999998,35415,2024-04-12 17:00:00,2024-04-12 17:59:59
1833.8,1835.0,1835.0,1824.0,217402171.6,118713,2024-04-12 18:00:00,2024-04-12 18:59:59
1833.6,1832.8,1834.2,1832.2,86349594.99999999,47105,2024-04-12 19:00:00,2024-04-12 19:59:59
1832.8,1826.4,1832.8,1826.4,34696731.00000001,18962,2024-04-12 20:00:00,2024-04-12 20:59:59
1826.6,1831.0,1831.8,1826.6,14674367.4,8021,2024-04-12 21:00:00,2024-04-12 21:59:59
1831.6,1831.6,1832.2,1830.2,9976594.999999998,5449,2024-04-12 22:00:00,2024-04-12 22:59:09
1831.4,1831.6,1833.8,1830.8,23523613.000000004,12839,2024-04-12 23:00:00,2024-04-12 23:59:59
1831.6,1831.6,1831.6,1831.6,2659483.200000004,1452,2024-04-15 09:00:00,2024-04-15 09:59:59
1831.8,1838.6,1845.8,1831.8,148156448.4,80544,2024-04-15 10:00:00,2024-04-15 10:59:59
1838.6,1841.0,1841.4,1838.2,66645597.79999999,36214,2024-04-15 11:00:00,2024-04-15 11:59:59
