open,close,high,low,value,volume,begin,end
5.33,5.3105,5.373,5.282,1034547925.5,193836000,2020-10-12,2020-10-12 23:59:59
5.305,5.245,5.3235,5.22,930524394.5,176806000,2020-10-13,2020-10-13 23:59:59
5.2205,5.279,5.305,5.2205,646521016.5,122676000,2020-10-14,2020-10-14 23:59:59
5.283,5.221,5.289,5.2,734898675.0,140518000,2020-10-15,2020-10-15 23:59:59
5.221,5.1655,5.259,5.1625,747523524.0,143806000,2020-10-16,2020-10-16 23:59:59
5.189,5.113,5.2,5.056,840163768.5,164017000,2020-10-19,2020-10-19 23:59:59
5.11,5.1965,5.2185,5.0715,781027780.5,150987000,2020-10-20,2020-10-20 23:59:59
5.1915,5.264,5.2845,5.1915,808405499.5,154226000,2020-10-21,2020-10-21 23:59:59
5.26,5.3435,5.562,5.216,673253127.0,127344000,2020-10-22,2020-10-22 23:59:59
5.3205,5.316,5.3815,5.271,689654311.0,129734000,2020-10-23,2020-10-23 23:59:59
5.275,5.2015,5.357,5.168,981195425.0,186942000,2020-10-26,2020-10-26 23:59:59
5.203,5.177,5.234,5.151,604356749.5,116150000,2020-10-27,2020-10-27 23:59:59
5.18,4.973,5.182,4.96,1848614096.0,367159000,2020-10-28,2020-10-28 23:59:59
5.0,5.0805,5.135,4.955,1307233471.0,258668000,2020-10-29,2020-10-29 23:59:59
5.07,5.09,5.153,5.0,1311933653.0,257878000,2020-10-30,2020-10-30 23:59:59
5.12,5.116,5.141,5.016,549182646.0,108001000,2020-11-02,2020-11-02 23:59:59
5.1215,5.1645,5.1835,5.0845,828602400.0,161296000,2020-11-03,2020-11-03 23:59:59
5.206,5.2195,5.2515,5.153,1191261599.0,228862000,2020-11-05,2020-11-05 23:59:59
5.205,5.192,5.224,5.115,1213469345.5,234969000,2020-11-06,2020-11-06 23:59:59
5.23,5.228,5.3235,5.1615,2032350883.0,389036000,2020-11-09,2020-11-09 23:59:59
5.232,5.277,5.2975,5.2025,987833790.5,187617000,2020-11-10,2020-11-10 23:59:59
5.2885,5.283,5.3635,5.2755,1227668524.5,230983000,2020-11-11,2020-11-11 23:59:59
5.279,5.2165,5.279,5.1635,1399307426.0,268369000,2020-11-12,2020-11-12 23:59:59
5.201,5.2355,5.246,5.153,1260384581.0,242380000,2020-11-13,2020-11-13 23:59:59
5.25,5.2395,5.267,5.19,1712997761.5,327958000,2020-11-16,2020-11-16 23:59:59
5.239,5.1495,5.2395,5.1195,1576342779.5,305742000,2020-11-17,2020-11-17 23:59:59
5.13,5.205,5.272,5.088,2547877931.0,488889000,2020-11-18,2020-11-18 23:59:59
5.205,5.21,5.2395,5.1705,1640941077.5,315343000,2020-11-19,2020-11-19 23:59:59
5.219,5.175,5.219,5.1565,826883085.5,159559000,2020-11-20,2020-11-20 23:59:59
5.193,5.203,5.246,5.173,863395564.5,165967000,2020-11-23,2020-11-23 23:59:59
5.211,5.19,5.2155,5.1595,794375622.5,153403000,2020-11-24,2020-11-24 23:59:59
5.1905,5.155,5.204,5.12,1433348720.5,278156000,2020-11-25,2020-11-25 23:59:59
5.1665,5.225,5.25,5.135,1420146622.5,272994000,2020-11-26,2020-11-26 23:59:59
5.233,5.227,5.2725,5.1805,1931739047.5,368954000,2020-11-27,2020-11-27 23:59:59
5.22,5.157,5.226,5.136,2414520503.0,468759000,2020-11-30,2020-11-30 23:59:59
5.179,5.2145,5.22,5.155,613720283.5,117954000,2020-12-01,2020-12-01 23:59:59
5.2065,5.2105,5.2205,5.185,705055434.5,135404000,2020-12-02,2020-12-02 23:59:59
5.222,5.2155,5.2445,5.1805,915819956.5,175661000,2020-12-03,2020-12-03 23:59:59
5.23,5.1925,5.241,5.165,959939971.5,184791000,2020-12-04,2020-12-04 23:59:59
5.19,5.159,5.1995,5.149,876219915.0,169723000,2020-12-07,2020-12-07 23:59:59
5.165,5.344,5.35,5.151,3066287756.5,582555000,2020-12-08,2020-12-08 23:59:59
5.361,5.3735,5.517,5.3265,3349468614.5,616329000,2020-12-09,2020-12-09 23:59:59
5.37,5.3895,5.459,5.2875,1941310130.0,361429000,2020-12-10,2020-12-10 23:59:59
5.3935,5.3015,5.4275,5.2785,1205117136.0,226088000,2020-12-11,2020-12-11 23:59:59
5.3305,5.228,5.375,5.1805,2139646433.0,404254000,2020-12-14,2020-12-14 23:59:59
5.247,5.2335,5.2585,5.2,1168678802.0,223866000,2020-12-15,2020-12-15 23:59:59
