open,close,high,low,value,volume,begin,end
1015.0,1015.0,1015.0,1015.0,160370.0,158,2024-04-11 09:00:00,2024-04-11 09:59:59
1015.0,1009.0,1031.5,995.0,22540763.5,22201,2024-04-11 10:00:00,2024-04-11 10:59:59
1009.0,1020.0,1026.0,1003.0,9068510.0,8944,2024-04-11 11:00:00,2024-04-11 11:59:59
1020.0,1013.0,1021.0,1012.0,2818504.5,2773,2024-04-11 12:00:00,2024-04-11 12:59:03
1012.0,1015.5,1022.0,1010.0,6749568.5,6638,2024-04-11 13:00:00,2024-04-11 13:59:59
1014.5,1018.5,1028.0,1012.5,7618646.0,7444,2024-04-11 14:00:00,2024-04-11 14:59:59
1018.0,1009.5,1020.5,1005.0,5871245.0,5813,2024-04-11 15:00:00,2024-04-11 15:59:59
1010.0,1010.5,1014.5,1009.5,1972587.5,1949,2024-04-11 16:00:00,2024-04-11 16:59:09
1010.5,1018.0,1027.0,1005.0,5465868.5,5378,2024-04-11 17:00:00,2024-04-11 17:59:59
1018.5,1015.5,1035.0,1015.5,12106569.5,11800,2024-04-11 18:00:00,2024-04-11 18:46:09
1005.0,1005.0,1005.0,1005.0,511545.0,509,2024-04-12 09:00:00,2024-04-12 09:59:59
1005.5,1020.5,1030.0,1001.0,8644948.5,8508,2024-04-12 10:00:00,2024-04-12 10:59:59
1020.5,1022.0,1025.5,1016.0,4454036.0,4359,2024-04-12 11:00:00,2024-04-12 11:59:59
1022.0,1037.5,1039.0,1021.0,12552086.5,12150,2024-04-12 12:00:00,2024-04-12 12:59:59
1037.5,1036.5,1049.0,1027.5,10385101.5,9987,2024-04-12 13:00:00,2024-04-12 13:59:59
1036.5,1044.5,1047.0,1035.0,6091977.5,5847,2024-04-12 14:00:00,2024-04-12 14:59:08
1045.0,1047.5,1058.5,1039.0,21085774.5,20035,2024-04-12 15:00:00,2024-04-12 15:59:59
1047.5,1041.0,1050.5,1036.0,6163255.0,5930,2024-04-12 16:00:00,2024-04-12 16:59:59
1040.0,1040.5,1042.0,1037.5,1489624.0,1432,2024-04-12 17:00:00,2024-04-12 17:59:59
1041.5,1041.5,1043.0,1037.0,3383020.5,3253,2024-04-12 18:00:00,2024-04-12 18:49:09
1048.5,1048.5,1048.5,1048.5,224379.0,214,2024-04-15 09:00:00,2024-04-15 09:59:59
1048.0,1060.5,1080.0,1036.5,52859437.5,49553,2024-04-15 10:00:00,2024-04-15 10:59:59
1061.0,1052.5,1063.5,1050.5,9183914.0,8692,2024-04-15 11:00:00,2024-04-15 11:59:59
1052.5,1063.5,1067.5,1051.0,4765556.0,4496,2024-04-15 12:00:00,2024-04-15 12:59:59
1065.0,1062.0,1067.5,1052.0,6563732.5,6194,2024-04-15 13:00:00,2024-04-15 13:59:59
1063.0,1061.0,1070.0,1059.0,8621962.5,8098,2024-04-15 14:00:00,2024-04-15 14:59:59
1060.5,1062.0,1066.0,1060.0,6421936.0,6044,2024-04-15 15:00:00,2024-04-15 15:59:59
1061.5,1058.5,1063.0,1058.0,6423612.5,6052,2024-04-15 16:00:00,2024-04-15 16:59:59
1058.0,1050.0,1060.0,1045.5,7144282.5,6782,2024-04-15 17:00:00,2024-04-15 17:59:59
1050.0,1044.0,1050.0,1038.5,6212847.0,5936,2024-04-15 18:00:00,2024-04-15 18:59:59
1044.0,1044.0,1044.0,1044.0,105444.0,101,2024-04-16 09:00:00,2024-04-16 09:59:59
1044.5,1074.0,1086.5,1044.5,54743845.0,51179,2024-04-16 10:00:00,2024-04-16 10:59:59
1074.0,1072.0,1085.0,1068.5,22454185.5,20868,2024-04-16 11:00:00,2024-04-16 11:59:59
1071.0,1070.0,1081.0,1068.5,25182617.5,23447,2024-04-16 12:00:00,2024-04-16 12:59:59
1070.0,1069.0,1072.5,1068.5,7872506.5,7347,2024-04-16 13:00:00,2024-04-16 13:59:59
1069.0,1069.0,1072.0,1068.5,5139773.5,4801,2024-04-16 14:00:00,2024-04-16 14:59:59
1069.0,1070.0,1070.0,1067.0,8130736.5,7602,2024-04-16 15:00:00,2024-04-16 15:59:08
1069.0,1070.0,1070.0,1065.5,3721126.0,3487,2024-04-16 16:00:00,2024-04-16 16:59:59
1070.0,1068.0,1072.5,1052.0,13790588.5,12962,2024-04-16 17:00:00,2024-04-16 17:59:59
1068.0,1070.5,1072.5,1067.5,2294866.0,2144,2024-04-16 18:00:00,2024-04-16 18:47:09
1072.0,1072.0,1072.0,1072.0,158656.0,148,2024-04-17 09:00:00,2024-04-17 09:59:59
1072.0,1081.5,1090.0,1072.0,27304060.5,25221,2024-04-17 10:00:00,2024-04-17 10:59:59
1081.0,1083.5,1084.0,1077.0,6808090.0,6303,2024-04-17 11:00:00,2024-04-17 11:59:59
1083.5,1078.0,1088.5,1078.0,15145192.0,13993,2024-04-17 12:00:00,2024-04-17 12:59:59
1080.0,1075.5,1082.5,1073.5,5999388.0,5568,2024-04-17 13:00:00,2024-04-17 13:59:59
1075.5,1080.5,1080.5,1073.5,2713693.5,2518,2024-04-17 14:00:00,2024-04-17 14:59:59
1079.0,1076.5,1081.5,1076.5,1763637.5,1635,2024-04-17 15:00:00,2024-04-17 15:59:08
1076.5,1068.0,1077.5,1054.5,13275588.5,12476,2024-04-17 16:00:00,2024-04-17 16:59:59
1068.5,1059.5,1069.0,1052.5,8074111.0,7618,2024-04-17 17:00:00,2024-04-17 17:59:59
1060.0,1055.5,1062.0,1055.0,2575677.5,2437,2024-04-17 18:00:00,2024-04-17 18:59:59
1057.0,1057.0,1057.0,1057.0,17969.0,17,2024-04-18 09:00:00,2024-04-18 09:59:59
1057.0,1030.0,1062.0,1020.0,34859467.5,33656,2024-04-18 10:00:00,2024-04-18 10:59:59
1030.5,1031.0,1038.0,1025.0,7040986.5,6824,2024-04-18 11:00:00,2024-04-18 11:59:59
1031.0,1026.0,1036.0,1023.0,6320723.5,6133,2024-04-18 12:00:00,2024-04-18 12:59:59
1026.0,1038.0,1049.0,1024.0,9633579.0,9285,2024-04-18 13:00:00,2024-04-18 13:59:59
1038.0,1023.0,1038.5,1020.0,6994706.5,6806,2024-04-18 14:00:00,2024-04-18 14:59:59
1023.5,1029.5,1030.5,1023.0,2025486.0,1973,2024-04-18 15:00:00,2024-04-18 15:58:09
1027.0,1025.5,1033.0,1025.0,2896380.0,2817,2024-04-18 16:00:00,2024-04-18 16:59:08
1027.0,1044.0,1049.0,1027.0,7576145.0,7308,2024-04-18 17:00:00,2024-04-18 17:59:59
1044.0,1042.0,1045.0,1039.5,1226906.0,1177,2024-04-18 18:00:00,2024-04-18 18:49:09
1042.0,1042.0,1042.0,1042.0,21882.0,21,2024-04-19 09:00:00,2024-04-19 09:59:59
1043.0,1051.0,1065.0,1031.5,11543963.5,11000,2024-04-19 10:00:00,2024-04-19 10:59:59
1051.0,1049.0,1055.0,1043.0,3436984.0,3270,2024-04-19 11:00:00,2024-04-19 11:59:59
1048.0,1044.5,1050.5,1042.5,2014482.0,1925,2024-04-19 12:00:00,2024-04-19 12:59:59
1042.0,1039.5,1045.5,1036.0,5437165.0,5231,2024-04-19 13:00:00,2024-04-19 13:59:59
1039.5,1032.0,1039.5,1028.0,5233037.5,5072,2024-04-19 14:00:00,2024-04-19 14:59:59
1033.0,1031.5,1038.5,1028.0,6428932.5,6227,2024-04-19 15:00:00,2024-04-19 15:59:59
1032.0,1019.0,1032.0,1015.0,30061288.5,29411,2024-04-19 16:00:00,2024-04-19 16:59:59
1019.0,1018.0,1019.0,1015.0,9444159.0,9279,2024-04-19 17:00:00,2024-04-19 17:59:59
1018.0,1022.0,1027.0,1018.0,9615517.5,9415,2024-04-19 18:00:00,2024-04-19 18:47:09
1028.0,1028.0,1028.0,1028.0,132612.0,129,2024-04-22 09:00:00,2024-04-22 09:59:59
1025.0,1017.0,1027.5,1015.0,11138995.0,10937,2024-04-22 10:00:00,2024-04-22 10:59:59
1017.0,1017.5,1020.0,1015.0,5161928.5,5078,2024-04-22 11:00:00,2024-04-22 11:59:59
