open,close,high,low,value,volume,begin,end
4444.0,4445.0,4493.5,4428.0,2731834479.0,612369,2020-10-12,2020-10-12 23:59:59
4440.0,4374.5,4473.0,4364.0,3527455088.5,798784,2020-10-13,2020-10-13 23:59:59
4371.5,4364.5,4385.5,4326.0,4055654347.0,932158,2020-10-14,2020-10-14 23:59:59
4352.0,4271.0,4362.5,4231.0,6213115290.5,1447902,2020-10-15,2020-10-15 23:59:59
4260.0,4253.0,4301.0,4200.5,6310284441.5,1483662,2020-10-16,2020-10-16 23:59:59
4280.0,4194.0,4296.0,4171.0,3484508366.5,824375,2020-10-19,2020-10-19 23:59:59
4185.0,4270.0,4289.0,4164.0,4023463713.0,951566,2020-10-20,2020-10-20 23:59:59
4297.0,4211.5,4297.0,4202.0,3705958264.5,875044,2020-10-21,2020-10-21 23:59:59
4190.0,4307.5,4318.0,4182.0,4641978349.5,1087150,2020-10-22,2020-10-22 23:59:59
4305.0,4325.0,4374.5,4287.5,4356726495.0,1004104,2020-10-23,2020-10-23 23:59:59
4289.5,4223.0,4301.5,4205.0,3768731216.5,884878,2020-10-26,2020-10-26 23:59:59
4235.0,4123.5,4249.5,4111.0,5150760495.0,1238276,2020-10-27,2020-10-27 23:59:59
4095.0,4012.5,4109.5,3961.0,8089081597.0,2009306,2020-10-28,2020-10-28 23:59:59
4035.5,4057.5,4080.0,3996.0,5558009434.5,1375834,2020-10-29,2020-10-29 23:59:59
4001.0,4050.0,4089.0,3970.0,4961063844.0,1228320,2020-10-30,2020-10-30 23:59:59
4020.0,4162.0,4165.0,3992.0,6962591546.5,1698996,2020-11-02,2020-11-02 23:59:59
4160.0,4252.0,4269.5,4160.0,6476535293.5,1530896,2020-11-03,2020-11-03 23:59:59
4300.5,4321.5,4379.0,4279.5,6060308874.0,1398804,2020-11-05,2020-11-05 23:59:59
4306.0,4396.0,4418.5,4272.0,5941812128.5,1366027,2020-11-06,2020-11-06 23:59:59
4455.0,4755.0,4820.0,4420.0,21342707726.5,4572008,2020-11-09,2020-11-09 23:59:59
4750.0,4884.5,4950.0,4702.0,15868397635.0,3271228,2020-11-10,2020-11-10 23:59:59
4920.5,4945.0,4996.0,4916.5,13241249552.5,2667838,2020-11-11,2020-11-11 23:59:59
4900.0,4853.0,4939.5,4821.5,9126273381.5,1865295,2020-11-12,2020-11-12 23:59:59
4830.0,4879.0,4900.0,4795.0,4578916786.0,947188,2020-11-13,2020-11-13 23:59:59
4901.0,4932.5,4949.5,4861.0,6892529956.5,1404218,2020-11-16,2020-11-16 23:59:59
4943.0,4864.0,4954.0,4796.5,7339605390.0,1513399,2020-11-17,2020-11-17 23:59:59
4841.0,4890.0,4972.0,4818.0,6711197079.5,1367818,2020-11-18,2020-11-18 23:59:59
4880.0,4916.0,4937.0,4850.0,5941013837.0,1214118,2020-11-19,2020-11-19 23:59:59
4915.0,4948.5,4952.0,4877.5,3770922756.5,767359,2020-11-20,2020-11-20 23:59:59
4962.0,5026.5,5046.5,4945.5,9022681037.0,1805934,2020-11-23,2020-11-23 23:59:59
5056.0,5179.5,5179.5,5050.0,10803464891.0,2122623,2020-11-24,2020-11-24 23:59:59
5192.0,5392.5,5395.0,5141.5,16719203468.0,3141954,2020-11-25,2020-11-25 23:59:59
5396.0,5243.0,5400.0,5236.0,9677154680.5,1827082,2020-11-26,2020-11-26 23:59:59
5230.0,5260.0,5269.5,5164.5,8596033686.5,1650507,2020-11-27,2020-11-27 23:59:59
5200.0,5063.0,5250.0,4982.0,18883190110.0,3722676,2020-11-30,2020-11-30 23:59:59
5072.0,5058.5,5121.0,5022.0,7640894460.0,1507829,2020-12-01,2020-12-01 23:59:59
5034.0,5167.0,5199.0,5024.0,7886009170.0,1544646,2020-12-02,2020-12-02 23:59:59
