open,close,high,low,value,volume,begin,end
7835.0,7835.0,7835.0,7835.0,5233780.0,668,2024-04-11 09:00:00,2024-04-11 09:59:59
7830.0,7857.0,7870.0,7827.0,925201676.0,117724,2024-04-11 10:00:00,2024-04-11 10:59:59
7856.0,7856.5,7866.0,7842.0,313192096.5,39875,2024-04-11 11:00:00,2024-04-11 11:59:59
7856.0,7845.0,7860.0,7836.0,304032521.0,38740,2024-04-11 12:00:00,2024-04-11 12:59:59
7845.0,7845.0,7855.0,7843.0,162384224.5,20690,2024-04-11 13:00:00,2024-04-11 13:59:59
7844.5,7848.0,7855.0,7844.0,189399826.5,24130,2024-04-11 14:00:00,2024-04-11 14:59:59
7847.5,7850.5,7855.0,7844.0,200348567.0,25523,2024-04-11 15:00:00,2024-04-11 15:59:59
7851.0,7840.0,7854.5,7840.0,204111287.5,26010,2024-04-11 16:00:00,2024-04-11 16:59:59
7840.0,7841.5,7845.5,7829.0,349598423.5,44608,2024-04-11 17:00:00,2024-04-11 17:59:59
7841.5,7830.0,7849.0,7830.0,270539327.5,34519,2024-04-11 18:00:00,2024-04-11 18:59:59
7838.5,7835.5,7840.0,7829.0,78987137.0,10082,2024-04-11 19:00:00,2024-04-11 19:59:59
7835.5,7843.0,7845.0,7835.0,49503273.0,6314,2024-04-11 20:00:00,2024-04-11 20:59:59
7843.0,7846.5,7846.5,7840.0,57662295.0,7351,2024-04-11 21:00:00,2024-04-11 21:59:59
7846.5,7836.5,7850.0,7836.0,82223902.0,10480,2024-04-11 22:00:00,2024-04-11 22:59:59
7836.5,7836.5,7845.0,7834.5,53560178.5,6832,2024-04-11 23:00:00,2024-04-11 23:59:59
7840.0,7840.0,7840.0,7840.0,2007040.0,256,2024-04-12 09:00:00,2024-04-12 09:59:59
7840.0,7840.5,7865.0,7835.0,417884556.5,53247,2024-04-12 10:00:00,2024-04-12 10:59:59
7840.0,7840.0,7844.0,7825.0,233475310.0,29802,2024-04-12 11:00:00,2024-04-12 11:59:59
7840.5,7826.0,7843.5,7819.0,287327880.0,36690,2024-04-12 12:00:00,2024-04-12 12:59:59
7825.0,7814.5,7825.0,7802.5,312287031.0,39971,2024-04-12 13:00:00,2024-04-12 13:59:59
7815.0,7818.5,7820.0,7807.5,158664364.0,20308,2024-04-12 14:00:00,2024-04-12 14:59:59
7818.5,7796.5,7818.5,7785.0,497551497.0,63810,2024-04-12 15:00:00,2024-04-12 15:59:59
7796.5,7824.0,7824.0,7795.0,401172053.0,51341,2024-04-12 16:00:00,2024-04-12 16:59:59
7823.5,7820.5,7829.0,7799.0,400862562.0,51315,2024-04-12 17:00:00,2024-04-12 17:59:59
7820.5,7833.5,7833.5,7813.0,440961768.0,56334,2024-04-12 18:00:00,2024-04-12 18:59:59
7830.0,7827.0,7830.0,7823.5,67966220.5,8684,2024-04-12 19:00:00,2024-04-12 19:59:59
7826.0,7830.0,7835.0,7800.5,233284792.0,29819,2024-04-12 20:00:00,2024-04-12 20:59:59
7830.0,7832.5,7838.0,7829.0,134068501.0,17118,2024-04-12 21:00:00,2024-04-12 21:59:59
7832.5,7837.0,7837.0,7829.0,83326389.5,10640,2024-04-12 22:00:00,2024-04-12 22:59:59
7837.0,7839.5,7843.0,7833.0,65084132.5,8304,2024-04-12 23:00:00,2024-04-12 23:59:59
7853.0,7853.0,7853.0,7853.0,19506852.0,2484,2024-04-15 09:00:00,2024-04-15 09:59:59
7852.5,7867.5,7870.0,7849.5,866795267.5,110225,2024-04-15 10:00:00,2024-04-15 10:59:59
7867.0,7899.0,7900.0,7855.5,777787106.5,98663,2024-04-15 11:00:00,2024-04-15 11:59:59
7899.0,7927.0,7931.0,7898.5,682638800.0,86274,2024-04-15 12:00:00,2024-04-15 12:59:59
7927.5,7909.5,7928.5,7900.0,423334732.5,53487,2024-04-15 13:00:00,2024-04-15 13:59:59
7910.5,7895.5,7920.0,7892.0,328543560.5,41532,2024-04-15 14:00:00,2024-04-15 14:59:59
7895.5,7890.5,7904.0,7887.5,239601125.5,30346,2024-04-15 15:00:00,2024-04-15 15:59:59
7892.0,7911.0,7915.0,7891.0,143361959.0,18128,2024-04-15 16:00:00,2024-04-15 16:59:59
7911.5,7909.5,7911.5,7888.5,240901142.0,30495,2024-04-15 17:00:00,2024-04-15 17:59:59
7909.5,7890.0,7910.0,7890.0,199403584.5,25252,2024-04-15 18:00:00,2024-04-15 18:59:59
7900.0,7900.5,7906.0,7894.0,71057137.5,8994,2024-04-15 19:00:00,2024-04-15 19:59:59
7901.0,7908.0,7908.5,7900.0,70278954.0,8890,2024-04-15 20:00:00,2024-04-15 20:59:59
7908.0,7910.0,7911.0,7905.0,56379153.0,7129,2024-04-15 21:00:00,2024-04-15 21:59:59
7910.0,7916.5,7919.0,7909.0,103211643.0,13038,2024-04-15 22:00:00,2024-04-15 22:59:59
7916.0,7920.5,7921.0,7912.5,75900420.0,9587,2024-04-15 23:00:00,2024-04-15 23:59:55
7929.5,7929.5,7929.5,7929.5,12599975.5,1589,2024-04-16 09:00:00,2024-04-16 09:59:59
7926.5,7904.0,7926.5,7895.5,597870939.0,75579,2024-04-16 10:00:00,2024-04-16 10:59:59
7904.0,7911.0,7915.0,7881.5,698559677.0,88464,2024-04-16 11:00:00,2024-04-16 11:59:59
7911.5,7904.5,7913.0,7900.0,227647235.5,28791,2024-04-16 12:00:00,2024-04-16 12:59:59
7904.5,7912.0,7912.0,7894.0,290496599.0,36761,2024-04-16 13:00:00,2024-04-16 13:59:59
7912.0,7898.5,7912.5,7895.0,253028725.5,32020,2024-04-16 14:00:00,2024-04-16 14:59:59
7898.5,7898.5,7907.0,7896.5,204272471.5,25856,2024-04-16 15:00:00,2024-04-16 15:59:59
7899.0,7894.5,7900.0,7885.0,204069922.5,25854,2024-04-16 16:00:00,2024-04-16 16:59:59
7894.0,7874.0,7894.0,7870.0,315889120.0,40085,2024-04-16 17:00:00,2024-04-16 17:59:59
7874.0,7875.0,7892.5,7873.5,194268244.0,24654,2024-04-16 18:00:00,2024-04-16 18:49:09
7894.5,7886.5,7894.5,7875.5,100525781.5,12748,2024-04-16 19:00:00,2024-04-16 19:59:59
7887.0,7885.0,7890.0,7880.0,67200238.5,8522,2024-04-16 20:00:00,2024-04-16 20:59:59
7886.5,7896.0,7896.0,7883.5,48111071.0,6097,2024-04-16 21:00:00,2024-04-16 21:59:59
7895.5,7892.5,7900.0,7890.5,31568275.5,3998,2024-04-16 22:00:00,2024-04-16 22:59:59
7892.0,7897.0,7900.0,7890.0,30984722.5,3924,2024-04-16 23:00:00,2024-04-16 23:59:54
7897.0,7897.0,7897.0,7897.0,3095624.0,392,2024-04-17 09:00:00,2024-04-17 09:59:59
7897.5,7907.0,7910.0,7894.5,269782733.5,34132,2024-04-17 10:00:00,2024-04-17 10:59:59
7906.5,7900.5,7907.0,7890.5,315706882.0,39959,2024-04-17 11:00:00,2024-04-17 11:59:59
7900.0,7885.5,7903.0,7873.0,398271268.0,50491,2024-04-17 12:00:00,2024-04-17 12:59:59
7885.5,7886.0,7894.0,7880.0,201936648.0,25605,2024-04-17 13:00:00,2024-04-17 13:59:59
7886.0,7870.5,7888.5,7870.5,324339054.0,41161,2024-04-17 14:00:00,2024-04-17 14:59:59
7870.5,7877.5,7885.0,7860.5,470066017.0,59719,2024-04-17 15:00:00,2024-04-17 15:59:59
7877.5,7890.5,7893.5,7866.0,230506131.5,29247,2024-04-17 16:00:00,2024-04-17 16:59:59
7890.5,7911.0,7918.0,7880.0,532391905.0,67334,2024-04-17 17:00:00,2024-04-17 17:59:59
7911.0,7885.5,7912.5,7885.0,205379670.0,26007,2024-04-17 18:00:00,2024-04-17 18:59:59
7885.5,7870.0,7890.0,7855.5,255917487.5,32504,2024-04-17 19:00:00,2024-04-17 19:59:59
7870.5,7878.0,7886.0,7867.0,52642893.5,6681,2024-04-17 20:00:00,2024-04-17 20:59:59
7880.0,7894.0,7897.0,7876.5,106471878.5,13499,2024-04-17 21:00:00,2024-04-17 21:59:59
7895.0,7881.0,7897.5,7880.5,71433370.0,9053,2024-04-17 22:00:00,2024-04-17 22:59:59
7881.5,7886.0,7890.0,7879.0,53224896.5,6749,2024-04-17 23:00:00,2024-04-17 23:59:59
7888.0,7888.0,7888.0,7888.0,4638144.0,588,2024-04-18 09:00:00,2024-04-18 09:59:59
7887.0,7873.5,7897.5,7863.5,288295189.5,36603,2024-04-18 10:00:00,2024-04-18 10:59:59
7874.0,7870.0,7879.5,7865.0,337516387.0,42877,2024-04-18 11:00:00,2024-04-18 11:59:59
7869.0,7862.5,7878.0,7860.0,283693733.0,36074,2024-04-18 12:00:00,2024-04-18 12:59:59
7862.5,7845.0,7869.0,7838.5,801398876.0,102007,2024-04-18 13:00:00,2024-04-18 13:59:59
7845.0,7819.0,7845.0,7800.0,795707292.5,101792,2024-04-18 14:00:00,2024-04-18 14:59:59
7819.0,7829.5,7830.0,7813.5,258121561.0,32987,2024-04-18 15:00:00,2024-04-18 15:59:59
7830.0,7827.5,7839.5,7826.5,240607451.0,30722,2024-04-18 16:00:00,2024-04-18 16:59:59
7827.5,7827.5,7830.0,7820.0,224358765.5,28669,2024-04-18 17:00:00,2024-04-18 17:59:59
7827.5,7839.0,7842.5,7826.0,194913885.5,24881,2024-04-18 18:00:00,2024-04-18 18:59:59
7838.5,7846.5,7855.0,7838.5,207977031.5,26507,2024-04-18 19:00:00,2024-04-18 19:59:59
7846.5,7858.0,7864.5,7844.5,111957037.0,14257,2024-04-18 20:00:00,2024-04-18 20:59:59
7858.5,7857.5,7863.5,7851.5,74202561.5,9441,2024-04-18 21:00:00,2024-04-18 21:59:59
7858.0,7850.0,7858.0,7848.0,51329473.0,6535,2024-04-18 22:00:00,2024-04-18 22:59:59
7853.0,7840.0,7855.5,7827.5,357294272.0,45611,2024-04-18 23:00:00,2024-04-18 23:59:54
7860.0,7860.0,7860.0,7860.0,7647780.0,973,2024-04-19 09:00:00,2024-04-19 09:59:59
7860.0,7846.5,7868.5,7841.0,511723169.5,65150,2024-04-19 10:00:00,2024-04-19 10:59:59
7847.0,7805.5,7847.0,7803.5,745546052.0,95305,2024-04-19 11:00:00,2024-04-19 11:59:59
7805.0,7808.0,7815.0,7790.0,1091749257.5,139924,2024-04-19 12:00:00,2024-04-19 12:59:59
7808.0,7819.5,7820.0,7805.0,505423995.0,64663,2024-04-19 13:00:00,2024-04-19 13:59:59
7817.5,7817.0,7820.0,7812.0,430790164.0,55102,2024-04-19 14:00:00,2024-04-19 14:59:59
7817.0,7820.5,7827.0,7815.0,679498516.5,86889,2024-04-19 15:00:00,2024-04-19 15:59:59
7820.5,7839.5,7848.0,7816.0,238391469.5,30443,2024-04-19 16:00:00,2024-04-19 16:59:59
7840.0,7858.0,7860.0,7834.5,268195741.5,34183,2024-04-19 17:00:00,2024-04-19 17:59:59
7857.5,7845.0,7858.5,7840.0,227588859.5,28997,2024-04-19 18:00:00,2024-04-19 18:59:59
7843.0,7844.0,7848.0,7833.0,74287723.5,9475,2024-04-19 19:00:00,2024-04-19 19:59:59
7844.5,7839.5,7846.0,7838.0,27412173.5,3495,2024-04-19 20:00:00,2024-04-19 20:59:59
7839.5,7839.5,7842.0,7838.0,38869145.0,4958,2024-04-19 21:00:00,2024-04-19 21:59:59
7839.5,7839.5,7840.0,7830.0,55622331.0,7098,2024-04-19 22:00:00,2024-04-19 22:59:59
7839.5,7835.5,7840.0,7830.0,59982831.0,7655,2024-04-19 23:00:00,2024-04-19 23:59:54
7836.0,7836.0,7836.0,7836.0,9222972.0,1177,2024-04-22 09:00:00,2024-04-22 09:59:59
7836.0,7847.0,7850.0,7820.0,586679663.0,74892,2024-04-22 10:00:00,2024-04-22 10:59:59
7847.5,7826.5,7848.5,7816.0,478284952.5,61068,2024-04-22 11:00:00,2024-04-22 11:59:59
7826.5,7815.0,7835.0,7806.0,618737970.5,79113,2024-04-22 12:00:00,2024-04-22 12:59:59
7815.0,7825.0,7825.0,7803.0,381252787.5,48780,2024-04-22 13:00:00,2024-04-22 13:59:59
7825.0,7822.0,7825.0,7810.0,292599406.0,37418,2024-04-22 14:00:00,2024-04-22 14:59:59
7822.0,7822.0,7825.0,7814.5,332275085.5,42481,2024-04-22 15:00:00,2024-04-22 15:59:59
7822.0,7824.0,7824.0,7815.0,302544961.5,38686,2024-04-22 16:00:00,2024-04-22 16:59:59
7824.0,7854.5,7855.0,7819.5,750893484.5,95833,2024-04-22 17:00:00,2024-04-22 17:59:59
7854.5,7850.0,7878.0,7833.0,777258656.0,98932,2024-04-22 18:00:00,2024-04-22 18:59:59
7851.0,7849.0,7872.5,7847.0,203498659.5,25898,2024-04-22 19:00:00,2024-04-22 19:59:59
7849.5,7850.0,7851.5,7846.0,94473063.0,12036,2024-04-22 20:00:00,2024-04-22 20:59:59
7850.0,7849.5,7854.0,7849.0,76320168.5,9721,2024-04-22 21:00:00,2024-04-22 21:59:59
7849.0,7833.5,7850.0,7831.5,179956131.5,22941,2024-04-22 22:00:00,2024-04-22 22:59:59
7833.5,7827.5,7846.5,7824.0,159911784.0,20416,2024-04-22 23:00:00,2024-04-22 23:59:55
7849.5,7849.5,7849.5,7849.5,5918523.0,754,2024-04-23 09:00:00,2024-04-23 09:59:59
7846.0,7866.0,7886.5,7840.0,611664770.5,77731,2024-04-23 10:00:00,2024-04-23 10:59:59
7864.5,7876.5,7885.0,7853.5,447559373.0,56852,2024-04-23 11:00:00,2024-04-23 11:59:59
7876.0,7858.5,7883.0,7856.5,481359450.0,61188,2024-04-23 12:00:00,2024-04-23 12:59:59
7858.0,7841.0,7859.0,7833.0,375654551.0,47900,2024-04-23 13:00:00,2024-04-23 13:59:59
7841.0,7843.0,7843.0,7830.0,287431106.0,36695,2024-04-23 14:00:00,2024-04-23 14:59:59
7842.5,7830.0,7842.5,7830.0,293647076.5,37489,2024-04-23 15:00:00,2024-04-23 15:59:59
7830.5,7818.5,7836.0,7814.0,407473582.5,52080,2024-04-23 16:00:00,2024-04-23 16:59:59
7818.5,7839.0,7849.5,7811.0,367694757.5,46976,2024-04-23 17:00:00,2024-04-23 17:59:59
7840.0,7820.0,7849.0,7806.0,348472721.0,44514,2024-04-23 18:00:00,2024-04-23 18:59:59
7810.0,7826.0,7834.0,7810.0,59351609.0,7585,2024-04-23 19:00:00,2024-04-23 19:59:59
7826.0,7822.5,7826.0,7812.5,85692209.5,10958,2024-04-23 20:00:00,2024-04-23 20:59:59
7822.5,7835.0,7848.0,7820.5,139694897.5,17824,2024-04-23 21:00:00,2024-04-23 21:59:59
7833.5,7825.5,7840.0,7825.0,39187408.5,5002,2024-04-23 22:00:00,2024-04-23 22:59:59
7826.0,7840.0,7843.5,7821.0,78754298.0,10054,2024-04-23 23:00:00,2024-04-23 23:59:59
7846.5,7846.5,7846.5,7846.5,4142952.0,528,2024-04-24 09:00:00,2024-04-24 09:59:59
7846.5,7838.0,7854.0,7825.0,409514822.5,52246,2024-04-24 10:00:00,2024-04-24 10:59:59
7838.0,7813.0,7845.0,7805.5,420244296.0,53694,2024-04-24 11:00:00,2024-04-24 11:59:59
7812.5,7833.5,7835.0,7803.5,350266675.5,44767,2024-04-24 12:00:00,2024-04-24 12:59:59
7833.5,7825.0,7835.0,7823.0,219993779.0,28107,2024-04-24 13:00:00,2024-04-24 13:59:59
7825.5,7849.0,7849.5,7820.0,211186575.0,26947,2024-04-24 14:00:00,2024-04-24 14:59:59
7849.0,7817.5,7851.0,7817.0,392653605.0,50145,2024-04-24 15:00:00,2024-04-24 15:59:59
7818.5,7823.0,7835.5,7817.5,134559928.5,17194,2024-04-24 16:00:00,2024-04-24 16:59:59
7822.0,7824.0,7830.0,7818.0,189392649.0,24211,2024-04-24 17:00:00,2024-04-24 17:59:59
7825.0,7816.5,7828.5,7816.0,168022818.0,21489,2024-04-24 18:00:00,2024-04-24 18:59:59
7828.5,7817.0,7829.0,7815.5,88070389.5,11262,2024-04-24 19:00:00,2024-04-24 19:59:59
7816.5,7822.5,7826.0,7812.5,62044887.0,7937,2024-04-24 20:00:00,2024-04-24 20:59:59
7822.5,7822.5,7825.5,7820.0,37623654.0,4809,2024-04-24 21:00:00,2024-04-24 21:59:59
7822.5,7824.0,7825.0,7820.0,26200474.5,3349,2024-04-24 22:00:00,2024-04-24 22:59:59
7824.0,7820.5,7825.5,7820.5,23492427.5,3003,2024-04-24 23:00:00,2024-04-24 23:59:54
7820.5,7820.5,7820.5,7820.5,2127176.0,272,2024-04-25 09:00:00,2024-04-25 09:59:59
7820.5,7812.0,7831.5,7809.5,268283062.0,34312,2024-04-25 10:00:00,2024-04-25 10:59:59
7812.0,7812.0,7825.0,7810.0,245805850.0,31452,2024-04-25 11:00:00,2024-04-25 11:59:59
7811.5,7813.0,7820.0,7811.0,232746146.5,29775,2024-04-25 12:00:00,2024-04-25 12:59:59
7813.0,7814.5,7817.0,7812.0,127690067.5,16342,2024-04-25 13:00:00,2024-04-25 13:59:59
7814.5,7812.0,7820.0,7812.0,188262653.5,24092,2024-04-25 14:00:00,2024-04-25 14:59:59
7812.0,7810.5,7818.5,7810.0,231566046.0,29643,2024-04-25 15:00:00,2024-04-25 15:59:59
7810.5,7818.0,7825.0,7810.0,249218122.5,31882,2024-04-25 16:00:00,2024-04-25 16:59:59
7818.0,7815.0,7820.0,7811.5,272627125.5,34877,2024-04-25 17:00:00,2024-04-25 17:59:59
7815.0,7827.5,7829.5,7813.5,385525938.0,49292,2024-04-25 18:00:00,2024-04-25 18:49:09
7828.0,7822.0,7829.0,7818.5,59086452.0,7551,2024-04-25 19:00:00,2024-04-25 19:59:59
7823.5,7825.0,7825.0,7815.0,38324082.0,4900,2024-04-25 20:00:00,2024-04-25 20:59:59
7825.5,7825.5,7827.5,7823.5,34718771.0,4437,2024-04-25 21:00:00,2024-04-25 21:59:59
7825.5,7827.5,7828.0,7822.5,25036186.5,3199,2024-04-25 22:00:00,2024-04-25 22:59:59
7827.0,7827.5,7828.5,7823.0,34837266.0,4451,2024-04-25 23:00:00,2024-04-25 23:59:59
7828.0,7828.0,7828.0,7828.0,2379712.0,304,2024-04-26 09:00:00,2024-04-26 09:59:59
7828.0,7833.5,7859.0,7816.0,409508533.0,52251,2024-04-26 10:00:00,2024-04-26 10:59:59
7834.0,7854.5,7859.5,7833.5,460665199.5,58717,2024-04-26 11:00:00,2024-04-26 11:59:59
7855.0,7846.0,7861.0,7837.0,352487345.0,44901,2024-04-26 12:00:00,2024-04-26 12:59:59
7846.5,7864.0,7875.0,7840.0,467110125.0,59447,2024-04-26 13:00:00,2024-04-26 13:59:59
7864.0,7837.5,7867.0,7810.0,546903574.0,69807,2024-04-26 14:00:00,2024-04-26 14:59:59
7837.5,7856.5,7858.5,7828.5,404622899.5,51544,2024-04-26 15:00:00,2024-04-26 15:59:59
7856.0,7864.5,7865.0,7840.5,457661219.5,58261,2024-04-26 16:00:00,2024-04-26 16:59:59
7865.0,7877.5,7881.0,7855.0,610369189.0,77530,2024-04-26 17:00:00,2024-04-26 17:59:59
7877.0,7885.0,7899.0,7877.0,700276216.5,88776,2024-04-26 18:00:00,2024-04-26 18:59:59
7885.5,7900.5,7907.5,7885.0,364671512.0,46187,2024-04-26 19:00:00,2024-04-26 19:59:59
7900.0,7907.5,7915.0,7897.5,382571914.5,48383,2024-04-26 20:00:00,2024-04-26 20:59:59
7909.0,7932.5,7936.0,7906.5,542824064.0,68525,2024-04-26 21:00:00,2024-04-26 21:59:59
7932.5,7921.0,7940.0,7920.0,259513192.5,32733,2024-04-26 22:00:00,2024-04-26 22:59:59
7921.0,7929.5,7930.0,7917.0,154468256.5,19497,2024-04-26 23:00:00,2024-04-26 23:59:54
