open,close,high,low,value,volume,begin,end
7920.0,7920.0,7920.0,7920.0,174240.0,22,2024-04-11 09:00:00,2024-04-11 09:59:59
7920.0,7940.5,7956.0,7920.0,81115120.5,10214,2024-04-11 10:00:00,2024-04-11 10:59:59
7939.5,7920.0,7958.5,7915.0,79379436.5,9998,2024-04-11 11:00:00,2024-04-11 11:59:59
7920.0,7915.5,7926.5,7910.0,33824979.0,4272,2024-04-11 12:00:00,2024-04-11 12:59:59
7913.5,7916.0,7918.0,7902.0,42747116.5,5404,2024-04-11 13:00:00,2024-04-11 13:59:59
7916.0,7901.0,7916.5,7900.5,41967424.0,5307,2024-04-11 14:00:00,2024-04-11 14:59:59
7900.5,7899.0,7904.0,7891.0,47648665.5,6033,2024-04-11 15:00:00,2024-04-11 15:59:59
7899.0,7904.0,7907.5,7891.5,30939221.5,3916,2024-04-11 16:00:00,2024-04-11 16:59:59
7905.0,7895.0,7917.0,7894.5,48617661.0,6150,2024-04-11 17:00:00,2024-04-11 17:59:59
7895.0,7891.0,7902.5,7891.0,18471165.5,2339,2024-04-11 18:00:00,2024-04-11 18:46:09
7890.5,7892.0,7911.5,7880.5,42845664.5,5431,2024-04-11 19:00:00,2024-04-11 19:59:10
7891.5,7893.0,7897.0,7890.0,9850735.0,1248,2024-04-11 20:00:00,2024-04-11 20:59:09
7893.0,7882.5,7893.0,7880.0,35230462.0,4469,2024-04-11 21:00:00,2024-04-11 21:59:59
7882.5,7885.5,7890.0,7880.0,12763601.0,1619,2024-04-11 22:00:00,2024-04-11 22:59:10
7885.0,7880.5,7885.0,7880.0,15880709.5,2015,2024-04-11 23:00:00,2024-04-11 23:59:59
7881.5,7881.5,7881.5,7881.5,496534.5,63,2024-04-12 09:00:00,2024-04-12 09:59:59
7886.5,7947.5,7949.0,7882.0,290398282.5,36657,2024-04-12 10:00:00,2024-04-12 10:59:59
7947.5,7956.5,7959.0,7935.5,175748799.5,22106,2024-04-12 11:00:00,2024-04-12 11:59:59
7956.5,7971.0,7980.0,7950.0,289962887.5,36388,2024-04-12 12:00:00,2024-04-12 12:59:59
7973.5,7987.5,7989.0,7967.5,247014713.5,30940,2024-04-12 13:00:00,2024-04-12 13:59:59
7987.5,7993.5,8000.0,7962.5,256483591.5,32103,2024-04-12 14:00:00,2024-04-12 14:59:59
7993.5,7961.5,8000.0,7956.5,76188600.0,9550,2024-04-12 15:00:00,2024-04-12 15:59:59
7963.5,7974.0,7981.5,7961.5,44910804.0,5633,2024-04-12 16:00:00,2024-04-12 16:59:59
7973.5,7973.0,7974.0,7962.0,30932234.0,3882,2024-04-12 17:00:00,2024-04-12 17:59:59
7971.0,7980.0,7980.0,7960.0,56621337.0,7101,2024-04-12 18:00:00,2024-04-12 18:59:59
7976.0,7965.0,7979.0,7955.0,33667825.5,4225,2024-04-12 19:00:00,2024-04-12 19:59:59
7965.0,7979.0,7981.0,7963.5,31988981.5,4011,2024-04-12 20:00:00,2024-04-12 20:59:59
7979.0,7978.0,7988.0,7965.0,42281306.5,5301,2024-04-12 21:00:00,2024-04-12 21:59:59
7978.0,7990.0,7995.0,7975.0,30837052.0,3861,2024-04-12 22:00:00,2024-04-12 22:57:10
7987.5,7991.5,7995.0,7984.5,27406242.0,3430,2024-04-12 23:00:00,2024-04-12 23:59:59
7992.0,7992.0,7992.0,7992.0,6601392.0,826,2024-04-15 09:00:00,2024-04-15 09:59:59
7994.5,8015.0,8049.5,7993.5,176960509.0,22055,2024-04-15 10:00:00,2024-04-15 10:59:59
8014.0,8035.5,8035.5,8010.5,105447871.5,13137,2024-04-15 11:00:00,2024-04-15 11:59:59
8036.0,8015.5,8040.0,8013.0,133151736.5,16591,2024-04-15 12:00:00,2024-04-15 12:59:59
8015.5,8009.0,8028.0,7976.5,219582622.0,27451,2024-04-15 13:00:00,2024-04-15 13:59:59
8007.0,8021.0,8023.0,7989.0,197434682.0,24648,2024-04-15 14:00:00,2024-04-15 14:59:59
8021.0,8046.5,8047.0,8016.0,303211798.0,37747,2024-04-15 15:00:00,2024-04-15 15:59:59
8045.5,8069.0,8079.5,8045.0,319805755.0,39682,2024-04-15 16:00:00,2024-04-15 16:59:59
