open,close,high,low,value,volume,begin,end
1096.6,1099.8,1105.0,1091.4,650360815.6,591185,2020-10-12,2020-10-12 23:59:59
1100.6,1077.0,1103.6,1075.0,685114245.0,629163,2020-10-13,2020-10-13 23:59:59
1079.8,1089.0,1093.0,1075.0,412030176.2,379173,2020-10-14,2020-10-14 23:59:59
1088.2,1067.0,1097.6,1060.6,850265284.6,788868,2020-10-15,2020-10-15 23:59:59
1065.0,1069.6,1070.0,1054.6,621982340.6,584945,2020-10-16,2020-10-16 23:59:59
1069.6,1066.8,1078.6,1060.2,776385179.2,724240,2020-10-19,2020-10-19 23:59:59
1064.0,1062.2,1073.4,1051.8,719645901.8,676181,2020-10-20,2020-10-20 23:59:59
1064.8,1043.2,1066.4,1037.0,1265428579.2,1205611,2020-10-21,2020-10-21 23:59:59
1039.8,1034.6,1048.0,1028.8,1030039312.2,991688,2020-10-22,2020-10-22 23:59:59
1036.0,1058.6,1063.0,1035.0,1116940601.6,1060784,2020-10-23,2020-10-23 23:59:59
1054.0,1037.8,1063.0,1031.2,671056007.4,640988,2020-10-26,2020-10-26 23:59:59
1039.0,1032.0,1044.4,1027.0,662582526.8,640764,2020-10-27,2020-10-27 23:59:59
1029.8,991.6,1035.0,980.0,2033018618.2,2029153,2020-10-28,2020-10-28 23:59:59
990.0,985.8,1002.0,972.0,1593298891.4,1620970,2020-10-29,2020-10-29 23:59:59
979.2,951.4,979.4,948.8,2111054782.8,2195906,2020-10-30,2020-10-30 23:59:59
952.4,1026.0,1026.4,937.6,3265500445.6,3297821,2020-11-02,2020-11-02 23:59:59
1019.0,1030.8,1032.6,1014.4,1346898474.8,1314618,2020-11-03,2020-11-03 23:59:59
1040.2,1063.0,1071.6,1036.2,1848956855.6,1752869,2020-11-05,2020-11-05 23:59:59
1062.0,1094.4,1095.4,1047.2,2071467423.8,1922710,2020-11-06,2020-11-06 23:59:59
1099.8,1159.0,1189.0,1095.4,5371139262.2,4666476,2020-11-09,2020-11-09 23:59:59
1157.8,1188.2,1214.2,1145.8,4120104845.6,3479084,2020-11-10,2020-11-10 23:59:59
1188.0,1193.0,1207.0,1172.2,2174350717.2,1823146,2020-11-11,2020-11-11 23:59:59
1190.2,1198.0,1214.0,1185.0,1655317433.8,1377653,2020-11-12,2020-11-12 23:59:59
1196.0,1240.8,1241.4,1190.8,2010939720.6,1647252,2020-11-13,2020-11-13 23:59:59
1239.0,1253.0,1259.8,1222.2,2103304172.2,1692276,2020-11-16,2020-11-16 23:59:59
1250.0,1248.2,1256.8,1230.6,1634758530.0,1314118,2020-11-17,2020-11-17 23:59:59
1248.8,1261.4,1275.4,1242.8,1402276658.6,1111612,2020-11-18,2020-11-18 23:59:59
1261.4,1246.8,1266.4,1240.4,1330974324.6,1062616,2020-11-19,2020-11-19 23:59:59
1248.0,1264.0,1271.4,1237.2,2048685509.8,1629737,2020-11-20,2020-11-20 23:59:59
1263.0,1257.2,1277.8,1245.0,1698844621.0,1341671,2020-11-23,2020-11-23 23:59:59
1260.0,1269.6,1274.8,1255.0,968066274.8,766622,2020-11-24,2020-11-24 23:59:59
1266.6,1267.6,1273.0,1248.2,1176326357.8,935003,2020-11-25,2020-11-25 23:59:59
1268.0,1251.0,1268.0,1246.0,909547208.2,723881,2020-11-26,2020-11-26 23:59:59
1251.0,1244.2,1256.0,1235.8,1542744829.2,1239870,2020-11-27,2020-11-27 23:59:59
1238.0,1199.4,1240.0,1179.6,2325612659.4,1926044,2020-11-30,2020-11-30 23:59:59
1205.0,1226.4,1230.0,1201.4,1532369831.2,1258840,2020-12-01,2020-12-01 23:59:59
1221.8,1222.6,1229.0,1201.4,964308366.2,794957,2020-12-02,2020-12-02 23:59:59
1228.0,1193.2,1228.2,1190.6,992887472.6,825524,2020-12-03,2020-12-03 23:59:59
1204.8,1224.2,1234.8,1200.2,1359397411.0,1115515,2020-12-04,2020-12-04 23:59:59
1215.6,1216.6,1230.4,1198.2,1055688301.4,870868,2020-12-07,2020-12-07 23:59:59
1214.0,1198.4,1221.0,1187.0,1744847286.6,1456687,2020-12-08,2020-12-08 23:59:59
1199.0,1177.8,1202.8,1176.6,1142878426.4,958902,2020-12-09,2020-12-09 23:59:59
1177.0,1236.8,1245.0,1160.0,2139922308.0,1780044,2020-12-10,2020-12-10 23:59:59
1234.4,1224.2,1244.4,1217.2,1950228388.0,1584986,2020-12-11,2020-12-11 23:59:59
1227.0,1215.0,1265.8,1212.4,2609815235.6,2103719,2020-12-14,2020-12-14 23:59:59
1216.0,1214.8,1227.0,1193.2,1709167855.2,1417208,2020-12-15,2020-12-15 23:59:59
1215.0,1194.0,1217.6,1173.0,1861007890.0,1556840,2020-12-16,2020-12-16 23:59:59
1200.0,1198.0,1209.6,1185.0,2258644600.0,1887198,2020-12-17,2020-12-17 23:59:59
1192.4,1236.8,1244.4,1181.0,3857268405.2,3161079,2020-12-18,2020-12-18 23:59:59
1226.4,1207.8,1231.0,1194.0,3211288134.2,2643924,2020-12-21,2020-12-21 23:59:59
1194.0,1219.4,1232.8,1194.0,1264440834.2,1039372,2020-12-22,2020-12-22 23:59:59
1222.6,1218.6,1228.2,1204.4,1116318483.8,917816,2020-12-23,2020-12-23 23:59:59
1219.8,1205.0,1224.2,1205.0,735340639.2,607258,2020-12-24,2020-12-24 23:59:59
1208.0,1225.0,1229.2,1205.0,561004240.0,460250,2020-12-25,2020-12-25 23:59:59
1223.4,1236.8,1239.2,1222.0,866530632.0,702070,2020-12-28,2020-12-28 23:59:59
1239.8,1236.0,1255.0,1225.6,1960430506.0,1582464,2020-12-29,2020-12-29 23:59:59
1237.4,1261.4,1272.0,1233.6,6062509948.8,4825920,2020-12-30,2020-12-30 23:59:59
1258.8,1250.4,1273.6,1210.2,2528293786.8,2010570,2021-01-04,2021-01-04 23:59:59
1253.0,1287.4,1291.0,1240.6,1471255268.8,1160540,2021-01-05,2021-01-05 23:59:59
1282.8,1301.2,1308.6,1273.0,2082747149.6,1611440,2021-01-06,2021-01-06 23:59:59
1314.2,1379.2,1380.0,1313.8,3725085471.4,2737675,2021-01-08,2021-01-08 23:59:59
1375.2,1405.4,1434.4,1361.0,3452439385.6,2456112,2021-01-11,2021-01-11 23:59:59
1414.8,1401.0,1422.2,1387.8,2234508673.4,1594642,2021-01-12,2021-01-12 23:59:59
1410.0,1425.6,1430.0,1397.2,1843777085.4,1303446,2021-01-13,2021-01-13 23:59:59
1422.0,1438.0,1459.0,1415.0,2252369015.4,1563508,2021-01-14,2021-01-14 23:59:59
1430.8,1375.8,1439.2,1370.2,3241148587.8,2318106,2021-01-15,2021-01-15 23:59:59
1374.0,1390.4,1412.8,1353.0,2396653954.2,1726520,2021-01-18,2021-01-18 23:59:59
1398.0,1377.2,1403.2,1370.0,1427642639.4,1030455,2021-01-19,2021-01-19 23:59:59
1384.0,1388.6,1407.2,1377.2,1426627524.8,1025120,2021-01-20,2021-01-20 23:59:59
1396.0,1352.0,1396.0,1341.0,2065377004.4,1520467,2021-01-21,2021-01-21 23:59:59
1347.6,1359.2,1367.0,1323.6,2005538538.8,1494129,2021-01-22,2021-01-22 23:59:59
1364.8,1373.0,1388.0,1356.6,1919841531.6,1399284,2021-01-25,2021-01-25 23:59:59
1364.0,1373.8,1382.8,1356.4,957479704.8,698669,2021-01-26,2021-01-26 23:59:59
1373.8,1340.8,1379.4,1333.2,1800866614.4,1338770,2021-01-27,2021-01-27 23:59:59
1330.0,1325.0,1353.8,1317.2,1535347008.4,1149215,2021-01-28,2021-01-28 23:59:59
1320.6,1266.8,1321.8,1263.4,3310374448.0,2577788,2021-01-29,2021-01-29 23:59:59
1280.0,1302.8,1306.0,1260.0,1948511367.4,1516822,2021-02-01,2021-02-01 23:59:59
1306.0,1336.0,1357.0,1306.0,3109376605.6,2331393,2021-02-02,2021-02-02 23:59:59
1340.0,1336.8,1353.4,1325.0,1413560895.6,1057297,2021-02-03,2021-02-03 23:59:59
1335.0,1339.4,1351.4,1323.0,1553298160.4,1157737,2021-02-04,2021-02-04 23:59:59
1341.2,1378.2,1381.0,1340.0,1947295997.0,1434542,2021-02-05,2021-02-05 23:59:59
1381.0,1399.8,1403.6,1375.2,1821837947.6,1310295,2021-02-08,2021-02-08 23:59:59
1402.0,1378.0,1413.6,1364.8,2576863994.4,1858029,2021-02-09,2021-02-09 23:59:59
1372.2,1347.0,1385.0,1334.6,2393957943.8,1767679,2021-02-10,2021-02-10 23:59:59
1346.0,1327.4,1359.8,1326.0,1345111517.6,1002775,2021-02-11,2021-02-11 23:59:59
1329.8,1370.0,1380.0,1309.0,1834912335.8,1363020,2021-02-12,2021-02-12 23:59:59
1385.0,1409.8,1410.0,1377.4,2808495745.4,2018800,2021-02-15,2021-02-15 23:59:59
1410.0,1399.0,1425.0,1382.8,2187918166.0,1560541,2021-02-16,2021-02-16 23:59:59
1399.0,1372.0,1408.2,1343.2,3643748123.0,2651382,2021-02-17,2021-02-17 23:59:59
1380.0,1330.4,1380.2,1330.0,1676114034.4,1239186,2021-02-18,2021-02-18 23:59:59
1330.0,1363.0,1369.4,1317.4,2282495371.8,1693820,2021-02-19,2021-02-19 23:59:59
1368.0,1363.0,1368.0,1349.4,130997051.6,96457,2021-02-20,2021-02-20 23:59:59
1363.0,1338.6,1368.2,1326.4,1408338788.4,1051043,2021-02-22,2021-02-22 23:59:59
1344.0,1323.0,1344.0,1295.8,2937049389.6,2233749,2021-02-24,2021-02-24 23:59:59
