open,close,high,low,value,volume,begin,end
1703.9,1685.0,1703.9,1671.5,2092665826.5,123984,2020-10-12,2020-10-12 23:59:59
1679.0,1665.5,1685.5,1661.5,1122491996.5,67084,2020-10-13,2020-10-13 23:59:59
1670.0,1743.0,1747.05,1669.0,4284665885.5,249854,2020-10-14,2020-10-14 23:59:59
1739.9,1731.85,1739.9,1708.55,2737046367.0,158858,2020-10-15,2020-10-15 23:59:59
1738.0,1739.95,1753.8,1725.5,3001990112.5,172712,2020-10-16,2020-10-16 23:59:59
1729.95,1726.85,1738.25,1714.9,1253317083.0,72599,2020-10-19,2020-10-19 23:59:59
1722.95,1713.0,1724.85,1703.7,1443566720.0,84193,2020-10-20,2020-10-20 23:59:59
1715.3,1680.05,1721.8,1666.75,2116623397.0,125572,2020-10-21,2020-10-21 23:59:59
1683.9,1676.85,1704.9,1662.0,2624299023.5,155783,2020-10-22,2020-10-22 23:59:59
1688.0,1652.7,1688.0,1631.6,1620107686.0,97749,2020-10-23,2020-10-23 23:59:59
1646.8,1614.15,1656.85,1607.8,1575748068.5,96849,2020-10-26,2020-10-26 23:59:59
1605.05,1649.9,1654.35,1605.05,1644161380.0,100507,2020-10-27,2020-10-27 23:59:59
1641.2,1593.5,1649.75,1545.55,3211761968.0,201473,2020-10-28,2020-10-28 23:59:59
1600.0,1560.1,1627.9,1542.1,2155394254.0,137427,2020-10-29,2020-10-29 23:59:59
1552.0,1553.65,1560.0,1512.7,2496740082.0,162179,2020-10-30,2020-10-30 23:59:59
1559.85,1631.9,1634.0,1552.45,2381557104.0,148982,2020-11-02,2020-11-02 23:59:59
1625.1,1667.05,1667.05,1623.55,2846531805.0,172615,2020-11-03,2020-11-03 23:59:59
1671.0,1719.5,1726.5,1661.0,3671872350.5,215722,2020-11-05,2020-11-05 23:59:59
1711.8,1769.75,1775.0,1705.65,3925147912.0,223882,2020-11-06,2020-11-06 23:59:59
1781.25,1661.5,1802.7,1580.25,9793310200.0,584435,2020-11-09,2020-11-09 23:59:59
1661.5,1643.25,1674.9,1601.0,5308994088.5,323933,2020-11-10,2020-11-10 23:59:59
1648.3,1588.0,1648.3,1546.45,5786003796.5,364559,2020-11-11,2020-11-11 23:59:59
1582.5,1603.3,1633.5,1565.0,4887164274.5,305271,2020-11-12,2020-11-12 23:59:59
1596.4,1629.55,1648.0,1582.55,3525801279.0,217888,2020-11-13,2020-11-13 23:59:59
1621.3,1603.5,1634.9,1590.75,3627379619.5,225301,2020-11-16,2020-11-16 23:59:59
1597.05,1579.05,1602.45,1573.05,2622765655.5,165600,2020-11-17,2020-11-17 23:59:59
1574.6,1577.05,1587.5,1560.8,2034897390.0,129016,2020-11-18,2020-11-18 23:59:59
1572.0,1549.0,1573.65,1544.05,3375794006.0,217219,2020-11-19,2020-11-19 23:59:59
1544.2,1541.0,1553.0,1531.5,2477910312.5,160854,2020-11-20,2020-11-20 23:59:59
1544.0,1478.5,1546.95,1445.45,6022610364.5,403352,2020-11-23,2020-11-23 23:59:59
1459.2,1463.0,1534.35,1436.2,9102807477.5,618664,2020-11-24,2020-11-24 23:59:59
1458.0,1457.0,1465.0,1425.9,3179272759.0,219779,2020-11-25,2020-11-25 23:59:59
1458.0,1502.0,1512.9,1458.0,4151921722.5,278035,2020-11-26,2020-11-26 23:59:59
1498.95,1464.0,1503.8,1447.2,3431008799.5,232892,2020-11-27,2020-11-27 23:59:59
1456.85,1453.0,1465.9,1435.05,3587817551.0,247391,2020-11-30,2020-11-30 23:59:59
1457.25,1485.9,1488.85,1454.7,4331287442.5,295057,2020-12-01,2020-12-01 23:59:59
1476.75,1465.65,1498.0,1454.35,4250360163.5,288251,2020-12-02,2020-12-02 23:59:59
1474.95,1450.3,1484.05,1441.6,3056328126.5,209806,2020-12-03,2020-12-03 23:59:59
1453.0,1436.0,1453.95,1428.0,1928443685.0,134168,2020-12-04,2020-12-04 23:59:59
1437.95,1474.0,1489.85,1397.55,6109212058.0,425702,2020-12-07,2020-12-07 23:59:59
1479.2,1506.1,1511.4,1463.0,5181482209.5,347289,2020-12-08,2020-12-08 23:59:59
1499.95,1458.0,1505.9,1451.05,3866981952.5,262042,2020-12-09,2020-12-09 23:59:59
1455.0,1442.95,1469.65,1433.3,2715637455.0,188076,2020-12-10,2020-12-10 23:59:59
1440.0,1421.25,1443.5,1411.9,2566858541.0,180005,2020-12-11,2020-12-11 23:59:59
1418.0,1439.35,1454.0,1401.0,3141785189.0,220036,2020-12-14,2020-12-14 23:59:59
1453.0,1489.95,1504.95,1440.0,3652682513.5,246845,2020-12-15,2020-12-15 23:59:59
1500.0,1475.0,1501.25,1454.0,2587196286.5,174854,2020-12-16,2020-12-16 23:59:59
1482.0,1528.6,1543.2,1475.4,5881330394.5,387853,2020-12-17,2020-12-17 23:59:59
1515.05,1532.0,1558.45,1513.8,5435626556.5,352167,2020-12-18,2020-12-18 23:59:59
1563.0,1565.0,1584.5,1533.0,4509164288.5,288245,2020-12-21,2020-12-21 23:59:59
1555.0,1510.2,1569.25,1500.45,3773198149.5,247239,2020-12-22,2020-12-22 23:59:59
1513.0,1519.15,1537.3,1505.7,1856997615.0,122009,2020-12-23,2020-12-23 23:59:59
1523.0,1519.5,1525.8,1510.9,886394884.0,58376,2020-12-24,2020-12-24 23:59:59
1514.25,1518.3,1523.0,1514.2,361127902.0,23781,2020-12-25,2020-12-25 23:59:59
1526.0,1517.5,1534.5,1512.5,1451458364.5,95429,2020-12-28,2020-12-28 23:59:59
1512.7,1522.9,1533.5,1512.7,1208891002.0,79363,2020-12-29,2020-12-29 23:59:59
1525.0,1524.5,1532.5,1514.1,1148488119.5,75278,2020-12-30,2020-12-30 23:59:59
1550.0,1594.8,1602.4,1540.05,4950174399.5,314058,2021-01-04,2021-01-04 23:59:59
1595.0,1598.75,1612.5,1561.15,4496260795.5,282060,2021-01-05,2021-01-05 23:59:59
1595.0,1579.25,1606.0,1552.2,3232586409.0,203989,2021-01-06,2021-01-06 23:59:59
1572.15,1539.6,1586.9,1530.4,4800098788.5,308972,2021-01-08,2021-01-08 23:59:59
1540.2,1548.9,1558.3,1533.45,2784457594.0,179879,2021-01-11,2021-01-11 23:59:59
1555.5,1541.95,1564.2,1525.25,2315741112.5,149972,2021-01-12,2021-01-12 23:59:59
1549.0,1542.6,1552.45,1532.85,2076225701.0,134414,2021-01-13,2021-01-13 23:59:59
1535.0,1508.0,1542.0,1501.5,4062420547.0,268319,2021-01-14,2021-01-14 23:59:59
1507.95,1484.0,1513.8,1480.0,2241679759.0,149740,2021-01-15,2021-01-15 23:59:59
1495.0,1484.05,1510.0,1471.5,2650479094.0,177463,2021-01-18,2021-01-18 23:59:59
1489.15,1469.05,1491.0,1462.05,2133013281.0,144679,2021-01-19,2021-01-19 23:59:59
1478.0,1505.5,1513.35,1465.6,3604585393.0,241474,2021-01-20,2021-01-20 23:59:59
1508.9,1505.95,1521.75,1493.7,2644883965.0,175697,2021-01-21,2021-01-21 23:59:59
1489.65,1483.5,1506.0,1466.0,2761427417.5,186665,2021-01-22,2021-01-22 23:59:59
1487.3,1504.8,1519.9,1473.9,2046499787.5,136342,2021-01-25,2021-01-25 23:59:59
1508.9,1511.9,1522.75,1481.5,2777500874.0,185084,2021-01-26,2021-01-26 23:59:59
1515.0,1486.0,1519.2,1478.3,1434453763.5,95998,2021-01-27,2021-01-27 23:59:59
1484.0,1466.95,1489.25,1454.25,2796386438.5,190318,2021-01-28,2021-01-28 23:59:59
1473.25,1430.55,1473.25,1427.95,4895213794.0,339605,2021-01-29,2021-01-29 23:59:59
1447.0,1479.3,1491.0,1437.75,3467028932.0,236030,2021-02-01,2021-02-01 23:59:59
1474.3,1489.3,1504.9,1457.5,3812223225.5,255826,2021-02-02,2021-02-02 23:59:59
1502.0,1459.95,1504.9,1449.95,2258859485.5,153541,2021-02-03,2021-02-03 23:59:59
1447.0,1445.4,1457.6,1430.85,2267960205.5,157213,2021-02-04,2021-02-04 23:59:59
1443.8,1460.0,1463.6,1441.0,1834597929.5,126219,2021-02-05,2021-02-05 23:59:59
1459.0,1455.05,1469.0,1446.4,2178030261.5,149542,2021-02-08,2021-02-08 23:59:59
1460.0,1453.05,1461.9,1445.05,1227948920.0,84601,2021-02-09,2021-02-09 23:59:59
1456.9,1440.45,1462.45,1427.6,1851980690.5,128140,2021-02-10,2021-02-10 23:59:59
1435.5,1439.4,1455.0,1431.9,1089147054.5,75540,2021-02-11,2021-02-11 23:59:59
1440.0,1439.0,1441.0,1429.0,1087101430.5,75830,2021-02-12,2021-02-12 23:59:59
1439.0,1447.05,1449.9,1435.9,870987033.5,60384,2021-02-15,2021-02-15 23:59:59
1447.1,1440.0,1456.55,1432.8,1972455271.5,136704,2021-02-16,2021-02-16 23:59:59
1436.0,1409.9,1442.0,1391.25,2872116227.0,203197,2021-02-17,2021-02-17 23:59:59
1410.0,1377.25,1410.0,1366.55,2108529608.5,151925,2021-02-18,2021-02-18 23:59:59
1372.5,1394.8,1400.85,1361.7,1919020169.5,138795,2021-02-19,2021-02-19 23:59:59
1397.15,1398.8,1400.0,1390.8,176237558.0,12639,2021-02-20,2021-02-20 23:59:59
1404.0,1392.9,1407.0,1386.0,1629727382.0,116853,2021-02-22,2021-02-22 23:59:59
1382.05,1409.1,1414.6,1370.6,2553285996.0,182519,2021-02-24,2021-02-24 23:59:59
1401.85,1412.0,1418.8,1401.0,2911146888.0,206490,2021-02-25,2021-02-25 23:59:59
1398.95,1402.7,1415.45,1392.0,2436130047.0,173415,2021-02-26,2021-02-26 23:59:59
1410.0,1426.0,1429.0,1400.0,2147271994.5,151464,2021-03-01,2021-03-01 23:59:59
1417.0,1450.5,1452.45,1411.5,2554798491.5,177988,2021-03-02,2021-03-02 23:59:59
1452.9,1440.15,1461.75,1440.0,3286148622.5,226510,2021-03-03,2021-03-03 23:59:59
1448.3,1406.4,1448.3,1404.0,1770768664.0,123448,2021-03-04,2021-03-04 23:59:59
1421.0,1450.0,1462.5,1411.5,2382948731.0,164634,2021-03-05,2021-03-05 23:59:59
1450.0,1451.3,1466.05,1435.0,2255078316.0,155492,2021-03-09,2021-03-09 23:59:59
1451.2,1410.75,1452.85,1395.45,2632387882.5,186072,2021-03-10,2021-03-10 23:59:59
1423.95,1423.1,1434.0,1414.4,1361796046.5,95582,2021-03-11,2021-03-11 23:59:59
1420.0,1411.05,1420.65,1397.4,1508746078.5,107253,2021-03-12,2021-03-12 23:59:59
1423.0,1408.95,1437.7,1399.05,2153418134.0,152405,2021-03-15,2021-03-15 23:59:59
1408.95,1417.55,1426.8,1399.0,1273865081.0,89988,2021-03-16,2021-03-16 23:59:59
1422.2,1426.4,1430.1,1409.45,1075714316.0,75812,2021-03-17,2021-03-17 23:59:59
1430.0,1429.95,1441.2,1417.0,2050979538.5,143356,2021-03-18,2021-03-18 23:59:59
1429.95,1430.15,1444.4,1426.5,2123047976.5,147888,2021-03-19,2021-03-19 23:59:59
1430.2,1412.0,1431.0,1404.5,1098558704.0,77741,2021-03-22,2021-03-22 23:59:59
1419.0,1414.7,1424.0,1406.5,1042303411.5,73517,2021-03-23,2021-03-23 23:59:59
1419.8,1399.25,1419.8,1389.5,1349043572.0,96272,2021-03-24,2021-03-24 23:59:59
1392.7,1391.7,1400.7,1382.85,972312415.5,69870,2021-03-25,2021-03-25 23:59:59
1395.0,1393.05,1398.9,1380.95,2453316978.0,176768,2021-03-26,2021-03-26 23:59:59
1392.2,1383.85,1394.5,1374.0,1343121314.5,97212,2021-03-29,2021-03-29 23:59:59
1381.8,1350.5,1384.5,1340.0,2178455213.0,160312,2021-03-30,2021-03-30 23:59:59
1351.4,1392.6,1398.45,1348.5,2107514350.0,153497,2021-03-31,2021-03-31 23:59:59
1399.4,1392.85,1404.4,1366.0,1948878253.5,139594,2021-04-01,2021-04-01 23:59:59
1400.0,1394.4,1400.0,1385.3,378026293.5,27182,2021-04-02,2021-04-02 23:59:59
1394.35,1387.1,1395.3,1377.3,618875964.0,44737,2021-04-05,2021-04-05 23:59:59
1391.5,1436.15,1441.4,1388.0,2589422991.0,182276,2021-04-06,2021-04-06 23:59:59
1432.3,1426.9,1448.0,1424.3,1522892411.0,105999,2021-04-07,2021-04-07 23:59:59
1431.05,1426.7,1436.5,1416.95,1434213558.0,100512,2021-04-08,2021-04-08 23:59:59
