open,close,high,low,value,volume,begin,end
1371.05,1371.05,1371.05,1371.05,1782365.0,130,2024-04-11 09:00:00,2024-04-11 09:59:59
1371.1,1380.85,1390.0,1371.05,503891730.5,36496,2024-04-11 10:00:00,2024-04-11 10:59:59
1380.2,1376.0,1383.95,1375.85,266680764.0,19323,2024-04-11 11:00:00,2024-04-11 11:59:59
1376.05,1382.4,1383.0,1375.9,130740217.5,9470,2024-04-11 12:00:00,2024-04-11 12:59:59
1382.55,1387.2,1388.0,1381.95,167083700.5,12059,2024-04-11 13:00:00,2024-04-11 13:59:59
1387.25,1385.9,1390.0,1385.0,182636210.0,13156,2024-04-11 14:00:00,2024-04-11 14:59:59
1385.9,1390.75,1392.0,1385.5,170435893.0,12269,2024-04-11 15:00:00,2024-04-11 15:59:59
1390.85,1388.15,1392.0,1387.4,104703184.5,7533,2024-04-11 16:00:00,2024-04-11 16:59:59
1388.1,1384.35,1388.6,1381.05,156417446.0,11300,2024-04-11 17:00:00,2024-04-11 17:59:59
1384.3,1392.0,1392.0,1383.1,111647612.5,8040,2024-04-11 18:00:00,2024-04-11 18:59:59
1390.9,1389.45,1391.65,1384.25,89400497.5,6445,2024-04-11 19:00:00,2024-04-11 19:59:59
1389.5,1395.9,1397.9,1387.3,257042792.5,18443,2024-04-11 20:00:00,2024-04-11 20:59:59
1395.95,1403.55,1411.45,1395.65,633534181.5,45165,2024-04-11 21:00:00,2024-04-11 21:59:59
1403.55,1411.45,1412.6,1401.5,289266770.5,20555,2024-04-11 22:00:00,2024-04-11 22:59:59
1411.5,1415.8,1418.0,1411.3,345749922.5,24438,2024-04-11 23:00:00,2024-04-11 23:59:59
1422.0,1422.0,1422.0,1422.0,33374340.0,2347,2024-04-12 09:00:00,2024-04-12 09:59:59
1422.15,1442.5,1449.2,1421.3,1959523314.5,136228,2024-04-12 10:00:00,2024-04-12 10:59:59
1442.4,1447.1,1448.9,1435.5,930971204.5,64520,2024-04-12 11:00:00,2024-04-12 11:59:59
1447.4,1458.95,1460.0,1443.7,1000082328.0,68731,2024-04-12 12:00:00,2024-04-12 12:59:59
1458.55,1464.25,1469.2,1455.8,926991760.5,63330,2024-04-12 13:00:00,2024-04-12 13:59:59
1464.35,1463.65,1465.0,1452.6,698608705.5,47898,2024-04-12 14:00:00,2024-04-12 14:59:59
1463.7,1464.15,1465.5,1455.25,369652993.5,25289,2024-04-12 15:00:00,2024-04-12 15:59:59
1464.15,1474.6,1478.05,1460.5,994731236.0,67674,2024-04-12 16:00:00,2024-04-12 16:59:59
1474.85,1482.5,1483.15,1469.05,1019837719.5,69062,2024-04-12 17:00:00,2024-04-12 17:59:59
1482.1,1469.75,1483.0,1461.05,1290762665.0,87659,2024-04-12 18:00:00,2024-04-12 18:59:59
