open,close,high,low,value,volume,begin,end
97.2,97.2,97.2,97.2,482112.0,4960,2024-04-11 09:00:00,2024-04-11 09:59:59
97.23,96.91,97.67,96.82,52579846.79999999,541360,2024-04-11 10:00:00,2024-04-11 10:59:59
96.91,96.69,96.98,96.6,27725668.799999993,286420,2024-04-11 11:00:00,2024-04-11 11:59:59
96.7,96.9,96.91,96.4,18092358.700000003,187280,2024-04-11 12:00:00,2024-04-11 12:59:59
96.91,96.99,97.0,96.79,26374754.6,271970,2024-04-11 13:00:00,2024-04-11 13:59:59
97.0,96.93,97.0,96.8,7364289.000000002,75980,2024-04-11 14:00:00,2024-04-11 14:59:59
96.91,96.88,97.0,96.69,24906861.79999999,257050,2024-04-11 15:00:00,2024-04-11 15:59:59
96.88,96.97,97.0,96.88,10173818.600000003,104920,2024-04-11 16:00:00,2024-04-11 16:59:59
96.97,96.95,96.98,96.81,6822209.6000000015,70390,2024-04-11 17:00:00,2024-04-11 17:59:59
96.95,96.76,96.96,96.74,5916452.100000002,61090,2024-04-11 18:00:00,2024-04-11 18:59:59
96.99,96.53,96.99,96.35,19071016.700000003,197550,2024-04-11 19:00:00,2024-04-11 19:59:59
96.57,96.64,96.64,96.45,2788417.1,28890,2024-04-11 20:00:00,2024-04-11 20:59:59
96.57,96.77,96.79,96.54,3557396.9,36810,2024-04-11 21:00:00,2024-04-11 21:58:09
96.78,96.56,96.78,96.55,2765145.0999999996,28620,2024-04-11 22:00:00,2024-04-11 22:59:59
96.58,96.32,96.58,96.26,11004579.29999999,114240,2024-04-11 23:00:00,2024-04-11 23:59:59
96.36,96.36,96.36,96.36,136831.2,1420,2024-04-12 09:00:00,2024-04-12 09:59:59
96.36,97.74,97.8,96.36,78701960.19999999,809960,2024-04-12 10:00:00,2024-04-12 10:59:59
97.75,97.77,97.8,97.15,107022522.89999999,1096540,2024-04-12 11:00:00,2024-04-12 11:59:59
97.75,97.68,97.8,97.56,52105852.599999994,533080,2024-04-12 12:00:00,2024-04-12 12:59:59
97.68,97.76,97.8,97.58,53506684.7,547420,2024-04-12 13:00:00,2024-04-12 13:59:59
97.75,96.89,97.76,96.72,136018948.69999996,1400310,2024-04-12 14:00:00,2024-04-12 14:59:59
96.87,96.9,97.0,96.58,31368062.90000001,323940,2024-04-12 15:00:00,2024-04-12 15:59:59
96.91,97.0,97.0,96.9,58478088.39999998,602900,2024-04-12 16:00:00,2024-04-12 16:59:59
96.99,97.44,97.48,96.8,157513245.20000002,1622670,2024-04-12 17:00:00,2024-04-12 17:59:59
97.44,97.1,97.5,97.04,40989796.60000001,421470,2024-04-12 18:00:00,2024-04-12 18:59:59
97.1,97.13,97.57,97.03,20962444.8,215470,2024-04-12 19:00:00,2024-04-12 19:59:59
97.16,97.19,97.26,97.03,12993230.0,133730,2024-04-12 20:00:00,2024-04-12 20:59:59
97.2,97.27,97.27,97.11,10941237.799999999,112560,2024-04-12 21:00:00,2024-04-12 21:59:59
97.28,97.2,97.28,97.01,13595282.100000003,139970,2024-04-12 22:00:00,2024-04-12 22:59:59
97.16,97.25,97.29,97.1,7305422.799999999,75200,2024-04-12 23:00:00,2024-04-12 23:59:59
97.3,97.3,97.3,97.3,627585.0,6450,2024-04-15 09:00:00,2024-04-15 09:59:59
97.4,98.32,98.92,97.4,182390689.90000004,1856150,2024-04-15 10:00:00,2024-04-15 10:59:59
98.32,98.42,98.45,98.11,47638280.099999994,484110,2024-04-15 11:00:00,2024-04-15 11:59:59
98.43,98.66,98.74,98.41,33814529.99999999,343310,2024-04-15 12:00:00,2024-04-15 12:59:59
98.66,99.13,99.2,98.45,108563886.80000004,1096740,2024-04-15 13:00:00,2024-04-15 13:59:59
99.18,98.97,99.7,98.94,98988411.9,996870,2024-04-15 14:00:00,2024-04-15 14:59:59
98.98,99.15,99.24,98.98,43614278.1,440230,2024-04-15 15:00:00,2024-04-15 15:59:59
99.14,98.93,99.15,98.51,33364215.300000004,337670,2024-04-15 16:00:00,2024-04-15 16:59:59
98.93,99.13,99.15,98.77,34404674.699999996,347360,2024-04-15 17:00:00,2024-04-15 17:59:59
99.14,99.05,99.2,99.05,25582832.0,258060,2024-04-15 18:00:00,2024-04-15 18:49:10
99.2,98.92,99.2,98.81,6864349.699999999,69370,2024-04-15 19:00:00,2024-04-15 19:59:10
98.91,98.95,99.0,98.77,11076506.0,111980,2024-04-15 20:00:00,2024-04-15 20:59:59
98.95,99.2,99.21,98.93,10293180.4,103920,2024-04-15 21:00:00,2024-04-15 21:59:59
99.2,99.25,99.34,99.11,14158467.799999999,142700,2024-04-15 22:00:00,2024-04-15 22:59:59
99.27,99.0,99.27,99.0,19445989.30000001,196350,2024-04-15 23:00:00,2024-04-15 23:59:56
99.01,99.01,99.01,99.01,615842.1999999997,6220,2024-04-16 09:00:00,2024-04-16 09:59:59
99.08,99.81,99.96,98.89,90738479.60000001,911550,2024-04-16 10:00:00,2024-04-16 10:59:59
99.81,100.08,100.19,99.81,56677420.20000001,566820,2024-04-16 11:00:00,2024-04-16 11:59:59
100.08,99.7,100.3,99.46,42047193.8,420800,2024-04-16 12:00:00,2024-04-16 12:59:59
99.75,99.96,99.96,99.59,11616523.1,116430,2024-04-16 13:00:00,2024-04-16 13:59:59
99.96,99.16,99.96,99.08,39918577.7,401610,2024-04-16 14:00:00,2024-04-16 14:59:59
99.16,99.07,99.46,99.02,12542270.099999998,126430,2024-04-16 15:00:00,2024-04-16 15:59:59
99.07,98.86,99.07,98.24,45999968.10000003,465910,2024-04-16 16:00:00,2024-04-16 16:59:59
98.89,98.95,98.95,98.5,14724033.8,149080,2024-04-16 17:00:00,2024-04-16 17:59:59
98.95,98.95,99.1,98.87,9052582.200000001,91430,2024-04-16 18:00:00,2024-04-16 18:49:10
98.7,99.08,99.18,98.7,4294329.1,43340,2024-04-16 19:00:00,2024-04-16 19:59:59
99.08,99.18,99.38,99.04,6829433.200000001,68850,2024-04-16 20:00:00,2024-04-16 20:59:59
99.24,99.19,99.27,99.07,4650639.100000001,46900,2024-04-16 21:00:00,2024-04-16 21:59:59
99.19,99.23,99.39,99.17,6350995.7,63960,2024-04-16 22:00:00,2024-04-16 22:59:05
99.3,99.29,99.38,99.19,4513670.299999999,45450,2024-04-16 23:00:00,2024-04-16 23:59:54
99.55,99.55,99.55,99.55,120455.5,1210,2024-04-17 09:00:00,2024-04-17 09:59:59
99.3,98.83,99.53,98.51,33242224.300000004,336150,2024-04-17 10:00:00,2024-04-17 10:59:59
98.79,98.55,98.79,98.5,20166723.400000002,204550,2024-04-17 11:00:00,2024-04-17 11:59:59
98.54,97.74,98.6,97.72,55942661.00000002,570440,2024-04-17 12:00:00,2024-04-17 12:59:59
97.74,97.95,98.07,97.74,15797806.500000002,161260,2024-04-17 13:00:00,2024-04-17 13:59:59
98.04,98.14,98.38,97.92,26668586.60000001,271640,2024-04-17 14:00:00,2024-04-17 14:59:59
98.13,98.04,98.2,98.0,12838054.400000004,130910,2024-04-17 15:00:00,2024-04-17 15:59:59
98.04,98.17,98.17,97.8,14495706.599999996,147980,2024-04-17 16:00:00,2024-04-17 16:59:59
98.15,98.53,98.69,98.07,15038684.100000001,152840,2024-04-17 17:00:00,2024-04-17 17:59:59
98.5,98.38,98.52,98.19,10990819.699999997,111670,2024-04-17 18:00:00,2024-04-17 18:59:59
98.68,98.42,98.68,98.34,5148498.899999999,52300,2024-04-17 19:00:00,2024-04-17 19:59:59
98.41,98.34,98.42,98.09,6282786.1,63940,2024-04-17 20:00:00,2024-04-17 20:59:10
98.34,98.1,98.39,98.1,5584682.999999998,56880,2024-04-17 21:00:00,2024-04-17 21:59:59
98.1,98.27,98.3,98.06,1601493.4999999998,16310,2024-04-17 22:00:00,2024-04-17 22:59:59
98.28,98.35,98.5,98.27,13318040.7,135260,2024-04-17 23:00:00,2024-04-17 23:59:59
98.2,98.2,98.2,98.2,268086.0,2730,2024-04-18 09:00:00,2024-04-18 09:59:59
98.22,97.55,98.35,97.39,70440250.10000002,720570,2024-04-18 10:00:00,2024-04-18 10:59:59
97.53,97.37,97.59,97.23,43993256.900000006,451630,2024-04-18 11:00:00,2024-04-18 11:59:59
97.35,97.37,97.51,97.24,12733186.900000004,130710,2024-04-18 12:00:00,2024-04-18 12:59:59
97.33,97.27,97.45,97.23,23678488.299999997,243370,2024-04-18 13:00:00,2024-04-18 13:59:59
97.27,97.16,97.31,97.07,16816316.9,173060,2024-04-18 14:00:00,2024-04-18 14:59:59
97.16,97.29,97.36,97.05,8281894.500000001,85220,2024-04-18 15:00:00,2024-04-18 15:59:59
97.28,97.79,97.79,97.15,35850173.199999996,367470,2024-04-18 16:00:00,2024-04-18 16:59:59
97.8,98.5,98.62,97.76,77244986.10000001,785940,2024-04-18 17:00:00,2024-04-18 17:59:59
98.49,99.74,99.74,98.38,136601869.4,1375270,2024-04-18 18:00:00,2024-04-18 18:49:09
99.59,99.54,99.99,99.43,113461404.39999999,1139240,2024-04-18 19:00:00,2024-04-18 19:59:59
99.59,99.31,99.61,99.25,20725491.49999999,208490,2024-04-18 20:00:00,2024-04-18 20:59:59
99.31,99.47,99.47,99.31,4526575.5,45530,2024-04-18 21:00:00,2024-04-18 21:59:59
99.45,99.41,99.47,99.35,4521355.4,45480,2024-04-18 22:00:00,2024-04-18 22:59:59
99.41,99.43,99.8,99.37,14641202.099999998,147080,2024-04-18 23:00:00,2024-04-18 23:59:54
99.75,99.75,99.75,99.75,310222.5,3110,2024-04-19 09:00:00,2024-04-19 09:59:59
99.75,99.47,99.91,99.08,34376730.4,345840,2024-04-19 10:00:00,2024-04-19 10:59:59
99.47,99.58,99.8,99.25,15661914.299999995,157410,2024-04-19 11:00:00,2024-04-19 11:59:59
99.58,99.5,99.78,99.41,21067285.600000005,211510,2024-04-19 12:00:00,2024-04-19 12:59:59
99.5,99.46,99.57,99.38,22150958.600000005,222690,2024-04-19 13:00:00,2024-04-19 13:59:59
99.46,99.5,99.5,99.39,11919959.500000002,119850,2024-04-19 14:00:00,2024-04-19 14:59:59
99.48,99.42,99.5,99.24,15887030.099999996,159780,2024-04-19 15:00:00,2024-04-19 15:59:59
99.42,99.48,99.49,99.41,5845904.499999999,58790,2024-04-19 16:00:00,2024-04-19 16:59:59
99.48,99.74,99.74,99.45,19690190.4,197770,2024-04-19 17:00:00,2024-04-19 17:59:59
99.75,99.79,99.79,99.59,12800442.699999997,128360,2024-04-19 18:00:00,2024-04-19 18:46:10
99.79,99.56,99.79,99.4,3368441.3,33830,2024-04-19 19:00:00,2024-04-19 19:59:59
99.52,99.39,99.56,99.31,10094949.4,101540,2024-04-19 20:00:00,2024-04-19 20:59:59
99.4,99.52,99.54,99.32,4502615.199999998,45300,2024-04-19 21:00:00,2024-04-19 21:59:14
99.54,99.45,99.56,99.36,2880699.4000000004,28960,2024-04-19 22:00:00,2024-04-19 22:59:59
99.44,99.44,99.5,99.33,10501814.599999998,105630,2024-04-19 23:00:00,2024-04-19 23:59:54
99.8,99.8,99.8,99.8,1078838.0,10810,2024-04-22 09:00:00,2024-04-22 09:59:59
99.73,99.72,99.88,99.41,26083422.40000001,261840,2024-04-22 10:00:00,2024-04-22 10:59:59
99.72,99.5,99.76,99.48,29830064.9,299280,2024-04-22 11:00:00,2024-04-22 11:59:59
99.5,99.39,99.59,99.16,24503702.800000004,246670,2024-04-22 12:00:00,2024-04-22 12:59:59
99.4,98.74,99.61,98.5,71004727.99999997,718040,2024-04-22 13:00:00,2024-04-22 13:59:59
98.72,98.39,98.74,97.81,70328028.70000017,715420,2024-04-22 14:00:00,2024-04-22 14:59:59
98.36,98.1,98.6,97.79,89674645.69999945,913970,2024-04-22 15:00:00,2024-04-22 15:59:59
98.11,98.26,98.45,98.1,16011149.600000003,162800,2024-04-22 16:00:00,2024-04-22 16:59:59
98.27,98.47,98.55,98.09,36843056.400000006,374490,2024-04-22 17:00:00,2024-04-22 17:59:59
98.47,98.5,98.63,98.45,9144443.2,92810,2024-04-22 18:00:00,2024-04-22 18:48:15
98.5,98.51,98.61,98.39,6823945.2,69280,2024-04-22 19:00:00,2024-04-22 19:59:59
98.51,98.4,98.52,98.33,5713509.7,58080,2024-04-22 20:00:00,2024-04-22 20:59:59
98.39,98.27,98.4,98.15,12620496.400000002,128440,2024-04-22 21:00:00,2024-04-22 21:58:15
98.27,98.08,98.32,98.02,14990406.800000003,152740,2024-04-22 22:00:00,2024-04-22 22:59:59
98.09,98.06,98.22,98.06,8852753.099999998,90240,2024-04-22 23:00:00,2024-04-22 23:59:55
98.01,98.01,98.01,98.01,142114.50000000003,1450,2024-04-23 09:00:00,2024-04-23 09:59:59
98.04,98.19,98.39,98.03,15587376.900000004,158710,2024-04-23 10:00:00,2024-04-23 10:59:59
98.19,97.9,98.34,97.82,27394499.5,279390,2024-04-23 11:00:00,2024-04-23 11:59:59
97.9,97.35,97.91,97.07,89129982.29999998,914950,2024-04-23 12:00:00,2024-04-23 12:59:59
97.39,97.44,97.58,97.21,15660465.8,160730,2024-04-23 13:00:00,2024-04-23 13:59:59
97.43,97.18,97.52,97.12,56647277.10000001,582810,2024-04-23 14:00:00,2024-04-23 14:59:59
