open,close,high,low,value,volume,begin,end
205.97,206.18,208.49,204.57,10804190710.5,52321380,2020-10-12,2020-10-12 23:59:59
205.92,205.03,207.64,204.77,9481495812.4,46023280,2020-10-13,2020-10-13 23:59:59
205.06,207.83,208.0,204.78,9685023432.1,46840170,2020-10-14,2020-10-14 23:59:59
207.46,203.85,207.57,201.95,15627615937.8,76502030,2020-10-15,2020-10-15 23:59:59
204.02,201.17,204.25,200.5,13392342059.7,66258500,2020-10-16,2020-10-16 23:59:59
201.55,202.78,204.0,201.55,9616800475.9,47421400,2020-10-19,2020-10-19 23:59:59
203.0,209.54,209.76,202.5,16761624910.9,80919110,2020-10-20,2020-10-20 23:59:59
210.04,210.33,213.25,208.9,17405263503.0,82509750,2020-10-21,2020-10-21 23:59:59
209.58,210.21,211.53,207.84,9827794477.3,46859510,2020-10-22,2020-10-22 23:59:59
210.0,214.5,214.73,209.15,16035135288.8,75361490,2020-10-23,2020-10-23 23:59:59
213.4,211.1,214.45,210.5,12523196337.9,58921210,2020-10-26,2020-10-26 23:59:59
211.5,207.64,212.29,206.66,12740888699.7,61084680,2020-10-27,2020-10-27 23:59:59
206.94,204.73,206.94,202.3,14346698389.2,70171420,2020-10-28,2020-10-28 23:59:59
206.5,205.58,207.33,203.64,18784577809.2,91505270,2020-10-29,2020-10-29 23:59:59
203.62,200.99,204.84,200.61,16956465782.8,83659620,2020-10-30,2020-10-30 23:59:59
200.45,204.5,204.59,196.15,16569318135.9,82335660,2020-11-02,2020-11-02 23:59:59
205.7,209.2,211.11,203.8,18755423471.8,90368710,2020-11-03,2020-11-03 23:59:59
214.4,216.7,218.65,211.43,32864048096.0,152554980,2020-11-05,2020-11-05 23:59:59
215.8,217.5,218.29,213.0,20569505846.9,94997390,2020-11-06,2020-11-06 23:59:59
220.0,228.05,231.3,218.7,49040624016.0,217536750,2020-11-09,2020-11-09 23:59:59
227.0,236.1,237.6,226.27,53418710876.7,229603230,2020-11-10,2020-11-10 23:59:59
237.0,244.2,245.98,236.89,56981091002.2,234843470,2020-11-11,2020-11-11 23:59:59
243.31,242.08,245.72,240.22,36869870227.7,151436920,2020-11-12,2020-11-12 23:59:59
242.01,242.99,244.14,238.62,25594975927.1,106150870,2020-11-13,2020-11-13 23:59:59
244.14,247.99,248.73,244.0,28152563676.1,113945190,2020-11-16,2020-11-16 23:59:59
248.0,245.7,249.84,243.41,23346224330.0,94918470,2020-11-17,2020-11-17 23:59:59
245.1,242.71,247.23,242.59,14733578918.6,60088940,2020-11-18,2020-11-18 23:59:59
242.5,240.27,243.49,237.34,23265463603.1,97143730,2020-11-19,2020-11-19 23:59:59
239.58,239.42,240.77,236.57,11633833057.0,48799870,2020-11-20,2020-11-20 23:59:59
240.45,239.7,243.87,238.52,18049549354.9,74832280,2020-11-23,2020-11-23 23:59:59
241.65,247.33,247.85,239.57,20602954853.6,84515780,2020-11-24,2020-11-24 23:59:59
248.0,251.91,252.2,246.55,33360645434.4,133397740,2020-11-25,2020-11-25 23:59:59
252.3,250.1,252.88,247.44,19957536265.9,79917590,2020-11-26,2020-11-26 23:59:59
250.3,251.59,252.26,248.03,12861398290.8,51431130,2020-11-27,2020-11-27 23:59:59
249.72,249.63,251.0,245.98,27926253239.0,112141620,2020-11-30,2020-11-30 23:59:59
