open,close,high,low,value,volume,begin,end
31.59,31.59,31.59,31.59,2015442.0,63800,2024-04-11 09:00:00,2024-04-11 09:59:59
31.59,31.43,31.74,31.33,369483286.5,11709600,2024-04-11 10:00:00,2024-04-11 10:59:59
31.425,31.465,31.55,31.35,100050038.5,3181300,2024-04-11 11:00:00,2024-04-11 11:59:59
31.45,31.345,31.455,31.205,152480092.5,4869900,2024-04-11 12:00:00,2024-04-11 12:59:59
31.34,31.355,31.395,31.23,71527110.0,2286000,2024-04-11 13:00:00,2024-04-11 13:59:59
31.35,31.155,31.355,30.91,164810580.5,5294100,2024-04-11 14:00:00,2024-04-11 14:59:59
31.15,31.15,31.18,31.01,100424481.5,3229100,2024-04-11 15:00:00,2024-04-11 15:59:59
31.13,31.195,31.225,31.13,40555067.0,1300500,2024-04-11 16:00:00,2024-04-11 16:59:59
31.19,31.065,31.195,30.95,154602790.0,4979600,2024-04-11 17:00:00,2024-04-11 17:59:59
31.065,31.0,31.08,30.94,93884577.0,3028400,2024-04-11 18:00:00,2024-04-11 18:59:59
31.0,31.0,31.015,30.945,56080026.0,1809400,2024-04-11 19:00:00,2024-04-11 19:59:59
31.0,31.155,31.165,30.99,50100369.0,1611300,2024-04-11 20:00:00,2024-04-11 20:59:59
31.145,31.09,31.165,31.05,45393596.5,1460000,2024-04-11 21:00:00,2024-04-11 21:59:59
31.09,31.13,31.17,31.085,23573254.0,757400,2024-04-11 22:00:00,2024-04-11 22:59:59
31.13,31.14,31.175,31.09,22942312.5,737000,2024-04-11 23:00:00,2024-04-11 23:59:59
31.205,31.205,31.205,31.205,873740.0,28000,2024-04-12 09:00:00,2024-04-12 09:59:59
31.215,31.295,31.41,31.07,207947483.0,6650600,2024-04-12 10:00:00,2024-04-12 10:59:59
31.295,31.46,31.63,31.225,339982120.0,10812900,2024-04-12 11:00:00,2024-04-12 11:59:59
31.465,31.79,31.895,31.465,743548445.0,23427900,2024-04-12 12:00:00,2024-04-12 12:59:59
31.795,31.76,31.8,31.625,391655994.0,12329300,2024-04-12 13:00:00,2024-04-12 13:59:59
31.775,31.69,31.8,31.665,182510876.5,5751000,2024-04-12 14:00:00,2024-04-12 14:59:59
31.69,31.545,31.69,31.45,232592858.0,7369800,2024-04-12 15:00:00,2024-04-12 15:59:59
31.545,31.64,31.78,31.535,109814105.0,3464700,2024-04-12 16:00:00,2024-04-12 16:59:59
31.64,31.77,31.775,31.57,123142687.5,3885000,2024-04-12 17:00:00,2024-04-12 17:59:59
31.765,31.625,31.775,31.61,99062216.5,3127200,2024-04-12 18:00:00,2024-04-12 18:49:09
31.63,31.58,31.7,31.51,90910483.0,2875400,2024-04-12 19:00:00,2024-04-12 19:59:59
31.585,31.6,31.615,31.55,39421788.5,1248600,2024-04-12 20:00:00,2024-04-12 20:59:59
31.6,31.555,31.71,31.5,91318759.5,2890300,2024-04-12 21:00:00,2024-04-12 21:59:59
31.555,31.5,31.555,31.4,75802560.5,2408700,2024-04-12 22:00:00,2024-04-12 22:59:59
31.495,31.42,31.495,31.34,66073097.5,2103800,2024-04-12 23:00:00,2024-04-12 23:59:59
31.76,31.76,31.76,31.76,5923240.0,186500,2024-04-15 09:00:00,2024-04-15 09:59:59
31.75,32.325,32.39,31.615,1755298466.5,54597000,2024-04-15 10:00:00,2024-04-15 10:59:59
32.325,32.49,32.515,32.125,546823082.0,16920900,2024-04-15 11:00:00,2024-04-15 11:59:59
32.49,32.6,32.675,32.385,867700085.0,26664300,2024-04-15 12:00:00,2024-04-15 12:59:59
32.6,32.44,32.65,32.31,449335909.5,13846900,2024-04-15 13:00:00,2024-04-15 13:59:59
32.44,32.41,32.6,32.365,269814820.0,8306400,2024-04-15 14:00:00,2024-04-15 14:59:59
32.42,32.46,32.505,32.28,353249300.5,10913000,2024-04-15 15:00:00,2024-04-15 15:59:59
32.46,32.46,32.585,32.435,188593951.0,5798600,2024-04-15 16:00:00,2024-04-15 16:59:59
32.47,32.425,32.49,32.26,204770513.0,6323000,2024-04-15 17:00:00,2024-04-15 17:59:59
32.43,32.35,32.45,32.35,116979086.0,3612200,2024-04-15 18:00:00,2024-04-15 18:59:59
32.445,32.485,32.485,32.37,56888447.0,1753800,2024-04-15 19:00:00,2024-04-15 19:59:59
32.48,32.42,32.495,32.41,59325373.0,1828100,2024-04-15 20:00:00,2024-04-15 20:59:59
32.42,32.495,32.5,32.405,63891289.0,1968000,2024-04-15 21:00:00,2024-04-15 21:59:59
32.495,32.675,32.675,32.47,227860263.5,6994800,2024-04-15 22:00:00,2024-04-15 22:59:59
32.67,32.74,32.75,32.665,174790024.5,5342200,2024-04-15 23:00:00,2024-04-15 23:59:56
32.805,32.805,32.805,32.805,24242895.0,739000,2024-04-16 09:00:00,2024-04-16 09:59:59
32.81,32.8,32.89,32.43,1030790571.5,31560100,2024-04-16 10:00:00,2024-04-16 10:59:59
32.8,32.915,32.98,32.58,551078294.0,16796500,2024-04-16 11:00:00,2024-04-16 11:59:59
32.925,33.03,33.11,32.735,530811962.5,16107200,2024-04-16 12:00:00,2024-04-16 12:59:59
33.025,33.2,33.39,33.0,481583174.0,14484400,2024-04-16 13:00:00,2024-04-16 13:59:59
33.195,33.065,33.25,32.965,415641226.5,12561600,2024-04-16 14:00:00,2024-04-16 14:59:59
33.06,32.95,33.13,32.93,115477936.0,3495800,2024-04-16 15:00:00,2024-04-16 15:59:59
32.95,33.01,33.085,32.82,117701290.5,3572700,2024-04-16 16:00:00,2024-04-16 16:59:59
33.01,32.885,33.03,32.88,71283852.0,2165700,2024-04-16 17:00:00,2024-04-16 17:59:59
32.88,32.79,32.93,32.79,96822608.0,2947800,2024-04-16 18:00:00,2024-04-16 18:59:59
32.79,32.765,32.885,32.63,154003357.5,4700200,2024-04-16 19:00:00,2024-04-16 19:59:59
32.765,32.895,33.04,32.765,97736830.0,2968300,2024-04-16 20:00:00,2024-04-16 20:59:59
32.9,32.85,32.92,32.8,40242410.0,1224600,2024-04-16 21:00:00,2024-04-16 21:59:59
32.855,32.88,32.94,32.795,25415694.0,773300,2024-04-16 22:00:00,2024-04-16 22:59:59
32.875,32.94,32.995,32.83,43156916.5,1311400,2024-04-16 23:00:00,2024-04-16 23:59:54
32.98,32.98,32.98,32.98,824500.0,25000,2024-04-17 09:00:00,2024-04-17 09:59:59
32.975,32.775,33.075,32.61,280034291.0,8530600,2024-04-17 10:00:00,2024-04-17 10:59:59
32.78,32.665,32.95,32.57,213360167.5,6515100,2024-04-17 11:00:00,2024-04-17 11:59:59
32.66,32.345,32.75,32.2,402391331.5,12401600,2024-04-17 12:00:00,2024-04-17 12:59:59
32.34,32.49,32.53,32.255,135344859.0,4174300,2024-04-17 13:00:00,2024-04-17 13:59:59
32.49,32.285,32.53,32.285,124727888.0,3850300,2024-04-17 14:00:00,2024-04-17 14:59:59
32.285,32.39,32.4,32.155,201453222.0,6239100,2024-04-17 15:00:00,2024-04-17 15:59:59
32.385,32.37,32.4,32.29,53286268.5,1647600,2024-04-17 16:00:00,2024-04-17 16:59:59
32.37,32.435,32.44,32.32,78522923.0,2424500,2024-04-17 17:00:00,2024-04-17 17:59:59
32.43,32.37,32.57,32.37,160087698.0,4932600,2024-04-17 18:00:00,2024-04-17 18:59:59
32.31,32.33,32.415,32.295,39544305.5,1223200,2024-04-17 19:00:00,2024-04-17 19:59:59
32.33,32.33,32.34,32.245,34356816.5,1064300,2024-04-17 20:00:00,2024-04-17 20:59:59
32.32,32.355,32.39,32.3,19423368.0,600400,2024-04-17 21:00:00,2024-04-17 21:59:59
32.36,32.32,32.43,32.32,33062956.0,1021000,2024-04-17 22:00:00,2024-04-17 22:59:59
32.32,32.26,32.32,32.23,30880550.5,957100,2024-04-17 23:00:00,2024-04-17 23:59:59
32.26,32.26,32.26,32.26,2235618.0,69300,2024-04-18 09:00:00,2024-04-18 09:59:59
32.26,32.12,32.54,32.01,421275609.0,13073100,2024-04-18 10:00:00,2024-04-18 10:59:59
32.12,32.115,32.28,32.0,176420506.5,5494300,2024-04-18 11:00:00,2024-04-18 11:59:59
32.115,32.16,32.225,32.1,73350563.0,2281200,2024-04-18 12:00:00,2024-04-18 12:59:59
32.155,32.025,32.165,32.025,73967730.5,2305600,2024-04-18 13:00:00,2024-04-18 13:59:59
32.045,32.04,32.065,31.84,187874067.5,5883900,2024-04-18 14:00:00,2024-04-18 14:59:59
32.04,32.62,32.83,31.975,839349703.5,25826800,2024-04-18 15:00:00,2024-04-18 15:59:59
32.62,32.76,32.845,32.545,207565209.0,6345400,2024-04-18 16:00:00,2024-04-18 16:59:59
32.75,32.64,32.77,32.53,110912429.5,3396200,2024-04-18 17:00:00,2024-04-18 17:59:59
32.625,32.62,32.79,32.62,73178417.0,2238500,2024-04-18 18:00:00,2024-04-18 18:59:59
32.615,32.87,32.985,32.615,154048139.0,4690500,2024-04-18 19:00:00,2024-04-18 19:59:59
32.87,32.83,32.875,32.75,32608520.0,993900,2024-04-18 20:00:00,2024-04-18 20:59:59
32.83,32.795,32.84,32.755,15829800.5,482700,2024-04-18 21:00:00,2024-04-18 21:59:59
32.78,32.905,32.94,32.75,47528218.0,1446300,2024-04-18 22:00:00,2024-04-18 22:59:59
32.925,32.9,32.95,32.86,53798261.0,1635200,2024-04-18 23:00:00,2024-04-18 23:59:54
33.0,33.0,33.0,33.0,6141300.0,186100,2024-04-19 09:00:00,2024-04-19 09:59:59
32.96,33.575,33.945,32.96,1994867541.5,59583300,2024-04-19 10:00:00,2024-04-19 10:59:59
33.575,33.64,33.77,33.46,484039773.0,14391400,2024-04-19 11:00:00,2024-04-19 11:59:59
33.645,33.43,33.75,33.27,473576243.0,14121900,2024-04-19 12:00:00,2024-04-19 12:59:59
33.435,33.575,33.585,33.32,289804147.5,8661300,2024-04-19 13:00:00,2024-04-19 13:59:59
33.575,33.785,33.95,33.53,450612882.5,13340800,2024-04-19 14:00:00,2024-04-19 14:59:59
33.78,34.1,34.26,33.75,887914242.0,26046100,2024-04-19 15:00:00,2024-04-19 15:59:59
34.1,34.035,34.1,33.94,389486550.0,11444800,2024-04-19 16:00:00,2024-04-19 16:59:59
34.035,34.145,34.21,33.975,317226583.0,9297800,2024-04-19 17:00:00,2024-04-19 17:59:59
34.13,34.175,34.21,34.09,163644877.5,4793200,2024-04-19 18:00:00,2024-04-19 18:59:59
34.18,34.22,34.34,34.165,317002103.0,9260200,2024-04-19 19:00:00,2024-04-19 19:59:59
34.22,34.31,34.345,34.215,214568347.5,6256600,2024-04-19 20:00:00,2024-04-19 20:59:59
34.31,34.31,34.34,34.22,200787673.0,5856400,2024-04-19 21:00:00,2024-04-19 21:59:59
34.31,34.195,34.325,34.14,223877213.0,6539300,2024-04-19 22:00:00,2024-04-19 22:59:59
34.2,34.24,34.26,34.16,170080020.0,4971800,2024-04-19 23:00:00,2024-04-19 23:59:54
34.355,34.355,34.355,34.355,16081575.5,468100,2024-04-22 09:00:00,2024-04-22 09:59:59
34.36,35.06,35.1,33.84,2248306286.5,65024700,2024-04-22 10:00:00,2024-04-22 10:59:59
35.05,35.22,35.24,34.905,978052730.0,27895000,2024-04-22 11:00:00,2024-04-22 11:59:59
35.22,35.765,35.9,35.21,1683801261.5,47413200,2024-04-22 12:00:00,2024-04-22 12:59:59
35.775,35.68,35.85,35.465,588990489.0,16516900,2024-04-22 13:00:00,2024-04-22 13:59:59
35.68,34.99,35.69,34.9,1190100503.5,33773100,2024-04-22 14:00:00,2024-04-22 14:59:59
35.02,35.045,35.34,34.97,639003522.5,18190800,2024-04-22 15:00:00,2024-04-22 15:59:59
35.03,35.37,35.52,35.02,492964033.0,13973500,2024-04-22 16:00:00,2024-04-22 16:59:59
35.385,34.955,35.445,34.745,837783489.5,23883200,2024-04-22 17:00:00,2024-04-22 17:59:59
34.955,35.0,35.2,34.875,298104904.0,8519400,2024-04-22 18:00:00,2024-04-22 18:59:59
35.0,35.065,35.205,35.0,133033936.0,3788500,2024-04-22 19:00:00,2024-04-22 19:59:59
35.06,35.03,35.135,35.0,85957415.5,2453100,2024-04-22 20:00:00,2024-04-22 20:59:59
35.035,34.96,35.04,34.825,253749443.0,7267900,2024-04-22 21:00:00,2024-04-22 21:59:59
34.98,34.925,35.085,34.92,73027656.0,2085700,2024-04-22 22:00:00,2024-04-22 22:59:59
34.96,34.96,35.04,34.9,79793822.0,2282500,2024-04-22 23:00:00,2024-04-22 23:59:55
34.9,34.9,34.9,34.9,47059160.0,1348400,2024-04-23 09:00:00,2024-04-23 09:59:59
34.9,35.095,35.385,34.535,1132571371.5,32328000,2024-04-23 10:00:00,2024-04-23 10:59:59
35.1,34.985,35.2,34.855,255356131.5,7283400,2024-04-23 11:00:00,2024-04-23 11:59:59
34.985,34.2,35.1,34.06,1421474591.0,41237300,2024-04-23 12:00:00,2024-04-23 12:59:59
34.2,34.25,34.3,33.82,754132070.0,22133900,2024-04-23 13:00:00,2024-04-23 13:59:59
34.27,33.965,34.285,33.84,361771600.5,10635300,2024-04-23 14:00:00,2024-04-23 14:59:59
33.96,33.72,34.2,33.605,601725167.5,17764000,2024-04-23 15:00:00,2024-04-23 15:59:59
33.72,33.815,33.84,33.545,485708769.0,14413400,2024-04-23 16:00:00,2024-04-23 16:59:59
33.8,33.89,33.945,33.64,293195779.0,8669500,2024-04-23 17:00:00,2024-04-23 17:59:59
33.89,33.57,33.95,33.46,378157283.0,11233000,2024-04-23 18:00:00,2024-04-23 18:59:59
33.55,33.69,33.71,33.55,131346730.0,3905100,2024-04-23 19:00:00,2024-04-23 19:59:59
33.695,33.455,33.695,33.4,198420394.5,5919800,2024-04-23 20:00:00,2024-04-23 20:59:59
33.46,33.555,33.56,33.43,79854632.5,2383800,2024-04-23 21:00:00,2024-04-23 21:59:59
33.56,33.445,33.66,33.4,143331564.5,4273600,2024-04-23 22:00:00,2024-04-23 22:59:59
33.44,33.435,33.455,33.34,128784856.5,3854000,2024-04-23 23:00:00,2024-04-23 23:59:59
33.56,33.56,33.56,33.56,1795460.0,53500,2024-04-24 09:00:00,2024-04-24 09:59:59
33.525,33.46,33.66,33.075,850658852.5,25541000,2024-04-24 10:00:00,2024-04-24 10:59:59
33.455,33.485,33.88,33.35,806767010.5,23985200,2024-04-24 11:00:00,2024-04-24 11:59:59
33.485,33.325,33.695,33.195,336923653.5,10086800,2024-04-24 12:00:00,2024-04-24 12:59:59
33.325,33.1,33.34,32.9,651337840.0,19710400,2024-04-24 13:00:00,2024-04-24 13:59:59
33.095,33.215,33.27,32.95,248331711.5,7494900,2024-04-24 14:00:00,2024-04-24 14:59:59
33.22,32.955,33.295,32.95,186273130.5,5627400,2024-04-24 15:00:00,2024-04-24 15:59:59
32.96,33.15,33.215,32.955,74572651.5,2252800,2024-04-24 16:00:00,2024-04-24 16:59:59
33.145,33.005,33.145,32.96,111048114.0,3361500,2024-04-24 17:00:00,2024-04-24 17:59:59
33.015,32.97,33.055,32.915,87856106.5,2665000,2024-04-24 18:00:00,2024-04-24 18:59:59
33.085,33.09,33.095,32.96,39086185.0,1182900,2024-04-24 19:00:00,2024-04-24 19:59:59
33.09,33.145,33.165,33.055,44186946.0,1334800,2024-04-24 20:00:00,2024-04-24 20:59:59
33.145,33.06,33.17,33.025,62618214.0,1892200,2024-04-24 21:00:00,2024-04-24 21:59:59
33.06,33.11,33.13,33.03,32484682.5,981800,2024-04-24 22:00:00,2024-04-24 22:59:59
33.11,33.02,33.11,33.02,21010486.5,635500,2024-04-24 23:00:00,2024-04-24 23:59:55
33.02,33.02,33.02,33.02,637286.0,19300,2024-04-25 09:00:00,2024-04-25 09:59:59
33.02,33.22,33.3,32.99,304986730.0,9190700,2024-04-25 10:00:00,2024-04-25 10:59:59
33.22,33.31,33.73,33.17,505506472.5,15107400,2024-04-25 11:00:00,2024-04-25 11:59:59
33.305,33.275,33.31,33.18,185657208.5,5583400,2024-04-25 12:00:00,2024-04-25 12:59:59
33.27,33.18,33.335,33.15,101921463.5,3064100,2024-04-25 13:00:00,2024-04-25 13:59:59
33.18,33.16,33.365,33.16,80085816.0,2408800,2024-04-25 14:00:00,2024-04-25 14:59:59
33.16,33.1,33.225,33.1,94388874.5,2848500,2024-04-25 15:00:00,2024-04-25 15:59:59
33.1,33.1,33.235,33.01,134079134.0,4049300,2024-04-25 16:00:00,2024-04-25 16:59:59
33.1,33.12,33.145,33.05,63479596.5,1917800,2024-04-25 17:00:00,2024-04-25 17:59:59
33.12,33.075,33.23,33.075,114705393.0,3461400,2024-04-25 18:00:00,2024-04-25 18:59:59
33.1,33.125,33.225,33.1,43157159.5,1302200,2024-04-25 19:00:00,2024-04-25 19:59:59
33.13,33.165,33.2,33.09,48440014.0,1462200,2024-04-25 20:00:00,2024-04-25 20:59:59
33.16,33.195,33.205,33.125,28609288.5,862300,2024-04-25 21:00:00,2024-04-25 21:59:59
33.195,33.29,33.315,33.19,67412201.0,2026800,2024-04-25 22:00:00,2024-04-25 22:59:59
33.29,33.355,33.365,33.245,36605524.5,1099100,2024-04-25 23:00:00,2024-04-25 23:59:59
33.385,33.385,33.385,33.385,7214498.5,216100,2024-04-26 09:00:00,2024-04-26 09:59:59
33.385,33.66,33.7,33.3,275455812.0,8218900,2024-04-26 10:00:00,2024-04-26 10:59:59
33.665,33.67,33.79,33.59,215785302.5,6405700,2024-04-26 11:00:00,2024-04-26 11:59:59
