open,close,high,low,value,volume,begin,end
459.0,453.6,459.0,452.0,1369152987.1,3014735,2020-10-12,2020-10-12 23:59:59
454.3,442.6,455.9,439.6,1842199073.7,4111532,2020-10-13,2020-10-13 23:59:59
441.7,443.4,446.5,437.2,1681562683.2,3808268,2020-10-14,2020-10-14 23:59:59
441.6,434.1,442.5,427.7,2287196696.5,5268506,2020-10-15,2020-10-15 23:59:59
432.3,429.2,433.8,426.2,1814020574.5,4216166,2020-10-16,2020-10-16 23:59:59
430.5,415.7,432.8,414.9,1628381109.6,3847930,2020-10-19,2020-10-19 23:59:59
415.1,421.2,424.8,406.4,3139510882.0,7556440,2020-10-20,2020-10-20 23:59:59
421.7,416.9,428.6,416.1,2168798570.3,5159655,2020-10-21,2020-10-21 23:59:59
416.0,424.6,425.9,413.9,1773352191.7,4207107,2020-10-22,2020-10-22 23:59:59
424.4,438.7,440.6,423.2,2694210146.2,6182712,2020-10-23,2020-10-23 23:59:59
436.0,430.1,437.3,426.4,1487128471.1,3436573,2020-10-26,2020-10-26 23:59:59
433.2,420.5,433.5,417.9,1887886230.5,4462646,2020-10-27,2020-10-27 23:59:59
417.2,401.0,417.5,398.4,3701741038.6,9143391,2020-10-28,2020-10-28 23:59:59
404.8,405.7,409.9,395.5,2596953227.3,6449335,2020-10-29,2020-10-29 23:59:59
400.0,412.6,416.3,396.4,3086069711.4,7547371,2020-10-30,2020-10-30 23:59:59
409.7,419.3,419.9,404.3,2271546466.1,5483087,2020-11-02,2020-11-02 23:59:59
419.3,430.5,432.3,419.0,2489897423.9,5826469,2020-11-03,2020-11-03 23:59:59
438.9,442.7,449.5,433.2,3631320964.4,8200661,2020-11-05,2020-11-05 23:59:59
442.4,447.6,449.8,436.5,2422108770.7,5447209,2020-11-06,2020-11-06 23:59:59
456.8,479.3,488.3,446.7,7304469836.6,15510193,2020-11-09,2020-11-09 23:59:59
478.8,501.0,506.0,472.7,7074671428.4,14300183,2020-11-10,2020-11-10 23:59:59
506.3,508.2,521.5,505.6,7647624318.0,14823910,2020-11-11,2020-11-11 23:59:59
505.2,499.8,513.5,497.7,5836576320.9,11571340,2020-11-12,2020-11-12 23:59:59
499.7,505.1,507.9,493.1,3178077878.2,6366725,2020-11-13,2020-11-13 23:59:59
511.7,510.9,518.0,504.5,3354310885.1,6570749,2020-11-16,2020-11-16 23:59:59
510.9,506.0,512.5,499.0,2304055295.5,4564292,2020-11-17,2020-11-17 23:59:59
506.0,511.2,519.1,501.4,2934567555.3,5726229,2020-11-18,2020-11-18 23:59:59
511.0,508.3,512.1,505.5,1983784303.7,3903022,2020-11-19,2020-11-19 23:59:59
508.5,511.0,512.2,504.2,1266764416.4,2486652,2020-11-20,2020-11-20 23:59:59
514.1,520.3,528.2,512.4,3095909461.7,5954097,2020-11-23,2020-11-23 23:59:59
525.0,524.8,527.5,514.0,2550128739.6,4894554,2020-11-24,2020-11-24 23:59:59
526.0,537.1,540.8,520.3,6346603961.7,11895244,2020-11-25,2020-11-25 23:59:59
537.2,524.9,541.0,523.8,2613443502.5,4931652,2020-11-26,2020-11-26 23:59:59
524.1,511.4,527.5,494.4,7549864528.4,14786040,2020-11-27,2020-11-27 23:59:59
504.1,492.3,509.0,485.8,6843536389.0,13831788,2020-11-30,2020-11-30 23:59:59
494.1,493.9,499.6,490.3,2571794685.4,5194139,2020-12-01,2020-12-01 23:59:59
491.1,509.1,512.6,489.1,3633882093.2,7262759,2020-12-02,2020-12-02 23:59:59
509.0,496.0,509.4,490.1,4606038677.2,9250318,2020-12-03,2020-12-03 23:59:59
500.0,507.7,510.0,500.0,4627337664.6,9135627,2020-12-04,2020-12-04 23:59:59
507.4,500.3,510.5,499.0,2612134167.8,5183911,2020-12-07,2020-12-07 23:59:59
500.0,497.6,504.5,491.8,2266991527.4,4550781,2020-12-08,2020-12-08 23:59:59
496.9,494.4,503.5,489.8,2657666763.0,5341019,2020-12-09,2020-12-09 23:59:59
493.5,507.3,514.5,492.4,3776107943.6,7502184,2020-12-10,2020-12-10 23:59:59
509.0,508.8,513.8,505.5,3223460882.4,6327142,2020-12-11,2020-12-11 23:59:59
512.0,514.6,527.2,509.1,4427601013.9,8544664,2020-12-14,2020-12-14 23:59:59
513.0,517.0,520.6,508.0,2326820042.5,4515748,2020-12-15,2020-12-15 23:59:59
517.0,511.5,518.9,507.4,2362290471.8,4612112,2020-12-16,2020-12-16 23:59:59
515.0,513.0,517.8,510.0,2548761911.7,4960696,2020-12-17,2020-12-17 23:59:59
510.8,506.4,511.8,502.3,2631177404.5,5171154,2020-12-18,2020-12-18 23:59:59
501.0,499.8,501.8,485.3,3576214991.9,7223598,2020-12-21,2020-12-21 23:59:59
493.5,500.5,508.6,492.7,1991340584.2,3950398,2020-12-22,2020-12-22 23:59:59
499.7,505.6,506.7,498.1,1403978789.8,2793132,2020-12-23,2020-12-23 23:59:59
505.6,505.0,508.3,502.0,870006972.0,1723135,2020-12-24,2020-12-24 23:59:59
505.8,505.5,506.0,503.5,431436137.7,855011,2020-12-25,2020-12-25 23:59:59
505.7,505.9,510.4,505.0,746862809.4,1472081,2020-12-28,2020-12-28 23:59:59
507.1,509.4,512.9,504.0,1276163238.7,2509531,2020-12-29,2020-12-29 23:59:59
511.0,513.7,518.2,509.4,1700236048.0,3305976,2020-12-30,2020-12-30 23:59:59
516.4,515.8,522.3,514.0,1681916045.4,3241796,2021-01-04,2021-01-04 23:59:59
514.5,524.2,524.9,511.6,2330319984.5,4501553,2021-01-05,2021-01-05 23:59:59
