open,close,high,low,value,volume,begin,end
709.0,709.0,709.0,709.0,816768.0,1152,2024-04-11 09:00:00,2024-04-11 09:59:59
709.0,709.1,711.5,709.0,119963190.79999997,168945,2024-04-11 10:00:00,2024-04-11 10:59:59
709.0,709.2,709.5,707.6,89173631.69999999,125867,2024-04-11 11:00:00,2024-04-11 11:59:59
709.2,709.0,709.9,708.3,42955479.2,60595,2024-04-11 12:00:00,2024-04-11 12:59:59
708.9,711.2,712.0,708.8,87438473.5,123036,2024-04-11 13:00:00,2024-04-11 13:59:59
711.1,711.2,711.5,710.5,36527654.7,51367,2024-04-11 14:00:00,2024-04-11 14:59:59
711.2,710.0,711.3,709.4,47568358.69999999,66991,2024-04-11 15:00:00,2024-04-11 15:59:59
710.1,709.3,710.8,709.2,46185999.0,65038,2024-04-11 16:00:00,2024-04-11 16:59:59
709.2,709.6,710.4,709.1,28779561.69999999,40563,2024-04-11 17:00:00,2024-04-11 17:59:59
709.7,710.4,710.4,708.7,98742709.30000001,139088,2024-04-11 18:00:00,2024-04-11 18:59:59
710.4,708.6,710.4,708.0,28812518.999999993,40653,2024-04-11 19:00:00,2024-04-11 19:59:59
708.6,708.3,708.9,708.1,7332745.100000001,10351,2024-04-11 20:00:00,2024-04-11 20:59:59
708.3,708.6,708.9,708.1,11048890.199999997,15593,2024-04-11 21:00:00,2024-04-11 21:59:59
708.6,708.6,709.2,708.5,11216959.699999997,15821,2024-04-11 22:00:00,2024-04-11 22:59:59
708.6,708.9,709.8,707.8,22112132.900000002,31218,2024-04-11 23:00:00,2024-04-11 23:59:59
710.3,710.3,710.3,710.3,1235211.7000000004,1739,2024-04-12 09:00:00,2024-04-12 09:59:59
710.0,707.8,710.6,707.1,199727141.3,281987,2024-04-12 10:00:00,2024-04-12 10:59:59
707.9,708.2,708.5,707.7,44730901.0,63177,2024-04-12 11:00:00,2024-04-12 11:59:59
708.2,711.0,711.5,708.1,103760223.5,146139,2024-04-12 12:00:00,2024-04-12 12:59:59
711.0,710.8,711.3,710.7,49852526.800000004,70114,2024-04-12 13:00:00,2024-04-12 13:59:59
710.8,710.9,711.0,710.1,39561502.500000015,55676,2024-04-12 14:00:00,2024-04-12 14:59:59
711.0,711.1,711.1,710.3,55228119.29999999,77717,2024-04-12 15:00:00,2024-04-12 15:59:59
711.1,714.7,716.0,711.0,367168482.9000001,513978,2024-04-12 16:00:00,2024-04-12 16:59:59
714.7,721.7,723.0,714.4,376719064.50000006,523998,2024-04-12 17:00:00,2024-04-12 17:59:59
721.6,715.6,721.7,715.5,292317674.70000005,406835,2024-04-12 18:00:00,2024-04-12 18:59:59
715.6,716.2,718.8,715.5,74252373.20000002,103535,2024-04-12 19:00:00,2024-04-12 19:59:59
716.2,715.7,717.0,715.6,25683011.399999995,35852,2024-04-12 20:00:00,2024-04-12 20:59:59
715.8,714.3,716.3,712.3,112524055.7,157588,2024-04-12 21:00:00,2024-04-12 21:59:59
714.3,713.8,714.3,712.7,51839250.00000002,72676,2024-04-12 22:00:00,2024-04-12 22:59:59
713.6,714.9,714.9,713.3,27596812.4,38642,2024-04-12 23:00:00,2024-04-12 23:59:59
716.0,716.0,716.0,716.0,3003620.0,4195,2024-04-15 09:00:00,2024-04-15 09:59:59
716.3,721.6,722.0,716.3,262618466.29999995,364579,2024-04-15 10:00:00,2024-04-15 10:59:59
721.6,727.9,728.0,721.0,265274775.60000002,366093,2024-04-15 11:00:00,2024-04-15 11:59:59
727.6,729.3,729.5,726.0,252593400.39999998,347110,2024-04-15 12:00:00,2024-04-15 12:59:59
729.2,735.7,735.7,729.2,353423218.3,482045,2024-04-15 13:00:00,2024-04-15 13:59:59
735.6,738.0,740.1,734.8,616189337.1999997,835213,2024-04-15 14:00:00,2024-04-15 14:59:59
738.0,739.3,740.4,736.7,407796899.4000002,552155,2024-04-15 15:00:00,2024-04-15 15:59:59
739.4,737.4,739.4,736.1,250926370.50000003,340268,2024-04-15 16:00:00,2024-04-15 16:59:59
737.4,737.3,738.5,735.2,199029573.50000003,270227,2024-04-15 17:00:00,2024-04-15 17:59:59
737.3,735.0,737.6,735.0,106721081.30000001,145020,2024-04-15 18:00:00,2024-04-15 18:59:59
735.0,739.2,740.9,735.0,138889967.89999935,188000,2024-04-15 19:00:00,2024-04-15 19:59:59
739.2,737.9,739.4,736.6,38106067.5,51640,2024-04-15 20:00:00,2024-04-15 20:59:59
738.1,739.0,740.0,737.5,50103389.199999996,67806,2024-04-15 21:00:00,2024-04-15 21:59:59
738.9,736.8,739.4,736.0,45154663.90000001,61226,2024-04-15 22:00:00,2024-04-15 22:59:59
736.7,736.5,738.3,736.4,47255831.099999994,64079,2024-04-15 23:00:00,2024-04-15 23:59:56
738.0,738.0,738.0,738.0,3879666.0,5257,2024-04-16 09:00:00,2024-04-16 09:59:59
738.0,734.0,740.8,731.2,287999500.9000001,391509,2024-04-16 10:00:00,2024-04-16 10:59:59
734.0,729.0,734.2,726.3,364689689.6999999,499720,2024-04-16 11:00:00,2024-04-16 11:59:59
729.0,732.1,732.4,727.2,162796485.90000007,223223,2024-04-16 12:00:00,2024-04-16 12:59:59
732.1,729.5,732.2,729.0,89899759.39999999,123143,2024-04-16 13:00:00,2024-04-16 13:59:59
729.3,726.0,729.7,724.4,201278348.6999999,277036,2024-04-16 14:00:00,2024-04-16 14:59:59
