open,close,high,low,value,volume,begin,end
3136.0,3136.0,3136.0,3136.0,890624.0,284,2024-04-11 09:00:00,2024-04-11 09:59:59
3137.5,3137.5,3143.0,3133.0,265059753.5,84422,2024-04-11 10:00:00,2024-04-11 10:59:59
3138.0,3120.0,3140.0,3116.0,327759582.5,104877,2024-04-11 11:00:00,2024-04-11 11:59:59
3120.0,3115.0,3122.5,3107.5,305047465.0,97950,2024-04-11 12:00:00,2024-04-11 12:59:59
3115.0,3110.0,3118.5,3109.0,198356269.5,63698,2024-04-11 13:00:00,2024-04-11 13:59:59
3110.0,3103.0,3110.0,3102.0,222030745.5,71487,2024-04-11 14:00:00,2024-04-11 14:59:59
3103.0,3106.5,3108.0,3102.0,192645143.0,62051,2024-04-11 15:00:00,2024-04-11 15:59:59
3106.5,3095.0,3108.0,3094.5,291324644.0,93910,2024-04-11 16:00:00,2024-04-11 16:59:59
3095.0,3107.0,3113.0,3093.5,364334797.0,117426,2024-04-11 17:00:00,2024-04-11 17:59:59
3107.5,3112.5,3120.0,3101.0,239916167.5,77110,2024-04-11 18:00:00,2024-04-11 18:49:09
3111.0,3106.0,3114.0,3103.0,58210591.0,18736,2024-04-11 19:00:00,2024-04-11 19:59:59
3106.0,3103.5,3106.0,3102.5,45506726.5,14665,2024-04-11 20:00:00,2024-04-11 20:59:59
3103.5,3104.0,3108.0,3103.0,36762229.0,11838,2024-04-11 21:00:00,2024-04-11 21:59:59
3104.0,3109.5,3113.0,3103.0,50113328.5,16126,2024-04-11 22:00:00,2024-04-11 22:59:59
3109.5,3108.0,3110.0,3105.0,54933031.0,17678,2024-04-11 23:00:00,2024-04-11 23:59:59
3112.0,3112.0,3112.0,3112.0,1465752.0,471,2024-04-12 09:00:00,2024-04-12 09:59:59
3111.0,3105.0,3111.5,3093.5,445244760.0,143464,2024-04-12 10:00:00,2024-04-12 10:59:59
3104.5,3106.0,3111.0,3102.5,129340057.5,41636,2024-04-12 11:00:00,2024-04-12 11:59:59
3106.0,3111.5,3114.0,3105.5,139555427.5,44873,2024-04-12 12:00:00,2024-04-12 12:59:59
3111.0,3108.5,3111.5,3106.5,73113383.0,23518,2024-04-12 13:00:00,2024-04-12 13:59:59
